business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 32.78582, 'lng': -96.62545999999999}, 'viewport': {'northeast': {'lat': 32.78711293029149, 'lng': -96.62408956970849}, 'southwest': {'lat': 32.7844149697085, 'lng': -96.62678753029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Texas Roadhouse,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118249117295351341533"">Sanjiv Gaiha</a>'], 'photo_reference': 'AW30NDw7DiR8Pqjgr90DCIYMjbwZXNHH0u7HqeKSggWBFotY21It-4MLT09-ZFsQJgUWUtFlfTRztqwdMU5hXlguVM80umNaIqxIA_3iYwg_s-DXUx8hB9di2M1YxFvDYZLr0Wtb_40rbNGI3I5d-czSriSiWn1UOMhh-panbUDGjj1lMxr9', 'width': 5312}]",ChIJtbryBkykToYRS6Bnt4E-xTY,"{'compound_code': 'Q9PF+8R Mesquite, TX, USA', 'global_code': '8645Q9PF+8R'}",2.0,4.4,ChIJtbryBkykToYRS6Bnt4E-xTY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",6940.0,"1420 North Peachtree Road, Mesquite",
OPERATIONAL,"{'location': {'lat': 32.7641844, 'lng': -96.58446970000001}, 'viewport': {'northeast': {'lat': 32.76564388029151, 'lng': -96.58308376970851}, 'southwest': {'lat': 32.76294591970851, 'lng': -96.58578173029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110595278289178347759"">Jackson Macharia</a>'], 'photo_reference': 'AW30NDyhlntvXf7w2WcnENdtX2SnCcGSJ0_PYGxtdJlD1uqhwqxV3nQSFqxNZVDfnZJLyIPLje8wecCS4kZYQA6lXWO6pmcCbZBUpXgXU8N66ueDNqQN5UyB4-iOJsVWHpaOQbsYiPW3esy3M7D4zbitAc3QfiN1-KBgESyiCDbfP45l16c-', 'width': 4032}]",ChIJB4-jdXylToYRskPe9wzDRfA,"{'compound_code': 'QC78+M6 Mesquite, TX, USA', 'global_code': '8645QC78+M6'}",1.0,4.2,ChIJB4-jdXylToYRskPe9wzDRfA,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",196.0,"1200 East Davis Street Suite 134, Mesquite",
OPERATIONAL,"{'location': {'lat': 32.7674278, 'lng': -96.6236459}, 'viewport': {'northeast': {'lat': 32.7688553302915, 'lng': -96.6222924197085}, 'southwest': {'lat': 32.7661573697085, 'lng': -96.62499038029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108977656077484156389"">Subway</a>'], 'photo_reference': 'AW30NDyuwk7v-FDrpaNTIwQjgxKUJ2Vz2Mbh1Bzc_fpE9PE7wLybwA1hA50n4kbu9X2mhADH8AmsnbCsCXBLZUI8TvAtAi_NfihnL2ixqm0pQQ1RpQqm6LH8CQztseiXzG-jwKHCi7zi7ZeB32NqCl7hMUxBwotWuctigAO44caG6Qr5uCFl', 'width': 1763}]",ChIJrY4zov-kToYRwjQg30dNCBc,"{'compound_code': 'Q98G+XG Mesquite, TX, USA', 'global_code': '8645Q98G+XG'}",1.0,3.4,ChIJrY4zov-kToYRwjQg30dNCBc,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",183.0,"1704 Military Parkway Suite 100, Mesquite",
OPERATIONAL,"{'location': {'lat': 32.7915308, 'lng': -96.5953399}, 'viewport': {'northeast': {'lat': 32.79288093029149, 'lng': -96.59408076970848}, 'southwest': {'lat': 32.7901829697085, 'lng': -96.59677873029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108530351193968378510"">Visit Mesquite</a>'], 'photo_reference': 'AW30NDzzWw3uya5xqQvuRrJ-SXGm_0sGipCvK86ZhlLNcSM92JG0T0zCdPmnX3qyAtgghDb6bjaS4ItfjpTdmOqeahtzDnAEa-cO2Fa8bRNp8EG4V4p6qxSnRYWOIl9F52SivemZ17XoGH5GA1mKscaU2xbNh07zr8HJopL_K_B0utOO2vVR', 'width': 4032}]",ChIJuVVlv5SlToYRVE1N_AWHlx8,"{'compound_code': 'QCR3+JV Mesquite, TX, USA', 'global_code': '8645QCR3+JV'}",1.0,3.7,ChIJuVVlv5SlToYRVE1N_AWHlx8,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",230.0,"2030 North Belt Line Road Suite 160, Mesquite",
OPERATIONAL,"{'location': {'lat': 32.7816647, 'lng': -96.56385279999999}, 'viewport': {'northeast': {'lat': 32.7829975302915, 'lng': -96.5625820197085}, 'southwest': {'lat': 32.7802995697085, 'lng': -96.5652799802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103109958906292840845"">Kevin Juchi</a>'], 'photo_reference': 'AW30NDzcm1GbvEXLcIPaGs_r5gvMfjRjbw21iag5DeHQYF9G0_fxRKBEABa7j2hFfqHafbrgUiQ9G8PNI2uGaU8_LtZSTn6aFBCQi2VAR-mnK_ig4uxaT3OV1AEx_tJkht-8RC7_S6HudAe25JTKxZGdN5ds6ue_xvQKPP4kOBgHfZJFaQQ4', 'width': 4032}]",ChIJvy43k3CvToYRwZQncPbKGoo,"{'compound_code': 'QCJP+MF Sunnyvale, TX, USA', 'global_code': '8645QCJP+MF'}",1.0,4.0,ChIJvy43k3CvToYRwZQncPbKGoo,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",143.0,"184 South Collins Road Suite 600, Sunnyvale",
OPERATIONAL,"{'location': {'lat': 32.768915, 'lng': -96.62478100000001}, 'viewport': {'northeast': {'lat': 32.7702456302915, 'lng': -96.62335576970851}, 'southwest': {'lat': 32.7675476697085, 'lng': -96.62605373029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Taco Bueno,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108530351193968378510"">Visit Mesquite</a>'], 'photo_reference': 'AW30NDzDC6NHZJAHKNvNPlifmzIZRDDWKjLPagPpGS7QctRwyHdfn6O26q_NMei6kXLW2h7cnFK6bCLq7RKcz43Apy9FHXR73l9JGsZ0SKo44YcOuEDlxLSe8kmBlMuSdGfQSH0Xm7UDohsvEbww9rADCqvUJ79Fxa6Fxhp1N1HxGjrkI70s', 'width': 4032}]",ChIJQZEwjlWkToYRlL3m-Iy2Zdw,"{'compound_code': 'Q99G+H3 Mesquite, TX, USA', 'global_code': '8645Q99G+H3'}",1.0,3.9,ChIJQZEwjlWkToYRlL3m-Iy2Zdw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",816.0,"1723 West Scyene Road, Mesquite",
OPERATIONAL,"{'location': {'lat': 32.7982102, 'lng': -96.61022679999999}, 'viewport': {'northeast': {'lat': 32.7995002302915, 'lng': -96.60887306970851}, 'southwest': {'lat': 32.7968022697085, 'lng': -96.61157103029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108530351193968378510"">Visit Mesquite</a>'], 'photo_reference': 'AW30NDzfXIFCP00flAsD833FFtwVMq_0S7dIzbewBp24CgfH0GbsDKdcsmTE02pWthxOSRHGMtkbYH2dosQ_N8Ce19jfeoWBRKLDyldFYZ6oERwiM37W8tRV4jaOyqI5oLEbyu-Kd06Y_PJa6qN3y2TqDWlst9V6zv9l-iwD5OdLoHiKVQcr', 'width': 3024}]",ChIJLTUvctelToYR7uK7LsbHsL4,"{'compound_code': 'Q9XQ+7W Mesquite, TX, USA', 'global_code': '8645Q9XQ+7W'}",1.0,3.7,ChIJLTUvctelToYR7uK7LsbHsL4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",183.0,"909 Tripp Road Ste 180, Mesquite",
OPERATIONAL,"{'location': {'lat': 32.73325119999999, 'lng': -96.6143298}, 'viewport': {'northeast': {'lat': 32.7346015302915, 'lng': -96.6130900197085}, 'southwest': {'lat': 32.7319035697085, 'lng': -96.61578798029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113172714053157664486"">John Penn</a>'], 'photo_reference': 'AW30NDyBRttTN3jBwi7dEzyXIh8TS3SpFWBP3YIgiPmnE8pyyPAdPhl6MjZwRqnU-g10b1TEQKR5ytcJlUcBLqZixjXQ-INl310DnmjsCb9fGfi535exJQx0zhFMI8VoSdnkHrdR9345qk25B93FMZNvTr7yaP5c4umeRaMJ4fbV1W-n03yp', 'width': 3264}]",ChIJef_iMy-lToYRKA3aH7BhQiA,"{'compound_code': 'P9MP+87 Balch Springs, TX, USA', 'global_code': '8645P9MP+87'}",1.0,3.5,ChIJef_iMy-lToYRKA3aH7BhQiA,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",239.0,"12350 Lake June Road Suite 100, Balch Springs",
OPERATIONAL,"{'location': {'lat': 32.7472966, 'lng': -96.5971502}, 'viewport': {'northeast': {'lat': 32.7486418302915, 'lng': -96.59570631970851}, 'southwest': {'lat': 32.7459438697085, 'lng': -96.59840428029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 812, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106848327219359077053"">Papa Johns Pizza</a>'], 'photo_reference': 'AW30NDzPQjlN_AZpJlGucktjEOMqofAx1sr0cNKBDt_Xy8uL6RjDyfioHrGfTPEBRzoVPvoUstRec_ruN_OJC0x8NKFKScBnGYXXohKl4GhYJB-e5Y2TmEF9PlsuR72mpoxIzZergRpTHvnReKqV8FW5NFySxFa_w6ykAQ834-o_gI_F0Uzz', 'width': 1444}]",ChIJm1FFLUClToYR6RaLgMwYUGE,"{'compound_code': 'PCW3+W4 Mesquite, TX, USA', 'global_code': '8645PCW3+W4'}",1.0,3.1,ChIJm1FFLUClToYR6RaLgMwYUGE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",204.0,"1433 South Beltline Road, Mesquite",
OPERATIONAL,"{'location': {'lat': 32.789205, 'lng': -96.59641099999999}, 'viewport': {'northeast': {'lat': 32.7906161302915, 'lng': -96.59507801970848}, 'southwest': {'lat': 32.7879181697085, 'lng': -96.5977759802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,McDonald's,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108530351193968378510"">Visit Mesquite</a>'], 'photo_reference': 'AW30NDw33vJlni9sICSib9GGrEuXKlf_4eZU4No3OTUfeIIHPAi-BW2BD1vjntsQ8GD0OpIahhDoG59d8y19U3SfqaDoxlG41m2OA0ea9UaSI8AHdKjU_m_B73dqu7NgPyZYq68JdaEI2vcGOWetspp0Sie3jBAKzC62aUKNO8pZsKy5lmaN', 'width': 4032}]",ChIJjzLGT5SlToYR9W-8j0lVMvI,"{'compound_code': 'QCQ3+MC Mesquite, TX, USA', 'global_code': '8645QCQ3+MC'}",1.0,3.8,ChIJjzLGT5SlToYR9W-8j0lVMvI,GOOGLE,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",2165.0,"1817 North Belt Line Road, Mesquite",
