business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,permanently_closed,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours
CLOSED_TEMPORARILY,"{'location': {'lat': 25.9287598, 'lng': -80.21929399999999}, 'viewport': {'northeast': {'lat': 25.9302251302915, 'lng': -80.21798541970848}, 'southwest': {'lat': 25.9275271697085, 'lng': -80.22068338029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,True,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115477762831219658589"">954Art·com</a>'], 'photo_reference': 'AW30NDzifMokXiyiwrPPfWjvI5KoCKgDRF8XXbPBc-rZhDjVS_Omsn6VWDqqrVgwr6L1dukzex6h_n-NAx5XdBI35bn7mb6yaxr100-s7p_yfjujGrYf72ZCldwaCN39PszZT-LpFzClVznFIO7qTiQY8GN1oM-9CUIImL3gUDvTouvPuEFH', 'width': 3264}]",ChIJPcFqLkSu2YgRT5KRMutOC30,"{'compound_code': 'WQHJ+G7 Miami, FL, USA', 'global_code': '76QXWQHJ+G7'}",1.0,3.3,ChIJPcFqLkSu2YgRT5KRMutOC30,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",68.0,"1000 Park Centre Boulevard Suite 110, Miami",
OPERATIONAL,"{'location': {'lat': 25.9367523, 'lng': -80.2448272}, 'viewport': {'northeast': {'lat': 25.9381146302915, 'lng': -80.24347891970848}, 'southwest': {'lat': 25.93541666970849, 'lng': -80.2461768802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Domino's Pizza,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110277321455613874962"">Domino&#39;s Pizza</a>'], 'photo_reference': 'AW30NDx-eG3wb0kxmf8LWuQYl5ISUax1j3URk3O8G3AX5k82UewzLtoPgGfHiMY8B_FwQo_ZrBQzr4B4KVBxw8iLmQ3B-TFr52Q65MCYH1-MTVnMTEEHwXCdWis2AnfFQsw-PYpMtAlYAhx9hKU_mFl_4fP8_dGDqD0HkAqW3V9SSv2kli8Q', 'width': 1080}]",ChIJ3UIXPaWv2YgRWPPExSU6X0w,"{'compound_code': 'WQP4+P3 Carol City, Miami Gardens, FL, USA', 'global_code': '76QXWQP4+P3'}",1.0,3.0,ChIJ3UIXPaWv2YgRWPPExSU6X0w,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",593.0,"17854 Northwest 27th Avenue, Carol City",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 25.9256768, 'lng': -80.2451545}, 'viewport': {'northeast': {'lat': 25.9271084802915, 'lng': -80.24381121970849}, 'southwest': {'lat': 25.9244105197085, 'lng': -80.24650918029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103860424887223121539"">Herve Andrieu</a>'], 'photo_reference': 'AW30NDzgQq9M3lBJLHdDZE1RQ7rLDhZJ4bwYH5kNDDlGWAhyJF1X0In69fZWsk3SrckfTqkGnax_HpbUBodXPnsnYHmdkjQphR31_HCwpaNYlCJMAo1uZWtsCkR3BI3LJmNgFn13r6wjs1MLAxBTcmZqd4qYq0vPirzRJOYDSbr-oUFFndQi', 'width': 4032}]",ChIJtRwtQLiv2YgRNEYjq888SbQ,"{'compound_code': 'WQG3+7W Opa-locka, FL, USA', 'global_code': '76QXWQG3+7W'}",1.0,3.6,ChIJtRwtQLiv2YgRNEYjq888SbQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",148.0,"16650 Northwest 27th Avenue Suite 200, Opa-locka",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 25.9359075, 'lng': -80.2447572}, 'viewport': {'northeast': {'lat': 25.9371799302915, 'lng': -80.2434170697085}, 'southwest': {'lat': 25.9344819697085, 'lng': -80.2461150302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,KFC,,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103860424887223121539"">Herve Andrieu</a>'], 'photo_reference': 'AW30NDy846fsAxz1KbhgcHh6y6IjV3FGannYnjo_2oGiMVuHHx325kamxJL01rCp-YCuO01oTQgguFPacmimzpX5Z5NJqvGkiWQ4TYwlYFCJDufqQNE6OW9FrzCVvwvQI7ELhdCxiS5y3BH6qgwn0peoFSRoQOTm4XQaSIRaNdZ1OvayxgtI', 'width': 4032}]",ChIJfXiIybqv2YgRsg8u0POMhQY,"{'compound_code': 'WQP4+93 Miami Gardens, FL, USA', 'global_code': '76QXWQP4+93'}",1.0,3.4,ChIJfXiIybqv2YgRsg8u0POMhQY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",404.0,"17701 Northwest 27th Avenue, Miami Gardens",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 25.9306112, 'lng': -80.24331550000001}, 'viewport': {'northeast': {'lat': 25.9319563802915, 'lng': -80.2420571197085}, 'southwest': {'lat': 25.9292584197085, 'lng': -80.24475508029153}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,China garden,,"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105270082843842523141"">Huiching Leow</a>'], 'photo_reference': 'AW30NDxGo7c63_hrkNtHE-bDKv8EWS2AC0-wRGnFNildCSjsmOlgA2F_BP00sE4tYakOXQa2SnNLZFcW2zte881FAVcYtBb67O8wIes2ri8lsVRqMRFA7L4JhjIH9GLkurfP8VeF_6bdXJoEAXYMiITYQNs73ziHtUd5QMhCdAcvOUosBkW-', 'width': 1080}]",ChIJzTdbCbqv2YgR2aeGGi-Eh_g,"{'compound_code': 'WQJ4+6M Miami Gardens, FL, USA', 'global_code': '76QXWQJ4+6M'}",,3.7,ChIJzTdbCbqv2YgR2aeGGi-Eh_g,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",87.0,"17207 Northwest 27th Avenue, Miami Gardens",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 25.9352887, 'lng': -80.24470989999999}, 'viewport': {'northeast': {'lat': 25.9366606802915, 'lng': -80.24340776970848}, 'southwest': {'lat': 25.93396271970849, 'lng': -80.2461057302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Licking Miami Gardens,,"[{'height': 671, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105179394872110169888"">The Licking Miami Gardens</a>'], 'photo_reference': 'AW30NDxLVISV2m-4xlXHpzKyShAVlV4qwzUvqcWNxGvC2uney7_GSrzzyl3KUZU4gY467sty8S2FUg8iy42MdXw5B59owtHd5qiw2utRjjNk4yoALuGCJ0AGGmXajnfezygEVNVizdAW2ZTsYv2o9xQH0OMGd9VtZzlZCratniy9OKlcKsBn', 'width': 750}]",ChIJ18B2uLqv2YgRqTRgbjbdk4o,"{'compound_code': 'WQP4+44 Miami Gardens, FL, USA', 'global_code': '76QXWQP4+44'}",2.0,3.8,ChIJ18B2uLqv2YgRqTRgbjbdk4o,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2081.0,"17647 Northwest 27th Avenue, Miami Gardens",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 25.9531391, 'lng': -80.2463148}, 'viewport': {'northeast': {'lat': 25.9544918802915, 'lng': -80.24489356970851}, 'southwest': {'lat': 25.9517939197085, 'lng': -80.24759153029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pollo Tropical,,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103860424887223121539"">Herve Andrieu</a>'], 'photo_reference': 'AW30NDxQAjfvrTJTmnLOUXbd6uDEkdgV90wg2XLQGhMq1GT1vKDZuwOlP2SCbhPBHw22Py-RZn_q-My8JVpRFg3eWORjLFMDyEKSonYxi1oKeE8I2WHoT27A3V97077R5u9CwDAI1SNXrLQdEB6lrsSIdPyK2Znk1yJjBDNiym6y6X5dsBdB', 'width': 4608}]",ChIJmWT34giv2YgR2G8Rrl6_IPE,"{'compound_code': 'XQ33+7F Miami Gardens, FL, USA', 'global_code': '76QXXQ33+7F'}",1.0,3.6,ChIJmWT34giv2YgR2G8Rrl6_IPE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1870.0,"19700 Northwest 27th Avenue, Miami Gardens",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 25.9426303, 'lng': -80.21410499999999}, 'viewport': {'northeast': {'lat': 25.9438860302915, 'lng': -80.21274286970849}, 'southwest': {'lat': 25.9411880697085, 'lng': -80.2154408302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103265168474462873742"">Maxiller Martinez Tovar</a>'], 'photo_reference': 'AW30NDzPAuOJzwJavsKbS7GaB6WE3nRQ4Hvwpk89m3_WB5IM1BW6Pk9vCphSR5O_lQvvb91XQlE-YXLmnlQ2Mge9NaKTJHP-KSa3tVnql_fl7Rd_lUB9qxdc2mEp54E2GCufW4npeQausEFMNzv5hYFc-itVYeMCiFj7mGJHyD3ZsVWApsta', 'width': 3024}]",ChIJD-0W3l6u2YgRZ0ncQ7iNa5U,"{'compound_code': 'WQVP+39 Miami, FL, USA', 'global_code': '76QXWQVP+39'}",1.0,3.8,ChIJD-0W3l6u2YgRZ0ncQ7iNa5U,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",218.0,"701 Northwest 183rd Street, Miami",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 25.9510779, 'lng': -80.2451844}, 'viewport': {'northeast': {'lat': 25.9525682802915, 'lng': -80.2438773697085}, 'southwest': {'lat': 25.9498703197085, 'lng': -80.2465753302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113799756951434998645"">Starbucks</a>'], 'photo_reference': 'AW30NDylAZTrcIl3r4YbAScsLpMi9Dxty_ZmUTgzr3iR7wWr_mN5CzK5WkcJjRKUHRYt4lOJjyCKUlHYZj1FrKqzObJsqeju-YN2NXWPp3sV6lWk17iqzr5jLanwF12QtJdwWGzoN0fhxprItKg6gUFa8kEtOJqYitX8YtamnLTbjpcX_1aC', 'width': 4032}]",ChIJge0w8Qiv2YgRpORPqJdRYkg,"{'compound_code': 'XQ23+CW Miami Gardens, FL, USA', 'global_code': '76QXXQ23+CW'}",2.0,4.0,ChIJge0w8Qiv2YgRpORPqJdRYkg,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",838.0,"19401 Northwest 27th Avenue, Miami Gardens",{'open_now': False}
OPERATIONAL,"{'location': {'lat': 25.9216282, 'lng': -80.253374}, 'viewport': {'northeast': {'lat': 25.9229900802915, 'lng': -80.2517603197085}, 'southwest': {'lat': 25.9202921197085, 'lng': -80.25445828029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Einstein Bros. Bagels,,"[{'height': 700, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117701674237767305244"">Einstein Bros. Bagels</a>'], 'photo_reference': 'AW30NDxrN52XK5fAL4PYAbOOeqMMGdKtq4hucBFAilEgKE3yv_t4-hA_SjLXlJ2YmvmAZNETMsmXxGCgwno2ayPkjyZQfAs_BjWwlpv0TYHPMtX5Xq67uCmHAemKV_v0byY_k6U6HFOuX2_a98AHdwE1o66ZfX-Lrc0badbMGvEv3XaTbZ2H', 'width': 800}]",ChIJ61EQy8Gv2YgRX6lnhNjNAYE,"{'compound_code': 'WPCW+MM Miami Gardens, FL, USA', 'global_code': '76QXWPCW+MM'}",1.0,3.1,ChIJ61EQy8Gv2YgRX6lnhNjNAYE,GOOGLE,"['cafe', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",8.0,"16401 Northwest 37th Avenue, Miami Gardens",{'open_now': False}
