business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,permanently_closed,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours
CLOSED_TEMPORARILY,"{'location': {'lat': 43.0608014, 'lng': -87.95733829999999}, 'viewport': {'northeast': {'lat': 43.0620588302915, 'lng': -87.95601751970848}, 'southwest': {'lat': 43.0593608697085, 'lng': -87.9587154802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,True,"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108578484111341491505"">Ken Gostchock</a>'], 'photo_reference': 'AW30NDzlj04XwB8Fdf7gCbDf0UigqVO7Ig1zHtvWEMgxAxkk7NA0bKV670eAmbRGlkUGcyZ9Hfr6F94bvhaatfeeXHV-KfG69kBYk1M-E54WhwOSpMpXMNNpaA89ELznHMtsbseJGniH-iEsSbc9qKxbHQxXzLmlCt3I6NMqot5jhvZX_iNm', 'width': 1350}]",ChIJyzx46JUbBYgRo6zgZ4KpKdk,"{'compound_code': '326V+83 Milwaukee, WI, USA', 'global_code': '86MJ326V+83'}",1.0,3.8,ChIJyzx46JUbBYgRo6zgZ4KpKdk,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",148.0,"3434 West North Avenue Unit A, Milwaukee",
OPERATIONAL,"{'location': {'lat': 43.06055989999999, 'lng': -87.9753848}, 'viewport': {'northeast': {'lat': 43.06195538029149, 'lng': -87.97404276970849}, 'southwest': {'lat': 43.05925741970849, 'lng': -87.97674073029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,McBob's Pub & Grill,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103364618673870922868"">McBob&#39;s Pub &amp; Grill</a>'], 'photo_reference': 'AW30NDyU4HYJooPEJrU6saFLQjUe_WdGbfsj3Y8BZIra2vgzsdFOHOJw-CQhCCt1l6ZlUqzegvwK3WnOUXgtzS1q85u4mZ5eSbE31vNetphxLf4GbgKduHuVYqPOICA_cwD7IDXAsYxrNkRpRIOXKS4OTaGuGrncGquz1oaxaUClQzcaGn7e', 'width': 4032}]",ChIJq9Yt13QbBYgRsHth6x7UnCo,"{'compound_code': '326F+6R Milwaukee, WI, USA', 'global_code': '86MJ326F+6R'}",1.0,4.4,ChIJq9Yt13QbBYgRsHth6x7UnCo,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2030.0,"4919 West North Avenue, Milwaukee",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 43.067774, 'lng': -87.9765456}, 'viewport': {'northeast': {'lat': 43.0692217302915, 'lng': -87.9751935697085}, 'southwest': {'lat': 43.0665237697085, 'lng': -87.9778915302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Jay's Uptown Cafe,,"[{'height': 2560, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100289400904533691682"">Kelly “Kelz” Melton</a>'], 'photo_reference': 'AW30NDwCHy8Es-S7R2-l_X0kEhNhRa5qCaU0ifUCzGUjdX_E-XooJZHlfsftVut17W40OTvUwB4mDAHtSmb7KUoR7Th4KZC6eMB7GFchdqIhroN-5y6kuL1u6sGBJ8c1jk8iJudW-JyAvDcs7PI6KOtAYqhixd7i7nnHevCzZh-6rwzTyRpe', 'width': 2560}]",ChIJIQURI3cbBYgR4U3xdZ90OMw,"{'compound_code': '329F+49 Milwaukee, WI, USA', 'global_code': '86MJ329F+49'}",,4.3,ChIJIQURI3cbBYgR4U3xdZ90OMw,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",144.0,"5007 West Center Street, Milwaukee",{'open_now': False}
OPERATIONAL,"{'location': {'lat': 43.06038909999999, 'lng': -87.9715607}, 'viewport': {'northeast': {'lat': 43.0617572802915, 'lng': -87.9702518697085}, 'southwest': {'lat': 43.0590593197085, 'lng': -87.97294983029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wendy's,,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114193694948912145070"">Wendy&#39;s</a>'], 'photo_reference': 'AW30NDzJ3EoSLCXaGwB0n6rUdDm0iTqXqCZNBbMRnuDclxCaUQ2UM5Ca_OKQV-ecHbNq5TycSpgaJGj8k_JXIjJJijyldOcoeI0uQfPwL6SpQ3V6y168u09JlrVJt49B99lJb43Qc-2lJFhs1lSiqvP9mbY5DBK8cnsVDf1XN_YtwLNoWiH7', 'width': 720}]",ChIJSxF17Z8bBYgRt_lvzMzmiAs,"{'compound_code': '326H+59 Milwaukee, WI, USA', 'global_code': '86MJ326H+59'}",1.0,3.4,ChIJSxF17Z8bBYgRt_lvzMzmiAs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1308.0,"4601 West North Avenue, Milwaukee",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 43.0605182, 'lng': -87.9660744}, 'viewport': {'northeast': {'lat': 43.06191808029149, 'lng': -87.96472491970849}, 'southwest': {'lat': 43.0592201197085, 'lng': -87.96742288029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Domino's Pizza,,"[{'height': 1253, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107910117448542833088"">Domino&#39;s Pizza</a>'], 'photo_reference': 'AW30NDyox0aEjwXfMHRtrY5m41wXMMLLb9-SP0fmcadiZSTSRaf8klsA-dRHn0ot1om_QNhfICVAWfEdEgCz-zoW6CmhSahMbcg-eda9yPBlL5g9GTY9XzpZbBuDTEpBiK3VK7ee9exGjA4gW700bYvYOEcV580zVaM5ns0s_ZHccCeGfJ0J', 'width': 1080}]",ChIJe-0zvJgbBYgRJtUsIh5Lee8,"{'compound_code': '326M+6H Milwaukee, WI, USA', 'global_code': '86MJ326M+6H'}",1.0,3.3,ChIJe-0zvJgbBYgRJtUsIh5Lee8,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",480.0,"4221 West North Avenue, Milwaukee",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 43.0607445, 'lng': -87.9697683}, 'viewport': {'northeast': {'lat': 43.06203678029149, 'lng': -87.9684201697085}, 'southwest': {'lat': 43.05933881970849, 'lng': -87.9711181302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tricklebee Cafe,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106052854230122780625"">Paul Runnoe</a>'], 'photo_reference': 'AW30NDxiXQ3_Mlssvj7Tmq9TbnapaYdGbizlA6eaFgbtmUUHBj2vU6QyPFUZZ4elT5tGnUfZLSIH9QKCpx-tN1bIvUhahfHVxG7vgNYiKm8V3gz845TzLjXHn9_2oMNisK6OWpN2XGdxoSpeKILwxI2JBCvhjm1-jX0bP7LxkhxI3kcFSyqK', 'width': 4032}]",ChIJw90scp8bBYgRemPhjwTmlOk,"{'compound_code': '326J+73 Milwaukee, WI, USA', 'global_code': '86MJ326J+73'}",1.0,4.8,ChIJw90scp8bBYgRemPhjwTmlOk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",135.0,"4424 West North Avenue, Milwaukee",{'open_now': False}
OPERATIONAL,"{'location': {'lat': 43.060534, 'lng': -87.97837799999999}, 'viewport': {'northeast': {'lat': 43.06194758029149, 'lng': -87.9770314697085}, 'southwest': {'lat': 43.0592496197085, 'lng': -87.97972943029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,China Town Restaurant,,"[{'height': 1740, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104110205251173492031"">Dave Shapiro</a>'], 'photo_reference': 'AW30NDwiqyjO0NdJF1sprc1iTTSoTyJByJOC7uQqiHd0KFULxNcTPBbiV8OI799xyojs_XkWgVdK0HzumuOArzSoAJT3CDdIdkuxp4nb5eqYiKnQWX9yu7MD0wt1WJyibjpKvsRx5jvFhV_5fmv2iV9cf3xuel6vwqMbckXPEB2IhC0Xf_BZ', 'width': 2727}]",ChIJVdXbSHMbBYgRBDv_gfTDzH0,"{'compound_code': '326C+6J Milwaukee, WI, USA', 'global_code': '86MJ326C+6J'}",1.0,4.2,ChIJVdXbSHMbBYgRBDv_gfTDzH0,GOOGLE,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",364.0,"5125 West North Avenue, Milwaukee",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 43.0711288, 'lng': -87.988089}, 'viewport': {'northeast': {'lat': 43.0725689802915, 'lng': -87.98677911970849}, 'southwest': {'lat': 43.0698710197085, 'lng': -87.98947708029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,JJ fish & Chicken,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110049409115304935714"">MICHAEL M.</a>'], 'photo_reference': 'AW30NDyIDLJm7d1GVcQ8bAYbg6UErL80YgSavCHKFLu3kXTgR9TIQCPKkIitD6dH-q461dFTVr0q4oj8nVGE436soXZ5tbJGBaKQ2uPw3wRav5DJr5SgxkIevyRi12yEjtkHlOsYtMLWKbjZKl47ZY5ZrUGfT4ZEwLhN5y8eySgBK4z3XR6T', 'width': 3000}]",ChIJXXqIDx4bBYgRPz1UhKVKqDQ,"{'compound_code': '32C6+FQ Milwaukee, WI, USA', 'global_code': '86MJ32C6+FQ'}",1.0,4.0,ChIJXXqIDx4bBYgRPz1UhKVKqDQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",618.0,"6005 West Appleton Avenue, Milwaukee",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 43.06767719999999, 'lng': -87.960646}, 'viewport': {'northeast': {'lat': 43.0691460802915, 'lng': -87.95929616970848}, 'southwest': {'lat': 43.0664481197085, 'lng': -87.9619941302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Ritz Fish Market,,,ChIJvWGwTZAbBYgRCsWgUNt12rU,"{'compound_code': '329Q+3P Milwaukee, WI, USA', 'global_code': '86MJ329Q+3P'}",,3.9,ChIJvWGwTZAbBYgRCsWgUNt12rU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",8.0,"3729 West Center Street, Milwaukee",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 43.0608865, 'lng': -87.987368}, 'viewport': {'northeast': {'lat': 43.0621427802915, 'lng': -87.98602406970849}, 'southwest': {'lat': 43.0594448197085, 'lng': -87.98872203029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mekong Cafe,,"[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107677300664948942319"">Mekong Cafe</a>'], 'photo_reference': 'AW30NDxmZma9nIg-ETIhIYQOa7fRAzOBLhaFaJT_e5GGRvpNb9chzF7OzeDsqfACxZCBZri4HlYZpCdMw4BAHvzWxn8xQZXAQUz2-Rwkbq8-K_3HGwjfukNe7K4gUu2uT4XGtANN30i37RvjVhsyNVjtricwIBaiDPGGyMZuNhhCW1rr9eE1', 'width': 1080}]",ChIJwwk9p2wbBYgRL24uekDir3M,"{'compound_code': '3267+93 Milwaukee, WI, USA', 'global_code': '86MJ3267+93'}",2.0,4.4,ChIJwwk9p2wbBYgRL24uekDir3M,GOOGLE,"['grocery_or_supermarket', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",618.0,"5930 West North Avenue, Milwaukee",{'open_now': True}
