business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 25.9804061, 'lng': -80.3369274}, 'viewport': {'northeast': {'lat': 25.9816466802915, 'lng': -80.3355774697085}, 'southwest': {'lat': 25.97894871970849, 'lng': -80.3382754302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108745148131835228386"">Vinothkumar Deivasigamani</a>'], 'photo_reference': 'AW30NDw-QNxRH6gvhRqKmovPDKvdOkHSGhXb3bfMT4yJqbIZ4Ja3XkuvzQN7r5iTd2hlZhNIiLPmYQbFF9GlwmwiHkgKkhIXH5ziIcUBLUlHFNCWDSjacLgIH0J5TTOmICUNXF9PniCSBBzmeV12Ml6kiNUioVIwCJ-pLmmAdaJvwHo7OHkO', 'width': 4608}]",ChIJHWYYuTik2YgRdODKMmUFjT0,"{'compound_code': 'XMJ7+56 Miramar, FL, USA', 'global_code': '76QXXMJ7+56'}",1.0,3.5,ChIJHWYYuTik2YgRdODKMmUFjT0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",61.0,"14341 Miramar Parkway Store No B-5, Miramar",
OPERATIONAL,"{'location': {'lat': 25.9826732, 'lng': -80.3531189}, 'viewport': {'northeast': {'lat': 25.9839434302915, 'lng': -80.3518865697085}, 'southwest': {'lat': 25.9812454697085, 'lng': -80.35458453029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Bokamper's Sports Bar & Grill,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116319336291026179358"">miraldo garcia</a>'], 'photo_reference': 'AW30NDwq6EQP66DFp9klB6DW3k4-5d9qA5y-qVrk9UxHy8rrzUvmqET-5XErFIGx87lhkF9SoKYmKVKkh3xDcAVgsiy5FF3SlrOyUu3qcUsL9hn8okoXByztAFKWYMnkFAFsf71xSoYOQ8g0OkdqNFdqUk1cUvpevCmNg5OMA4j9W6wJ3RYf', 'width': 4032}]",ChIJyy9nQRKk2YgRqdt4UuJKyPE,"{'compound_code': 'XJMW+3Q Miramar, FL, USA', 'global_code': '76QXXJMW+3Q'}",2.0,4.0,ChIJyy9nQRKk2YgRqdt4UuJKyPE,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2480.0,"15500 Southwest 29th Street, Miramar",
OPERATIONAL,"{'location': {'lat': 25.979583, 'lng': -80.317054}, 'viewport': {'northeast': {'lat': 25.9808548302915, 'lng': -80.31569406970848}, 'southwest': {'lat': 25.9781568697085, 'lng': -80.31839203029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Nami Sushi,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104615000894630734858"">Mariale Padrino</a>'], 'photo_reference': 'AW30NDymseQl99FOKUEQ2uTIgTXT2VfAr3lSopwfTtS48GW2FoaExCLbixCEWbWowdswLT7UTEx8m7RVoVABe5L8DmtCvCWG8OfxmZ1E51on-tkXp_RlyLk26AvA9i69ntuFfFQSfxDAzT0j5uYsvsDoRC1VOBElJ87qBL67LpYw3HK5Ven2', 'width': 3024}]",ChIJh5_2eMml2YgRBlTtPfh37Io,"{'compound_code': 'XMHM+R5 Miramar, FL, USA', 'global_code': '76QXXMHM+R5'}",2.0,4.2,ChIJh5_2eMml2YgRBlTtPfh37Io,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",383.0,"12711 Miramar Parkway, Miramar",
OPERATIONAL,"{'location': {'lat': 25.97915799999999, 'lng': -80.341494}, 'viewport': {'northeast': {'lat': 25.9804467302915, 'lng': -80.3401522697085}, 'southwest': {'lat': 25.97774876970849, 'lng': -80.3428502302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105467685234590874106"">Jimm Sansabrino</a>'], 'photo_reference': 'AW30NDyiTysMnevF_ukBPOERyKPOGwNcOGSzcwfdudjPEUuuLM3FJ-xXxqApFBC-AtbMuprS-gJIIom521g5fBDfVWZRGg5ksPkZt-j2ysOuyH7Fm9U39zm02osJ5cXEiRWGThZcxiQYOO7SMNKVKwi7CMlZ1HyFD9sLXlZpxKCMEXnUcqRh', 'width': 4032}]",ChIJNdEXkz-k2YgR9W3U4wS1cX8,"{'compound_code': 'XMH5+MC Miramar, FL, USA', 'global_code': '76QXXMH5+MC'}",2.0,4.1,ChIJNdEXkz-k2YgR9W3U4wS1cX8,GOOGLE,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",625.0,"14673 Miramar Parkway, Miramar",
OPERATIONAL,"{'location': {'lat': 25.9792538, 'lng': -80.3412781}, 'viewport': {'northeast': {'lat': 25.9804955302915, 'lng': -80.33996066970849}, 'southwest': {'lat': 25.9777975697085, 'lng': -80.34265863029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tijuana Flats,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103860424887223121539"">Herve Andrieu</a>'], 'photo_reference': 'AW30NDz2qRMEkJtx_OwX4igHoKBlsah01HQGow7lLLhehEqrzJMFFAh755zvMw1S6oHmswzrCUmImxKqUJ9-pX1xGy7vXo1WaPAxuIWx5tY0kcmqu311EyQP1UG58D7L2iJJBiHTy8MxFmZRg8oqz4OKJtrZS2KZahYw8g1Qhnxom5xRtyEk', 'width': 2268}]",ChIJ5fyhcT-k2YgRpC6_BAepb7Y,"{'compound_code': 'XMH5+PF Miramar, FL, USA', 'global_code': '76QXXMH5+PF'}",1.0,4.3,ChIJ5fyhcT-k2YgRpC6_BAepb7Y,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",798.0,"14633 Miramar Parkway, Miramar",
OPERATIONAL,"{'location': {'lat': 25.9804183, 'lng': -80.33658249999999}, 'viewport': {'northeast': {'lat': 25.9816594302915, 'lng': -80.33524581970849}, 'southwest': {'lat': 25.9789614697085, 'lng': -80.3379437802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Dunkin',{'open_now': True},"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111244280735761136394"">Platano Marc</a>'], 'photo_reference': 'AW30NDysInrLcT_Jw106TtsoDbFVq2mXGXY1DWKX8o9ShyqYuMWRRsFOb6NCoyHphOw3OOPp_2ux5n28lW6qamsjDRFVq2vtiAL8quXk_3YhWNAGtqbYmANfHRjxcOdR0vLFUR4p-VFBjRao4F_xoH6J2zoKmqtPkwooYulog2EMAQO9-eDj', 'width': 3840}]",ChIJseL4lDik2YgROW5fNo1opxk,"{'compound_code': 'XMJ7+59 Miramar, FL, USA', 'global_code': '76QXXMJ7+59'}",1.0,4.0,ChIJseL4lDik2YgROW5fNo1opxk,GOOGLE,"['cafe', 'bakery', 'meal_takeaway', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",338.0,"14305 Miramar Parkway, Miramar",
OPERATIONAL,"{'location': {'lat': 25.9762803, 'lng': -80.349428}, 'viewport': {'northeast': {'lat': 25.9774411302915, 'lng': -80.34817646970849}, 'southwest': {'lat': 25.9747431697085, 'lng': -80.3508744302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Dougs Cafe,{'open_now': True},,ChIJ76LNaGuk2YgRnrf8SgqyMc0,"{'compound_code': 'XMG2+G6 Miramar, FL, USA', 'global_code': '76QXXMG2+G6'}",,5.0,ChIJ76LNaGuk2YgRnrf8SgqyMc0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,"3400 Lakeside Drive #101, Miramar",
OPERATIONAL,"{'location': {'lat': 25.979375, 'lng': -80.344929}, 'viewport': {'northeast': {'lat': 25.9807151302915, 'lng': -80.3436678697085}, 'southwest': {'lat': 25.9780171697085, 'lng': -80.3463658302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pollo Tropical,{'open_now': True},"[{'height': 4008, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104730110977044590053"">Narces Rico</a>'], 'photo_reference': 'AW30NDze-43ydGwJm93NxIenluylGA28bUejtGSPFTZPhlJIcmG7J9lQH7CdXalQTSOdcQTbtSqi53_coP9DUs8mMQqVStpWhkT7IXvO6kAiiGg79bpvpAAOp9cdBVKOU6eGs5U_mPPU1OWUdUeJHzknrUk_lGL-0lpGFw2JVf5D1RyHUTqB', 'width': 5344}]",ChIJX7znKBWk2YgRS4Iy098hWyI,"{'compound_code': 'XMH4+Q2 Miramar, FL, USA', 'global_code': '76QXXMH4+Q2'}",1.0,3.7,ChIJX7znKBWk2YgRS4Iy098hWyI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1278.0,"14880 Southwest 31st Street, Miramar",
OPERATIONAL,"{'location': {'lat': 25.9803181, 'lng': -80.3366866}, 'viewport': {'northeast': {'lat': 25.98160813029151, 'lng': -80.3353338197085}, 'southwest': {'lat': 25.9789101697085, 'lng': -80.3380317802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Sal's Italian Ristorante,{'open_now': True},"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111244280735761136394"">Platano Marc</a>'], 'photo_reference': 'AW30NDynuiGZ5a-57uzCzh3fh-0rd06-o9f1eJHHe3y6Lx-OkE375l5vY5z7lx433I79zAFzAegYg2YPNiaSZB_QgkAZS3TkAghDuV5SjHZMmcvJJMEcIl4WaQ7aVnNQBS5VxyoraRzBo9ISMqaQeSItQtfE3XLpe_0dhxro3HBHEjMvK9Ve', 'width': 3840}]",ChIJcd8qvjik2YgR5sivmJwj3_A,"{'compound_code': 'XMJ7+48 Miramar, FL, USA', 'global_code': '76QXXMJ7+48'}",2.0,3.9,ChIJcd8qvjik2YgR5sivmJwj3_A,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",398.0,"14317 Miramar Parkway, Miramar",
OPERATIONAL,"{'location': {'lat': 25.9805748, 'lng': -80.35457889999999}, 'viewport': {'northeast': {'lat': 25.9819716802915, 'lng': -80.35332916970849}, 'southwest': {'lat': 25.97927371970849, 'lng': -80.35602713029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Benihana,{'open_now': True},"[{'height': 388, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111066497114670910347"">Benihana</a>'], 'photo_reference': 'AW30NDxsnNN-Vmwa5ZdRzAc_1qbTBlb6uKhtF8STV-P15H7gnna6fGaJMofBmSxbAyDL6usiezVt_2NM0-_gvT773rPcAZ89TvYaWUMXjOJjXrfZTZcod-hu8Tkza0M6n74Ms6JiTi_DD_hpmYuFj0cpzjTROAOzb5gx_19NIiXlfPWUu5E0', 'width': 695}]",ChIJX42RYQ2k2YgR8qb2wqVMbVk,"{'compound_code': 'XJJW+65 Miramar, FL, USA', 'global_code': '76QXXJJW+65'}",3.0,4.1,ChIJX42RYQ2k2YgR8qb2wqVMbVk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2699.0,"3261 Southwest 160th Avenue, Miramar",
