business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 30.6618364, 'lng': -88.1245561}, 'viewport': {'northeast': {'lat': 30.6633359802915, 'lng': -88.12337126970849}, 'southwest': {'lat': 30.6606380197085, 'lng': -88.1260692302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111378456165717699084"">Brandi Marino</a>'], 'photo_reference': 'AW30NDwPWihRTdkP5ZGjk1Sf486-RPl7CJVQvhYHEhS4yH3vfOt1aCWkKVnfE5blnEdO2EykXY6ew354TJB2A2fIjhxtPoLOnjrQ_BbgBUkYfa8nmfzykisls-PUmFq_8RpESlLzespsuweEI4gnPM8SEDfM8-FQZnHD6XnRuqWVWmKiTg60', 'width': 5312}]",ChIJD3P8zKhNmogRt_-UgZtB6OA,"{'compound_code': 'MV6G+P5 Mobile, AL, USA', 'global_code': '862HMV6G+P5'}",1.0,3.9,ChIJD3P8zKhNmogRt_-UgZtB6OA,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",137.0,"3361 Cottage Hill Road Suite C, Mobile",
OPERATIONAL,"{'location': {'lat': 30.6886114, 'lng': -88.1317341}, 'viewport': {'northeast': {'lat': 30.68985818029149, 'lng': -88.13035151970848}, 'southwest': {'lat': 30.6871602197085, 'lng': -88.1330494802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jimmy John's,{'open_now': True},"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100636256061429088942"">Harley Dree (The Hudson Path)</a>'], 'photo_reference': 'AW30NDwHJhxHCklcoULLW0ciM0aBpokebVzaDt7zJkgevSFW6n_bRctuHgzZrL9Fbk2NFKAx-C3LDy6nqELmfLfDWccMsKblre0PnH_TmfI1sQKiM2ook7vuWLSkIKyyunSY2w4BsVuz4FKIYLTXiE0gPf0CEcdsuvGkegzK0jdJDSuvxPVT', 'width': 2448}]",ChIJj8dYs3lNmogRtaQ2buPbcmM,"{'compound_code': 'MVQ9+C8 Mobile, AL, USA', 'global_code': '862HMVQ9+C8'}",1.0,3.8,ChIJj8dYs3lNmogRtaQ2buPbcmM,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",115.0,"9 Du Rhu Drive Suite 320, Mobile",
OPERATIONAL,"{'location': {'lat': 30.6754334, 'lng': -88.136772}, 'viewport': {'northeast': {'lat': 30.6768365302915, 'lng': -88.13541836970849}, 'southwest': {'lat': 30.6741385697085, 'lng': -88.1381163302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116651808336007438678"">Me</a>'], 'photo_reference': 'AW30NDxs22Fe6tfeSpDP5p9fQxGjzsA5KSR8lf-UgfC722BHcaDw4Of2oSqMD-SK-_BEWXxWYBtQ6HwDm3uUPfHyXMqCN45PbTcFBTsRXUns5B8x9C1nf4X0ytGhdieBUQQ9MSGGO7HFbk_LdpyMcJ86qopaubfNeH-81QA9cEeObReVpWV6', 'width': 4032}]",ChIJrwPgU3NNmogRfTJ-ZQE7U7c,"{'compound_code': 'MVG7+57 Mobile, AL, USA', 'global_code': '862HMVG7+57'}",1.0,4.3,ChIJrwPgU3NNmogRfTJ-ZQE7U7c,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",71.0,"3725 Airport Boulevard Suite 100E, Mobile",
OPERATIONAL,"{'location': {'lat': 30.6885683, 'lng': -88.11743829999999}, 'viewport': {'northeast': {'lat': 30.6900969302915, 'lng': -88.11606046970849}, 'southwest': {'lat': 30.6873989697085, 'lng': -88.11875843029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2085, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118112804401510563020"">Andrea S</a>'], 'photo_reference': 'AW30NDyCBt4C3VzAvc2SHGg2cxERl4ZcpeJ15yqEVk_yZeXVXdimdcSuvR1_9AK6Dro41uY1ICV4InaneWhHPGn5JAPouoyuA-EMtxhLxOplNSEbvKapHYr1PyWhW9anaD3jDGKHCZdYZp14EPiBeQdd14mdI0OFPAxYDTWW_2k-twnEGFv9', 'width': 3024}]",ChIJd9C0q49NmogRAr8bviLARBY,"{'compound_code': 'MVQM+C2 Mobile, AL, USA', 'global_code': '862HMVQM+C2'}",1.0,3.7,ChIJd9C0q49NmogRAr8bviLARBY,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",122.0,"3067 Dauphin Street, Mobile",
OPERATIONAL,"{'location': {'lat': 30.6921031, 'lng': -88.0702074}, 'viewport': {'northeast': {'lat': 30.6935172302915, 'lng': -88.0688616697085}, 'southwest': {'lat': 30.6908192697085, 'lng': -88.07155963029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112794252444146802872"">H McGuire</a>'], 'photo_reference': 'AW30NDwxJavgHIgP20JH6XW_ugtAWsUizZfORqRIQkpJZ95_Jpqi6PUyxn6adCdSR6ti155MPrAuwl72-KrmawS2rzQ7h0_C7ax3qBqMmnHcDo3-f-ad1dLXBvjRR-yKjUqo6TduaDKGEoTChr56vG24K8sgauXYb7U4svg56X2_RA6v8AyD', 'width': 1920}]",ChIJW7bZ_iFOmogRJiy-LoG8fNQ,"{'compound_code': 'MWRH+RW Mobile, AL, USA', 'global_code': '862HMWRH+RW'}",1.0,3.9,ChIJW7bZ_iFOmogRJiy-LoG8fNQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",319.0,"1411 SpringHill Avenue, Mobile",
OPERATIONAL,"{'location': {'lat': 30.67724070000001, 'lng': -88.083776}, 'viewport': {'northeast': {'lat': 30.6786631802915, 'lng': -88.08241531970849}, 'southwest': {'lat': 30.67596521970851, 'lng': -88.0851132802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106761705062004725920"">Shaqkayla Jones</a>'], 'photo_reference': 'AW30NDxhedJAJvRzVTP1Rdw9AZQXjvMgpy7HE-u-AO34HcC3yj9G-z2dQ6QwC3yzMLgt0jdNnxH5SYLHDFTH77KKeftP2RXXH7UaXZcPviz1mCP7jSvCIY1PbftpELYAPSs6COH8g9at7SipWl4Im97_V6xCeBX8sIXeP5K9Zy-wh_GXTkI8', 'width': 4032}]",ChIJbZwMiAxOmogRncgXhraz6fg,"{'compound_code': 'MWG8+VF Mobile, AL, USA', 'global_code': '862HMWG8+VF'}",1.0,3.8,ChIJbZwMiAxOmogRncgXhraz6fg,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",76.0,"1870 Government Street, Mobile",
OPERATIONAL,"{'location': {'lat': 30.6815342, 'lng': -88.0735464}, 'viewport': {'northeast': {'lat': 30.6827763802915, 'lng': -88.07219936970849}, 'southwest': {'lat': 30.6800784197085, 'lng': -88.0748973302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 812, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107890179722553770668"">Papa Johns Pizza</a>'], 'photo_reference': 'AW30NDzu3NOGZcaZU91mDjP_RIJTrBjfJs1zdjO9mnNXCrEEcKGfzflGHBHI_WJLAAL1vggTrHo5Y3kKMP4zh9p7i23Uqa0P6GMbu-_am9rvpJ2DZNwfWSR70GzprzJfBvZvWrCFIcJJW4rVj5WkC22uV9FmTT12vQg8ncfotwcnwQySe-ya', 'width': 1444}]",ChIJd2RKfxJOmogRs165WmqKERk,"{'compound_code': 'MWJG+JH Mobile, AL, USA', 'global_code': '862HMWJG+JH'}",1.0,3.7,ChIJd2RKfxJOmogRs165WmqKERk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",131.0,"1500 H, Government Street Ste H, Mobile",
OPERATIONAL,"{'location': {'lat': 30.6771231, 'lng': -88.0904063}, 'viewport': {'northeast': {'lat': 30.67852478029149, 'lng': -88.08905886970848}, 'southwest': {'lat': 30.6758268197085, 'lng': -88.0917568302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Ruth's Chris Steak House,{'open_now': True},"[{'height': 289, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118203488216340915845"">Ruth&#39;s Chris Steak House</a>'], 'photo_reference': 'AW30NDz6qeM7aEyT82egA6zJUFYp-pWtjWncnEoXXl8YJHgp-7jF5m8K7BErYBvbf_UgwS7PRX11MPfurryLfHTxGrpQv6bHlqNeglr-EKRCV95XaUFGPX7MOhJbXdnx5qILkXvikC6e4ErSxhjpsM9kKOhSAFE1CaRjg6WXfDug80zUKo3y', 'width': 503}]",ChIJuQbnlwpOmogRXMGleYmb40U,"{'compound_code': 'MWG5+RR Mobile, AL, USA', 'global_code': '862HMWG5+RR'}",4.0,4.4,ChIJuQbnlwpOmogRXMGleYmb40U,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",641.0,"2058 Airport Boulevard, Mobile",
OPERATIONAL,"{'location': {'lat': 30.67542589999999, 'lng': -88.145341}, 'viewport': {'northeast': {'lat': 30.6768053802915, 'lng': -88.1441489697085}, 'southwest': {'lat': 30.6741074197085, 'lng': -88.1468469302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Carrabba's Italian Grill,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113372807195704297765"">King Champion Entrepreneur Ratheal</a>'], 'photo_reference': 'AW30NDyK2-cn2ggEBzeAw43zSIQEYSr-KAqkPplfUZDrX7vF8BtXzGBqxPiuIk8vxDjROzGvTOl7UOJC53Fqj-qzKNB-DiP_omzbHZPuYmdbSKK-BxyTZLtNUedjPeEAbR9Ctt1r3s5K1ruBpSiLM0CaGl0B6oSaSyJ0Hta2uvp3J7raPph1', 'width': 4000}]",ChIJIaS5zBRNmogRbiW8GvV5peM,"{'compound_code': 'MVG3+5V Mobile, AL, USA', 'global_code': '862HMVG3+5V'}",2.0,4.3,ChIJIaS5zBRNmogRbiW8GvV5peM,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1336.0,"3917 Airport Boulevard, Mobile",
OPERATIONAL,"{'location': {'lat': 30.6782255, 'lng': -88.1259103}, 'viewport': {'northeast': {'lat': 30.67948438029149, 'lng': -88.1246712197085}, 'southwest': {'lat': 30.6767864197085, 'lng': -88.12736918029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Logan's Roadhouse,{'open_now': True},"[{'height': 489, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100475031837445513203"">Jaylyn Dodger</a>'], 'photo_reference': 'AW30NDwcQHQRwlOridZ1EttWHwWsBLljh-0ZPS4LzlaS249vOs192KZOdygzoV7f8NgowgDIhTcCkVBG9uavsvgSdL23-_dYU3aPaa0x2332D2WXqqD6K_f4mGIQxUc-ZJhZWptkDLImtSVNOPLfl_pfKNfBoD8gVxeT_WXy8c5kOJYl1j2p', 'width': 720}]",ChIJ34d2yphNmogRqUgzft4rJzo,"{'compound_code': 'MVHF+7J Mobile, AL, USA', 'global_code': '862HMVHF+7J'}",2.0,3.8,ChIJ34d2yphNmogRqUgzft4rJzo,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1172.0,"3250 Airport Road, Mobile",
