business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 37.6405191, 'lng': -121.0000764}, 'viewport': {'northeast': {'lat': 37.64182598029149, 'lng': -120.9987972197085}, 'southwest': {'lat': 37.63912801970849, 'lng': -121.0014951802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110954496847000830497"">BATERISTA MARIO HERNANDEZ</a>'], 'photo_reference': 'AW30NDxU9HjQIKOdQFuROrHqPxn2G0m5XPJ4bPX1mW6b0oDBRygD3rXuJRXDGfU_CR5evoeF7GT1N6tJHouI-yv2XQbu05_2BhlwW7k67h2I0p4Y1a_LVrt7VljZIjRhXrE3QD_XKfXCbyHvrrdnUPRBNguMgTy7Y9C2zL4FMYvFjXZg3KdZ', 'width': 4160}]",ChIJwW1IpJJTkIARRymJ1N2CsYQ,"{'compound_code': 'JXRX+6X Modesto, CA, USA', 'global_code': '849WJXRX+6X'}",1.0,4.1,ChIJwW1IpJJTkIARRymJ1N2CsYQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",98.0,"950 10th Street Suite 6, Modesto",
OPERATIONAL,"{'location': {'lat': 37.64544000000001, 'lng': -121.0183959}, 'viewport': {'northeast': {'lat': 37.6468795802915, 'lng': -121.0170368197085}, 'southwest': {'lat': 37.6441816197085, 'lng': -121.0197347802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110747947525471101442"">Ashraf Alkiesoum</a>'], 'photo_reference': 'AW30NDzjLAbdUwka-qKRn5KNx6hawvQMEl-stZJWhSOTtZVI-7iCPuSmdOHuz_nH-nNuODX3hFgjC7INCGs7ClarUc0wBnnvVlV5g5VLVtg9sSSmSDbNU26jZWDuudce7FjE2hZbo9wHZsGSVZZWJmOPQh5I8qYtzHxhWi4S5vfnJV_xGlGV', 'width': 4032}]",ChIJn9oxJdtTkIARQGFidn1uIkY,"{'compound_code': 'JXWJ+5J Modesto, CA, USA', 'global_code': '849WJXWJ+5J'}",2.0,4.2,ChIJn9oxJdtTkIARQGFidn1uIkY,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",784.0,"820 Kansas Avenue, Modesto",
OPERATIONAL,"{'location': {'lat': 37.6414431, 'lng': -120.9993641}, 'viewport': {'northeast': {'lat': 37.6427507302915, 'lng': -120.9979198197085}, 'southwest': {'lat': 37.6400527697085, 'lng': -121.0006177802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Galletto Ristorante,{'open_now': False},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116628017237318634822"">Joseph Nguyen</a>'], 'photo_reference': 'AW30NDzYuYpvEsLrIex0tuEFkmgjvV9BhSmoM_Siwcj8Km-zW65Zgq3Xg64Fk1m0e7XdWFsG_sJ8kuQioiqubqKl616ya3bF-pB2IUp2iU2Gyasc28tadLI9HDWu-hXZsS6HxAAkzuTUxQuqOoJH6IUWlGYUs6KXK57snLGAMJwkOmEfen_N', 'width': 1620}]",ChIJSeo_We1TkIARPE1KWGL1Ies,"{'compound_code': 'J2R2+H7 Modesto, CA, USA', 'global_code': '849XJ2R2+H7'}",3.0,4.5,ChIJSeo_We1TkIARPE1KWGL1Ies,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",591.0,"1101 J Street, Modesto",
OPERATIONAL,"{'location': {'lat': 37.6080463, 'lng': -120.9673522}, 'viewport': {'northeast': {'lat': 37.60952208029149, 'lng': -120.9660042697085}, 'southwest': {'lat': 37.6068241197085, 'lng': -120.9687022302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118157142846826414866"">Fam Gaming</a>'], 'photo_reference': 'AW30NDzEdeWAnunQvf-APY6sXxkm7782SdwLVnGmTj6whUhcKwdWhBtWVA2TzA0gxQlhQSk-GjHwSjOoG28CfhtI99s5RIeDUjWRv4zfsStBH2I3SjC50GhXnmZwIe9hm8AH2l7ZPx1Jw-IbjUQcTx907qOiLrtIa5RtS82MB3H3U1bQDHt5', 'width': 4160}]",ChIJRf_w5L5UkIARiBC6oqQaCos,"{'compound_code': 'J25M+63 Modesto, CA, USA', 'global_code': '849XJ25M+63'}",1.0,3.8,ChIJRf_w5L5UkIARiBC6oqQaCos,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",98.0,"1630 East Hatch Road Suite F, Modesto",
OPERATIONAL,"{'location': {'lat': 37.6646314, 'lng': -120.976276}, 'viewport': {'northeast': {'lat': 37.6659806302915, 'lng': -120.9747928697085}, 'southwest': {'lat': 37.6632826697085, 'lng': -120.9774908302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101686942797215890950"">Mary</a>'], 'photo_reference': 'AW30NDwHfq2IHP00-_tqEjEcFJ8WoVSb9i28d0ZWJoZu5fDL-6DBh-WfBaLuJp_ALnPt3Zt5sXXeM6Zo1fkSYP4gkrEbwmnhFFfJqVoZenVvBlO7x-LR2Wcz8y6PVKjh8pRP5xwJSovaMVVdGWZPVhDRwtgie5WTgrcLSnO9KkINxKIy3PQd', 'width': 5312}]",ChIJbXvG1wJUkIARUcvN09z6WqU,"{'compound_code': 'M27F+VF Modesto, CA, USA', 'global_code': '849XM27F+VF'}",1.0,3.9,ChIJbXvG1wJUkIARUcvN09z6WqU,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",63.0,"1421 Coffee Road Suite G, Modesto",
OPERATIONAL,"{'location': {'lat': 37.6444355, 'lng': -120.9954818}, 'viewport': {'northeast': {'lat': 37.64571138029149, 'lng': -120.9940504197085}, 'southwest': {'lat': 37.6430134197085, 'lng': -120.9967483802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Dewz Restaurant,{'open_now': False},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109052714733952428213"">Kirk Brown</a>'], 'photo_reference': 'AW30NDw5RyjyPR4NRRMT6p6IBcWVC6EcmlsfACIZuACch-zAAwwmEO6ZeLVZt4ChLSgsjnhbQ8AAufvYc9_Ksjf79ZZtzdol13KnaFZ9gGtbwUHUvT96X-3nUlSwJuElSLjkYz4XHO-WcLXWEOzdkM5MJ93BVe4M69-h8LuyQ2zXIEvz5zKU', 'width': 1920}]",ChIJEQJeRI1TkIARZilWImnjbTk,"{'compound_code': 'J2V3+QR Modesto, CA, USA', 'global_code': '849XJ2V3+QR'}",3.0,4.6,ChIJEQJeRI1TkIARZilWImnjbTk,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",409.0,"1505 J Street, Modesto",
OPERATIONAL,"{'location': {'lat': 37.64764999999999, 'lng': -121.03193}, 'viewport': {'northeast': {'lat': 37.6491345802915, 'lng': -121.0304697197085}, 'southwest': {'lat': 37.6464366197085, 'lng': -121.0331676802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mountain Mike's Pizza,{'open_now': True},"[{'height': 805, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116043860368466172403"">Mountain Mike&#39;s Pizza</a>'], 'photo_reference': 'AW30NDyl0F8BMjLqa9QZkWQJMaN7mbsINaioVTrvgGhHXBV3WYWfv_TrfDb7xfhGTV7dITYrilGsNq6DM-E4eiTVGUIVEUpIoG_iCAIWNxh-qqjpjs2cix4E2hbzig2Q1Pj339n_e0SNmhOnRk2t6qc0tUY3TLiwsPQBQwUdMgyikk_pkoPj', 'width': 1431}]",ChIJY-jb39RTkIARAcq-GzwuUMY,"{'compound_code': 'JXX9+36 Modesto, CA, USA', 'global_code': '849WJXX9+36'}",2.0,3.8,ChIJY-jb39RTkIARAcq-GzwuUMY,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",320.0,"901 North Carpenter Road Suite 40, Modesto",
OPERATIONAL,"{'location': {'lat': 37.6438045, 'lng': -121.02971}, 'viewport': {'northeast': {'lat': 37.64515308029151, 'lng': -121.0284848197085}, 'southwest': {'lat': 37.64245511970851, 'lng': -121.0311827802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Michael's Pizza Bar and Grill,{'open_now': False},"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115693298549985980615"">Kyle Cunningham</a>'], 'photo_reference': 'AW30NDxKSN26ees4VbN7s0oXdCkV-gRrHS4Ptyh9XnnXSoNuDc_40pkL4nYVHY7GdHVMpNrikXtJf-74d4a89-keD4gqXyIb96aauBkz4lJNe5pb3iOBG60SdjgDyMtkFNCvzFFOcAj509P_XXX6tsa23GvI_Z_UTo0LoB6_YLOv6KKnfXQr', 'width': 4048}]",ChIJyxRpTNJTkIARva8YTr1I4QY,"{'compound_code': 'JXVC+G4 Modesto, CA, USA', 'global_code': '849WJXVC+G4'}",2.0,4.6,ChIJyxRpTNJTkIARva8YTr1I4QY,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1020.0,"500 North Carpenter Road, Modesto",
OPERATIONAL,"{'location': {'lat': 37.6368119, 'lng': -120.9926845}, 'viewport': {'northeast': {'lat': 37.6381392802915, 'lng': -120.9911262197085}, 'southwest': {'lat': 37.6354413197085, 'lng': -120.9938241802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,SURLA's,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108992004991925334034"">Bryan Rees</a>'], 'photo_reference': 'AW30NDxWEvvz2-TwFqQfBuPKgJrg2MNt5W-HlabNMkrVzPvEEVk3gmHH_REkZe9sp3WegKnjgXNkHU7L-DEADPy2CpFMnoQ92vE8x0y0lcT-gebilqAMbrYta2_qWDAf3nznCJy3pBcs9dJUSa5TUsa_1VKkBPBBPIKY0ZPr5BKQzqZKgTWW', 'width': 4032}]",ChIJGZoEOIlTkIARtbg95612Noc,"{'compound_code': 'J2P4+PW Modesto, CA, USA', 'global_code': '849XJ2P4+PW'}",2.0,4.4,ChIJGZoEOIlTkIARtbg95612Noc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",372.0,"431 12th Street, Modesto",
OPERATIONAL,"{'location': {'lat': 37.6409444, 'lng': -120.9992306}, 'viewport': {'northeast': {'lat': 37.64234638029149, 'lng': -120.9978511697085}, 'southwest': {'lat': 37.63964841970849, 'lng': -121.0005491302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tresetti's World Caffe,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109185216391945407202"">Marcus Stair</a>'], 'photo_reference': 'AW30NDz8gTriOTVLtUU7vq4G0ejC6QR5mwTd1hZDHFxvAJ1llFsHwwGTtc0y2dr9rLLLPsDbTGmHSFwrukH6DPdXLRi7RhC7OCMxiBhKplaFljDAri3m6ZWsD3yFzvoXF9gF19z95ETucBO6iUKiWmzE1FNpzqlAnQQOms8G8w3CMDG7CTKK', 'width': 4032}]",ChIJVeVEUI1TkIARVFr-0NUvKeM,"{'compound_code': 'J2R2+98 Modesto, CA, USA', 'global_code': '849XJ2R2+98'}",2.0,4.4,ChIJVeVEUI1TkIARVFr-0NUvKeM,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",499.0,"927 11th Street, Modesto",
