business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 32.3574387, 'lng': -86.2836664}, 'viewport': {'northeast': {'lat': 32.3588448302915, 'lng': -86.2822959697085}, 'southwest': {'lat': 32.3561468697085, 'lng': -86.2849939302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117118698582919021681"">Julie Dickey</a>'], 'photo_reference': 'AW30NDxOkcakqhMPBku5TF8NFL5--fM-mqo3HrD5D5dkvhX2GHmprCUPln_09QLE5TyBujMh7Ba4iESdkTzB-DFhMoAKXJmQKXIudp9sLl33khSWlI-heAqTEl6LpsGU1Tz4864fz-C0G_oKbzC-T-v_iKiL1OP-RCvGnAPpL873ox6vFFV-', 'width': 1920}]",ChIJwcDNC7qBjogRGCc4JtxJpR0,"{'compound_code': '9P48+XG Montgomery, AL, USA', 'global_code': '864M9P48+XG'}",1.0,3.9,ChIJwcDNC7qBjogRGCc4JtxJpR0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",109.0,"1768 Carter Hill Road, Montgomery",
OPERATIONAL,"{'location': {'lat': 32.3453926, 'lng': -86.2244183}, 'viewport': {'northeast': {'lat': 32.3466895802915, 'lng': -86.22295586970849}, 'southwest': {'lat': 32.3439916197085, 'lng': -86.2256538302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 1475, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112441261455389459537"">MR. LÓPEZ PAINTER LLC</a>'], 'photo_reference': 'AW30NDyzBxuIozfXhB27KbS0n7KRdFCIyHwllp0s_ATUGw1ThO9Cq94w2zQyJ7aByd-c_00DarosNVjnput8VbPLJyQEDUgV5LBDfWveOLMT3D1scnWJIXSzHZyh5TiAuo4W0unnUX6wjK4CNur96xbMUcdkeN1Q-qnfPJC8YIzThPMWqAKD', 'width': 2688}]",ChIJV6roLFYqjIgRqjZ68SqZeUo,"{'compound_code': '8QWG+56 Montgomery, AL, USA', 'global_code': '864M8QWG+56'}",2.0,4.0,ChIJV6roLFYqjIgRqjZ68SqZeUo,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2223.0,"2700 Eastern Boulevard, Montgomery",
OPERATIONAL,"{'location': {'lat': 32.3578787, 'lng': -86.2654166}, 'viewport': {'northeast': {'lat': 32.35914303029151, 'lng': -86.26388321970848}, 'southwest': {'lat': 32.35644506970851, 'lng': -86.2665811802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Moe's Southwest Grill,{'open_now': True},"[{'height': 1824, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100681856990833954084"">Brandon Blevins</a>'], 'photo_reference': 'AW30NDwjJC8Fhf4mIhA-my38aqFrhLw2CBUZmf1IZbLOzU42mwpwNL4vsTNRYd4bVf458iyJtikutJig-DiY_6eRs_7T0-aQn4Od8KxhQ6kNuJRBWvZQ0e1fJRt-oUCYptaxU-5NRKyIqYWukc4RBhJnH7piuchjZLIHmjbXjVoQT5X-zIg0', 'width': 4000}]",ChIJgyy9R9CBjogRFSyHgrxekqs,"{'compound_code': '9P5M+5R Montgomery, AL, USA', 'global_code': '864M9P5M+5R'}",1.0,4.4,ChIJgyy9R9CBjogRFSyHgrxekqs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",751.0,"2900 Zelda Road, Montgomery",
OPERATIONAL,"{'location': {'lat': 32.36471390000001, 'lng': -86.24370789999999}, 'viewport': {'northeast': {'lat': 32.36606663029149, 'lng': -86.24248231970849}, 'southwest': {'lat': 32.3633686697085, 'lng': -86.24518028029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115230258892953865960"">Chris Lynch</a>'], 'photo_reference': 'AW30NDzwoIqx8WWl8obx_-RawPH-SDjG2TmKF7iYbuSBLYe6rnRYhG6Zb6wNIWzXI6PIUtbuUkqrWAWP1mzftAXdLfsLTWbJF2PaXa82g-JrCYKA-My5bqob20dDKyRBwSOsV4U1jniiYR_YxgVqT0EoMy4LANMclbYTmYMARD72y8YQNWbx', 'width': 4032}]",ChIJB7Ryrm0qjIgR7aJiqsPg08E,"{'compound_code': '9Q74+VG Montgomery, AL, USA', 'global_code': '864M9Q74+VG'}",1.0,4.3,ChIJB7Ryrm0qjIgR7aJiqsPg08E,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",264.0,"1113 A, Perry Hill Road, Montgomery",
OPERATIONAL,"{'location': {'lat': 32.3516063, 'lng': -86.2627462}, 'viewport': {'northeast': {'lat': 32.3528956802915, 'lng': -86.26146056970849}, 'southwest': {'lat': 32.3501977197085, 'lng': -86.2641585302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114117121811326556864"">Nyte Prowler</a>'], 'photo_reference': 'AW30NDwK0-HHY1jaTTB1P_sftbMjZtQrm3xnUfuoaHkAkwBRiXEUiuXb_eEM2s7yyY-jJwwwWI7V56O21zG7SWX5b5zFFTqcRKo1IUmlD5cZWSBTYLJTroTeHsz12NUnpZapxxYXG6F-11-JKSLce3Q0OF1XL1QYKrId_ak04T35FVx-ZyD0', 'width': 4032}]",ChIJmU3F4NOBjogRXOhDd7-cN8s,"{'compound_code': '9P2P+JW Montgomery, AL, USA', 'global_code': '864M9P2P+JW'}",1.0,4.0,ChIJmU3F4NOBjogRXOhDd7-cN8s,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",217.0,"3015 B, Carter Hill Road, Montgomery",
OPERATIONAL,"{'location': {'lat': 32.326446, 'lng': -86.24020569999999}, 'viewport': {'northeast': {'lat': 32.32790043029149, 'lng': -86.23892396970848}, 'southwest': {'lat': 32.3252024697085, 'lng': -86.2416219302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,LongHorn Steakhouse,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102857549894367837591"">PNR</a>'], 'photo_reference': 'AW30NDykhjyyV54mYOfQzJmX2oLWBQc2jNS7T7QAh1oxNnOVnCRIuq2JecfbTO1fbG4jqLqSUv7jvICF-S9DQ1skT8-xJDX54yBWMPTr0mXIZZMgbyPrcNaLJpXZcFxDMi3Dahj1BIWDlEQmdDm3DP78NGYcACDRkI43KZ394uAuo1Y-Qa4C', 'width': 3928}]",ChIJEcSrIZQqjIgRTFJzkZxio_s,"{'compound_code': '8QG5+HW Montgomery, AL, USA', 'global_code': '864M8QG5+HW'}",2.0,4.2,ChIJEcSrIZQqjIgRTFJzkZxio_s,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1637.0,"4095 Eastern Boulevard, Montgomery",
OPERATIONAL,"{'location': {'lat': 32.3572453, 'lng': -86.2828691}, 'viewport': {'northeast': {'lat': 32.35866123029149, 'lng': -86.2815380697085}, 'southwest': {'lat': 32.3559632697085, 'lng': -86.28423603029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Martin's Restaurant,{'open_now': False},"[{'height': 1512, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112600864432997119485"">John Pirtle</a>'], 'photo_reference': 'AW30NDywsAiHBwwwfWCokrft_Hw13JpN8DKuGr9LLRmk_GgRV-v8-85zGWs2rrL7DJB3TYe_6u194GdNBLDiOPb3aYOaWhzdNDFVpURZ3KD37pd2R5msttKEAkWw1r52Tz_w-S2C_2KLOPUbMPy0Ug59MzzogD6nfSsnEaSe691L3MXb0VNZ', 'width': 2688}]",ChIJI3bTC7qBjogRdx8ZBTQmzWo,"{'compound_code': '9P48+VV Montgomery, AL, USA', 'global_code': '864M9P48+VV'}",1.0,4.5,ChIJI3bTC7qBjogRdx8ZBTQmzWo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1008.0,"1796 Carter Hill Road, Montgomery",
OPERATIONAL,"{'location': {'lat': 32.3117998, 'lng': -86.2239639}, 'viewport': {'northeast': {'lat': 32.31322438029149, 'lng': -86.2225481697085}, 'southwest': {'lat': 32.31052641970849, 'lng': -86.22524613029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118101343300419714553"">Subway</a>'], 'photo_reference': 'AW30NDy2Iviggvarp-dInjAD-DnyXlZubUsiPoDeVI8KvXy7BhwPF6iqxmaP90pRo3zccUF0joPxXUFMC0W1L79KPURJwAqtUmk901yY0fcCJsTaFq8OPt0sHMKmNLcfiyQ4IAdU3efI7JONIb71HHjFjP49b4jN4NDiNlzXPahPVPWCqAY4', 'width': 1763}]",ChIJR7ABjNoqjIgRamfvDW2FF2A,"{'compound_code': '8Q6G+PC Montgomery, AL, USA', 'global_code': '864M8Q6G+PC'}",1.0,3.6,ChIJR7ABjNoqjIgRamfvDW2FF2A,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",55.0,"4456 Troy Highway, Montgomery",
OPERATIONAL,"{'location': {'lat': 32.327976, 'lng': -86.2503495}, 'viewport': {'northeast': {'lat': 32.3293282802915, 'lng': -86.24891781970851}, 'southwest': {'lat': 32.3266303197085, 'lng': -86.25161578029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,{'open_now': True},"[{'height': 683, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107031048132797291954"">Pizza Hut</a>'], 'photo_reference': 'AW30NDxmYMuWIjVfGKf_CnWUM0zGTpWxatGU253U3AJWzgfMlTW31n0EWunvNxU99xImc7EDLx25BFNDCe_TnPGZ-ozcPNEfKYUXU0WWB0r-7XTP16Npz6ZJHkxUnpxcf4lLRVhAGhnNlZ1eIxTekBknfu9JXHBC2qnvyzpDR5YrACZpk3GY', 'width': 1025}]",ChIJ5cs3SpEqjIgR8YWZcsY3kNU,"{'compound_code': '8PHX+5V Montgomery, AL, USA', 'global_code': '864M8PHX+5V'}",1.0,3.3,ChIJ5cs3SpEqjIgR8YWZcsY3kNU,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",259.0,"2865 East South Boulevard, Montgomery",
OPERATIONAL,"{'location': {'lat': 32.35725600000001, 'lng': -86.265203}, 'viewport': {'northeast': {'lat': 32.35846178029151, 'lng': -86.2637262197085}, 'southwest': {'lat': 32.35576381970851, 'lng': -86.26642418029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,First Watch,{'open_now': False},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116522790685246551386"">Meredith McGee</a>'], 'photo_reference': 'AW30NDyoc-Hky-nE42vWHv6nHRkSlIl6LrKnsHavFBQu8IW-XavwuzxEdG5dvQtB-0b2a4AyIXYkP3rls6eRliJjjps02p7Xa_2S0vM7Ac91JeDFWsUpVvLQLutrWzp4QNJvVSUDDXC9glgTuBoo1UElaQl3vZ-hZfYkSgMM4cRAGTFr4n_l', 'width': 4000}]",ChIJi0m5dtCBjogRUNdKCIvuP3A,"{'compound_code': '9P4M+WW Montgomery, AL, USA', 'global_code': '864M9P4M+WW'}",2.0,4.4,ChIJi0m5dtCBjogRUNdKCIvuP3A,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1469.0,"2920 Zelda Road, Montgomery",
