business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 35.8584962, 'lng': -86.4433485}, 'viewport': {'northeast': {'lat': 35.8599017302915, 'lng': -86.4419686197085}, 'southwest': {'lat': 35.8572037697085, 'lng': -86.44466658029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Genghis Grill,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107899068421864051634"">C</a>'], 'photo_reference': 'AW30NDx2-N2yD_MPBr3N4wW-M2bTUxM2prGto_gnpet9W9qUwM_xw8lLLcno0va783-iSXcnHMvDAwLhLzR7_daJyeiWoWaScjzRcV2fTpycQcChEfyl_PuTaGkziUzzffLlRJsYxY81euKoVVZ5m_n6sIxDEWgaXckd1w3MlUgu9K7ZLP8', 'width': 4032}]",ChIJOeRiMNn3Y4gRgkTHiV6wbsQ,"{'compound_code': 'VH54+9M Murfreesboro, TN, USA', 'global_code': '867MVH54+9M'}",2.0,4.3,ChIJOeRiMNn3Y4gRgkTHiV6wbsQ,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1299.0,"2615 Medical Center Parkway, Murfreesboro",
OPERATIONAL,"{'location': {'lat': 35.85616539999999, 'lng': -86.4310295}, 'viewport': {'northeast': {'lat': 35.85761118029149, 'lng': -86.4296087197085}, 'southwest': {'lat': 35.85491321970849, 'lng': -86.4323066802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bonefish Grill,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103147662776046757587"">Star Cooper</a>'], 'photo_reference': 'AW30NDzixEdqfNvzlvzP-HIpYm6ykg33PyHXBEpwT7W_WV_DrZvN24uiDGdg0XwKnupbEoeRNmfLA_v3AOSOXYMwu99y5KIQ0AnZOv1nolAHHey9HLg-PrwJn61zCAbwVu6ulSm46vj_5KQ6vlIqg2SAPWWLPcOI9xKNxC0nBHDS8giREy1W', 'width': 3024}]",ChIJb7EknOT3Y4gRhpfRQCJplus,"{'compound_code': 'VH49+FH Murfreesboro, TN, USA', 'global_code': '867MVH49+FH'}",2.0,4.4,ChIJb7EknOT3Y4gRhpfRQCJplus,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1488.0,"505 North Thompson Lane, Murfreesboro",
OPERATIONAL,"{'location': {'lat': 35.85222999999999, 'lng': -86.40048000000002}, 'viewport': {'northeast': {'lat': 35.85351448029149, 'lng': -86.3992957697085}, 'southwest': {'lat': 35.85081651970849, 'lng': -86.40199373029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Logan's Roadhouse,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102492701034398750861"">Joe Phillips</a>'], 'photo_reference': 'AW30NDzvGSHZ6k80fh0ItJCF2L0Y0Ds_dTNDcREwdgp7s9H4vZL_HU8JfsoEaQvUpqwIu7tUChZBAdSiYpvT0vIReRUtOMfZw5b2r6vil6nFF1DXmx05178s0T-HMrIMg-AR13Wd4f_1gLIRfkPAcX8QzIXpOPNn7iMFtLgQ1csIacq4ng9p', 'width': 4160}]",ChIJVyiYEQ34Y4gRnUXfK5Ns3C4,"{'compound_code': 'VH2X+VR Murfreesboro, TN, USA', 'global_code': '867MVH2X+VR'}",2.0,3.3,ChIJVyiYEQ34Y4gRnUXfK5Ns3C4,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",160.0,"740 Northwest Broad Street, Murfreesboro",
OPERATIONAL,"{'location': {'lat': 35.8118646, 'lng': -86.3673166}, 'viewport': {'northeast': {'lat': 35.81327478029149, 'lng': -86.36597526970849}, 'southwest': {'lat': 35.81057681970849, 'lng': -86.3686732302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116539402955577361976"">Subway</a>'], 'photo_reference': 'AW30NDzNNscirRxQO6v9977bcaqv1GWSmQj13n5SusNUgCrecuF6mF8RgtZ3d7oCXt9VPAB4wm5zDR-vvuLMJFeNKAvploBCtWE9dxaSFpQyMFXZJHIoQ46QcuH4rBrH3Q4i8NCMRlWTOVUE_eshFgrMBYzV_E3eAwTeIxAgcZFcIeJCCz1D', 'width': 1763}]",ChIJVz8hpBz5Y4gRDcCC_QoK3KU,"{'compound_code': 'RJ6M+P3 Murfreesboro, TN, USA', 'global_code': '867MRJ6M+P3'}",1.0,3.8,ChIJVz8hpBz5Y4gRDcCC_QoK3KU,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",93.0,"1722-A South Rutherford Boulevard, Murfreesboro",
OPERATIONAL,"{'location': {'lat': 35.8549868, 'lng': -86.42996889999999}, 'viewport': {'northeast': {'lat': 35.85622513029149, 'lng': -86.4285707697085}, 'southwest': {'lat': 35.85352716970849, 'lng': -86.4312687302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jason's Deli,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107042252420722564574"">Cinthia Sanabia</a>'], 'photo_reference': 'AW30NDxxVZyL-dXqLbGCzGjLm7QF228szt8nt-HVUjwUK-DzBUTo1ueiOW-vHy1-_ZMPbjApOX3VtnQLOgx3zi-KLKvdgGOtAOjGMdNTDItQSneTmZjEJa38BNXbSxDoU9qhiQl_RoTriNYq92gs0XCImDguo9ZD6PJm5zk06fELGHfAxeVF', 'width': 3000}]",ChIJ01F53eT3Y4gRqkoXGbVZg8c,"{'compound_code': 'VH3C+X2 Murfreesboro, TN, USA', 'global_code': '867MVH3C+X2'}",2.0,4.5,ChIJ01F53eT3Y4gRqkoXGbVZg8c,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",914.0,"452 North Thompson Lane, Murfreesboro",
OPERATIONAL,"{'location': {'lat': 35.845651, 'lng': -86.45004800000001}, 'viewport': {'northeast': {'lat': 35.8470659802915, 'lng': -86.4488440697085}, 'southwest': {'lat': 35.8443680197085, 'lng': -86.4515420302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111582842886755972864"">Brian Brenton</a>'], 'photo_reference': 'AW30NDxvYmjxQAAcc-NnUdhci4-Rs3zFe_iQUGLj7qZhAeDpCAhx-FsPy7BjRvSh9Gf03CDvxoMlDeI3nJieFKaFSls6-HL5rao7V1tyL6n6PJvmtCNi9fWxkZUV2cuNZXyYGNfCHQJQ2jftLqSbJUQhuHxAE9Es-hf58e5KgjlNZtMtfjgk', 'width': 4032}]",ChIJG01Ansj3Y4gRlz-lDSRZ7yg,"{'compound_code': 'RGWX+7X Murfreesboro, TN, USA', 'global_code': '867MRGWX+7X'}",1.0,3.7,ChIJG01Ansj3Y4gRlz-lDSRZ7yg,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",723.0,"2932 Old Fort Parkway, Murfreesboro",
OPERATIONAL,"{'location': {'lat': 35.8716256, 'lng': -86.38608599999999}, 'viewport': {'northeast': {'lat': 35.8729341302915, 'lng': -86.38467531970849}, 'southwest': {'lat': 35.87023616970851, 'lng': -86.3873732802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 1908, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107366980255517032776"">Richard McCoy Jr.</a>'], 'photo_reference': 'AW30NDzmP8LFw2sb7iKSXmhvZE1xcrCMNhgtnt_-XL7hHrbZU1gTSKHOZXnQMROTAPyZd1xpXvDSEdofPI7_dASV_daEDlPqjsHcZ-zpBuU9KWkniH2oT-6hgPNscv1DnPH_k9aTP5_2bEuEQCIFMbKqXUV5QWmR92iJmgTuTmM6G1eJv-Ng', 'width': 4032}]",ChIJMRi-RIgHZIgRgjPZGg5HIZ0,"{'compound_code': 'VJC7+MH Murfreesboro, TN, USA', 'global_code': '867MVJC7+MH'}",1.0,3.4,ChIJMRi-RIgHZIgRgjPZGg5HIZ0,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",368.0,"1811 Memorial Boulevard, Murfreesboro",
OPERATIONAL,"{'location': {'lat': 35.833528, 'lng': -86.3504533}, 'viewport': {'northeast': {'lat': 35.8347533302915, 'lng': -86.3490029697085}, 'southwest': {'lat': 35.8320553697085, 'lng': -86.35170093029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102587619951487868034"">SF1</a>'], 'photo_reference': 'AW30NDyyA5Cyfj6oc3CJjijguibTWB1AbIRDAX7K26YIQAg6vEBqUlCMuEeRlxQ7V_EbCmf0ppNty-KEQNNWX2fbpSw2lPepieJWFDovy_FDG9yDYmFpwZjc7-uAo2B-gp8pbH7-R5T9fqSnRoUBn5114iZ5nIwCf5XAGfVfFIdSVsivmrmj', 'width': 4032}]",ChIJI9WdYsb4Y4gRLqgg0bZYVQ8,"{'compound_code': 'RJMX+CR Murfreesboro, TN, USA', 'global_code': '867MRJMX+CR'}",1.0,3.3,ChIJI9WdYsb4Y4gRLqgg0bZYVQ8,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",328.0,"2962 South Rutherford Boulevard D, Murfreesboro",
OPERATIONAL,"{'location': {'lat': 35.870005, 'lng': -86.416915}, 'viewport': {'northeast': {'lat': 35.8715842302915, 'lng': -86.4153457697085}, 'southwest': {'lat': 35.8688862697085, 'lng': -86.4180437302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111879914353514789669"">Delenia Davis</a>'], 'photo_reference': 'AW30NDyNDzQCbWeyHoaeiA_OgSIIigbCP6Rtr9mubVSurIM6tltKA4MZnRDc5yG7GRpcRn9vPRgFUDN9Wi0SQyYYnhJu86PBnDyFrTgdC8SiF25kJjEpZ2zofs-_KD1f7zFfjHf5TIR4DSbVQKNdohdZCPUaj7xWg3weZw0OSdn3aIMP9KHH', 'width': 1920}]",ChIJzw5EBv0HZIgRjkJ5uaAZMZU,"{'compound_code': 'VHCM+26 Murfreesboro, TN, USA', 'global_code': '867MVHCM+26'}",1.0,4.4,ChIJzw5EBv0HZIgRjkJ5uaAZMZU,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",73.0,"1621 Northwest Broad Street, Murfreesboro",
OPERATIONAL,"{'location': {'lat': 35.8495148, 'lng': -86.42524510000001}, 'viewport': {'northeast': {'lat': 35.8508292802915, 'lng': -86.4239425697085}, 'southwest': {'lat': 35.8481313197085, 'lng': -86.42664053029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Farmers Family Restaurant,{'open_now': True},"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104339022280465899377"">Real OG</a>'], 'photo_reference': 'AW30NDy-UD-V4lqnXp8NIK-WYKpbzq85JpzKYyurhWMFU1_-8MaIrNFcrXOeF_HxVOEMRZVGdvsYTN0eEaBVI8b31kCrZss0ofJPi-_AqmQZdp2z9waJhwRw-bB7WY8-Gwz2aVIaXIS_3aC8UAnYpC-ywrJ453Elxa9cE2BOTwIOY703yGMW', 'width': 4608}]",ChIJL-nfZPH3Y4gR5jLWe2XY0m4,"{'compound_code': 'RHXF+RW Murfreesboro, TN, USA', 'global_code': '867MRHXF+RW'}",1.0,4.1,ChIJL-nfZPH3Y4gR5jLWe2XY0m4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3828.0,"1958 Old Fort Parkway, Murfreesboro",
