business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.5637387, 'lng': -117.2022188}, 'viewport': {'northeast': {'lat': 33.5649622802915, 'lng': -117.2011097197085}, 'southwest': {'lat': 33.5622643197085, 'lng': -117.2038076802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/movie_pinlet,Reading Cinemas at Cal Oaks Plaza with TITAN LUXE,"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109436571296081571899"">Kelly McWilliams</a>'], 'photo_reference': 'AW30NDw_UJgIcArVl-1Eh7UzBBTTb6tHa-JAiPt2mP6QuYI044HvFz10Lq5d0uLPJBbscrGrWY6B_a273EQsIwcKT7cJQxHPAwwbp2cUJ3_pZCQMRMvK70KG1qCpE0tG8Lp3vsYr0EGSm7Ckn9_mjA4oc4-9G8MqPvTMXsGhQIRbxusHsEFt', 'width': 4048}]",ChIJp9oy_EOC3IARZFZZ1jx6zak,"{'compound_code': 'HQ7X+F4 Murrieta, CA, USA', 'global_code': '8554HQ7X+F4'}",4.6,ChIJp9oy_EOC3IARZFZZ1jx6zak,GOOGLE,"['movie_theater', 'cafe', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2959.0,"41090 California Oaks Road, Murrieta",,,
OPERATIONAL,"{'location': {'lat': 33.5630613, 'lng': -117.2059615}, 'viewport': {'northeast': {'lat': 33.5643498302915, 'lng': -117.2045516197085}, 'southwest': {'lat': 33.56165186970851, 'lng': -117.2072495802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Taco Bell,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113953244186091779146"">Cy Rathbun</a>'], 'photo_reference': 'AW30NDy23BZBIqmmMbkY1n1zkMcFJg-OF9K_giLoRvqfr5WaEoHx-WRv6QjtxRD6HT9nbDPKqlm0AaW-uBEADHqw6jDcLdPPkbDdbiWPTJM0BmV28hIP5zBE522aKSYCtw7nvUGcgS1PL4VkoPo8s6GIvbgLIa_5RPcfriZzyiRnsDunNbkU', 'width': 3024}]",ChIJg2RBxUWC3IARXYbAyZjxQoI,"{'compound_code': 'HQ7V+6J Murrieta, CA, USA', 'global_code': '8554HQ7V+6J'}",4.0,ChIJg2RBxUWC3IARXYbAyZjxQoI,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",499.0,"24656 Madison Avenue, Murrieta",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 33.5259276, 'lng': -117.1534872}, 'viewport': {'northeast': {'lat': 33.52716459999999, 'lng': -117.15137825}, 'southwest': {'lat': 33.5224386, 'lng': -117.15636605}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Villa Italian Kitchen,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115471091694698717454"">Villa Italian Kitchen</a>'], 'photo_reference': 'AW30NDzHQCQhxljK7xGc92xIAt0icIyzmCZL5xXMrmLVCUemeuLL_jq9q1DXXqv05XGucpyQpYda4yyaMMes_Bb8SPNmWOAeK2I-rUHs0iMy85v9OKSbACAq8IpClhpvDlQuYx6tFMfFlb3Q0P73JZ5Bc4yNDO8DViZYSIbxkGWKv0ml2jDM', 'width': 1620}]",ChIJpf5z7D1-24AR1fjSGA5f-1o,"{'compound_code': 'GRGW+9J Temecula, CA, USA', 'global_code': '8554GRGW+9J'}",4.1,ChIJpf5z7D1-24AR1fjSGA5f-1o,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",22.0,"40820 Winchester Rd Sp Fc1, 40820 Winchester Road Fc1, Temecula",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 33.5259856, 'lng': -117.1533879}, 'viewport': {'northeast': {'lat': 33.52731328029149, 'lng': -117.1522353697085}, 'southwest': {'lat': 33.5246153197085, 'lng': -117.1549333302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Amerikhan Mongolian Grill,"[{'height': 2736, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115625743652693054049"">Amerikhan Mongolian Grill</a>'], 'photo_reference': 'AW30NDwh-N_eQUVmMygylFNhg0VxRA6-TbHiYnY2YwtWUktNsHdSMRDDnMfOPK_ORAaKOFC_qRQuD9UF3zPl6msh9HIKe4w2CJQLYVW-qLhZaX1wK04GnfMbYEJ4VGgwLeDzaD_zwUbaibYa_KnDsVTgnRFJGTnIi6wxRC3XOxcM_Xndmr8i', 'width': 4176}]",ChIJc_EtVj5-24AR8sxUBuOeizY,"{'compound_code': 'GRGW+9J Temecula, CA, USA', 'global_code': '8554GRGW+9J'}",4.3,ChIJc_EtVj5-24AR8sxUBuOeizY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",181.0,"40820 Ring Road, Temecula",{'open_now': True},,
OPERATIONAL,"{'location': {'lat': 33.5257362, 'lng': -117.153718}, 'viewport': {'northeast': {'lat': 33.5271948302915, 'lng': -117.1525024197085}, 'southwest': {'lat': 33.5244968697085, 'lng': -117.1552003802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hot Dog on a Stick,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115427680526132848972"">Donald Carlisle</a>'], 'photo_reference': 'AW30NDwJQ1z7JWX1tJNGtq80t8Dz7LAC3B4sYcwMwderxegXWCTwsuTPnY9Kr5-uwjS8ngYiTVU5TNHCvCpOBE-B8DAEgj8HDqQY9SHXv4dh6fY7M3g2Nua24qeKdumka7y2eGcNzheeqtRCamWPBJIGNOinkkqdHBeXTpOxUg91A2qm3PQk', 'width': 3000}]",ChIJb1VVVeV-24ARxGyN8HS6QR8,"{'compound_code': 'GRGW+7G Temecula, CA, USA', 'global_code': '8554GRGW+7G'}",4.0,ChIJb1VVVeV-24ARxGyN8HS6QR8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",64.0,"FC4, 40820 Winchester Road, Temecula",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 33.5195556, 'lng': -117.152697}, 'viewport': {'northeast': {'lat': 33.5208058302915, 'lng': -117.1513079197085}, 'southwest': {'lat': 33.5181078697085, 'lng': -117.1540058802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102789716137552115897"">Joseph Morabito</a>'], 'photo_reference': 'AW30NDwTpDd2Qey7l3jIiTYeAu75ylAG-vFImZQFxWypE2cR5TYjxXSUE1Lgeo5kIUz-haawQ3ZWNGJVTGJrdgpoOT4WH5MgQ72KMTRqw04f6WAG0HnL0r_UwajG_qg3qMNY2CqegScOugr_JmEJjeTxNTe9QPh6-KiGB_8xlqSVrN1YsWTY', 'width': 4032}]",ChIJnYF5Njh-24ARjjyUNQiy07Q,"{'compound_code': 'GR9W+RW Temecula, CA, USA', 'global_code': '8554GR9W+RW'}",4.4,ChIJnYF5Njh-24ARjjyUNQiy07Q,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2797.0,"29025 Overland Drive, Temecula",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 33.4935651, 'lng': -117.148439}, 'viewport': {'northeast': {'lat': 33.4949340302915, 'lng': -117.1471445197085}, 'southwest': {'lat': 33.4922360697085, 'lng': -117.1498424802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Public House,"[{'height': 1408, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111583255508687001732"">Public House</a>'], 'photo_reference': 'AW30NDykMmbwdG8_SbGVJVw61VEr2Qa1d-dPGKaXSzeSxAwhfngQyPCB1zYVpmFRdb7RigXLwuZCaFsZzrrwvvbGhPq1W7YXi8xJMWGqmskMBQsi3YKR9ccPz8KF6Lr9ia1ID3jPDVvfC2hqaGLrxP9DygcTE21tZvFF1VrbzHg38TEBzVgI', 'width': 1439}]",ChIJ0dMsy7h_24ARVZKKVbKtklw,"{'compound_code': 'FVV2+CJ Temecula, CA, USA', 'global_code': '8554FVV2+CJ'}",4.3,ChIJ0dMsy7h_24ARVZKKVbKtklw,GOOGLE,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",865.0,"41971 Main Street, Temecula",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 33.55427160000001, 'lng': -117.1795501}, 'viewport': {'northeast': {'lat': 33.55560208029151, 'lng': -117.1780929697085}, 'southwest': {'lat': 33.55290411970851, 'lng': -117.1807909302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Buffalo Wild Wings,"[{'height': 3861, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114861864884300668514"">Buffalo Wild Wings</a>'], 'photo_reference': 'AW30NDwYn2WtwQUmGcRKnvnrDYv_SCGQ87HRfK4cqR11sAxTybo0X5QU2Uhbcf5cHmsajaHAU4HowTsWG-l4lVhA2FrAyo-B2xJV4N_-5lUafATKGEtK_K5GJqv_QGLr_ow0JaLUdGlEjxbWvcuMKobR7ZHIrqN1DT2QJARipaWg7AjTp4lC', 'width': 5791}]",ChIJ1TleswiC3IAR6R0TZFvb3n4,"{'compound_code': 'HR3C+P5 Murrieta, CA, USA', 'global_code': '8554HR3C+P5'}",4.0,ChIJ1TleswiC3IAR6R0TZFvb3n4,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1324.0,"40484 Murrieta Hot Springs Road #104, Murrieta",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 33.50453539999999, 'lng': -117.1514293}, 'viewport': {'northeast': {'lat': 33.5058989302915, 'lng': -117.1499513697085}, 'southwest': {'lat': 33.5032009697085, 'lng': -117.1526493302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Gourmet Italia,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110079904911230966256"">Gourmet Italia</a>'], 'photo_reference': 'AW30NDzZLUMRyhnr4TLcJ8lbAJZ9UNvLTQvmHEGiwf7UvNlQJh2O-fKrBej70CUKOTkj4YW4H--hVXnjL9RwIKFrI8b2BFfnZVXYQEZpylnH2txIu9w4Y2gK02tjzMEpksCd4ZB_p36l0uryu7l9nIBMn7LevZQgW0QV-t2JF3dJpm_cBxcw', 'width': 5184}]",ChIJGfaca8p_24ARGIljPv6vCJM,"{'compound_code': 'GR3X+RC Temecula, CA, USA', 'global_code': '8554GR3X+RC'}",4.3,ChIJGfaca8p_24ARGIljPv6vCJM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",925.0,"27499 Ynez Road, Temecula",{'open_now': False},2.0,
OPERATIONAL,"{'location': {'lat': 33.5506704, 'lng': -117.138951}, 'viewport': {'northeast': {'lat': 33.5520063802915, 'lng': -117.1376857197085}, 'southwest': {'lat': 33.5493084197085, 'lng': -117.1403836802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108870077224852518587"">Kaban Mathias</a>'], 'photo_reference': 'AW30NDyhE8Pbq6VPaYJaZ76dMtXqJpaEWx9y-AtMTh01b64yV_aDltpKd0B4-Emr6karCiyiERgNwUdiGa9q5xmmfqHlh5a9dPe8dfUEHkiiebwPRz1c2jMKJRPcRzDupJkcq_6vSHbjmCAZ93K9KrUu3R4G3MXbxSC27is7jmZ42hcxZ0VI', 'width': 4032}]",ChIJKco5nnd-24AR9mPecXEq_YA,"{'compound_code': 'HV26+7C Murrieta, CA, USA', 'global_code': '8554HV26+7C'}",4.1,ChIJKco5nnd-24AR9mPecXEq_YA,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",38.0,"39252 Winchester Road Suite 105, Murrieta",{'open_now': True},1.0,
