business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 41.76577, 'lng': -88.18361999999999}, 'viewport': {'northeast': {'lat': 41.7670701302915, 'lng': -88.1822230697085}, 'southwest': {'lat': 41.7643721697085, 'lng': -88.1849210302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bowlero Naperville,{'open_now': True},"[{'height': 743, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114867123517108423176"">Bowlero Naperville</a>'], 'photo_reference': 'AW30NDzMdHxN6PxODYFykdaU3-G3H4A_o_N8UuFt5VLgq2P3MuufI9hwyNecdq6Jdz4LC11A3zqdkckyFPrPvv4mZw7ApFBgwyM3XcP7HkRqlWa7_u-cZYKtNZYppHrTNNfXVLpemo26U7PClyWdjXkGWO9sLXZa2Y7nPjznRdyKcX1-ldNE', 'width': 810}]",ChIJ36ZXUmv4DogRxICDLcVVu4g,"{'compound_code': 'QR88+8H Naperville, IL, USA', 'global_code': '86HHQR88+8H'}",4.1,ChIJ36ZXUmv4DogRxICDLcVVu4g,GOOGLE,"['bowling_alley', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1540.0,"1515 Aurora Avenue, Naperville",,
OPERATIONAL,"{'location': {'lat': 41.7686619, 'lng': -88.1647378}, 'viewport': {'northeast': {'lat': 41.7698354302915, 'lng': -88.16349476970849}, 'southwest': {'lat': 41.7671374697085, 'lng': -88.1661927302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mesón Sabika,{'open_now': True},"[{'height': 3219, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102830964312972304667"">Mesón Sabika</a>'], 'photo_reference': 'AW30NDz9sRGZD6DBi-gH-z3U4f1K70klPWKZDX_ENsZSARsItv-a1SQoTCl7Hw_buudsutLn5Btw1tqbuVM_zbinHtMm0GduJnz-yn0LFDae4Ei8zvq_70kjjOt9YPlTtb15nhaEZ9f201DDPyzWTGEjjgkr-XElRv_BEWbLyLHWyU93votx', 'width': 5088}]",ChIJz0AlQ95XDogRdC4vUtu3WkE,"{'compound_code': 'QR9P+F4 Naperville, IL, USA', 'global_code': '86HHQR9P+F4'}",4.6,ChIJz0AlQ95XDogRdC4vUtu3WkE,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2814.0,"1025 Aurora Avenue, Naperville",3.0,
OPERATIONAL,"{'location': {'lat': 41.70883389999999, 'lng': -88.1871731}, 'viewport': {'northeast': {'lat': 41.7102943302915, 'lng': -88.1859104697085}, 'southwest': {'lat': 41.7075963697085, 'lng': -88.18860843029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 1948, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111789015454794103960"">Tobey Sanford</a>'], 'photo_reference': 'AW30NDwSNCkNsp25SiMLyMGJVOhU1NKd7FTok4iIoRjfM8Ix9i0fnB40Zf5bVOp4Una4U9WZuM9h0y7QA--RgZkgdTkE1wM0jDei7zH-7BButqraKomdvqcQqUUQvOpWVJuyhMtxZWhGqBIqyPtBPpLtzJJgJS_IRaeE9-zTkSadxsRk0DNa', 'width': 1948}]",ChIJDRXYf7X3DogRK98twa5eXPY,"{'compound_code': 'PR57+G4 Naperville, IL, USA', 'global_code': '86HHPR57+G4'}",3.6,ChIJDRXYf7X3DogRK98twa5eXPY,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",173.0,"3075 Book Road #135, Naperville",1.0,
CLOSED_TEMPORARILY,"{'location': {'lat': 41.74816500000001, 'lng': -88.164222}, 'viewport': {'northeast': {'lat': 41.7497022302915, 'lng': -88.1629348197085}, 'southwest': {'lat': 41.7470042697085, 'lng': -88.1656327802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 1662, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100409635943648185049"">Pamela Kenealy-Bunyea</a>'], 'photo_reference': 'AW30NDwzC_98kepkZrMnfCx7qh-UoVMxkcKMiycmZcMS6gDkEeyZK6n7Apzw9GJ-tFV44GzxG5SVz_J5RIxtu6BtAF5ARJ5yuiqC7uAJj3PbxcwQ1x8b0ftlQHGmc2d6HfUnGBipd7yttkxRBDnYmJ_dP-6K7XlZ_rv86-9vhVnZz3auj6nv', 'width': 2521}]",ChIJERdJ3v5XDogRtJD9xB5YhtY,"{'compound_code': 'PRXP+78 Naperville, IL, USA', 'global_code': '86HHPRXP+78'}",3.0,ChIJERdJ3v5XDogRtJD9xB5YhtY,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",42.0,"931 West 75th Street Unit 103, Naperville",1.0,True
OPERATIONAL,"{'location': {'lat': 41.71893559999999, 'lng': -88.16778769999999}, 'viewport': {'northeast': {'lat': 41.7202580302915, 'lng': -88.1664186197085}, 'southwest': {'lat': 41.7175600697085, 'lng': -88.1691165802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Traverso's,{'open_now': False},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114442677465560600499"">Timothy Dunworth</a>'], 'photo_reference': 'AW30NDxoT8tk39AXy5Dpsze8ONlkKPS9FJwPbCFhbG9Dp5eM8hCdR_2U2Eg2Oa_4wGrE7efPUU4hGFETazk30P4fHdMeyAuVPqmlPnIFRHdnQcn4yzfgFra1PTPq7AngAEDsUBL90rdZoUL7oQQTNB4EQA-26IOfTU8SCF7Ke1ELubScfJLO', 'width': 3264}]",ChIJQ4KmK3ZYDogR30jiSTN9IWE,"{'compound_code': 'PR9J+HV Naperville, IL, USA', 'global_code': '86HHPR9J+HV'}",4.5,ChIJQ4KmK3ZYDogR30jiSTN9IWE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",867.0,"2523 Plainfield-Naperville Road, Naperville",2.0,
OPERATIONAL,"{'location': {'lat': 41.7139901, 'lng': -88.2070961}, 'viewport': {'northeast': {'lat': 41.71520813029149, 'lng': -88.20564901970849}, 'southwest': {'lat': 41.71251016970849, 'lng': -88.2083469802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Biaggi's Ristorante Italiano,{'open_now': True},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101126549332546715868"">Biaggi&#39;s Ristorante Italiano</a>'], 'photo_reference': 'AW30NDxYWEL26LZRZpHYORZi4sQwQxGQOhaq7vO_hwdYPB2h8GtZppBf4TRBjxBW8L1cbjJ6vCluvfJA9Y9PjhL8kWBsHx8lYM49Dp9P7OwGLanIuDasRgJG9DWrsJ4JW-P-auhBXerR4s4tWUvrystSC7cTnm1OzjjTex75qa-2LqxxeRm6', 'width': 590}]",ChIJ1-nk1qn3DogRxagDvBbsFkk,"{'compound_code': 'PQ7V+H5 Naperville, IL, USA', 'global_code': '86HHPQ7V+H5'}",4.3,ChIJ1-nk1qn3DogRxagDvBbsFkk,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",971.0,"2752 Showplace Drive, Naperville",2.0,
OPERATIONAL,"{'location': {'lat': 41.710332, 'lng': -88.20329600000001}, 'viewport': {'northeast': {'lat': 41.71163798029151, 'lng': -88.2019621197085}, 'southwest': {'lat': 41.70894001970851, 'lng': -88.20466008029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Ninety Fifth - Lou Malnati's Pizzeria,{'open_now': True},"[{'height': 2640, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109252760003336222416"">Ninety Fifth - Lou Malnati&#39;s Pizzeria</a>'], 'photo_reference': 'AW30NDzqlbvip-RWARBIuqLFQ2fRN_HWVii90ZTdUEsLfK2QpbgdHIhs-_tf80Q7eHZdodf6Crh07xcotT2cFWUIrVxS52TqV7T1mC6XpO5wPLfbhgfuoU8cf9lsq_GdUqQS8RTNTCyXU_cqi3aW3dTBk81OtApLId4nd1oktv_Xb-iNRElV', 'width': 3960}]",ChIJMzQsXaz3DogR0N4UuS1ZRKE,"{'compound_code': 'PQ6W+4M Naperville, IL, USA', 'global_code': '86HHPQ6W+4M'}",4.3,ChIJMzQsXaz3DogR0N4UuS1ZRKE,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",370.0,"2879 95th Street, Naperville",2.0,
OPERATIONAL,"{'location': {'lat': 41.7547971, 'lng': -88.20334509999999}, 'viewport': {'northeast': {'lat': 41.7560982302915, 'lng': -88.20201611970849}, 'southwest': {'lat': 41.7534002697085, 'lng': -88.2047140802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Outback Steakhouse,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115778663016999190683"">Last Chance Auto Repair</a>'], 'photo_reference': 'AW30NDwkLHr8Zemod86rRuBxevx2kVC5IgZDsD-z-4QOCR4pZNfzqWxcxSZys4sQry_8Ne_xX53kBo-4TjYD947ZS6uU05BzH-2wN4lssUT6aBJVcyFnDgTWV5D2766xVVHfxAL80HDNOt5X5SPwj0xe-9NDehCX_QTP4FvBlnRTpMlDfw1P', 'width': 4000}]",ChIJvyeFyC34DogRDxBKI7Cm5_c,"{'compound_code': 'QQ3W+WM Naperville, IL, USA', 'global_code': '86HHQQ3W+WM'}",4.2,ChIJvyeFyC34DogRDxBKI7Cm5_c,GOOGLE,"['bar', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1511.0,"2855 West Ogden Avenue, Naperville",2.0,
OPERATIONAL,"{'location': {'lat': 41.7103864, 'lng': -88.20337839999999}, 'viewport': {'northeast': {'lat': 41.7116645802915, 'lng': -88.20203786970848}, 'southwest': {'lat': 41.7089666197085, 'lng': -88.20473583029148}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Oberweis Ice Cream and Dairy Store,{'open_now': True},"[{'height': 1917, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111746676901026815083"">John Syers</a>'], 'photo_reference': 'AW30NDyeQ440It8tGFyQI5MO6Ap_zPOxkM3tQXTqyOwW2E-TdHqQ82MiPIl81joqdF1ATsFn4VMZknN5tCTY9hOmggBQAUlmnL-QQul6Al7R19xfiIfO_6K84D1yMKYaJR2xQJQCMnop8qz_xnL6nu3WcDwOctUuuKUgzELyQAubNWoAU7Vu', 'width': 3154}]",ChIJMzQsXaz3DogR09ZsnzKGhsQ,"{'compound_code': 'PQ6W+5J Naperville, IL, USA', 'global_code': '86HHPQ6W+5J'}",4.6,ChIJMzQsXaz3DogR09ZsnzKGhsQ,GOOGLE,"['restaurant', 'food', 'store', 'point_of_interest', 'establishment']",285.0,"2879 95th Street Suite 155, Naperville",2.0,
OPERATIONAL,"{'location': {'lat': 41.7555251, 'lng': -88.14140390000001}, 'viewport': {'northeast': {'lat': 41.7567783302915, 'lng': -88.14004406970851}, 'southwest': {'lat': 41.7540803697085, 'lng': -88.14274203029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Colonial Cafe - Naperville,{'open_now': True},"[{'height': 1513, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102876297778126284532"">Colonial Cafe - Naperville</a>'], 'photo_reference': 'AW30NDzGPrA9R0ZguJv7LNK29OXKHkZNcaRvyZVEPYjltAOTXfPEsFkeKrfPrUe1xzByWqvFl6OpyYjyEjbTyQpIG9_z8Mi0NyWYx3hJm3D-Kyn8QadToZ2r2VdyDfE-wByzCEmAoDDCXGwUJXWQ0cdiZDnDZCU1RJfJnNj4eB2xUkyOlfn8', 'width': 1513}]",ChIJgRxpGY5XDogRvDiD5NkQoq4,"{'compound_code': 'QV45+6C Naperville, IL, USA', 'global_code': '86HHQV45+6C'}",4.4,ChIJgRxpGY5XDogRvDiD5NkQoq4,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",1157.0,"8 West Gartner Road, Naperville",2.0,
