business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours,permanently_closed
OPERATIONAL,"{'location': {'lat': 36.1627024, 'lng': -86.7754903}, 'viewport': {'northeast': {'lat': 36.16419073029149, 'lng': -86.7739231197085}, 'southwest': {'lat': 36.1614927697085, 'lng': -86.7766210802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wildhorse Saloon,"[{'height': 3648, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110740876449501964356"">Wildhorse Saloon</a>'], 'photo_reference': 'AW30NDx10iRHVZkVSoxx1oB2BB4D1dNOyKeh4V4UxhfjckfqQTJrVdKa72w59WzXAxdSyBkbxmu3Mv3X0tX1N81wQX2rz56XESItiAHfZDAzUKPc7k_g8rdlrel4ivvecE6nSvhMG2b5DGY3X34EwuVr2qNOcvswHVbCex1_2Sc-o5AjfDMp', 'width': 5472}]",ChIJWyS9NFpmZIgRB84njMjVc28,"{'compound_code': '567F+3R Nashville, TN, USA', 'global_code': '868M567F+3R'}",2.0,4.5,ChIJWyS9NFpmZIgRB84njMjVc28,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",5044.0,"120 2nd Avenue North, Nashville",,
OPERATIONAL,"{'location': {'lat': 36.1602036, 'lng': -86.77464429999999}, 'viewport': {'northeast': {'lat': 36.1614991302915, 'lng': -86.7732772697085}, 'southwest': {'lat': 36.1588011697085, 'lng': -86.77597523029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Southern Steak & Oyster,"[{'height': 5184, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107511968730242415040"">The Southern Steak &amp; Oyster</a>'], 'photo_reference': 'AW30NDzyYaQQGK4VxzWyYqwLkpf0zEVTGhIgol_RXP00GYgkyh-BZJOFaNNElOpvCTD-4EBO22AmcOmb2XqsTgHOz08oSfInzcmFF_zQZsfeeQTAQImfTqU0sA06ZGn0J3Vdo4NaOzKAJuZdOcWODnGmptG5BkvOhCdeJy34NEpwQ49C_QxN', 'width': 3456}]",ChIJsYdleVxmZIgRHQQR1E-Fn38,"{'compound_code': '566G+34 Nashville, TN, USA', 'global_code': '868M566G+34'}",3.0,4.5,ChIJsYdleVxmZIgRHQQR1E-Fn38,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2975.0,"150 3rd Avenue South #110, Nashville",{'open_now': True},
OPERATIONAL,"{'location': {'lat': 36.1514659, 'lng': -86.7796094}, 'viewport': {'northeast': {'lat': 36.1526720302915, 'lng': -86.77819026970849}, 'southwest': {'lat': 36.1499740697085, 'lng': -86.7808882302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Arnold's Country Kitchen,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110402108867335379243"">Theresa Bell</a>'], 'photo_reference': 'AW30NDzk-VHFFGXaDd3GGnqUOvI7_zf3p80xngEXHUuqk1Z50DHruc6_-54rwhdnpS1BPCv3IDxrup80_rXh-1PzowIAOuVA_SToVPLzvyMsxA_IIs0N3YZYURafMcePbFoMCq0dr0gJY7_uWmeJ0JDIJqg18ppc-3NYZ6GKQPU3O5blt-Pm', 'width': 4032}]",ChIJzf4YpmFmZIgR0hDvtsh88PE,"{'compound_code': '562C+H5 Nashville, TN, USA', 'global_code': '868M562C+H5'}",1.0,4.5,ChIJzf4YpmFmZIgR0hDvtsh88PE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2469.0,"605 8th Avenue South, Nashville",{'open_now': False},
OPERATIONAL,"{'location': {'lat': 36.1607129, 'lng': -86.7771752}, 'viewport': {'northeast': {'lat': 36.1621716302915, 'lng': -86.77593561970849}, 'southwest': {'lat': 36.1594736697085, 'lng': -86.7786335802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Merchants,"[{'height': 1886, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111719219215411994893"">Hecatonic</a>'], 'photo_reference': 'AW30NDy0584Lqtltoq2hSNLj2G44PdLgHBmgO8w6GGYqUm8H7sVFGS9uQxKz-WirFvpzyRKjlj9aZLdHGZnz5d8SYAkYoNLnerzDSYqkI6cG4r4VLp9Ze8egPdf_dWNkCnSd8BRBygR62ZKVuQ-_qpBzzgV2rBvFydH1UDzk2SghDeympTt3', 'width': 3236}]",ChIJ82PBUFlmZIgR5AJxzL28PUw,"{'compound_code': '566F+74 Nashville, TN, USA', 'global_code': '868M566F+74'}",2.0,4.5,ChIJ82PBUFlmZIgR5AJxzL28PUw,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3107.0,"401 Broadway, Nashville",{'open_now': True},
OPERATIONAL,"{'location': {'lat': 36.1560961, 'lng': -86.7864075}, 'viewport': {'northeast': {'lat': 36.1572798302915, 'lng': -86.78501246970849}, 'southwest': {'lat': 36.1545818697085, 'lng': -86.78771043029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Virago,"[{'height': 1333, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101678891456551238660"">Virago</a>'], 'photo_reference': 'AW30NDyK2ViEZy-lsMBdbRQ4DLT491fAFdiZkeE6p3Ko7R5jAm7XgBKSjH_CH5shC2uMQdTGhbiFnPNZIPrMn0UvLjik3i3A4oM8KrHqVRJUKcJhhVWj7w9vGCi75MCGhoJvwv2MPDu4U9kzz2B6Vx5SvZJ4y9moQI0yCLAutiWNZydYkTFo', 'width': 2000}]",ChIJW9WZxZNmZIgROqdiJ5laRZM,"{'compound_code': '5647+CC Nashville, TN, USA', 'global_code': '868M5647+CC'}",3.0,4.4,ChIJW9WZxZNmZIgROqdiJ5laRZM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",893.0,"1120 McGavock Street, Nashville",{'open_now': True},
OPERATIONAL,"{'location': {'lat': 36.1849345, 'lng': -86.7541885}, 'viewport': {'northeast': {'lat': 36.1862681802915, 'lng': -86.7529492697085}, 'southwest': {'lat': 36.1835702197085, 'lng': -86.75564723029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Pharmacy Burger Parlor & Beer Garden,"[{'height': 2992, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113238371144896828360"">Thadd F.</a>'], 'photo_reference': 'AW30NDwvSaslojb7EuXqng8FIebW1PXTBxE-2CkNO3DhDIBXCNFeUtdu1J2_J7EznabFWt8HgdnyU1hNm67AKCp_BgpGghEwLNNW1fv1oWrOUByVBa4ArC5TEE6fEa-M767hfqIsOeWUN885M3vQWj_U-aw7SpII4w7AjwLfCChvmpzviJYK', 'width': 2992}]",ChIJSwm2oM9nZIgRBi3dZCQW-P0,"{'compound_code': '56MW+X8 Nashville, TN, USA', 'global_code': '868M56MW+X8'}",2.0,4.5,ChIJSwm2oM9nZIgRBi3dZCQW-P0,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",6270.0,"731 Mcferrin Avenue, Nashville",{'open_now': True},
CLOSED_TEMPORARILY,"{'location': {'lat': 36.1629456, 'lng': -86.7771714}, 'viewport': {'northeast': {'lat': 36.1642274302915, 'lng': -86.77577981970849}, 'southwest': {'lat': 36.1615294697085, 'lng': -86.7784777802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Demos',"[{'height': 853, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113054039544126434139"">Demos&#39;</a>'], 'photo_reference': 'AW30NDyMEBg-c1MdvelENcJgapi8ux0-Z7kqjP61hqGKffyWnAi7rqajtbYLtxIoE5YoJUoASoPi-aT4zkdREmVxhQX4B4XKiLmSuMyHX_ylSa9OO2y6FaN1-E7RpLlKfmwcula2AgCDqfJm_D4194WgR1OIY2hlPtwAy3oVDrc-n6PvCkvS', 'width': 1280}]",ChIJ2c-egVlmZIgRSpiFchLGwjQ,"{'compound_code': '567F+54 Nashville, TN, USA', 'global_code': '868M567F+54'}",2.0,4.3,ChIJ2c-egVlmZIgRSpiFchLGwjQ,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2524.0,"300 Commerce Street, Nashville",,True
OPERATIONAL,"{'location': {'lat': 36.1370291, 'lng': -86.80057459999999}, 'viewport': {'northeast': {'lat': 36.1382982302915, 'lng': -86.79925006970849}, 'southwest': {'lat': 36.1356002697085, 'lng': -86.8019480302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Pancake Pantry - Hillsboro Village,"[{'height': 9000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101913232411922871255"">Josh Tovar</a>'], 'photo_reference': 'AW30NDzv-OaF9lrSw9fCrI7EpO2Agm0JUCMjU2vl_QFZvdRPysIcmVmzop0t03orD7HciLiLZ3-ba32dINuAq8bthPyjkDEQ-CMbJIJR--HOQIlVOuSxOEpGutO1Pvxwg0t5mRypUcgbOGvlw59X-js1YZ8_Zqw3SLHn3AcKaGtkGSEPXGcq', 'width': 12000}]",ChIJr-T8cp9mZIgR7LJlfcTnyKI,"{'compound_code': '45PX+RQ Nashville, TN, USA', 'global_code': '868M45PX+RQ'}",2.0,4.5,ChIJr-T8cp9mZIgR7LJlfcTnyKI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",5024.0,"1796 21st Avenue South, Nashville",{'open_now': False},
OPERATIONAL,"{'location': {'lat': 36.1608975, 'lng': -86.7779358}, 'viewport': {'northeast': {'lat': 36.1621640802915, 'lng': -86.7765475697085}, 'southwest': {'lat': 36.1594661197085, 'lng': -86.7792455302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jack's Bar-B-Que,"[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111734478602053183206"">Jack&#39;s Bar-B-Que</a>'], 'photo_reference': 'AW30NDweQOMXkbjpuQKA7GnXURkQATyWjMMuTbRUcJdtit-yMYB0MEsWKJ9GhkST0yV7pDI8o4uzZYo-BhkK8WKJ5jJ7k1H1QFmVTkAmjy8x2BN8n2IqHM6mQCGZpl8py7LcjT364NqIsOqJVs9kpq0N0Gv2lmUn-s6q9dugU-hy7EFnMaTn', 'width': 1080}]",ChIJP5uQRVlmZIgRFSSD7tYi39M,"{'compound_code': '566C+9R Nashville, TN, USA', 'global_code': '868M566C+9R'}",2.0,4.5,ChIJP5uQRVlmZIgRFSSD7tYi39M,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3534.0,"416 Broadway, Nashville",{'open_now': True},
OPERATIONAL,"{'location': {'lat': 36.1632246, 'lng': -86.78046309999999}, 'viewport': {'northeast': {'lat': 36.1644946302915, 'lng': -86.77898876970849}, 'southwest': {'lat': 36.1617966697085, 'lng': -86.78168673029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Puckett's Restaurant - Downtown Nashville,"[{'height': 412, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113969097877043788634"">Puckett&#39;s Restaurant - Downtown Nashville</a>'], 'photo_reference': 'AW30NDwfwFlJ8imRx6xiqBPldQnIgQvK71NmNdaLJy8LFU7BQNA94VNVXnDGXBYlBpxXVknWnVRwcIAqJd9YgnfIjJVEfzveIjC3FoSkoYYNL4QEvp-E6t-mJs_yF2zVQuXs04eFGUO8DQhwpSld-LRUtmVMzXnHQc6gtyLUlLPDvp7UrQff', 'width': 290}]",ChIJjYUYWVhmZIgRizOTUrFR_1M,"{'compound_code': '5679+7R Nashville, TN, USA', 'global_code': '868M5679+7R'}",2.0,4.3,ChIJjYUYWVhmZIgRizOTUrFR_1M,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",6060.0,"500 Church Street, Nashville",{'open_now': True},
