business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 41.6361352, 'lng': -70.9496514}, 'viewport': {'northeast': {'lat': 41.6376719802915, 'lng': -70.9482961197085}, 'southwest': {'lat': 41.6349740197085, 'lng': -70.95099408029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 1512, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101017341446463722072"">Leiza Sweet</a>'], 'photo_reference': 'AW30NDwuRJha7DdLwiz6B0b5BoZA-cpOWgKImOFZhvMic6GUwyrqXnTvtu7i16N5MWYsF0qgGHCjHlieG7KNffIW0VpUulRKWhPI0R7vXc9DMx5IpkEAVRKJX7urrABC2Pm-qSPpII2muH4TlnWfB7nRjEH0Q_8qvdPuMgeORVSEOgLLEm7G', 'width': 2688}]",ChIJa-nHW4Pj5IkRuKWy16AO540,"{'compound_code': 'J3P2+F4 New Bedford, MA, USA', 'global_code': '87HFJ3P2+F4'}",1.0,4.0,ChIJa-nHW4Pj5IkRuKWy16AO540,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",168.0,"823 Rockdale Avenue D, New Bedford",
OPERATIONAL,"{'location': {'lat': 41.646519, 'lng': -70.887457}, 'viewport': {'northeast': {'lat': 41.64778993029149, 'lng': -70.88613321970848}, 'southwest': {'lat': 41.6450919697085, 'lng': -70.8888311802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bocca,{'open_now': False},"[{'height': 924, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100971218866828838094"">Bocca</a>'], 'photo_reference': 'AW30NDz_AaHkC2KPbzRrWqeKYlstr_n3uNDFxq8Si8tfxyHTej2tMWdaJXu-IBeLefCSmxcn0tbdP6vw7in4tghauHe6liIrTy1jXp45M3d729vTnItP7nY-3TWjPUDTOhZ440P15zepIIPkOX5vv-6KIXXAzEGP1qKB8cL6PbDaB8bi30eD', 'width': 1242}]",ChIJU0IlqLnm5IkRAWmqD6fjPHQ,"{'compound_code': 'J4W7+J2 Fairhaven, MA, USA', 'global_code': '87HFJ4W7+J2'}",2.0,4.5,ChIJU0IlqLnm5IkRAWmqD6fjPHQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1372.0,"100 Alden Road #4721, Fairhaven",
OPERATIONAL,"{'location': {'lat': 41.6622255, 'lng': -70.9412007}, 'viewport': {'northeast': {'lat': 41.6635316802915, 'lng': -70.93982551970849}, 'southwest': {'lat': 41.6608337197085, 'lng': -70.94252348029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105203552262917660245"">Darlene Soares</a>'], 'photo_reference': 'AW30NDw1Hkyp-SgKvGVTxfPd6nUWwpjTr4yW6LDqomInGtMAAWF31rSp7qoTAsZC4YpneFF1dYEPH5gAps3TrvYSB9Qu9UYmxi0X_blixfb-aHEP6Q1dBD7q4K7ODeVdhIGD1Ta7FkPGoGKqEC1E6y0nd_i5g9B45sEEV1eMTe8S3dTicd9Q', 'width': 3264}]",ChIJWap6c2jk5IkRSdVyuhkWCUk,"{'compound_code': 'M365+VG New Bedford, MA, USA', 'global_code': '87HFM365+VG'}",1.0,3.4,ChIJWap6c2jk5IkRSdVyuhkWCUk,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",33.0,"109 Nauset Street, New Bedford",
OPERATIONAL,"{'location': {'lat': 41.6561586, 'lng': -70.9256312}, 'viewport': {'northeast': {'lat': 41.65742893029149, 'lng': -70.92423746970849}, 'southwest': {'lat': 41.6547309697085, 'lng': -70.9269354302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Antonio's Restaurant,{'open_now': False},"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100494006857154164313"">Randall pelletier</a>'], 'photo_reference': 'AW30NDxTNhljcS2MkeZxMVok54OfKn219Fi9e59-Gxra2M8g7MCFz9TOTt3VX7KpO99eV9b9P-VxZonSK7TAXW3ugI_RypsVBS08cVTVlN9afNl1B0SDPAh4By_eWnOiHgHLFXV9H_bFFC3mcF8CM_Ly2ZCa_WN83pEsf37O4VVEUpJD3GBp', 'width': 3264}]",ChIJSdA9GxTk5IkR2WTaigSXhTA,"{'compound_code': 'M34F+FP New Bedford, MA, USA', 'global_code': '87HFM34F+FP'}",2.0,4.5,ChIJSdA9GxTk5IkR2WTaigSXhTA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1514.0,"267 Coggeshall Street, New Bedford",
CLOSED_TEMPORARILY,"{'location': {'lat': 41.656385, 'lng': -70.9220754}, 'viewport': {'northeast': {'lat': 41.6577351802915, 'lng': -70.9206880697085}, 'southwest': {'lat': 41.6550372197085, 'lng': -70.92338603029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103619282739199220690"">Sharon Rivera</a>'], 'photo_reference': 'AW30NDw-KnJ-VxHDNWuQfW7jKG6r4r5b1SK-v3-pxq9XnyCu8vHXi0Vj_TCXu8LKcuklOpiIUP2MhNT0bv0Ve6WfPeci2TEmGg1eoX494h9ephGHDrf5tz33Zxkss56SrFwWkrTfC7SGaRpsO9cIaL1rD5sg7wW5MjshEVxGAm9gIe19ivUZ', 'width': 3120}]",ChIJz4063hbk5IkRz6nJ7crWLC0,"{'compound_code': 'M34H+H5 New Bedford, MA, USA', 'global_code': '87HFM34H+H5'}",1.0,3.8,ChIJz4063hbk5IkRz6nJ7crWLC0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",78.0,"157 Coggeshall Street, New Bedford",True
OPERATIONAL,"{'location': {'lat': 41.6598386, 'lng': -70.9346763}, 'viewport': {'northeast': {'lat': 41.6613069302915, 'lng': -70.9334465197085}, 'southwest': {'lat': 41.6586089697085, 'lng': -70.9361444802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Charlie's Pizza,{'open_now': False},"[{'height': 2460, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116955859479451339151"">Hubert Mandeville</a>'], 'photo_reference': 'AW30NDyaAhE23uew6ahE4to67qQwIU5W6HI3Z2obcCsvy6S1-1h6S6xtRLKrwwlp-dxiKPrlgbHiDopfAAFYKH22GZsRwfizrd6p9udFXF0zUZ5QOfHqYJQfrH81qUA14-iuQD5qh-neniJj4dhuLriTUWo8lY6CQZuiAC0PDTMMoMWGouPI', 'width': 3082}]",ChIJYd8GzGvk5IkR3eCrmkmatmQ,"{'compound_code': 'M358+W4 New Bedford, MA, USA', 'global_code': '87HFM358+W4'}",2.0,4.1,ChIJYd8GzGvk5IkR3eCrmkmatmQ,GOOGLE,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",117.0,"2301 Purchase Street, New Bedford",
OPERATIONAL,"{'location': {'lat': 41.63520560000001, 'lng': -70.9262139}, 'viewport': {'northeast': {'lat': 41.6365781302915, 'lng': -70.9247540697085}, 'southwest': {'lat': 41.6338801697085, 'lng': -70.9274520302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,No Problemo,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107166391841662743537"">Raz</a>'], 'photo_reference': 'AW30NDynAZC0gposNNQ64Dr26uI43b1YBBSc5yOqj4JX-L562uM35Cqfk2QB7etE1rn58gLseSFsQGeRLdLF0a40y_8aFvDpOCTKWzaU1trPgdu-kl4U0adkSazfFovF3GytEUCNMbLtJx3jY1YnFRlbbpTIlDphW8EnpB7Tyc2FCIKw6rER', 'width': 4032}]",ChIJAz5Q6fPj5IkRyy2pTjDCxfs,"{'compound_code': 'J3PF+3G New Bedford, MA, USA', 'global_code': '87HFJ3PF+3G'}",1.0,4.6,ChIJAz5Q6fPj5IkRyy2pTjDCxfs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1325.0,"813 Purchase Street, New Bedford",
CLOSED_TEMPORARILY,"{'location': {'lat': 41.635684, 'lng': -70.924459}, 'viewport': {'northeast': {'lat': 41.6369572302915, 'lng': -70.9231000197085}, 'southwest': {'lat': 41.6342592697085, 'lng': -70.9257979802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Freestone's City Grill,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114776689584249905573"">Isabel Franco</a>'], 'photo_reference': 'AW30NDyod3kdrBWt6DntpGv868t19-vyPAayLbWBsMvr89uNFDAtg1H5sbC3ugqXrHr2nOi0wML4oi8JHZJDYo_ghV3K-KNNh19JVypIzk6V4IXtCOT71H8JLACiPo_rUb3epmlC_TzBcqyDlJ0nV3e2nb5zx6I4iGXKP1H4teAWtkvgJzQZ', 'width': 3024}]",ChIJk5P5UPHj5IkR0eSytbf8_B4,"{'compound_code': 'J3PG+76 New Bedford, MA, USA', 'global_code': '87HFJ3PG+76'}",2.0,4.2,ChIJk5P5UPHj5IkR0eSytbf8_B4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",605.0,"41 William Street, New Bedford",True
OPERATIONAL,"{'location': {'lat': 41.6349153, 'lng': -70.92196229999999}, 'viewport': {'northeast': {'lat': 41.6362708802915, 'lng': -70.9204377197085}, 'southwest': {'lat': 41.6335729197085, 'lng': -70.92313568029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cork Wine and Tapas,{'open_now': True},"[{'height': 287, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109397229450713555809"">Cork Wine and Tapas</a>'], 'photo_reference': 'AW30NDzkp_8d-6uR6DZbHAnGWDHI0jWo95VWqRQ57XrRD09LS8Cls2BPqmIoVR1k2QS-cEg7Azvsx9Esu3sJQFmWV29xd4Tupo9SrD2PTe2LuEKNnAcGQ0-lhyLZykgeARZfrJH6YmYZqVnKin8Fr_l0sUb7JP-AciR2Ehyp95-VSL_-bD02', 'width': 432}]",ChIJw5R22PDj5IkRy4sPI3UBl_E,"{'compound_code': 'J3MH+X6 New Bedford, MA, USA', 'global_code': '87HFJ3MH+X6'}",2.0,4.3,ChIJw5R22PDj5IkRy4sPI3UBl_E,GOOGLE,"['restaurant', 'bar', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",350.0,"90 Front Street, New Bedford",
OPERATIONAL,"{'location': {'lat': 41.640085, 'lng': -70.916485}, 'viewport': {'northeast': {'lat': 41.64136123029149, 'lng': -70.91494751970849}, 'southwest': {'lat': 41.63866326970849, 'lng': -70.91764548029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Fathoms Waterfront Bar & Grille,{'open_now': True},"[{'height': 2848, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112582904930083430369"">Fathoms Waterfront Bar &amp; Grille</a>'], 'photo_reference': 'AW30NDzu49XJwXRgW4uvCCh13HZBOyV-2yK91Fw__k456bnQPyLd-JkmoNASFKdRpdFZ2_rkhKkguwCA3I5wz7YTbNORe-FpAhMuSDenkgRmMYc7SjVqTlztLCTKFDfCAIzLR8YOfGuIpZu-F9n7Qk8wizvf7cLvppnOsSBgw6c0pMTJIlUI', 'width': 4272}]",ChIJz_b81gDk5IkRJl9l1Ar_IV0,"{'compound_code': 'J3RM+2C New Bedford, MA, USA', 'global_code': '87HFJ3RM+2C'}",2.0,4.4,ChIJz_b81gDk5IkRJl9l1Ar_IV0,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1050.0,"255 Popes Island, New Bedford",
