business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 41.3029876, 'lng': -72.9169419}, 'viewport': {'northeast': {'lat': 41.3042814302915, 'lng': -72.9157028197085}, 'southwest': {'lat': 41.3015834697085, 'lng': -72.9184007802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Frank Pepe Pizzeria Napoletana,{'open_now': True},"[{'height': 6656, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113448433664244727446"">Frank Pepe Pizzeria Napoletana</a>'], 'photo_reference': 'AW30NDzzY9_LWGyfDWJYUMvaFko0WEh-H89EiULZgJ3fEOBuhEPMJPLlGlskfgrYIenOBfc7cWiSF_iQ2EiOFzyDDvQhgiHZWcZCN0yiwuRj8ITL50f81pRxiYL2tQpZ2WArCT90rmU_SoBB11RAaZqA2M34tBOTbRq8V-qJE85RXF7K-cm0', 'width': 13312}]",ChIJa0gEhDTY54kR-kUbCu9eH3k,"{'compound_code': '833M+56 New Haven, CT, USA', 'global_code': '87H9833M+56'}",2.0,4.5,ChIJa0gEhDTY54kR-kUbCu9eH3k,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",7156.0,"157 Wooster Street, New Haven",
OPERATIONAL,"{'location': {'lat': 41.30644829999999, 'lng': -72.9304262}, 'viewport': {'northeast': {'lat': 41.30782473029149, 'lng': -72.9291306197085}, 'southwest': {'lat': 41.30512676970849, 'lng': -72.93182858029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Louis' Lunch,{'open_now': False},"[{'height': 1546, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116004470125653942263"">Louis&#39; Lunch</a>'], 'photo_reference': 'AW30NDwDO282dbj0L4ye0kmXLXbSQhi3Z06GVaFShdK_43tYrs0S_dc3Mkf0Rw86XIKHy6ESc-_tCJYIfqtd1VtEFdk0bRtbTHbawciNHnXwppM2hO9wXKShiS_XYWQAe3hHtvnMhKeXZIvkhC9SdNFQElVRqWWOAqs20Ygq1AluLJUKisWd', 'width': 2498}]",ChIJLYyTxUzY54kRl1DVQ7MjH8c,"{'compound_code': '8349+HR New Haven, CT, USA', 'global_code': '87H98349+HR'}",1.0,4.4,ChIJLYyTxUzY54kRl1DVQ7MjH8c,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1743.0,"261 Crown Street, New Haven",
OPERATIONAL,"{'location': {'lat': 41.3055866, 'lng': -72.927307}, 'viewport': {'northeast': {'lat': 41.3068584802915, 'lng': -72.9261941697085}, 'southwest': {'lat': 41.3041605197085, 'lng': -72.92889213029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Barcelona Wine Bar,{'open_now': True},"[{'height': 575, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114245750377794556016"">Barcelona Wine Bar</a>'], 'photo_reference': 'AW30NDzSU3OET37p6a1lngvvXmXgakN7VE751gZQp9w55Qt_u1nyLNigT8Om5EVwHqlMd0cad7QtlemTJ1ErvAF6JkbRuUw9SC68VNw7stKKHnxeF47e50g41YEUe5FH9Mi64Pl-sFoD6s1gWXeclGIAcZWZ-pYSrL16fIW_UxQbLAQfX-DS', 'width': 864}]",ChIJ71oARUvY54kRHbxDTFVkpbo,"{'compound_code': '834F+63 New Haven, CT, USA', 'global_code': '87H9834F+63'}",2.0,4.5,ChIJ71oARUvY54kRHbxDTFVkpbo,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",791.0,"155 Temple Street, New Haven",
OPERATIONAL,"{'location': {'lat': 41.3066515, 'lng': -72.9307073}, 'viewport': {'northeast': {'lat': 41.3079290302915, 'lng': -72.92941311970849}, 'southwest': {'lat': 41.3052310697085, 'lng': -72.93211108029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Geronimo Tequila Bar and Southwest Grill - New Haven,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116808360568690371892"">Amit Jagdale</a>'], 'photo_reference': 'AW30NDyzN6LRPwLs2227m6C2vLtimL78Jjm6U5b4K19Oiv5_6EXEav54Jcykj0uFzlfTjUW7PELe-904OuussWMGSV3yhqkmQuKapnAXO37TiKNOgGEjxKP3Ow77hbK-UDkStlUgosO7InwMdYQQ5nXTsr1A-ds5U_opV3KMLG37_s0xMBI', 'width': 4032}]",ChIJIeclzkzY54kRwdokX8TlM5I,"{'compound_code': '8349+MP New Haven, CT, USA', 'global_code': '87H98349+MP'}",2.0,4.3,ChIJIeclzkzY54kRwdokX8TlM5I,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1307.0,"271 Crown Street, New Haven",
OPERATIONAL,"{'location': {'lat': 41.3062, 'lng': -72.9276}, 'viewport': {'northeast': {'lat': 41.30748918029149, 'lng': -72.9261067197085}, 'southwest': {'lat': 41.3047912197085, 'lng': -72.9288046802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Prime 16,{'open_now': True},"[{'height': 2382, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111719219215411994893"">Hecatonic</a>'], 'photo_reference': 'AW30NDzGFuI9xv-fxHGsWnWea8ghPiLNWrQ1mxSm_NQzlOSyZkNr66tLWQo-gxT08q_WQwGOAZvQVDzigbD3S0hsrKFtEyr1KuCvj-jnNUVx_A3ixxqGNp6I0Kl-kybqOMr8NvX4ctxSLwB4ZG5nu6j3Bfrf1CYFPQoeZK6gWPILoRwFOumg', 'width': 4086}]",ChIJsagnTEvY54kRIfi9QwMk_-M,"{'compound_code': '834C+FX New Haven, CT, USA', 'global_code': '87H9834C+FX'}",2.0,4.4,ChIJsagnTEvY54kRIfi9QwMk_-M,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1037.0,"172 Temple Street, New Haven",
OPERATIONAL,"{'location': {'lat': 41.3138712, 'lng': -72.9129578}, 'viewport': {'northeast': {'lat': 41.3151501802915, 'lng': -72.91147521970849}, 'southwest': {'lat': 41.3124522197085, 'lng': -72.9141731802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Modern Apizza,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116351496048976599604"">Marie Woyto</a>'], 'photo_reference': 'AW30NDzefRoO-p0RtpYr69-W37ywxu8opThPIkUz6pS28xcB_TS6LH2AQol0-DZH924XRBd-gtVTnyIDGyaRpXdnfcIqpWGBHcAq9S7JA5KbgDILDCs7qIgzMok_45jOGsBBZSRWiIG8USWqEtPnkhQF9rbQsExYK-_Xob_mQ_Fm7ltg3Wnu', 'width': 4032}]",ChIJ1xnRh8_Z54kRM138np1gU-U,"{'compound_code': '837P+GR New Haven, CT, USA', 'global_code': '87H9837P+GR'}",2.0,4.6,ChIJ1xnRh8_Z54kRM138np1gU-U,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",4102.0,"874 State Street, New Haven",
OPERATIONAL,"{'location': {'lat': 41.30616070000001, 'lng': -72.92965869999999}, 'viewport': {'northeast': {'lat': 41.3074930302915, 'lng': -72.92824426970849}, 'southwest': {'lat': 41.3047950697085, 'lng': -72.93094223029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pacifico,{'open_now': True},"[{'height': 1100, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118296241069634684116"">Pacifico</a>'], 'photo_reference': 'AW30NDwHeFjYiaOdoX1PK4GrBKhRgKQR4hMpGYiv69yoC0bPxHs9dQK2PiRQVinkk3QtwU6GaEqitt-GSCHywkhKFho4V8gKlhoQUPxtA3gaY2LzcyFhFVa3r-4xVabbf5P4U3yhZVbLkPJWA4JEe3GP8iQSRtOdshn0IV_RZbKOVSmEnzI0', 'width': 713}]",ChIJI7dOuEzY54kRRnS50NhTKEo,"{'compound_code': '834C+F4 New Haven, CT, USA', 'global_code': '87H9834C+F4'}",2.0,4.2,ChIJI7dOuEzY54kRRnS50NhTKEo,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",805.0,"220 College Street, New Haven",
OPERATIONAL,"{'location': {'lat': 41.3060796, 'lng': -72.9304171}, 'viewport': {'northeast': {'lat': 41.30752783029151, 'lng': -72.92898821970849}, 'southwest': {'lat': 41.30482986970851, 'lng': -72.9316861802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,BAR,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105230898543385490664"">Carlos Ruiz</a>'], 'photo_reference': 'AW30NDxp8ZmbdZbXi5OzWW-H9mQbHAPo01nb6U51UThiA5ZfftGe51e5HYYZqSiVWd-VDcKx_t1os_D0PVrKcqJNuVMUZGrfrWQYLeJHEycRA6d0HCk6iZDIGX2tJL5jI0Rpe_-nijOZjKjj7LyMcrrLgQXCOm12EFtPgAXeQo6E4uHEw3Pt', 'width': 3264}]",ChIJXbBUxkzY54kRwFLfSPtNTng,"{'compound_code': '8349+CR New Haven, CT, USA', 'global_code': '87H98349+CR'}",2.0,4.5,ChIJXbBUxkzY54kRwFLfSPtNTng,GOOGLE,"['bar', 'night_club', 'restaurant', 'food', 'point_of_interest', 'establishment']",2473.0,"254 Crown Street, New Haven",
OPERATIONAL,"{'location': {'lat': 41.3072011, 'lng': -72.9289587}, 'viewport': {'northeast': {'lat': 41.3086238802915, 'lng': -72.92755061970848}, 'southwest': {'lat': 41.3059259197085, 'lng': -72.93024858029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Claire's Corner Copia,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104963742234930631906"">Claire&#39;s Corner Copia</a>'], 'photo_reference': 'AW30NDyYA3F_Ksk7G4AmYHIL9B0lcgLThehPmb7warEFN1SH3avYaJzR6u0Ru16N7qEu8d4MXDPnnMJVI53j_JZ4ECJ7vvodYhj7o0--PLrxpVZbEVvjCb2fhkVEQLC_whOLoit4n9oWf18nl0DHkzJUNn1rFZw23E-WCjhPDF1tEGUrthiX', 'width': 3024}]",ChIJq6raUbPZ54kRvxjamtKKLkM,"{'compound_code': '834C+VC New Haven, CT, USA', 'global_code': '87H9834C+VC'}",2.0,4.4,ChIJq6raUbPZ54kRvxjamtKKLkM,GOOGLE,"['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1202.0,"1000 Chapel Street, New Haven",
OPERATIONAL,"{'location': {'lat': 41.3030662, 'lng': -72.9200592}, 'viewport': {'northeast': {'lat': 41.30435558029151, 'lng': -72.9186935697085}, 'southwest': {'lat': 41.30165761970851, 'lng': -72.9213915302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Sally's Apizza,{'open_now': True},"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107606765701320949455"">Star McBabe</a>'], 'photo_reference': 'AW30NDyj-IoGxHlAtmtA0binl0fHD96CSabmb_KWlNjZ9aCi5sv1bSvRyn_gZCepQK68Q0CCK_XJjFex9YIMmg17KlS876KCAbIy8ut7VDc8AlGnY2Y7u0us1ix-0SlF6vjsoJ8ZRyOefvWOVTnyWsv83ESfqFafW2E2wKBxnHCYyhOZyMnj', 'width': 3072}]",ChIJTyJZBzXY54kRd4BObqE0oO0,"{'compound_code': '833H+6X New Haven, CT, USA', 'global_code': '87H9833H+6X'}",2.0,4.4,ChIJTyJZBzXY54kRd4BObqE0oO0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2667.0,"237 Wooster Street, New Haven",
