business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 40.670264, 'lng': -73.9422986}, 'viewport': {'northeast': {'lat': 40.6716564802915, 'lng': -73.9409167197085}, 'southwest': {'lat': 40.6689585197085, 'lng': -73.9436146802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Basil Pizza & Wine Bar,{'open_now': True},"[{'height': 556, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111718875290637226517"">Avi Cohen</a>'], 'photo_reference': 'AW30NDyyLybxaPVVF1KV2ISEZ8acVVBqHSWCa6lIMvWA_F0bl_syw6GDqqWJeHI1QTRoT8S64S-HTfNeLJFP1L6Llf0Zx9z2ZqpHu2GqxWXK0oYjMKAOCZz1zcEIxQ6r9HxZnrndiGspmb-kyhkxUu8ycaVIDf18FKlWiZE5NWBu1SbI3TrH', 'width': 720}]",ChIJ59srB4JbwokRMQ-FCoUgE2Q,"{'compound_code': 'M3C5+43 Brooklyn, NY, USA', 'global_code': '87G8M3C5+43'}",3.0,4.0,ChIJ59srB4JbwokRMQ-FCoUgE2Q,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1068.0,"270 Kingston Avenue, Brooklyn",
OPERATIONAL,"{'location': {'lat': 40.6723857, 'lng': -73.95052299999999}, 'viewport': {'northeast': {'lat': 40.6737244802915, 'lng': -73.94904546970848}, 'southwest': {'lat': 40.6710265197085, 'lng': -73.9517434302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Masago Bistro,{'open_now': True},"[{'height': 2604, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111491411409944890003"">arie meiman</a>'], 'photo_reference': 'AW30NDyYGKqJXeD8kVGQ4cSnY7fJEOaE-LWbP83knqhqoiHbeK_YaLkWyp7bN8PkxX0H9OMzgQ8QiDM3OVj27xZhk9cHogC-aYRRqWH58QcfesochmXRy11BJy8t4iPuxrRFRtFdy_aQbUPxHHdAC-4tKxc7O6VTSbjjCbSbhwFyFjOVDL45', 'width': 4624}]",ChIJcxE2dJ1bwokRY1H5rBQcTjw,"{'compound_code': 'M2CX+XQ Brooklyn, NY, USA', 'global_code': '87G8M2CX+XQ'}",1.0,3.8,ChIJcxE2dJ1bwokRY1H5rBQcTjw,GOOGLE,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",131.0,"766 Nostrand Avenue, Brooklyn",
OPERATIONAL,"{'location': {'lat': 40.6826961, 'lng': -73.94065359999999}, 'viewport': {'northeast': {'lat': 40.6841293802915, 'lng': -73.93933246970849}, 'southwest': {'lat': 40.6814314197085, 'lng': -73.9420304302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rocco Pizza III,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118045232044871838870"">Matt McCaffrey</a>'], 'photo_reference': 'AW30NDz9gw5NibsfJW53pJtjfCWAYPt3pY6SvNPD8eMWV1oHJBkxKbzyOPY4uXhnVoDxwckFl_r4tHW15_3UlpvDi-E_estmSt2G2eD0DTYk5HoIif0ouZzMZTahmDwXzXgBPslVjLcSm5_90Vzzgfy9KVQv67vsSIpgRnfnerGkxuyA6W2f', 'width': 4000}]",ChIJtaOa7vJbwokRMlyllYvJ2_0,"{'compound_code': 'M3M5+3P Brooklyn, NY, USA', 'global_code': '87G8M3M5+3P'}",2.0,4.2,ChIJtaOa7vJbwokRMlyllYvJ2_0,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",264.0,"954-348, 330 Halsey Street #2412, Brooklyn",
OPERATIONAL,"{'location': {'lat': 40.6692684, 'lng': -73.93089259999999}, 'viewport': {'northeast': {'lat': 40.6706248802915, 'lng': -73.9296370197085}, 'southwest': {'lat': 40.6679269197085, 'lng': -73.9323349802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 5312, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109928228940981113161"">Itzy Klein</a>'], 'photo_reference': 'AW30NDwu53VJmCmHHVP_TKlJ2VXltbejwpjfO_TqLn6z-rjvjpLuYMkNhBvz4bV8UcMJIVikvZZZ1waOjyw0IuTjEkEWxam1yEZiW3kDoCHKrOf1tLaisAEg2qv_SiCNwJT1Mt8jHftsqCHO3VPx_yQDPtDguVoT9NXp1EXBDzZUATACiHgl', 'width': 2988}]",ChIJacWAEH5cwokRWQdL2TSctEg,"{'compound_code': 'M399+PJ New York, NY, USA', 'global_code': '87G8M399+PJ'}",1.0,3.6,ChIJacWAEH5cwokRWQdL2TSctEg,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",195.0,"273 Utica Avenue, Brooklyn",
OPERATIONAL,"{'location': {'lat': 40.6817534, 'lng': -73.9346851}, 'viewport': {'northeast': {'lat': 40.68305178029149, 'lng': -73.93339236970849}, 'southwest': {'lat': 40.6803538197085, 'lng': -73.93609033029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Peaches,{'open_now': False},"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113795677391781998036"">G F</a>'], 'photo_reference': 'AW30NDwypQNH6p9ux7eiYGsmxkErMWsBdfx8OOEtEzrfqqur6pGNxHB4duD5VWBEbcpO2AZFaaeAigVZm73KJz4hheWS-UKMR46UeNeoJG5_hpZrQYRVIVvf9kU7zx30t_9Ulfd7ZVm6mVgb7nO-blQ9KpqiMLZ6E5eJMZc7vqm3mShLxfB6', 'width': 1440}]",ChIJvSMmN3ZcwokR2Q8U305wnnQ,"{'compound_code': 'M3J8+P4 New York, NY, USA', 'global_code': '87G8M3J8+P4'}",2.0,4.3,ChIJvSMmN3ZcwokR2Q8U305wnnQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2714.0,"393 Lewis Avenue, Brooklyn",
OPERATIONAL,"{'location': {'lat': 40.6522328, 'lng': -73.92905929999999}, 'viewport': {'northeast': {'lat': 40.65350048029149, 'lng': -73.92765891970849}, 'southwest': {'lat': 40.65080251970849, 'lng': -73.9303568802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 9072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108816506831248142467"">Waterlillez</a>'], 'photo_reference': 'AW30NDwlr7S6EkDko_-4LoTQWPl__Di0wLXj_FaC4TV8CVTQOjxxXRHL3aYWFwVOBehjMy-wseiiV30C-o7bnviGy_MNd3xSIo-g2sMoFoDd0DroxH9fRTB7T-17caIleGz5gge_2qxpAiDJYFiww3Wgev1kGnHOE_VTwKNxLFuwqWmHWNi6', 'width': 12096}]",ChIJm33mOJlcwokR8MQcvkrAdio,"{'compound_code': 'M32C+V9 New York, NY, USA', 'global_code': '87G8M32C+V9'}",1.0,3.7,ChIJm33mOJlcwokR8MQcvkrAdio,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",121.0,"5107 Church Avenue, Brooklyn",
OPERATIONAL,"{'location': {'lat': 40.6614502, 'lng': -73.92008899999999}, 'viewport': {'northeast': {'lat': 40.6627376802915, 'lng': -73.91883676970849}, 'southwest': {'lat': 40.6600397197085, 'lng': -73.9215347302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4208, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114019374745033958577"">Vaughn Greenidge</a>'], 'photo_reference': 'AW30NDwaViQj1unEEfSjIc2i_l7bCM1GXJrCt6o_s2EthXrLiuR1EEqwJ45vzKI1ZVYkyCouRhPzJPNe9OTqGAiToztHcGkudVEZpm-xmoojrvHiuCKODEls4NUYAMkVfR6hJMdkHpfrxroi4B51OmHfvocRSMFkh7ppkafp7NfqbVtvmc4U', 'width': 3120}]",ChIJvcQZxY5cwokRWEQk_ZPAsac,"{'compound_code': 'M36H+HX Brooklyn, NY, USA', 'global_code': '87G8M36H+HX'}",1.0,3.7,ChIJvcQZxY5cwokRWEQk_ZPAsac,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",136.0,"241 B, 1 Rockaway Parkway, Brooklyn",
OPERATIONAL,"{'location': {'lat': 40.68224909999999, 'lng': -73.9290779}, 'viewport': {'northeast': {'lat': 40.68360698029149, 'lng': -73.9276535197085}, 'southwest': {'lat': 40.68090901970849, 'lng': -73.9303514802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chez Oskar,{'open_now': True},"[{'height': 595, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117325942971477413569"">Chez Oskar</a>'], 'photo_reference': 'AW30NDzveGsJYhswtXT7RTNKnpdLxyGT-UJp-bdwbOMKyjKY5QZHPJNg9sSdwT2hQXC6vyf42Ae8UHQYyW5TP-LxaNmZlH0rx_edXJVnehZ75CbHdVp3B8x1hLRP8OXno1l1z-jF4bqgQ5DnFw_alz6wQGQXqFwUT4LspzEwDhKZp5BxQe35', 'width': 595}]",ChIJ86PF_LlbwokRNScSCVf3u84,"{'compound_code': 'M3JC+V9 New York, NY, USA', 'global_code': '87G8M3JC+V9'}",2.0,4.5,ChIJ86PF_LlbwokRNScSCVf3u84,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",969.0,"310 Malcolm X Boulevard, Brooklyn",
OPERATIONAL,"{'location': {'lat': 40.67322540000001, 'lng': -73.9573128}, 'viewport': {'northeast': {'lat': 40.67455093029151, 'lng': -73.9558398697085}, 'southwest': {'lat': 40.67185296970851, 'lng': -73.9585378302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pearl,{'open_now': True},"[{'height': 2688, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106661854991987917184"">Brad Kimbrough</a>'], 'photo_reference': 'AW30NDz2f-ypKKLOlP40wLIs1xDQY6wL00j3nhr6sCy0F_sWpjyBVQv7s_oy77bbokPI3dUMgroMXlUgDtYwiu70iBIGkIjBVt9yHnHuV0maY-r8xbeeHeD15JXAS8nHDnfXWaupcivCGDcttuQu4OsHXBzwotY7vcmd3_4kQ9B4C1oSM8jL', 'width': 3594}]",ChIJw0GOxZ9bwokRW_nsD9s3-l4,"{'compound_code': 'M2FV+73 New York, NY, USA', 'global_code': '87G8M2FV+73'}",1.0,4.1,ChIJw0GOxZ9bwokRW_nsD9s3-l4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",139.0,"738 Franklin Avenue, Brooklyn",
OPERATIONAL,"{'location': {'lat': 40.67209, 'lng': -73.95717599999999}, 'viewport': {'northeast': {'lat': 40.67346498029151, 'lng': -73.9559650197085}, 'southwest': {'lat': 40.67076701970851, 'lng': -73.9586629802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Barboncino Pizza,{'open_now': True},"[{'height': 639, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110566663854782667915"">Barboncino Pizza</a>'], 'photo_reference': 'AW30NDzzsoNeQxTiFgSFST8mQ79Z23ePeLU6c7bA2LyR18_vvUgtuL_UxJek_0z-JmuxFOzU_n7rJxkWintPE4CAJaMVws8glOOSTRv6NmI8krCGeTXHl37IA_yDhC15161eSr8GMdWUc8uI-dlFzmkb1f3hIDYV4iD1uNWJXBRm2JcmeQKp', 'width': 960}]",ChIJGUxKY3VbwokRmgr2gyCUvLY,"{'compound_code': 'M2CV+R4 Brooklyn, NY, USA', 'global_code': '87G8M2CV+R4'}",2.0,4.6,ChIJGUxKY3VbwokRmgr2gyCUvLY,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1545.0,"781 Franklin Avenue, Brooklyn",
