business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 40.7336241, 'lng': -74.16136689999999}, 'viewport': {'northeast': {'lat': 40.7349223302915, 'lng': -74.1600908697085}, 'southwest': {'lat': 40.7322243697085, 'lng': -74.1627888302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Dunkin',{'open_now': False},"[{'height': 800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105851501725059189644"">Dunkin&#39;</a>'], 'photo_reference': 'AW30NDw-63TvbI2SQfRs4Izpcar2TJQofLvt9-QdXcVZj69nzv6KdE1jb8M4BJZmGg44s8v4_-0hiAaueggjjiYPBkMLqUcRWlV3EAaLux9fscemmGvEVv6Hs85WRMRKvz-6K_YDJbTCyic-4EE-X3DQXHuu6Trcfb59Xg3fh_ClE__9Mffq', 'width': 1143}]",ChIJ62obAnNTwokRjotZKXIxO6k,"{'compound_code': 'PRMQ+CF Newark, NJ, USA', 'global_code': '87G7PRMQ+CF'}",1.0,4.3,ChIJ62obAnNTwokRjotZKXIxO6k,GOOGLE,"['meal_takeaway', 'bakery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",10.0,"3 Penn Plaza East, Newark",
OPERATIONAL,"{'location': {'lat': 40.7472227, 'lng': -74.1373016}, 'viewport': {'northeast': {'lat': 40.7487040802915, 'lng': -74.13563446970849}, 'southwest': {'lat': 40.7460061197085, 'lng': -74.13833243029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113401683860481745201"">Subway</a>'], 'photo_reference': 'AW30NDydoraeH_Uil0iv1Jv1bxefZ96upIJysOTpddVXgOC_8NbUiJlPoBl37IGYMyWKlk0w2lrZ4nMI3QrYDP-tR9PeTpOztS03P2czKgXoDcW5VsimS64Jlqp1tVoGRCMtdNqefvsPTNcjHvUMQ_4Fsx39y12hQRcDZMQCFnTv0GqnfH0V', 'width': 1763}]",ChIJ_bP8HhBUwokRaiARrXFJR6g,"{'compound_code': 'PVW7+V3 Kearny, NJ, USA', 'global_code': '87G7PVW7+V3'}",1.0,3.4,ChIJ_bP8HhBUwokRaiARrXFJR6g,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",49.0,"150 Harrison Avenue, Kearny",
OPERATIONAL,"{'location': {'lat': 40.7507903, 'lng': -74.1632355}, 'viewport': {'northeast': {'lat': 40.7520119802915, 'lng': -74.1623310697085}, 'southwest': {'lat': 40.7493140197085, 'lng': -74.1650290302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tops Diner,{'open_now': True},"[{'height': 306, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116433169720952112418"">Tops Diner</a>'], 'photo_reference': 'AW30NDwPEvGKn394HSbIBkG39tiuSrkzsNK3dj6IMBRwopLGF4f1Y9KL1VcWuyTJt9jIiNFGDhSxQ6h6vqUvVuDpnMXUhL3uh-XekZrGipnLAvIVnl_oFDDiC2AqY-MBk4i6jMmevUO1rGOaysS9XbF3tPLT0YUUfGVT6f_ICPDoSYjEQSx8', 'width': 408}]",ChIJWyPDTntUwokRkn8ZaR_xQnM,"{'compound_code': 'QR2P+8P East Newark, NJ, USA', 'global_code': '87G7QR2P+8P'}",2.0,4.6,ChIJWyPDTntUwokRkn8ZaR_xQnM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",11068.0,"500 Passaic Avenue, East Newark",
OPERATIONAL,"{'location': {'lat': 40.7324706, 'lng': -74.1633475}, 'viewport': {'northeast': {'lat': 40.7336780802915, 'lng': -74.1622551697085}, 'southwest': {'lat': 40.7309801197085, 'lng': -74.16495313029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Fornos of Spain,{'open_now': True},"[{'height': 350, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116152361931021501824"">Fornos of Spain</a>'], 'photo_reference': 'AW30NDxEoi7MFik6sWQSpdr1iY7ytdEnsdk9JzFyUXXEqcMtnbx1LWgh3rX-1WzN_7ee1OWgm3J-yEUhd2eJsvtMEBGPxl2ZUXSoW7go2LsyBTTUqJbqpbxBmdmCZjqiIlptgrdeTM0CDGu8nZndeA9ptIwFbVRCIP_E8cwjgTHvN0vFLchg', 'width': 525}]",ChIJje33wYRTwokRmAFvLzMdyrQ,"{'compound_code': 'PRJP+XM Newark, NJ, USA', 'global_code': '87G7PRJP+XM'}",3.0,4.6,ChIJje33wYRTwokRmAFvLzMdyrQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3130.0,"47 Ferry Street, Newark",
OPERATIONAL,"{'location': {'lat': 40.7315524, 'lng': -74.1616777}, 'viewport': {'northeast': {'lat': 40.73278338029149, 'lng': -74.16038496970849}, 'southwest': {'lat': 40.7300854197085, 'lng': -74.1630829302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Iberia Tavern & Restaurant,{'open_now': False},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118360461554315148508"">Iberia Tavern &amp; Restaurant</a>'], 'photo_reference': 'AW30NDzsX1FEZXgU0Ia8EC48tY-72Ez4Wuodcu7coONlmHEOJEbUmL6Ly1q1KxHySkVSuUYZmI5yr3UabFC-9yBKDkl-Mel2lplgaCZ68wTdfRyAxPoDW7r8Ng-qctWO3oTgX3qaUz1pgeCKUvsWwtHcd0gEZXr_goKngij3M7u86lh2czVB', 'width': 960}]",ChIJMf5cL4VTwokRR7eVY2V37ew,"{'compound_code': 'PRJQ+J8 Newark, NJ, USA', 'global_code': '87G7PRJQ+J8'}",2.0,4.2,ChIJMf5cL4VTwokRR7eVY2V37ew,GOOGLE,"['meal_delivery', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2996.0,"80-84 Ferry Street, Newark",
OPERATIONAL,"{'location': {'lat': 40.73669719999999, 'lng': -74.16520489999999}, 'viewport': {'northeast': {'lat': 40.73813808029149, 'lng': -74.1639683697085}, 'southwest': {'lat': 40.7354401197085, 'lng': -74.1666663302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Don Pepe Restaurant,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107989945750733847546"">Drew Rowley 973</a>'], 'photo_reference': 'AW30NDynFwNgj8xhW1mpPqfVQrae9Lw6j8oudhu4fXkvc8RUMfBbGTndlCElMuK5_hMh9q-jvSKV9Bc-RwXIyF4U85N2IFMIiAEavlLhPv3tpnuLto7-vEJGFXCiTWn_x5Wm2ZH8zTL0g0fKF3MKaooON1HXFvxKuKro-Y49oRTeRWXkLQUD', 'width': 4032}]",ChIJI3n6VoFTwokRfZmMKOWt8kk,"{'compound_code': 'PRPM+MW Newark, NJ, USA', 'global_code': '87G7PRPM+MW'}",2.0,4.3,ChIJI3n6VoFTwokRfZmMKOWt8kk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1815.0,"844 McCarter Highway, Newark",
OPERATIONAL,"{'location': {'lat': 40.7344571, 'lng': -74.1657213}, 'viewport': {'northeast': {'lat': 40.7356662802915, 'lng': -74.16453466970849}, 'southwest': {'lat': 40.7329683197085, 'lng': -74.16723263029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Gateway Bistro,{'open_now': False},,ChIJPeVDhYNTwokRZ0RA_PkRTg0,,,3.8,ChIJPeVDhYNTwokRZ0RA_PkRTg0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.0,"1 Gateway, Center Street, Newark",
OPERATIONAL,"{'location': {'lat': 40.7353472, 'lng': -74.165239}, 'viewport': {'northeast': {'lat': 40.7365977302915, 'lng': -74.16378611970849}, 'southwest': {'lat': 40.7338997697085, 'lng': -74.16648408029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Market Street Bar & Grill,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109162131497097982499"">Abba Asal</a>'], 'photo_reference': 'AW30NDxQqdeisAxLt45zz133Etw_8IAFheVzo5pcSQcFF1fuya4zCrKmS4W3gxEQPeu5EFEnnpf3qhvVBNQNqDkrKBExdu9ioi05MNeXYErbAfFtCVvbQ_9uj6p9rz4w_lCFAStAp1z-UlpXg28rKoed4njd6ZAKicC8fS-c-G4fLIWJ-aLo', 'width': 3024}]",ChIJPeVDhYNTwokRyziwSbIZJS4,"{'compound_code': 'PRPM+4W Newark, NJ, USA', 'global_code': '87G7PRPM+4W'}",3.0,3.7,ChIJPeVDhYNTwokRyziwSbIZJS4,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",34.0,"1048 Raymond Boulevard, Newark",
OPERATIONAL,"{'location': {'lat': 40.68772959999999, 'lng': -74.182333}, 'viewport': {'northeast': {'lat': 40.68944743029149, 'lng': -74.18162620000001}, 'southwest': {'lat': 40.6867494697085, 'lng': -74.18445339999998}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cheeburger Cheeburger,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105108634547045349090"">Seung-Yeon Ryoo</a>'], 'photo_reference': 'AW30NDwsalSEns6BtnLJHRbN8QXdNDDmFAoq5yTno4G7rojEb6vyhh9NhTIkHtSwiSmkaVPYTJuHHslDOQ-Nm0chhVldbyXo25PWhtcotDLD-9gJgvmom_puD-2pWCJjHOrtnpnGw0OHCA62f-wEXd31rsC-6gtkTsjp2qSOapfF5M1NY0ry', 'width': 4032}]",ChIJT6bndvJSwokRpwmV_SzEDxY,"{'compound_code': 'MRQ9+33 Newark, NJ, USA', 'global_code': '87G7MRQ9+33'}",2.0,3.3,ChIJT6bndvJSwokRpwmV_SzEDxY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",58.0,"Terminal A, Newark",
CLOSED_TEMPORARILY,"{'location': {'lat': 40.69814, 'lng': -74.179214}, 'viewport': {'northeast': {'lat': 40.69904964999999, 'lng': -74.17828625}, 'southwest': {'lat': 40.69541105000001, 'lng': -74.18199725}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jamba EWR - Newark Airport - C,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110078563957696724757"">Sybid Jones</a>'], 'photo_reference': 'AW30NDwgqj2_33UU8-nEhEONclA9bQ-qsYv8mHXknWNVUkP-1Jtvd7yb0dIBhr_B4yVzicww7BB3ZTsfMSsvNbk7K7uquw_MGLTebfXzewH_RSdHtnUkHU5ltQmqHKKoFVb_1ZHmMG0tTLgj4Cqrdm9Qq96JYBLj6-8uwxb2ePikS9UoIBJM', 'width': 4032}]",ChIJU-lsQPFSwokR8xRS26XSs8M,"{'compound_code': 'MRXC+78 Newark, NJ, USA', 'global_code': '87G7MRXC+78'}",1.0,3.8,ChIJU-lsQPFSwokR8xRS26XSs8M,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",65.0,"Newark Airport Terminal C Space C3-R7, Newark",True
