business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 37.10487020000001, 'lng': -76.5086658}, 'viewport': {'northeast': {'lat': 37.10630363029151, 'lng': -76.5073887197085}, 'southwest': {'lat': 37.10360566970851, 'lng': -76.51008668029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bonefish Grill,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115684892964650852706"">lovely me</a>'], 'photo_reference': 'AW30NDwDWH7J5oZ-lagC7JHZL35kbzbKMS8UNjPkLWw2YSNhzq-Ki0itHSHISea6cCL7WgoH7B7l-LdzFUU-gfx1prvFydYehsB-BKKgm2X__8oAVeCnjFzVPYhxwb_ud-RqbBswZUf9S1fWq1e5JPqMYbPKq9Lx-zBE-U0iD63ItEkD1WRt', 'width': 3024}]",ChIJnybpHyR5sIkRLb-F9_Z1Q2w,"{'compound_code': '4F3R+WG Newport News, VA, USA', 'global_code': '87954F3R+WG'}",2.0,4.4,ChIJnybpHyR5sIkRLb-F9_Z1Q2w,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1425.0,"340 Oyster Point Road, Newport News",
OPERATIONAL,"{'location': {'lat': 37.06593400000001, 'lng': -76.4911886}, 'viewport': {'northeast': {'lat': 37.06725228029151, 'lng': -76.4899469197085}, 'southwest': {'lat': 37.06455431970851, 'lng': -76.49264488029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104500408089723137234"">The Masked One</a>'], 'photo_reference': 'AW30NDyW1sakIowItfooPCwNsVFQ2aIggsGvcp-KeAw2OY4e4bg1PhQxKZ9n1h2Urg1rTqBtSDdxIrXH1qsVMR1akLv4-3fDJSz71-L1SV5lYYNG9K_vUfTpv1VLnSeCequLsVSOKE_8HLEfH1MEatwJs1FabsRgSbKE2h06q6nWglPVYvAe', 'width': 3024}]",ChIJSaYanlp4sIkRynmDkhS3y9E,"{'compound_code': '3G85+9G Newport News, VA, USA', 'global_code': '87953G85+9G'}",1.0,3.8,ChIJSaYanlp4sIkRynmDkhS3y9E,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",79.0,"12368 Warwick Boulevard Suite 110, Newport News",
OPERATIONAL,"{'location': {'lat': 37.07578280000001, 'lng': -76.4718513}, 'viewport': {'northeast': {'lat': 37.0770541802915, 'lng': -76.4706153697085}, 'southwest': {'lat': 37.0743562197085, 'lng': -76.4733133302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Harpoon Larry's Fish House & Oyster Bar,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106164796667544576384"">steve roadinger</a>'], 'photo_reference': 'AW30NDzUKCo-fdZB43ndulm3Fy0cgl8kcj0taLTiDSCgvxtaRUPnbsQOS7LKS-uPddYuAUT43F_7mqUZYva7TnmaaXRGfAd3YT0BGQEHRWg2M4YXRRt1bYRhO14suQdWwweef6Td91tlhXX6ocrI0dUUB6ISyENSSbk9Pn8tbKqKRf0wV--E', 'width': 1920}]",ChIJDc8Fv2iDuokRHiTXLUx2TMk,"{'compound_code': '3GGH+87 Newport News, VA, USA', 'global_code': '87953GGH+87'}",2.0,4.4,ChIJDc8Fv2iDuokRHiTXLUx2TMk,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",4401.0,"621 J Clyde Morris Boulevard, Newport News",
OPERATIONAL,"{'location': {'lat': 37.06367899999999, 'lng': -76.466889}, 'viewport': {'northeast': {'lat': 37.0649603302915, 'lng': -76.46591286970849}, 'southwest': {'lat': 37.0622623697085, 'lng': -76.4686108302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Anderson's Newport News,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110340029811422960733"">Yen Le</a>'], 'photo_reference': 'AW30NDyWf75mIkl5m96PBVZAGrZ2h_rY5YhZn2aSYB8xoZg0heP8rGi1MwXq9Gl-TcTNxpVgoCpYzVSdy-4MvRvZ4Mt5u6Mb4ITG0VbPH2_wd6lCeQEkL6n8V_0qd0jhPPnJzlP9Y4BfRCM8B7KEb3JaIDwsQjREtxq1vU9TTZWBgaGB9Gbk', 'width': 4032}]",ChIJzfIVwHp4sIkRf7KwbbIPxj8,"{'compound_code': '3G7M+F6 Newport News, VA, USA', 'global_code': '87953G7M+F6'}",,4.6,ChIJzfIVwHp4sIkRf7KwbbIPxj8,GOOGLE,"['cafe', 'clothing_store', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",387.0,"11250 Jefferson Avenue, Newport News",
OPERATIONAL,"{'location': {'lat': 37.0844484, 'lng': -76.4877944}, 'viewport': {'northeast': {'lat': 37.0858277802915, 'lng': -76.48628771970849}, 'southwest': {'lat': 37.0831298197085, 'lng': -76.48898568029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Fin Seafood,{'open_now': False},"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110988413278351046244"">Dragon Wu</a>'], 'photo_reference': 'AW30NDzBUpimOJZF-HEr95d1gbrx9hYksLka5p8nRzsQZ-meANFot1j9X9FG9k55uK-m3wedL0-clzY1WqYyzcp_kN_xSdp4A-cthgst3sMKxByFEOPwK2dtojWwuSEzZUCnNaf9R2RFDl7yKrXFincmltP1l6mdmqFoV6X0MUJcrFs_4YjT', 'width': 4096}]",ChIJCypPrfF4sIkR0gSZb8By5dg,"{'compound_code': '3GM6+QV Newport News, VA, USA', 'global_code': '87953GM6+QV'}",3.0,4.6,ChIJCypPrfF4sIkR0gSZb8By5dg,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",848.0,"3150 William Styron Square North, Newport News",
OPERATIONAL,"{'location': {'lat': 37.0847969, 'lng': -76.48048399999999}, 'viewport': {'northeast': {'lat': 37.0859565802915, 'lng': -76.4790888197085}, 'southwest': {'lat': 37.0832586197085, 'lng': -76.4817867802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Manhattan's NY Deli & Pub,{'open_now': True},"[{'height': 2184, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107570736920170388302"">Mark&#39;s Focus on Photography</a>'], 'photo_reference': 'AW30NDwtzfOXtQGS8O_AUK4A4gnoT50xyS0VOycDoluqLKZEX2upg-2_9zk_d1PuLsOLxEgdBSvV0SVZin2DpfhUBpn6useaycaPgTuwgoZTuP94CP-86_-Z1MdossSPsPlaNLI6g9RQ9gVLSjhIv4HlNcrMIdNequ3bP2d0sQLWWBIGDs_q', 'width': 4608}]",ChIJBZewWO14sIkRstmAGVqbpc8,"{'compound_code': '3GM9+WR Newport News, VA, USA', 'global_code': '87953GM9+WR'}",1.0,4.1,ChIJBZewWO14sIkRstmAGVqbpc8,GOOGLE,"['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']",848.0,"601 Thimble Shoals Boulevard, Newport News",
OPERATIONAL,"{'location': {'lat': 37.08352879999999, 'lng': -76.487211}, 'viewport': {'northeast': {'lat': 37.0849436802915, 'lng': -76.48590101970849}, 'southwest': {'lat': 37.0822457197085, 'lng': -76.48859898029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Schlesinger's Steakhouse,{'open_now': True},"[{'height': 600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108341054657978538487"">Schlesinger&#39;s Steakhouse</a>'], 'photo_reference': 'AW30NDzXvV2A31fT2j41TUbbCFjj4IqLQogTNlzGGvtH6i5eHS0kof10vOdqueAG6gNl5tdpAPt--rWIkxLTt07igrTXQgJcXIBte0GjImpCKp7g0ipAA1bmnWId9pBFzwSaVHq_kkteCnuR8Q8OD8um65EhqLx9Ans8MB-kxC3ftjWG6gJk', 'width': 900}]",ChIJzfgEsfF4sIkRoEhrN2O_tWs,"{'compound_code': '3GM7+C4 Newport News, VA, USA', 'global_code': '87953GM7+C4'}",3.0,4.5,ChIJzfgEsfF4sIkRoEhrN2O_tWs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",901.0,"1106 William Styron Square South, Newport News",
OPERATIONAL,"{'location': {'lat': 37.1040358, 'lng': -76.50950519999999}, 'viewport': {'northeast': {'lat': 37.1054663802915, 'lng': -76.5081871197085}, 'southwest': {'lat': 37.1027684197085, 'lng': -76.5108850802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111925682145573850683"">JXAY. VXIV</a>'], 'photo_reference': 'AW30NDws1CZ2U09xElBqrUheMsppRUMbn3DPm55Mjmo5S9LGK6EmOT8sEjxSwvAzJ5EFIBRoLQvQy8NXe2BImPGmHX8glSZm8IiU-ERQOS8p5SrVD0ctKa-pKBQaTGazch664Us9bXqGSE8Y8uf94hGp7fyZFXw0upKT1BktaxHPT1Jjtib8', 'width': 4032}]",ChIJaYSXWCZ5sIkRJyjmzcJamnE,"{'compound_code': '4F3R+J5 Newport News, VA, USA', 'global_code': '87954F3R+J5'}",1.0,4.1,ChIJaYSXWCZ5sIkRJyjmzcJamnE,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",96.0,"318 Oyster Point Road Space 6, Newport News",
OPERATIONAL,"{'location': {'lat': 37.0817355, 'lng': -76.4981325}, 'viewport': {'northeast': {'lat': 37.0830977302915, 'lng': -76.49671351970849}, 'southwest': {'lat': 37.08039976970851, 'lng': -76.4994114802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Schooners Grill,{'open_now': False},"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104793641532141938437"">Schooners Grill</a>'], 'photo_reference': 'AW30NDzZH5r-Q4-FCwHzZiC1lwBD4SF1DqChf9Jn6Dg_qJ3JCtcQlY3otdCL7Jx9QZeQN74YpD_m0-C43dK6dUJ8Czq-3pVW8EhIHqPkSK47Ukwdz4you_56prI3HE3mv6vgfN1Jwmxkom9W8mSPku5irA97wvkDput6mb3TA7X4AqX31sS_', 'width': 1600}]",ChIJSaYanlp4sIkRQ4fVp9Y9pqI,"{'compound_code': '3GJ2+MP Newport News, VA, USA', 'global_code': '87953GJ2+MP'}",2.0,4.5,ChIJSaYanlp4sIkRQ4fVp9Y9pqI,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1352.0,"12567 Warwick Boulevard, Newport News",
OPERATIONAL,"{'location': {'lat': 37.0821197, 'lng': -76.4804274}, 'viewport': {'northeast': {'lat': 37.0834479802915, 'lng': -76.4790261197085}, 'southwest': {'lat': 37.0807500197085, 'lng': -76.4817240802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,IHOP,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117715673493493943222"">Kelly Lopez</a>'], 'photo_reference': 'AW30NDz-cOuKNUX1UfBGxtXl3Nm2MPvMBbDwARUxLtUwzcKyRELDKr51xMrRkBeUFOf5vv-VTNipVNEYmJRYgcGoJdhigR4aoqR4gn2VBsTP-HSslEObFzofQttOn3uYzrvSmNseEbixN33_bkINURaJa2_SE_B8KU2MDaxdwI_TbIpDnJPF', 'width': 4032}]",ChIJQy8G3fJ4sIkRzrbDOBNrudE,"{'compound_code': '3GJ9+RR Newport News, VA, USA', 'global_code': '87953GJ9+RR'}",1.0,3.9,ChIJQy8G3fJ4sIkRzrbDOBNrudE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2060.0,"11745 Jefferson Avenue, Newport News",
