business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity
OPERATIONAL,"{'location': {'lat': 36.9150694, 'lng': -76.2549492}, 'viewport': {'northeast': {'lat': 36.91632543029149, 'lng': -76.25363306970848}, 'southwest': {'lat': 36.9136274697085, 'lng': -76.2563310302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Ruby Tuesday,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101368594551954936543"">Dakota Mitchem</a>'], 'photo_reference': 'AW30NDyZXpHsGRd3ZTpZBMrbF63_bn1YSaG2cSVh5y3MuZ9e3jF7rHYhfXRguRh4vw-QqPz7kF7n_1cChCagc_kebqJ1fKmoPrkODavpxALRUDfGynz_pxxgiiknbp6kplr6pSYMu4w7VOw8S39I-PUZGf4OCJpvbfb2EC4yjzI8tXNG2SbO', 'width': 4000}]",ChIJUbV83k6XuokRFyP32GhfSN4,"{'compound_code': 'WP8W+22 Norfolk, VA, USA', 'global_code': '8785WP8W+22'}",2.0,3.8,ChIJUbV83k6XuokRFyP32GhfSN4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",975.0,"7725 Tidewater Drive, Norfolk"
OPERATIONAL,"{'location': {'lat': 36.9155037, 'lng': -76.2536406}, 'viewport': {'northeast': {'lat': 36.9169259302915, 'lng': -76.2522388197085}, 'southwest': {'lat': 36.9142279697085, 'lng': -76.2549367802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110486225711084623792"">Galen M</a>'], 'photo_reference': 'AW30NDxTHsIyKqI4aqRFxZU-lQRuyx_j3vLSg_NeKyYe_Hsk_HVo0-okKDmb6-mggZDQ4R89BdAY_wnNMwO2dicWGrALVhNyP_KgC13rd7Uw_hSQqqpf3NftWvYW0q73c0DVFSGNEExzHDJwM465YyZPbyJDPSsKxseTKFG97UbCJyC0gcp_', 'width': 4032}]",ChIJY0nLBkyXuokRbHwjZQGynUg,"{'compound_code': 'WP8W+6G Norfolk, VA, USA', 'global_code': '8785WP8W+6G'}",1.0,3.6,ChIJY0nLBkyXuokRbHwjZQGynUg,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",86.0,"7870 Tidewater Drive Unit 207, Norfolk"
OPERATIONAL,"{'location': {'lat': 36.91625259999999, 'lng': -76.21743409999999}, 'viewport': {'northeast': {'lat': 36.9174583302915, 'lng': -76.21616496970849}, 'southwest': {'lat': 36.9147603697085, 'lng': -76.21886293029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,{'open_now': True},"[{'height': 683, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105437797725490561961"">Pizza Hut</a>'], 'photo_reference': 'AW30NDzvLwGYPX9JTt-cBbrcbbM97OdIn7LozNshV3vrUdA0KaJG_EAmBt8hprPOX5J5-78RYrkro-PZ6qalvM1FR8hPtskkt84fNdKAERm9UExOkGmslxAUMMwx1tNfCnE5L2MaT2I8zGw_wPafHHrzlmBdkOG_RHdGhKLgqvs2LHMW5d_2', 'width': 1025}]",ChIJQ85MZtOWuokRwSn3d4A3U0g,"{'compound_code': 'WQ8M+G2 Norfolk, VA, USA', 'global_code': '8785WQ8M+G2'}",1.0,2.9,ChIJQ85MZtOWuokRwSn3d4A3U0g,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",335.0,"2352 East Little Creek Road, Norfolk"
OPERATIONAL,"{'location': {'lat': 36.9169255, 'lng': -76.19583879999999}, 'viewport': {'northeast': {'lat': 36.9183592302915, 'lng': -76.1943865197085}, 'southwest': {'lat': 36.91566126970851, 'lng': -76.19708448029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 812, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105248845928240826397"">Papa Johns Pizza</a>'], 'photo_reference': 'AW30NDzDyRJe8jw2WfTIKXVXqzhgZAu8rnihdy1kNXKM-IzT6eYaw6zAtwhOAwoFavf0DeDI9QTx2m-CHdhvFkJOkgSnnbdOOGWP5t9pYlvJEhINzJkASyWNAy080NZnbetX3KkEHEzJe6S65gcNpZhQpq0L3SMps4rD1obNm6r-YEhZgvbG', 'width': 1444}]",ChIJqw24jUuRuokR6gtXj0dXdvU,"{'compound_code': 'WR83+QM Norfolk, VA, USA', 'global_code': '8785WR83+QM'}",1.0,3.0,ChIJqw24jUuRuokR6gtXj0dXdvU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",178.0,"4017 East Little Creek Road, Norfolk"
OPERATIONAL,"{'location': {'lat': 36.9148056, 'lng': -76.2256669}, 'viewport': {'northeast': {'lat': 36.9162513302915, 'lng': -76.2243488197085}, 'southwest': {'lat': 36.9135533697085, 'lng': -76.2270467802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,The Banque Country Western,{'open_now': False},"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109800527376204675635"">Amandalee S</a>'], 'photo_reference': 'AW30NDyIIRnC1tLPwuUiwop3qaWGWmGIZ9vmBvqyQYS9kXXtynI80qBdmyNJXPo9ToFwoYCMIqsSQUBeMjDTBTBPPXIEj2YL8uh_ipv08lKDRhDCIKGR9wY8lndYM7pNjTR2xVAoP4DFrvhOv07M1LwVKf2txXEqoxo5jQnoDdvi7HQH3m4u', 'width': 4048}]",ChIJeTWgEtWWuokR2LZfAQknoyc,"{'compound_code': 'WQ7F+WP Norfolk, VA, USA', 'global_code': '8785WQ7F+WP'}",2.0,4.3,ChIJeTWgEtWWuokR2LZfAQknoyc,GOOGLE,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",611.0,"1849 East Little Creek Road, Norfolk"
OPERATIONAL,"{'location': {'lat': 36.9163827, 'lng': -76.2730732}, 'viewport': {'northeast': {'lat': 36.9176565302915, 'lng': -76.2716661697085}, 'southwest': {'lat': 36.9149585697085, 'lng': -76.2743641302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 812, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117465072955049398532"">Papa Johns Pizza</a>'], 'photo_reference': 'AW30NDxlyqZeH_wav_8TdAH5XCbA6p7odg-g4RQvGV__QPMwgcmBpX7NXHwUZmf8zrnV_lUBFZomWG-fh1LNABK7gHwvPyQMa-ZaNGFt0Kxxwa1ACIl0ZvfLEvkib2FT4tW-OLdyyagLWz2b7qxjbvm8mvMpNjQV0H1d1OR8-Gzvw9X3cclD', 'width': 1444}]",ChIJEyupof2ZuokR31Eu_peV8NY,"{'compound_code': 'WP8G+HQ Norfolk, VA, USA', 'global_code': '8785WP8G+HQ'}",1.0,3.1,ChIJEyupof2ZuokR31Eu_peV8NY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",244.0,"7639 Granby Street, Norfolk"
OPERATIONAL,"{'location': {'lat': 36.9162571, 'lng': -76.21768159999999}, 'viewport': {'northeast': {'lat': 36.9174604802915, 'lng': -76.21633291970849}, 'southwest': {'lat': 36.9147625197085, 'lng': -76.21903088029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Azalea Inn & Time Out Sports Bar,{'open_now': True},"[{'height': 6936, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110896951748314286569"">Robert Shorter</a>'], 'photo_reference': 'AW30NDxwk-8cGwt_U0oDca6uD5bcstlvxSrKcGu-8saEP20NLVHmEXE3LXuQtAKrfeUAdDprBGPuXXa5RRNzVcugXbUDwEJvVs9WdtdD30LeWjVRzNusqcO55ynf7NfdPI5EedLErbaw69fly9SS0jxocXm40i5RAk-mP37ZwePVVJ3LNL6N', 'width': 9248}]",ChIJ71EWatOWuokRsEDmD59AARI,"{'compound_code': 'WQ8J+GW Norfolk, VA, USA', 'global_code': '8785WQ8J+GW'}",2.0,4.3,ChIJ71EWatOWuokRsEDmD59AARI,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1625.0,"2344 East Little Creek Road, Norfolk"
OPERATIONAL,"{'location': {'lat': 36.9213802, 'lng': -76.1929099}, 'viewport': {'northeast': {'lat': 36.9225524802915, 'lng': -76.19141781970848}, 'southwest': {'lat': 36.9198545197085, 'lng': -76.1941157802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Captain Groovy's Grill & Raw Bar,{'open_now': False},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110655923906381484699"">Shen Sen</a>'], 'photo_reference': 'AW30NDxqBm4jqu0-YJE6SKOdcLFpzmhjPqqnHt1qpdwIm4VnO4eEQ6T0Z3HJFtvB8l8b1k7BbDvnoOIMub0ize9j1xlr8GPBc9yzTP4Z5nzP5-ut_p1nPiyNTblj8VIMH0XD7uNFW1O-SA-XnYepnZu_jCZcHO13UkAapzyGqMTWJGuXAgTu', 'width': 5333}]",ChIJ8Q8FVk6RuokRXnj0FgVGHD8,"{'compound_code': 'WRC4+HR Norfolk, VA, USA', 'global_code': '8785WRC4+HR'}",2.0,4.4,ChIJ8Q8FVk6RuokRXnj0FgVGHD8,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1916.0,"8101 Shore Drive, Norfolk"
OPERATIONAL,"{'location': {'lat': 36.91694199999999, 'lng': -76.232613}, 'viewport': {'northeast': {'lat': 36.9181991802915, 'lng': -76.23116061970849}, 'southwest': {'lat': 36.9155012197085, 'lng': -76.23385858029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,El Azteca - Norfolk,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110554794195725757468"">George Marrero</a>'], 'photo_reference': 'AW30NDys3UC_PfvQaYvaaMqXowziBo9w_NiLlUwUWvBPH0KkzUHs-yPpq3CwtmT1kEk9uo6IGge1Z1o-SMxGS450VNJK_PSybS4JeC30rarDS_icNfOdKsrlj5JboioIauIZ5fZ4aiOquOjmsKjmrIMb4m9HJgw_8A9iDbeHk22Mn88mT6wl', 'width': 4032}]",ChIJt78B6CyXuokRNBzsuR0XRPA,"{'compound_code': 'WQ88+QX Norfolk, VA, USA', 'global_code': '8785WQ88+QX'}",1.0,4.5,ChIJt78B6CyXuokRNBzsuR0XRPA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2017.0,"1522 East Little Creek Road, Norfolk"
OPERATIONAL,"{'location': {'lat': 36.9154258, 'lng': -76.2240427}, 'viewport': {'northeast': {'lat': 36.9168810302915, 'lng': -76.22265176970849}, 'southwest': {'lat': 36.91418306970851, 'lng': -76.22534973029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Golden China Restaurant,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110486225711084623792"">Galen M</a>'], 'photo_reference': 'AW30NDxQfzOyXeFh5zY7TYp5sHLPnr1BZ86c2FboS2nyu6I5UffOHrisAl0EE6vw8lZOOiICLyq6qzgyyior_M7a5d-Yutp-UHVt04CdZA9Y26AaQjrOpWan7UDVZD6X-QQPPzI5aIRr1rXHo_mvx6H0q-ursdKMDe_pQ61PGu4RjsRZ1Q-o', 'width': 4032}]",ChIJt1SOetWWuokRUXudEnAgR5Q,"{'compound_code': 'WQ8G+59 Norfolk, VA, USA', 'global_code': '8785WQ8G+59'}",2.0,3.5,ChIJt1SOetWWuokRUXudEnAgR5Q,GOOGLE,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",149.0,"1865 East Little Creek Road, Norfolk"
