business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 35.2149803, 'lng': -97.4231286}, 'viewport': {'northeast': {'lat': 35.2163674802915, 'lng': -97.4217779197085}, 'southwest': {'lat': 35.2136695197085, 'lng': -97.42447588029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113477389597940212923"">Sua Kim</a>'], 'photo_reference': 'AW30NDwtAAtUUDwSIBpPOXI1v1rOcCoCBI6NPTExJyE-kStaNIU_v8WJBG48Ty1ybLccTwFgdWW8E6qvM7fbv5uA4R_5Ne9iqv-ecRuDTYfo97cXjZcq5olL20DY4lVxFLDYseZI7dEsDx4gYhf27YNACzS4kxLdIkJ0E31UBH_R9zSPXl4', 'width': 3024}]",ChIJIwthMmRCsocRYMB27Kzgg_Y,"{'compound_code': '6H7G+XP Norman, OK, USA', 'global_code': '86746H7G+XP'}",1.0,3.3,ChIJIwthMmRCsocRYMB27Kzgg_Y,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",199.0,"311 12th Avenue Southeast, Norman",
OPERATIONAL,"{'location': {'lat': 35.2166849, 'lng': -97.42455}, 'viewport': {'northeast': {'lat': 35.2181047802915, 'lng': -97.42322996970849}, 'southwest': {'lat': 35.2154068197085, 'lng': -97.42592793029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Taste of India,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111826337775140631343"">Vivek Vijay</a>'], 'photo_reference': 'AW30NDytaaK3uAttFmWcNnw6Ib-E9I-CQ3-lHzbWG6kzmpObbMliFvHLSCLNdZaprMQ4_wnF8LbAhXL3R_JXcjxkOrdJ5EHACHNBO4GgtiqZmm-koy0y_ZbZJ1tgQBDhaf_N1oJi35eVr3tcqDzaExMWVQQodLy2q4Od5Vj3Wa_mcaWBozZg', 'width': 3264}]",ChIJ86n4jW9CsocRSXlVpBtA3u8,"{'compound_code': '6H8G+M5 Norman, OK, USA', 'global_code': '86746H8G+M5'}",2.0,4.3,ChIJ86n4jW9CsocRSXlVpBtA3u8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",323.0,"1000 East Alameda Street #140b, Norman",
OPERATIONAL,"{'location': {'lat': 35.187837, 'lng': -97.32579229999999}, 'viewport': {'northeast': {'lat': 35.18991165, 'lng': -97.3244541697085}, 'southwest': {'lat': 35.18714545, 'lng': -97.32715213029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Whispering Pines Inn,{'open_now': False},"[{'height': 1371, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104935474516537765730"">Whispering Pines Inn</a>'], 'photo_reference': 'AW30NDx-BwJj2Z1u5R_Pk4651NZvYOSESQlIcVyQ0odim0YDPRbg-Pz0TLt98qVbZhlcLYlAOdAEy8HXcX2_8Q37WFp0VOl3AJGT9nO1BomRxZ4Ttxrm61FXu-A4MiYEJD8AO1IufAuCnjAsljJkN7lMtPSfryk0XH6azm1IlwRrsQbf-hHR', 'width': 2048}]",ChIJxe6NbsFEsocRTjG4MNzbKI4,"{'compound_code': '5MQF+4M Norman, OK, USA', 'global_code': '86745MQF+4M'}",2.0,4.5,ChIJxe6NbsFEsocRTjG4MNzbKI4,GOOGLE,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",336.0,"7820 East State Highway 9, Norman",
OPERATIONAL,"{'location': {'lat': 35.22918959999999, 'lng': -97.4229692}, 'viewport': {'northeast': {'lat': 35.23044993029149, 'lng': -97.42160861970851}, 'southwest': {'lat': 35.22775196970849, 'lng': -97.42430658029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115318021585823781596"">Nikole Baker</a>'], 'photo_reference': 'AW30NDwqKjPlQWRyNKglLihOMLO17waz9_BYOhJp8FYcNgcwlWN-8jB6_uyYDfItOPDm5U4ZFVraTU0Ad1rjRw2ARIG4Osa_zOyWkFfNgq1BToXHrX5syqP4qIkQ8GO6OjDg8JzpJQZc1gsAQcLTAeKa6Yuu2rm7YGlfew9-hhv-lMFRC1jB', 'width': 1920}]",ChIJ3wnzSRNCsocRbefJTGqIuZM,"{'compound_code': '6HHG+MR Norman, OK, USA', 'global_code': '86746HHG+MR'}",1.0,3.7,ChIJ3wnzSRNCsocRbefJTGqIuZM,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",443.0,"901 12th Avenue Northeast, Norman",
OPERATIONAL,"{'location': {'lat': 35.1815693, 'lng': -97.4176641}, 'viewport': {'northeast': {'lat': 35.18309293029149, 'lng': -97.41625361970848}, 'southwest': {'lat': 35.18039496970849, 'lng': -97.41895158029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1932, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112958519135007525581"">S W S</a>'], 'photo_reference': 'AW30NDxW68noy1NAp6imvxb9PeUfP90XR_FtqVPUbG0v_jUlW9o-pNIMUnurC5589SmQbtGj1YeVoPnIKMtT_V0nw5mSoaPs992fP08MirEhUyPXpk9Yen3VT-Rr18ASiViQZG9H7ytCgoPlSfnD09Z6mnhdr05diX-weYrhdukTxiuPUSL4', 'width': 2576}]",ChIJh2ONvL9CsocRNljJa69NhHA,"{'compound_code': '5HJJ+JW Norman, OK, USA', 'global_code': '86745HJJ+JW'}",1.0,3.4,ChIJh2ONvL9CsocRNljJa69NhHA,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",215.0,"3040 Classen Boulevard, Norman",
OPERATIONAL,"{'location': {'lat': 35.2053911, 'lng': -97.4324877}, 'viewport': {'northeast': {'lat': 35.2067337302915, 'lng': -97.43114171970849}, 'southwest': {'lat': 35.2040357697085, 'lng': -97.4338396802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112179241841140034353"">Zachariah madewell</a>'], 'photo_reference': 'AW30NDzxQo7lys8sUIyitiMR0uSEMCRYPydUzIgUbw83tDYd5UyEvjbdAmeE5shVXIDhnq5CqlHLwL36a4x9_WKy7aPAKkY2GM2K02ztAO-p-MLjCOvOhBjTNgAJDfgC3AbKs4PgoBbZWdBUo40wtbRNi7YIVo4rSLqJTSyd2SNFkB4TbSEz', 'width': 4000}]",ChIJu-83lS1osocRD4M9TjJvGdY,"{'compound_code': '6H49+52 Norman, OK, USA', 'global_code': '86746H49+52'}",1.0,3.7,ChIJu-83lS1osocRD4M9TjJvGdY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",265.0,"1915 Classen Boulevard, Norman",
OPERATIONAL,"{'location': {'lat': 35.2180544, 'lng': -97.4219629}, 'viewport': {'northeast': {'lat': 35.2194837302915, 'lng': -97.4206142197085}, 'southwest': {'lat': 35.2167857697085, 'lng': -97.42331218029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Domino's Pizza,{'open_now': True},"[{'height': 1253, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112522251440287634736"">Domino&#39;s Pizza</a>'], 'photo_reference': 'AW30NDzxm1jANkwfnWkbYa8opqUcLMMj1VCg0KIJE5_m3aqsO7ng_3VVNT3DQEFOyMs-PdZE-Wx9Xg0KS6t8nUAXNUEdYXiHy751GKl1QG5slItVPvoo1bTlba-E4IPuvaA6t8KT0YmxB-h-l1kPH8EgB5JVnoEk9dI-mRjYU37chT_ZD2_9', 'width': 1080}]",ChIJDf4zVW9CsocRwvQ5bIdit14,"{'compound_code': '6H9H+66 Norman, OK, USA', 'global_code': '86746H9H+66'}",1.0,4.1,ChIJDf4zVW9CsocRwvQ5bIdit14,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",377.0,"1236 East Alameda Street Ste 200, Norman",
OPERATIONAL,"{'location': {'lat': 35.22780820000001, 'lng': -97.4413034}, 'viewport': {'northeast': {'lat': 35.22925058029151, 'lng': -97.43991616970848}, 'southwest': {'lat': 35.22655261970851, 'lng': -97.4426141302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tarahumara's Méxican Cafe & Cantina,{'open_now': True},"[{'height': 1631, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105753922854151554398"">Lance Davis</a>'], 'photo_reference': 'AW30NDymlbPRvO3Lsbr6uhXK21w2MT-Y-W-UxVy5VXfWco52dhHL8fELy2BGZL7aKU5EO_QYSYsRYNN4ty8D4bZBxTQlhFXWXvj0DEnn8ea1LbL3xmQsTOL4jqYOTkB3_2v947atebJ62yJMwNEc25L3a_ejMYIOsAOkRBmln6Cq6YM0klFv', 'width': 2899}]",ChIJtTMsguBpsocRQu3zOO5nGAY,"{'compound_code': '6HH5+4F Norman, OK, USA', 'global_code': '86746HH5+4F'}",2.0,4.6,ChIJtTMsguBpsocRQu3zOO5nGAY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",4292.0,"702 North Porter Avenue, Norman",
OPERATIONAL,"{'location': {'lat': 35.2179775, 'lng': -97.424746}, 'viewport': {'northeast': {'lat': 35.21930288029149, 'lng': -97.42351116970849}, 'southwest': {'lat': 35.21660491970849, 'lng': -97.42620913029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Raising Cane's Chicken Fingers,{'open_now': True},"[{'height': 2992, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113171158736655469185"">Michael Buser</a>'], 'photo_reference': 'AW30NDwO_37-x8gHPs9dIusCffhWgLYSRYA0mt10KPfjn4XXCQV2eUuVtGsPKDtbyQZri9w-7TqjeIYT4_yf2nohkghtXZHyz6wcrgs2tJCN1F80LhnjZwDSJqidsz6LAhkrmq_VP-z_eHV26g4qN1SVnRYHq51N_OB-Gq-nuaV-R5ddUuwa', 'width': 4000}]",ChIJ03HHgW9CsocRTu0L4CEJqQs,"{'compound_code': '6H9G+54 Norman, OK, USA', 'global_code': '86746H9G+54'}",1.0,4.3,ChIJ03HHgW9CsocRTu0L4CEJqQs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",654.0,"1130 East Alameda Street, Norman",
OPERATIONAL,"{'location': {'lat': 35.21708230000001, 'lng': -97.42535769999999}, 'viewport': {'northeast': {'lat': 35.2184467302915, 'lng': -97.4239543197085}, 'southwest': {'lat': 35.2157487697085, 'lng': -97.4266522802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Panda Garden,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106269697422813027859"">Darius P</a>'], 'photo_reference': 'AW30NDx7z9ptlqEYoLFvu9gaQq3Urx7EWhNv5aOeM7omgCzRtgtMr4HBzvj-rqQ04C_QSiy9lDuEOF4Mspb0JChuNkPGOh4N0NKpJ3Ztk_UyXbqzoO7BDkmVuDF4PF_cc1XarS5vYlQVL9lvh-ZtZSJYxxmMRUuv1k6KXAJAyCRs6nFVf12i', 'width': 1920}]",ChIJ86n4jW9CsocRmp_d0JQ2W1g,"{'compound_code': '6H8F+RV Norman, OK, USA', 'global_code': '86746H8F+RV'}",1.0,4.0,ChIJ86n4jW9CsocRmp_d0JQ2W1g,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1126.0,"1000 East Alameda Street #118, Norman",
OPERATIONAL,"{'location': {'lat': 35.1829472, 'lng': -97.4186596}, 'viewport': {'northeast': {'lat': 35.1841237302915, 'lng': -97.41716716970848}, 'southwest': {'lat': 35.1814257697085, 'lng': -97.4198651302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Buffalo Wild Wings,{'open_now': True},"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115248946555930647653"">Gabriel Rodriguez</a>'], 'photo_reference': 'AW30NDxFZUboXHD3fIXti5pcPOFS6Me96eitxpCgTqvw-yx3YaXjNZf97sm6v1af4kDcN6r-GacO3sDPGV__x3YFMfjTsawMsU6vPS96bXjRT1Mm2vrnsBOisYYx7fw1g87pAloYIkqGbcVmAKvrsAMXB6SlWX-B3GwfjdFHlKZyOWxxVODz', 'width': 4608}]",ChIJ89lCub9CsocRs7yUYHYNopM,"{'compound_code': '5HMJ+5G Norman, OK, USA', 'global_code': '86745HMJ+5G'}",2.0,3.7,ChIJ89lCub9CsocRs7yUYHYNopM,GOOGLE,"['bar', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1550.0,"3010 Classen Boulevard, Norman",
OPERATIONAL,"{'location': {'lat': 35.21093030000001, 'lng': -97.4365648}, 'viewport': {'northeast': {'lat': 35.2121897802915, 'lng': -97.43515881970849}, 'southwest': {'lat': 35.2094918197085, 'lng': -97.4378567802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,The Mont,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108965757590835324582"">Laura Spriggs</a>'], 'photo_reference': 'AW30NDycePRYgR7PDBZ0DT7A78C3sB9tg45dKruKhNl6Ygv4t-3D6KGFrj5F6L9MfWvIwasaHgJ_oCHKhmXN_J1RqLB8IodgD9ulBgBRROGSau2zSzAFdZvlXZr4Ick3qBSykgM3g9ht6nsC4vY5xDzL-jjDb8aZj3WbNWl0xg863a4NNglO', 'width': 4032}]",ChIJ46S0OX9CsocRtEKA7EIWilI,"{'compound_code': '6H67+99 Norman, OK, USA', 'global_code': '86746H67+99'}",2.0,4.3,ChIJ46S0OX9CsocRtEKA7EIWilI,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1691.0,"1300 Classen Boulevard, Norman",
OPERATIONAL,"{'location': {'lat': 35.2224039, 'lng': -97.4402607}, 'viewport': {'northeast': {'lat': 35.22400023029149, 'lng': -97.4389893697085}, 'southwest': {'lat': 35.2213022697085, 'lng': -97.4416873302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Garage Burgers & Beer,{'open_now': True},"[{'height': 667, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112640495207909817312"">The Garage Burgers &amp; Beer</a>'], 'photo_reference': 'AW30NDxYXz-BW6yAZa3sA4HCL7wTZYRGG9iJRhaTnWjXDUzTL38N05MMLsu9_B6ZpU81LYTwxcGXFw9bD4sLwsdQ2ml8cvrPECNu0XhdLtSselqvZSlVS-7Z6LmzkSC1ryEfGaJucbsa-GytIb3LIJiFM5U3FnZpro-POzbxFZjWmwMzoTje', 'width': 1000}]",ChIJFX3SLd9psocRurZaddbulpw,"{'compound_code': '6HC5+XV Norman, OK, USA', 'global_code': '86746HC5+XV'}",2.0,4.6,ChIJFX3SLd9psocRurZaddbulpw,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1936.0,"307 East Main Street, Norman",
OPERATIONAL,"{'location': {'lat': 35.19159859999999, 'lng': -97.4225151}, 'viewport': {'northeast': {'lat': 35.1929755802915, 'lng': -97.4213159697085}, 'southwest': {'lat': 35.1902776197085, 'lng': -97.42401393029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,China Wonder,{'open_now': True},"[{'height': 3077, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101895969668716815601"">Jenni Davis</a>'], 'photo_reference': 'AW30NDxLolYHkFviDVbQMYdcL68t6lj4EcpkevKiujHPNcPRshytFcxdRYQCzzY3QErBkyrUvH2PGqw9yjHnLdyCaYptlLnf22lQnqofLLG2bQfjxVXy40ISsdHWzek_Yvh3T5gg0jpWOr4YDW8RA6HrusonHJXc0CIOS5dBe3wgu4dnF6A7', 'width': 2478}]",ChIJ_WhmQZFCsocRl1KOlVd7PCg,"{'compound_code': '5HRG+JX Norman, OK, USA', 'global_code': '86745HRG+JX'}",1.0,3.8,ChIJ_WhmQZFCsocRl1KOlVd7PCg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",339.0,"2627 Classen Boulevard #108, Norman",
OPERATIONAL,"{'location': {'lat': 35.2210717, 'lng': -97.43957879999999}, 'viewport': {'northeast': {'lat': 35.2223677302915, 'lng': -97.43834386970849}, 'southwest': {'lat': 35.2196697697085, 'lng': -97.4410418302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Blu,{'open_now': True},"[{'height': 9000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107698528973218061345"">Jairo Soto</a>'], 'photo_reference': 'AW30NDynzIOEPNs09TaNmicUjrOP1Qrwl1GQXwWM9gAwDn7GKv-sIjl534VnnDryrpptOImIPTVsAi-DNuoiyWFa1OrGrI0yQEt_ur85dSgh6AeHbPDx4r8agfBHMJ53wqnBBG9wXX1c5OYXAIUzR8Vxzu2bLpj9sHMerJefChu2HizgTjI-', 'width': 12000}]",ChIJI6j8wNhpsocRkL85rLTiR5U,"{'compound_code': '6HC6+C5 Norman, OK, USA', 'global_code': '86746HC6+C5'}",2.0,4.3,ChIJI6j8wNhpsocRkL85rLTiR5U,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",531.0,"201 South Crawford Avenue, Norman",
OPERATIONAL,"{'location': {'lat': 35.21584380000001, 'lng': -97.4231926}, 'viewport': {'northeast': {'lat': 35.2171523302915, 'lng': -97.42183271970849}, 'southwest': {'lat': 35.21445436970851, 'lng': -97.42453068029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Taco Bueno,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107656310757322765541"">Denys B.</a>'], 'photo_reference': 'AW30NDxgBGrLrxLT1IA8rovA4ZmNskHheefC34bPK-C6YlJaoxsWx3h5hfH36WNC4qPAkf1v3KVegCpsKEZw8G6At658yH-JVxut0CgdIMzIQ0hj_t83-i1mVdbTrm__7bFoR57z2jVeXo_UckXx-_2k4uyRkSU18dLbHKcUAJgUlhJV57pO', 'width': 3024}]",ChIJM7MqxmVCsocRn-Qct0Mb0jc,"{'compound_code': '6H8G+8P Norman, OK, USA', 'global_code': '86746H8G+8P'}",1.0,3.4,ChIJM7MqxmVCsocRn-Qct0Mb0jc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",719.0,"251 12th Avenue Southeast, Norman",
