business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 36.2187269, 'lng': -115.121222}, 'viewport': {'northeast': {'lat': 36.22000088029149, 'lng': -115.1200072197085}, 'southwest': {'lat': 36.21730291970849, 'lng': -115.1227051802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Lucky Club Hotel & Casino,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104949073312944248467"">Mayra F.</a>'], 'photo_reference': 'AW30NDz9NNfJpncZp0EbXF1hMyZz8tnRsMvgj1kCMP_vKuQhDN2tRM8r2GtXXQ5QgYTi-cbnK3bwPUUTWaaheMAqvifOnNay3kSUecWZqMjRpO9cttDGPHdlHhT24faQlgRycVHtYLTMFqRSceD-1ncADi7Dpof5aRb7buLYrED2ta7t-gpO', 'width': 4608}]",ChIJsZDyWJTCyIAR9IiwGIUJ3h8,"{'compound_code': '6V9H+FG North Las Vegas, NV, USA', 'global_code': '85866V9H+FG'}",3.6,ChIJsZDyWJTCyIAR9IiwGIUJ3h8,GOOGLE,"['casino', 'night_club', 'lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3360.0,"3227 Civic Center Drive, North Las Vegas",,,
OPERATIONAL,"{'location': {'lat': 36.2181426, 'lng': -115.0915758}, 'viewport': {'northeast': {'lat': 36.2193575302915, 'lng': -115.0905617697085}, 'southwest': {'lat': 36.2166595697085, 'lng': -115.0932597302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jack in the Box,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109604504136181866695"">Laurie Scholes</a>'], 'photo_reference': 'AW30NDxE3dWqm_Xgt94h2bjSb1NYceS2EZYvk1X72NH6avflXY83o7Cp0SlNfMweGK2mMW7o4pd9HbfMHbPMy4nLvVPbcRBz0GmaxC8ZxhqVsczUO-eti6Y8p4J_or8fxfV1srflIwfvPknxwYVk1tWHSorhXbcZrBKxD-aQf9ccAsVjjP0I', 'width': 1080}]",ChIJF-npfczCyIARHyTFFlqbYPw,"{'compound_code': '6W95+79 Las Vegas, NV, USA', 'global_code': '85866W95+79'}",3.7,ChIJF-npfczCyIARHyTFFlqbYPw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",859.0,"3320 Las Vegas Boulevard North, Las Vegas",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 36.260299, 'lng': -115.1540044}, 'viewport': {'northeast': {'lat': 36.26170073029149, 'lng': -115.1527718197085}, 'southwest': {'lat': 36.25900276970849, 'lng': -115.1554697802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109256565155988076756"">Marshall Calvert</a>'], 'photo_reference': 'AW30NDxc1QcNI5tRG-x_Js3x01ArVdDu3bb5d7kfrueuIVoyXybiUJVQvBcZR-e_qcQgaPf4t7_v0L1XWs8jSP2wUUH7cqi_8ShJBkcVRITr81wVOsTHlEreqcB-CKXF5CHlplqWSi8h5u8tq2pk-nXLI1wFO6Oariyk2skA-ea-Nd76RKBp', 'width': 4032}]",ChIJMc0lW6XpyIAR2iJ4n3g_fZU,"{'compound_code': '7R6W+49 North Las Vegas, NV, USA', 'global_code': '85867R6W+49'}",4.0,ChIJMc0lW6XpyIAR2iJ4n3g_fZU,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",148.0,"5546 Camino Al Norte Suite 7, North Las Vegas",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 36.292557, 'lng': -115.17962}, 'viewport': {'northeast': {'lat': 36.2935876302915, 'lng': -115.1789040197085}, 'southwest': {'lat': 36.29088966970851, 'lng': -115.1816019802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Capriotti's Sandwich Shop,"[{'height': 3492, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110639259592758974536"">jasonsoutlook1</a>'], 'photo_reference': 'AW30NDzTWsRTs400PA9u56GUgSDaht3U2-F5ABcd6Om0Hql77ap49nvSv3NehrfEEj_ZM-nxy6VTl4vfTTzk1ynKy7dQgVsvdZeVGrsBQDShS3YBksoRnn0loTc3J_JI9-wjxS8yc9599gM4gXe5vtr8_hLCBUdhFxhYWizFWw8cKQJXFVZ8', 'width': 4656}]",ChIJN-nO81rpyIARB0vzCWdxpLE,"{'compound_code': '7RVC+25 North Las Vegas, NV, USA', 'global_code': '85867RVC+25'}",3.9,ChIJN-nO81rpyIARB0vzCWdxpLE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",52.0,"7300 North Aliante Parkway, North Las Vegas",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 36.2400932, 'lng': -115.1422494}, 'viewport': {'northeast': {'lat': 36.2413113802915, 'lng': -115.1409030697085}, 'southwest': {'lat': 36.2386134197085, 'lng': -115.1436010302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Buffalo Wild Wings,"[{'height': 833, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110233302635666189476"">Jesse L</a>'], 'photo_reference': 'AW30NDwXuAXa-mPfj1bVmjSS8cxtUVctQf99kqnmYXk3gIVp_R-vSz4STaNE2RIV89C0btMuYrP6KM3sXKk_p0mQdK-iULFAu8sKQuuU5mVX4yhvoG1y01_xMi_88Ri6SNfdzaeJNrpt0JldbdLgm2o21HeANe-xTXa4iZZGntIbXejjN07u', 'width': 822}]",ChIJ8Qw2xdLpyIARYqizTCxGfAc,"{'compound_code': '6VR5+24 North Las Vegas, NV, USA', 'global_code': '85866VR5+24'}",3.8,ChIJ8Qw2xdLpyIARYqizTCxGfAc,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2832.0,"190 West Craig Road, North Las Vegas",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 36.2396717, 'lng': -115.0976501}, 'viewport': {'northeast': {'lat': 36.2409806302915, 'lng': -115.0962871197085}, 'southwest': {'lat': 36.2382826697085, 'lng': -115.0989850802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105323740662812784835"">Shaun Williams</a>'], 'photo_reference': 'AW30NDzp-8b7ujMLvhBxnuLDfeX3ZoZAdOg4vxb4Q_eX9W_fCf10MyUKdbyD25TE6nYbcZiHVM_FJBkfecs6z0wbxASD8-5o9Xgox4A_ac6pPEJpMZ9_S7x_iw-ve7iycboa4fLJMhjJ6d02haU_lccZ-nRAI6e2agKKY8eOfQZtu0zKWItl', 'width': 2560}]",ChIJ3e7B8KrCyIAR-81H87tlTVI,"{'compound_code': '6WQ2+VW Las Vegas, NV, USA', 'global_code': '85866WQ2+VW'}",4.0,ChIJ3e7B8KrCyIAR-81H87tlTVI,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",323.0,"4375 North Pecos Road Unit 125, Las Vegas",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 36.29303460000001, 'lng': -115.179324}, 'viewport': {'northeast': {'lat': 36.29379428029151, 'lng': -115.17849185}, 'southwest': {'lat': 36.29109631970851, 'lng': -115.18182045}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Rubio's Coastal Grill,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105520133021396855780"">John Valencia</a>'], 'photo_reference': 'AW30NDzE6OIumaSRlxnkQ01gP9krraOsk0CwTJt0vLFT8A0b03rx-M9yAifn-y7-kK62YMcaxotGiB6PFGptb3WjEwMLdzcQdYjOM7FmpvW2tK-Mt5NZKy8d0ULXkzt-xgSrijs3X75vyBUs2ipB3x8Ukvc7_ODhC9CerWrlJLceOdWiMCRl', 'width': 3024}]",ChIJVYgtTFrpyIARIr2AxJElxDE,"{'compound_code': '7RVC+67 North Las Vegas, NV, USA', 'global_code': '85867RVC+67'}",4.1,ChIJVYgtTFrpyIARIr2AxJElxDE,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",96.0,"7300 North Aliante Parkway, North Las Vegas",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 36.2153706, 'lng': -115.0982814}, 'viewport': {'northeast': {'lat': 36.2167711802915, 'lng': -115.0968970697085}, 'southwest': {'lat': 36.2140732197085, 'lng': -115.0995950302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,"[{'height': 683, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101532624097740016656"">Pizza Hut</a>'], 'photo_reference': 'AW30NDxNRQR81n9qTmH1fDlP0DGPnJIB5njJKerv8QY8U61FNF1E9Ys8FqX-mnku8R8_1yOgJBj0p0selndc0Yb5HQyHyt4wzmym-Gdv4TTkTkvKKGnWf2NKwtSkkTpsjcsYV4nl1uILn42V_hwayLEsp5sJdBqu20bWWQGYMZ8i-1yp0hMN', 'width': 1025}]",ChIJ19wlaszCyIARf2szfBGt4Sw,"{'compound_code': '6W82+4M Las Vegas, NV, USA', 'global_code': '85866W82+4M'}",3.4,ChIJ19wlaszCyIARf2szfBGt4Sw,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",586.0,"3101 Las Vegas Boulevard North, Las Vegas",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 36.2407047, 'lng': -115.0961525}, 'viewport': {'northeast': {'lat': 36.24207158029149, 'lng': -115.0949225697085}, 'southwest': {'lat': 36.23937361970849, 'lng': -115.0976205302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Viva Zapata's Mexican Restaurant & Cantina,"[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116052181229918414617"">Tim Salmonson</a>'], 'photo_reference': 'AW30NDyKiSOvdw5Xi8HELjEKx6jZ9s1xSR3KvMpxCJQax3_lSHt_1yTFRaEcAmUtbxNcweyFcOxtkaj8p6w5VltCdoTh81rlpHujb-fQv2I7TPerM-YXkHlpJVmY0eZOMEyYKebhKjVqzRMPkAoKxQvMgmuyyZWjkTQ8YNsk_vKdAPtmhaT3', 'width': 4000}]",ChIJT79c7arCyIARjlyghzOVeR8,"{'compound_code': '6WR3+7G North Las Vegas, NV, USA', 'global_code': '85866WR3+7G'}",4.4,ChIJT79c7arCyIARjlyghzOVeR8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2983.0,"3826 East Craig Road, North Las Vegas",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 36.2397434, 'lng': -115.1114185}, 'viewport': {'northeast': {'lat': 36.24096513029149, 'lng': -115.1101160197085}, 'southwest': {'lat': 36.2382671697085, 'lng': -115.1128139802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,In-N-Out Burger,"[{'height': 752, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101968363622923520575"">In-N-Out Burger</a>'], 'photo_reference': 'AW30NDwCdU8-4jXj4PM8KImi-cCiG22kT9Zlad4v5FVoLdR-c6fR0VWjmWL1Z9k9YwIIuMr67esiQPwvnh98HbzjA8_s6GgiZRndbfZfxtnnWUyaMID44vhCKzRBuCuNqYyI6hGFV8RoTUb7KRzmIYDDnOuD0CuVPQYs4hHJ4w-xYkbwXdS1', 'width': 1337}]",ChIJdfCtdR7oyIARuMoCJ803xFA,"{'compound_code': '6VQQ+VC North Las Vegas, NV, USA', 'global_code': '85866VQQ+VC'}",4.6,ChIJdfCtdR7oyIARuMoCJ803xFA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",6462.0,"2765 East Craig Road, North Las Vegas",{'open_now': True},1.0,
