business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 37.7760235, 'lng': -122.2246172}, 'viewport': {'northeast': {'lat': 37.7774572302915, 'lng': -122.2232706697085}, 'southwest': {'lat': 37.7747592697085, 'lng': -122.2259686302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1593, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107721404123505875377"">Trap Speed 1320</a>'], 'photo_reference': 'AW30NDw4yjrhFdJ7tXHvBb05-eq8O3BitIu5M9oyWFCofA2z-yTb9AO3AE9Q9lnmpzOMZTzS1Ix1aJQFMDsMqFlc2Uich1AIAa8FujkUYSb3Ik2YJRUUqsjOBqEc1-SVcbgzPHUHC-218uxn_PP0rQTClFkRYcyTa4Qcrs_aaBqbiyikbKX3', 'width': 1855}]",ChIJX3zpvfSGj4ARbF_o8xjuD9M,"{'compound_code': 'QQGG+C5 Oakland, CA, USA', 'global_code': '849VQQGG+C5'}",1.0,4.0,ChIJX3zpvfSGj4ARbF_o8xjuD9M,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",44.0,"3301 East 12th Street Suite 175, Oakland",
OPERATIONAL,"{'location': {'lat': 37.771479, 'lng': -122.2375811}, 'viewport': {'northeast': {'lat': 37.7727142802915, 'lng': -122.2361479697085}, 'southwest': {'lat': 37.7700163197085, 'lng': -122.2388459302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Dragon Rouge Bistro Alameda,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104027151676078068627"">George Shih</a>'], 'photo_reference': 'AW30NDwqN0eyv-63pqndwDbTUJ9lAVWiDaXVjuZWNtQJtSS8gyzqDmPEvBKywuDGLD4BSs7tRA0XC7CHfH1jhEo9cOlOTVXpyvjjWvXSD6GhwIZpjItYPseQkHgdh1mKvY3qu91uhPWbSba3TliqmVG65fFHF3Bna-GqHEGMmzMgI1uLpt2G', 'width': 4032}]",ChIJ5QoYzr2Gj4ARfSdnxVNzDXg,"{'compound_code': 'QQC6+HX Alameda, CA, USA', 'global_code': '849VQQC6+HX'}",2.0,4.4,ChIJ5QoYzr2Gj4ARfSdnxVNzDXg,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",571.0,"2337 Blanding Avenue, Alameda",
OPERATIONAL,"{'location': {'lat': 37.775649, 'lng': -122.2245216}, 'viewport': {'northeast': {'lat': 37.77711893029149, 'lng': -122.2235326197085}, 'southwest': {'lat': 37.77442096970849, 'lng': -122.2262305802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Emil's Burger & Breakfast,{'open_now': True},"[{'height': 2236, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107721404123505875377"">Trap Speed 1320</a>'], 'photo_reference': 'AW30NDw6zE2Nky7iJvz5CEKGXSQu2UG_EfcJga5510qc7IkdtrIkrEdIQTaUG6lpaaXNcadbbAD7p1B14Dpiz23AZRymH5CTJbNUkYPRUDOXpym8Ahkz1Fd6kYTvEeuCT2dkHE5u5IZHv9kxpTJcPdyUJkSnz0Dom_7ZMgmG23CZs3wsWUPx', 'width': 2236}]",ChIJX3zpvfSGj4ARaGYPY8_C27s,"{'compound_code': 'QQGG+75 Oakland, CA, USA', 'global_code': '849VQQGG+75'}",1.0,4.3,ChIJX3zpvfSGj4ARaGYPY8_C27s,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",112.0,"3301 East 12th Street, Oakland",
OPERATIONAL,"{'location': {'lat': 37.7757466, 'lng': -122.2244063}, 'viewport': {'northeast': {'lat': 37.7772780802915, 'lng': -122.2229639697085}, 'southwest': {'lat': 37.7745801197085, 'lng': -122.2256619302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 2257, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107721404123505875377"">Trap Speed 1320</a>'], 'photo_reference': 'AW30NDyC4JUy1ey8r1coble9yOmrYymrnPcDwLtYyIR5Iqm0eNTzLXuoPKAM9XwZhYYgjkM61bJM-F60QXdga3IciaRLHfKvGU20T0xs0p_xmUZasvMcrEQJP1qaWci2l782hohYM5TyzcrONhiPEHqXHdkGviutvV2gaRNm0B5Gac83p38-', 'width': 2550}]",ChIJX3zpvfSGj4ARgEwGR9Ckuf8,"{'compound_code': 'QQGG+76 Oakland, CA, USA', 'global_code': '849VQQGG+76'}",1.0,3.1,ChIJX3zpvfSGj4ARgEwGR9Ckuf8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",116.0,"3301 East 12th Street Ste 117, Oakland",
OPERATIONAL,"{'location': {'lat': 37.765958, 'lng': -122.240173}, 'viewport': {'northeast': {'lat': 37.76742023029151, 'lng': -122.2387532697085}, 'southwest': {'lat': 37.76472226970851, 'lng': -122.2414512302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Speisekammer,{'open_now': False},"[{'height': 1000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113063987216604255694"">Speisekammer</a>'], 'photo_reference': 'AW30NDwvlmW1XG8CT0MQudVHIeyLh68OFq3F93Da4o1SJU2aEQYz4wUnWyBfS5_mRCO5XqBimOOE1U6u3MsEqozd4B9zLndtKyq097ZefzYWdSkgKrww9ferS_LMOfNTwrKS1Wah9ICGBQc3mOcpvWgugR8R83Mg5nNbymeox9XBW5IYFBoa', 'width': 1500}]",ChIJbaJztpWGj4ARcB80QtP5QmY,"{'compound_code': 'QQ85+9W Alameda, CA, USA', 'global_code': '849VQQ85+9W'}",2.0,4.6,ChIJbaJztpWGj4ARcB80QtP5QmY,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1683.0,"2424 Lincoln Avenue, Alameda",
CLOSED_TEMPORARILY,"{'location': {'lat': 37.7690486, 'lng': -122.2326722}, 'viewport': {'northeast': {'lat': 37.7703472302915, 'lng': -122.2313257197085}, 'southwest': {'lat': 37.7676492697085, 'lng': -122.2340236802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 1632, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107879564876088728481"">Anne Cronin</a>'], 'photo_reference': 'AW30NDx3RvfmvPRqyCZ6uKf0GKTZIHiGvC1g5QtR_ZFoDFjTD3oOHFmSGgJqSPostwV9m_Y8GSfe-vA0Kd8O0GezCvsTWKuunh9eTkrD_vNkbtZWuMdtfr-5eWZNUtXt0sBLoclAVvdvHFiDtPwX1pizy4bh7ab9l50CTpPD4gKhFo5USgww', 'width': 1224}]",ChIJD4bAFZKGj4AR4B2oF_VJ7L0,"{'compound_code': 'QQ98+JW Alameda, CA, USA', 'global_code': '849VQQ98+JW'}",1.0,2.9,ChIJD4bAFZKGj4AR4B2oF_VJ7L0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",33.0,"2651 Blanding Avenue Suite A, Alameda",True
OPERATIONAL,"{'location': {'lat': 37.7677695, 'lng': -122.2396795}, 'viewport': {'northeast': {'lat': 37.7691987302915, 'lng': -122.2380684697085}, 'southwest': {'lat': 37.7665007697085, 'lng': -122.2407664302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Sushi King,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107979847723637238901"">K Mend</a>'], 'photo_reference': 'AW30NDw52zMVnVge9zui5s61-T4K3ssKs0yf2XX6w9bDmunuWmELvN4v_LJslQxTwxpMRXIHl0gYddtO3TftCfigBrr8lf28V_tGjWWb1GxO3amPVsufD94iExLH3EXB5jyQKUrP6L3jvwyPCLAY-hYmKmFRgv0bdFvUCDja02y5kr7NeXkH', 'width': 3024}]",ChIJLQS_-JSGj4ARMSo3akLmz48,"{'compound_code': 'QQ96+44 Alameda, CA, USA', 'global_code': '849VQQ96+44'}",1.0,4.3,ChIJLQS_-JSGj4ARMSo3akLmz48,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",46.0,"1650 Park Street, Alameda",
OPERATIONAL,"{'location': {'lat': 37.76897719999999, 'lng': -122.2322846}, 'viewport': {'northeast': {'lat': 37.77015823029149, 'lng': -122.2308433697085}, 'southwest': {'lat': 37.7674602697085, 'lng': -122.2335413302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Round Table Pizza,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110813702392596096073"">Peke luna</a>'], 'photo_reference': 'AW30NDxvzuh5jjuMIFSp5K2rVh3_kKZzxPY1IB9Lu2AgYVIBXRvW3Z2FMIRrxOZe6M9Wsb6nopfJchwzV5vjX5xBIoCXh3IksVgCTzWNmkmcBIQwZsTC45aMx1-4GLDuF71zKVWe-n-Kgs1YdEVpSMuIrByl3Irkn041fNLqEvIwp4Jf337k', 'width': 3264}]",ChIJD4bAFZKGj4ARjLYw7MPefLM,"{'compound_code': 'QQ99+H3 Alameda, CA, USA', 'global_code': '849VQQ99+H3'}",2.0,4.3,ChIJD4bAFZKGj4ARjLYw7MPefLM,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",318.0,"2651 Blanding Avenue H, Alameda",
OPERATIONAL,"{'location': {'lat': 37.7650533, 'lng': -122.2417392}, 'viewport': {'northeast': {'lat': 37.76649608029149, 'lng': -122.2405106697085}, 'southwest': {'lat': 37.76379811970849, 'lng': -122.2432086302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,La Penca Azul,{'open_now': True},"[{'height': 1341, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107721404123505875377"">Trap Speed 1320</a>'], 'photo_reference': 'AW30NDx2mLmCPzSX2ZLTy606XoQqzv-0Il3_CBz0vovn7evqEw8rRBuXFqHFOOMGvq85M0-LM5bmSv2Hpm7YAcrxThcHq9po5kEerFms0_Y7hfw975SyAHWOJxC57OWeiHpdoyGsmL4RWh_q3_2FWyfhX3erEQLBTthZnNs0QgZ8GAK4tC1p', 'width': 1830}]",ChIJIWas-pWGj4ARJ_HkbQekte8,"{'compound_code': 'QQ85+28 Alameda, CA, USA', 'global_code': '849VQQ85+28'}",2.0,4.2,ChIJIWas-pWGj4ARJ_HkbQekte8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2608.0,"1440 Park Street, Alameda",
OPERATIONAL,"{'location': {'lat': 37.76821899999999, 'lng': -122.232477}, 'viewport': {'northeast': {'lat': 37.7696423302915, 'lng': -122.2310852197085}, 'southwest': {'lat': 37.7669443697085, 'lng': -122.2337831802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100016485666810735642"">Efrain Diaz</a>'], 'photo_reference': 'AW30NDzDdIkdScrecXO7bVhqFGxJamlzxVLR4RADx7gZYW0DUM7sS5PAea8J-DaL8mDQ0uA2fMLKauSepKGIVAYoy6ZhV1Qc0N8QZiQQEnaycKhWG2S1BAo5ujn0OXutg07EyDz___Axxz6Y69OspswuZeBT00TC8phaDbMlwXl5vKD8umAi', 'width': 3024}]",ChIJj3a3FpKGj4ARRoSFyjmCrR0,"{'compound_code': 'QQ99+72 Alameda, CA, USA', 'global_code': '849VQQ99+72'}",2.0,4.0,ChIJj3a3FpKGj4ARRoSFyjmCrR0,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",240.0,"2671 Blanding Avenue D, Alameda",
