business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.2412352, 'lng': -117.2913484}, 'viewport': {'northeast': {'lat': 33.2425741302915, 'lng': -117.2901704697085}, 'southwest': {'lat': 33.2398761697085, 'lng': -117.2928684302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109037546203198049438"">Frances D.</a>'], 'photo_reference': 'AW30NDz9z-evxJItF1G0w3Sx2BDqVFVwdTYrCzoB5PFYbo2pbK8uwGL86vz9mzG8NDdxDWJZrwW3gwTpxo3xTdGvdjlQZxWvKosW6KRKRTbBse8jHgolZPa5jdAJmr7UqZK11FDS_MN7TsQ7P9YdDYsphb-Tqo3VNdxlte7dJ6rpO3wSrLBm', 'width': 3024}]",ChIJ6QzO_-lw3IARObnbir8Kdok,"{'compound_code': '6PR5+FF Oceanside, CA, USA', 'global_code': '85546PR5+FF'}",1.0,3.5,ChIJ6QzO_-lw3IARObnbir8Kdok,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",52.0,"705 College Boulevard, Oceanside",
OPERATIONAL,"{'location': {'lat': 33.2377811, 'lng': -117.2993315}, 'viewport': {'northeast': {'lat': 33.2392082302915, 'lng': -117.2978662197085}, 'southwest': {'lat': 33.2365102697085, 'lng': -117.3005641802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,In-N-Out Burger,{'open_now': True},"[{'height': 752, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102372769673722514347"">In-N-Out Burger</a>'], 'photo_reference': 'AW30NDyGp5r0B3UVh_wxLxfonyVoubZWdDUDKOF9yJr6IfPO1egP7TMMZfYXy6oY5M31eQ2jBcE4AZ5R8NL0hiWTIPTERviaTKPt5e5c-T8KPrFDG6FRKQkl55u-ZjEFISGvQBC93L78Z779YHLUKLfVapidigHTGPxl1O1KWJSlF-_0API', 'width': 1337}]",ChIJE-r5-u5w3IARnA7Sag-H2kc,"{'compound_code': '6PQ2+47 Oceanside, CA, USA', 'global_code': '85546PQ2+47'}",1.0,4.7,ChIJE-r5-u5w3IARnA7Sag-H2kc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3115.0,"4605 Frazee Road, Oceanside",
OPERATIONAL,"{'location': {'lat': 33.2101552, 'lng': -117.3111627}, 'viewport': {'northeast': {'lat': 33.2114538802915, 'lng': -117.3097890697085}, 'southwest': {'lat': 33.2087559197085, 'lng': -117.3124870302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Felix's BBQ with Soul,{'open_now': True},"[{'height': 640, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116804484529360566052"">Felix&#39;s BBQ with Soul</a>'], 'photo_reference': 'AW30NDxX_4l7DRl5sQXUyvl2nOsNAFtuvoxPpaDMKWTYXAx8J5aFXo8tOOT5QKEzI8mxEL5Pk8ZIEAq5Y2UOfh4zaw9KCzVTgBokx5rFuNDGZgePK-N_rt3rDnqQm4eDW0ayhPcFsUw7u1Hs7mO_CUp0gPmbkee-Rwk6bhA59ZyHPqCT1yhv', 'width': 425}]",ChIJD0NqjAhx3IARERwgDMG-YEo,"{'compound_code': '6M6Q+3G Oceanside, CA, USA', 'global_code': '85546M6Q+3G'}",2.0,4.6,ChIJD0NqjAhx3IARERwgDMG-YEo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1874.0,"3613 Ocean Ranch Boulevard, Oceanside",
OPERATIONAL,"{'location': {'lat': 33.226776, 'lng': -117.3320118}, 'viewport': {'northeast': {'lat': 33.2281516802915, 'lng': -117.3307018197085}, 'southwest': {'lat': 33.2254537197085, 'lng': -117.3333997802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110196839571588488207"">DJ Chesley</a>'], 'photo_reference': 'AW30NDyfyXuMxCua6y1wdCj30BIx8zcp-UOvDhLW-3XKD9dz55yrOBUTzJSmqC0EibNSWbqz_4Ihp1WW2-Uex_XpoRyef5E5xogzxAOIZ2YpFnH8y0jKSEzkhuNSX2ID9lOXeIVrm8ePYeUNqOWSNEYlDi_CTdyWXewcKoRQmc118RwozTbx', 'width': 4032}]",ChIJneWWM09w3IARM4MvUyNzO9Y,"{'compound_code': '6MG9+P5 Oceanside, CA, USA', 'global_code': '85546MG9+P5'}",1.0,3.5,ChIJneWWM09w3IARM4MvUyNzO9Y,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",189.0,"3776 Mission Avenue Suite 140, Oceanside",
OPERATIONAL,"{'location': {'lat': 33.2446899, 'lng': -117.2908966}, 'viewport': {'northeast': {'lat': 33.2461032302915, 'lng': -117.2894556697085}, 'southwest': {'lat': 33.2434052697085, 'lng': -117.2921536302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105326002144950103622"">Liz Willis</a>'], 'photo_reference': 'AW30NDzctqegpal0QMKCk99xwOpHhXKwztbtuHScoZKKfJDk_KOcmU2NBzQlYDij_YWhlvbPmitZdUPOCIRvwEYiX2jr7a_UVP30n_Mj8X9nPMUnxAYOXVPSJpRPxCbCoZWYCygYdf8RVzDlJEdRlJu7dfGkJ-ZRVHwrEgUL7FAnp5DpzNcM', 'width': 3024}]",ChIJuVpdUZVw3IAR21dS7pD2JOI,"{'compound_code': '6PV5+VJ Oceanside, CA, USA', 'global_code': '85546PV5+VJ'}",1.0,3.3,ChIJuVpdUZVw3IAR21dS7pD2JOI,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",160.0,"475-01 College Boulevard, Oceanside",
CLOSED_TEMPORARILY,"{'location': {'lat': 33.17928679999999, 'lng': -117.2950897}, 'viewport': {'northeast': {'lat': 33.18060198029149, 'lng': -117.2939391197085}, 'southwest': {'lat': 33.17790401970849, 'lng': -117.2966370802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102084542345981907576"">STEVEN B</a>'], 'photo_reference': 'AW30NDxL_vgDj75OmoO5iEVqmGQTrkaLSmqqOE2S58jeTL5KZOnanThLCASOOU_snIhai0s8FuaGylBKNX4Xy7v-l9c1EIdNWDSxsXChdk7rBMMI-AnWXWvRYQNM-a_2cPaoBIgZHv8xfTtgl4bzGiY-GOcefOU6w_bHwDqynzu0QFgt200o', 'width': 3019}]",ChIJ14pmnd5z3IARgRr5fhdJCtw,"{'compound_code': '5PH3+PX Oceanside, CA, USA', 'global_code': '85545PH3+PX'}",1.0,3.9,ChIJ14pmnd5z3IARgRr5fhdJCtw,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",52.0,"3480 Marron Road Suite 3B-102, Oceanside",True
OPERATIONAL,"{'location': {'lat': 33.191983, 'lng': -117.2737657}, 'viewport': {'northeast': {'lat': 33.1934806302915, 'lng': -117.2722966697085}, 'southwest': {'lat': 33.1907826697085, 'lng': -117.2749946302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Boomers Vista,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116921255722303143891"">Dave Lewis</a>'], 'photo_reference': 'AW30NDxgdfcZFoYFy07LroiNDhnE2TzbC2Rkztk4afsLhXJUL51SMh88DrzA71inM4ZDRryKBX3ojfAJuufkUK5wc5hMmPEDzfHtBZYaJWUZaoAaoGJkkNFHPGBxOIPKu8WNh_HuXE8w6eVwEcxt5fn1JCJfis5uZXPLrqJ4px5WvOL6E83L', 'width': 4032}]",ChIJqxwMm1Zx3IARGxxowvtKqUo,"{'compound_code': '5PRG+QF Vista, CA, USA', 'global_code': '85545PRG+QF'}",,4.1,ChIJqxwMm1Zx3IARGxxowvtKqUo,GOOGLE,"['amusement_park', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1387.0,"1525 West Vista Way, Vista",
OPERATIONAL,"{'location': {'lat': 33.1834705, 'lng': -117.3267632}, 'viewport': {'northeast': {'lat': 33.1848727302915, 'lng': -117.3254513197085}, 'southwest': {'lat': 33.1821747697085, 'lng': -117.3281492802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,"Anita's Mexican Restaurant & Cantina ""El Camino Real""",{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116278148979484647726"">Anita&#39;s Mexican Restaurant &amp; Cantina &quot;El Camino Real&quot;</a>'], 'photo_reference': 'AW30NDyJ_9Wvw3ffousjLf2Z2eXOPYykQXpufWs0VmF9BqcI7UjGWugLLX1HP5yMzGR0555x6_KZOmYLOeqt1ANzNjlvtf7487DaF17UFSpSk_h7JBUFzoHPaDFEEEAQEgCRDOK-jN-XkChbXmQbsm4Gds3Ifs-KrdDwH2nQy63mdRGI5gHL', 'width': 6000}]",ChIJ8-tI149x3IARoq2rYcSXQ54,"{'compound_code': '5MMF+97 Oceanside, CA, USA', 'global_code': '85545MMF+97'}",2.0,4.2,ChIJ8-tI149x3IARoq2rYcSXQ54,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",994.0,"2250 South El Camino Real, Oceanside",
OPERATIONAL,"{'location': {'lat': 33.18399189999999, 'lng': -117.2853888}, 'viewport': {'northeast': {'lat': 33.18537383029149, 'lng': -117.2840118697085}, 'southwest': {'lat': 33.1826758697085, 'lng': -117.2867098302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pizza Xpress,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106881239091035910770"">Justin</a>'], 'photo_reference': 'AW30NDwGB-p7RCsyvhydlT7ZrLlIPfzCkIdcUFTORH9FQVadrAv9BckR4i-pTUbzSNkZQ-hw648YgrrOIvPquIBuhxbCLAgl1Ebr4pBlA2ZeI5S_31ySSGMzjC6E2egptaYjf8yQqjClwNZFsQgm7Hzphg3JR-dazQpIDAWANsFO_RMdKhmP', 'width': 3264}]",ChIJJRsFIOJz3IARptw5sZiPApg,"{'compound_code': '5PM7+HR Vista, CA, USA', 'global_code': '85545PM7+HR'}",1.0,3.6,ChIJJRsFIOJz3IARptw5sZiPApg,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",112.0,"2020 Hacienda Drive, Vista",
OPERATIONAL,"{'location': {'lat': 33.21051249999999, 'lng': -117.3128721}, 'viewport': {'northeast': {'lat': 33.21176408029149, 'lng': -117.3116293197085}, 'southwest': {'lat': 33.2090661197085, 'lng': -117.3143272802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sandoval Enterprises Inc,,,ChIJb72s3gdx3IARTTTA9MZf-oY,"{'compound_code': '6M6P+6V Oceanside, CA, USA', 'global_code': '85546M6P+6V'}",,,ChIJb72s3gdx3IARTTTA9MZf-oY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"3646 Ocean Ranch Boulevard, Oceanside",
