business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 31.8797849, 'lng': -102.2958815}, 'viewport': {'northeast': {'lat': 31.8814422302915, 'lng': -102.2947175697085}, 'southwest': {'lat': 31.8787442697085, 'lng': -102.2974155302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jaguars Odessa,{'open_now': True},"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114144016352951212513"">Jaguars Odessa</a>'], 'photo_reference': 'AW30NDyqx1vgOqh-s-Nd3VG0VwdMEq4ZVzBI59ncaS5DOEgME79LdnRvVO2IHhkDekR9dbSjy6hKsbHhFNuzPnGCy2nA2AWnPQydOCA41PzxRF_mt_-76MOUwol_FRGtv0QrM-HFEd_pjOLRDGXo04gbzQ8KjRo7QRXmCTKrEWi4oTYQSkBB', 'width': 2048}]",ChIJqbc861nO-4YRCu66ZMGpZ34,"{'compound_code': 'VPH3+WJ Odessa, TX, USA', 'global_code': '853VVPH3+WJ'}",3.4,ChIJqbc861nO-4YRCu66ZMGpZ34,GOOGLE,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",114.0,"6824 Cargo Road, Odessa",,
OPERATIONAL,"{'location': {'lat': 31.894708, 'lng': -102.330581}, 'viewport': {'northeast': {'lat': 31.8959242302915, 'lng': -102.3290304197085}, 'southwest': {'lat': 31.8932262697085, 'lng': -102.3317283802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Logan's Roadhouse,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101538142003470142053"">Adam Evans</a>'], 'photo_reference': 'AW30NDypNRH2oKa4X6XC-JwcIxLpOQJIpbhL7P7VQBnz743-u92okAV0W-UKmAbWk8uGuc6GskW0Y4_FlXh_8SxqDS22sOcWveQsJkCdl7gankxTMgKNAdGuXcQGwY_H6yLcB4czA5Bd3b0bjhouCPMOPW6KkQ42p_u6MCOcVMJWo-2-Tzt9', 'width': 4032}]",ChIJFYo3ICTP-4YRA4JvnXx8qEw,"{'compound_code': 'VMV9+VQ Odessa, TX, USA', 'global_code': '853VVMV9+VQ'}",3.4,ChIJFYo3ICTP-4YRA4JvnXx8qEw,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1457.0,"5105 East 42nd Street, Odessa",2.0,
OPERATIONAL,"{'location': {'lat': 31.8769289, 'lng': -102.3481932}, 'viewport': {'northeast': {'lat': 31.8782254302915, 'lng': -102.3467487197085}, 'southwest': {'lat': 31.8755274697085, 'lng': -102.3494466802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115700344096566539539"">G Lopez</a>'], 'photo_reference': 'AW30NDyxU6zwXteDMduYo24_jJr-lEAdNGqoIZgTuvKJA35uL4Z9pfBjLLX3Mb3u635oK4OFzzkvR857_CSVhicdjM4aXkXLgz4rFYIbHYbY3vLXk2o4zm05Bd0dooyNnazPhxC23dJD3v_sJJLsgVxYoCiHQkReO4Y0Kgu4A4Oz_i67QiKZ', 'width': 4032}]",ChIJ44PWGTLJ-4YRvwH43EX9kn8,"{'compound_code': 'VMG2+QP Odessa, TX, USA', 'global_code': '853VVMG2+QP'}",3.7,ChIJ44PWGTLJ-4YRvwH43EX9kn8,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",99.0,"3181 East University Boulevard, Odessa",1.0,
OPERATIONAL,"{'location': {'lat': 31.877716, 'lng': -102.3062834}, 'viewport': {'northeast': {'lat': 31.87886758029149, 'lng': -102.3049220697085}, 'southwest': {'lat': 31.8761696197085, 'lng': -102.3076200302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Polly's Restaurant,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117294137450769395132"">Frank Marquez</a>'], 'photo_reference': 'AW30NDzV_nXRDgQOBvCWutwD3xsU2FC_il8kscWxqze7dybLe0wHExr4np72zr8vgsnkRk729176SZAMUKp_DPomj-jq_PUNetRKCIt1vj18COVwjA1RysNQowdMqsN62XqcMfZ25f-14cLZGsphrYFXK3jyV2NjVX-DZXkrOVfDWfb24PcZ', 'width': 3024}]",ChIJ1QoLK_fO-4YRzWYHKRFbvls,"{'compound_code': 'VMHV+3F Odessa, TX, USA', 'global_code': '853VVMHV+3F'}",4.1,ChIJ1QoLK_fO-4YRzWYHKRFbvls,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",63.0,"6201 West Highway 80 East, Odessa",,
OPERATIONAL,"{'location': {'lat': 31.8883253, 'lng': -102.3558614}, 'viewport': {'northeast': {'lat': 31.8897390802915, 'lng': -102.3545308197085}, 'southwest': {'lat': 31.8870411197085, 'lng': -102.3572287802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115545149938844395096"">Angie Featherston</a>'], 'photo_reference': 'AW30NDxq48XaNy6EIaerch6E0evbrmceVRmcv_38YUS34m2RaaHTWl4CE-Q3zOwesFd9GQGy5bPBq53wMkUGCV8ebkOeXscIqYeZxU3RetIvblqJYwwX9-7PN08tupEbLXc4zwKUtb4Fo3-EPaB95C6f_ldeYS98DD1KeZMody4qHrpGD5F_', 'width': 3264}]",ChIJQQ8LvNfI-4YRqIgbSYUYVCQ,"{'compound_code': 'VJQV+8M Odessa, TX, USA', 'global_code': '853VVJQV+8M'}",3.7,ChIJQQ8LvNfI-4YRqIgbSYUYVCQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",147.0,"1900 East 42nd Street, Odessa",1.0,
OPERATIONAL,"{'location': {'lat': 31.89430999999999, 'lng': -102.332026}, 'viewport': {'northeast': {'lat': 31.89566108029149, 'lng': -102.3308146697085}, 'southwest': {'lat': 31.89296311970849, 'lng': -102.3335126302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chili's Grill & Bar,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102745717885387533564"">Zachary Hink</a>'], 'photo_reference': 'AW30NDx066dqp3DUp4ofdGgC7-hPQfQ63UmiD9IaKt9Ny2RR-INxRE1KQDXG7MXbtJIj-cjqcF0vnXBlGEhBPP9h6c2ftqjQhacFoEg-XJ57wGw3qsicwSfhtJU-O76tOF2Q5AsKR5-d4HwCx38qQedFPYuOJuERF73Dww-7ZTge9hjtw-U3', 'width': 1920}]",ChIJm7WxhSbP-4YRX2bVcOAjv4Q,"{'compound_code': 'VMV9+P5 Odessa, TX, USA', 'global_code': '853VVMV9+P5'}",3.9,ChIJm7WxhSbP-4YRX2bVcOAjv4Q,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1888.0,"5025 East 42nd Street, Odessa",2.0,
OPERATIONAL,"{'location': {'lat': 31.85360679999999, 'lng': -102.3655323}, 'viewport': {'northeast': {'lat': 31.8551544302915, 'lng': -102.3643369197085}, 'southwest': {'lat': 31.8524564697085, 'lng': -102.3670348802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116771911399848526758"">Jesse Burch</a>'], 'photo_reference': 'AW30NDy-X7JqdWTIPDyPJ8tiCUPlXuIgYBRZaap7Zc156RFopXf-nsidz3SLHlSSc0sK8jGRJ4AfwDP0A8bq5JIrWMkf5tRaNwbzXNfPJ94h5ny_O2k_Mhtv2uKqEvGrf-oi90zC6RbwaM6ouknnbDcYgysDP-d2xOyUOgBRAxlUwHkDNRcR', 'width': 4000}]",ChIJM-_MEEPJ-4YRXsgXueiMdXc,"{'compound_code': 'VJ3M+CQ Odessa, TX, USA', 'global_code': '853VVJ3M+CQ'}",4.1,ChIJM-_MEEPJ-4YRXsgXueiMdXc,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",265.0,"604 East 8th Street, Odessa",1.0,
OPERATIONAL,"{'location': {'lat': 31.8941041, 'lng': -102.3336959}, 'viewport': {'northeast': {'lat': 31.8953847802915, 'lng': -102.3322353197085}, 'southwest': {'lat': 31.8926868197085, 'lng': -102.3349332802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Twin Peaks,{'open_now': True},"[{'height': 1633, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107330401566952466948"">Twin Peaks</a>'], 'photo_reference': 'AW30NDznm0Ja-B6HerAz4CsfbNRvAoW-ZbgmRh4Z2WP8ExN-FjDtYjjwhYtTIhCzX7f-if_tUQpws7OUXlWJVAK0fgX_PIXy1krLQkzL69QvUCodjReJulkfUaREkM7MRbLlZGntQ7JD7JOnj7KrzG-GeHf6DLuWHpvFjg3L0EJsv2NgtlTk', 'width': 2448}]",ChIJnzcZCybP-4YRrZeFw31w67Q,"{'compound_code': 'VMV8+JG Odessa, TX, USA', 'global_code': '853VVMV8+JG'}",4.4,ChIJnzcZCybP-4YRrZeFw31w67Q,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",4589.0,"5001 East 42nd Street, Odessa",2.0,
OPERATIONAL,"{'location': {'lat': 31.8888968, 'lng': -102.353285}, 'viewport': {'northeast': {'lat': 31.8903071802915, 'lng': -102.3519565697085}, 'southwest': {'lat': 31.8876092197085, 'lng': -102.3546545302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113345931202553230300"">Narendra Sajja</a>'], 'photo_reference': 'AW30NDxgHrILkAjFypDWr9mwKxWRcx6dKjoAzRfe74I8aCtPkCQP3q8a-y_JYXk3hHyNDdicL0VqiHGE0y19d6b9ZRYhwDsbACa0RQ_loGAEMBrWvxWji5oFNJyLTr4QnfO2YhsAo5vp9B8Hh0DXKwwv5LhEayA_IwrexNSBputkdLZNXRDg', 'width': 4032}]",ChIJP0nLadbI-4YR1nw2E649t3w,"{'compound_code': 'VJQW+HM Odessa, TX, USA', 'global_code': '853VVJQW+HM'}",3.8,ChIJP0nLadbI-4YR1nw2E649t3w,GOOGLE,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",1114.0,"2016 East 42nd Street, Odessa",2.0,
OPERATIONAL,"{'location': {'lat': 31.890189, 'lng': -102.346401}, 'viewport': {'northeast': {'lat': 31.8915228802915, 'lng': -102.3451230697085}, 'southwest': {'lat': 31.8888249197085, 'lng': -102.3478210302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jorges Cafe,{'open_now': False},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117197943474568560736"">Christa Dreibrodt</a>'], 'photo_reference': 'AW30NDxLYauGmgJwhy_AMos8PHswNU9RTN_YRzk9Sg9rV4_F1KOJyUPd7EARjCH_cw_Yncn6MZYp-EbupjYsdywUYoOl9NpSuy-1i-M9-B9SV045QllOeZO3eRA-sUDtqzVMv8aNB3u3iaLk3CU5NfpeqVtDhDMg8NRflUcgCf0sVz-GMVOY', 'width': 3000}]",ChIJJfEKpivP-4YRRnA0IApSchM,"{'compound_code': 'VMR3+3C Odessa, TX, USA', 'global_code': '853VVMR3+3C'}",4.2,ChIJJfEKpivP-4YRRnA0IApSchM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",609.0,"3952 East 42nd Street V, Odessa",2.0,
