business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 38.9111945, 'lng': -94.7689803}, 'viewport': {'northeast': {'lat': 38.91252963029149, 'lng': -94.76755151970849}, 'southwest': {'lat': 38.9098316697085, 'lng': -94.77024948029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Joe's Kansas City Bar-B-Que,{'open_now': True},"[{'height': 270, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114993704108535139538"">Joe&#39;s Kansas City Bar-B-Que</a>'], 'photo_reference': 'AW30NDwQrulwl98jfnRiZd2z-gRgO8l104mXFrFtoLevpox568yxxbQTE79vz2eLGr8pkv3VHbnm-AKsA4e38F9JcLKxjbHYT4UW2uFYOSubX_GrF2Vjrk4G0k6qgTr4ABKg4GkWeRdNHXeaPcm2_gyITMcMKC67tnwPRnBGC5BFR9Rvw9PV', 'width': 480}]",ChIJp_LqrQqVwIcRnz_d_ok9xMg,"{'compound_code': 'W66J+FC Olathe, KS, USA', 'global_code': '86C7W66J+FC'}",2.0,4.7,ChIJp_LqrQqVwIcRnz_d_ok9xMg,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",5434.0,"11950 South Strang Line Road, Olathe",
OPERATIONAL,"{'location': {'lat': 38.909075, 'lng': -94.76777299999999}, 'viewport': {'northeast': {'lat': 38.9104787802915, 'lng': -94.76651886970849}, 'southwest': {'lat': 38.9077808197085, 'lng': -94.7692168302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Texas Roadhouse,{'open_now': True},"[{'height': 12000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104783660290768208428"">josh Spengler</a>'], 'photo_reference': 'AW30NDxGzYgZeqeq1r0cPoi9lmIRpd6XtDvSMp1DxItrA_7QkKIb2L1T0yGGPHkH8xnGmSljiVNWsxqbFsb1yjA9R0kL6eEu1DL5XgG7E-TVnrjYu8-6YxX0vHhS_Yn9Es-S5WVMgpkJmmipibxF4hYXO4wsNHqHwl4hpcnfxJXW9uvlt04u', 'width': 9000}]",ChIJ53OVC3WVwIcR75PPH-Ig2wA,"{'compound_code': 'W65J+JV Olathe, KS, USA', 'global_code': '86C7W65J+JV'}",2.0,4.5,ChIJ53OVC3WVwIcR75PPH-Ig2wA,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",4625.0,"11973 South Strang Line Road, Olathe",
OPERATIONAL,"{'location': {'lat': 38.9123335, 'lng': -94.7577323}, 'viewport': {'northeast': {'lat': 38.91375823029149, 'lng': -94.7563905697085}, 'southwest': {'lat': 38.91106026970849, 'lng': -94.7590885302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Twin Peaks,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112541050687504821211"">Nathanial Pearson</a>'], 'photo_reference': 'AW30NDxKNIOqlTk6jsCSpE4pMKl5_y54BcwQ2uV1QA8OgyTQjcfJZvj9m2hkBZwDjcFqO_V3ELs9mkBFEnz1ZX0yD6seaEfeQ-t0_7Yop8vbeveTu33_8R0s1-Qqccsm6KhDj8soQa_mRc25cBF3hjoYxPPyJ82i6TZOOsRFlAeaUFW1xwhk', 'width': 4032}]",ChIJiTbsthKVwIcRlOvYSRhB_ZQ,"{'compound_code': 'W66R+WW Olathe, KS, USA', 'global_code': '86C7W66R+WW'}",2.0,4.4,ChIJiTbsthKVwIcRlOvYSRhB_ZQ,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",2672.0,"14805 West 119th Street, Olathe",
OPERATIONAL,"{'location': {'lat': 38.910645, 'lng': -94.769716}, 'viewport': {'northeast': {'lat': 38.91192883029149, 'lng': -94.7683912697085}, 'southwest': {'lat': 38.90923086970849, 'lng': -94.77108923029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Johnny's Italian Steakhouse - Kansas City Metro Area,{'open_now': True},"[{'height': 627, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106983549160848912505"">Johnny&#39;s Italian Steakhouse - Kansas City Metro Area</a>'], 'photo_reference': 'AW30NDzVUTj5epOh67_wO5MYmBs2bwNPtElUTcQsHQrY4GsOOwKqcJS5j3ExuK8UjUp4Z66fGo2jzTBP9UUB8ppBESoJdN8n2ZNu-QqTefuf__8zmYCUVZkKp2D-A6TVKox_31O8HK0VRQqdlJYmgt40Aav6TVIGlhq57itOB2NUK06CtUWQ', 'width': 1000}]",ChIJDxhq-J-VwIcRwBgwrUoxkFA,"{'compound_code': 'W66J+74 Olathe, KS, USA', 'global_code': '86C7W66J+74'}",3.0,4.3,ChIJDxhq-J-VwIcRwBgwrUoxkFA,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",559.0,"12080 South Strang Line Road, Olathe",
OPERATIONAL,"{'location': {'lat': 38.885979, 'lng': -94.761786}, 'viewport': {'northeast': {'lat': 38.8872364802915, 'lng': -94.76043456970851}, 'southwest': {'lat': 38.88453851970851, 'lng': -94.76313253029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Golden Corral Buffet & Grill,{'open_now': True},"[{'height': 721, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100109037543076362629"">Golden Corral Buffet &amp; Grill</a>'], 'photo_reference': 'AW30NDxav5TxD8bb01W84GYnXV_5-A8FDlFixFFK0fkPlr9u_h4HR1bHr83GGM0x5jEkJJLb0EfjBUG8CXHtIGo2Uyg9ABpgHDrYs7sSj5kYckbZz0_5BfkXWGwQGXAyy2E8Vlaiwq-ZdW-yxN3aMeEF9313hc2R3dDBUbyJMSKiOp522I7x', 'width': 960}]",ChIJd3StTdC_wIcRHybeOk7tOHQ,"{'compound_code': 'V6PQ+97 Olathe, KS, USA', 'global_code': '86C7V6PQ+97'}",2.0,3.8,ChIJd3StTdC_wIcRHybeOk7tOHQ,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",3295.0,"13440 South Black Bob Road, Olathe",
OPERATIONAL,"{'location': {'lat': 38.9117919, 'lng': -94.777937}, 'viewport': {'northeast': {'lat': 38.9131054802915, 'lng': -94.77669801970849}, 'southwest': {'lat': 38.91040751970851, 'lng': -94.7793959802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jason's Deli,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114388650686981301600"">Larry Staszkiewicz</a>'], 'photo_reference': 'AW30NDzGCH9JDvaV8I9OeYtE9coF0zFyn1QsbhMbfX5u5x-aYKmUOCiwB46nspCw4j2At73dogLOXBj4uYWcuBxyYoQ7u9ipihw-SLCiZ5yx1iNXcNmG-D3L7-Uc_ldI9OexJLIBKARo2LHf5acRbf95vjQVlOQdnT7sY7o1Jr4_HZ9ppf1Z', 'width': 4032}]",ChIJj-sXPKKVwIcROssn-HzUh5s,"{'compound_code': 'W66C+PR Olathe, KS, USA', 'global_code': '86C7W66C+PR'}",2.0,4.4,ChIJj-sXPKKVwIcROssn-HzUh5s,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",1197.0,"16535 West 119th Street, Olathe",
CLOSED_TEMPORARILY,"{'location': {'lat': 38.9122091, 'lng': -94.76819030000001}, 'viewport': {'northeast': {'lat': 38.9134896802915, 'lng': -94.76684026970848}, 'southwest': {'lat': 38.9107917197085, 'lng': -94.7695382302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115764214232477676847"">Subway</a>'], 'photo_reference': 'AW30NDwcg6GywfnW2wqc6jEFR4lYOFhwJL01p_Ob1RKGDhekFZbm7cZhLZe0p8_7iZiNnscztLf4sEBDlhcHGN55jImilKvTND1VlesyCUJRjDmdliFH-xMWZZoDHOCV2HEQ7yKM7evG-4KfQO6jKEj-CV5m-wq0BqdU6TS93YBPm6hgN55l', 'width': 1763}]",ChIJX144MHWVwIcRvBblr0fRjLE,"{'compound_code': 'W66J+VP Olathe, KS, USA', 'global_code': '86C7W66J+VP'}",1.0,3.5,ChIJX144MHWVwIcRvBblr0fRjLE,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",124.0,"11932 South Strang Line Road, Olathe",True
OPERATIONAL,"{'location': {'lat': 38.8793325, 'lng': -94.7615914}, 'viewport': {'northeast': {'lat': 38.8806462802915, 'lng': -94.7602425697085}, 'southwest': {'lat': 38.8779483197085, 'lng': -94.7629405302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Arby's,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100980543053731092991"">William Rock</a>'], 'photo_reference': 'AW30NDwTyeefJu4luLN8XZYGZl6LwlpVqP0-ZaQs4UehYbW8Szh3BD4IfTbce9ODbzCsmDL-WTFA2fm4NdzEt77_wufgALSdAVdthmxvMDzBJPWCLfkk_BdPjpr3rg7gFm5EOn_4v5AzfLPMQ-6GWvaU7DFXc8Hk85bsx1wIfMO6DULjZvnO', 'width': 4032}]",ChIJd3StTdC_wIcR3YPaVTKcQmM,"{'compound_code': 'V6HQ+P9 Olathe, KS, USA', 'global_code': '86C7V6HQ+P9'}",1.0,4.0,ChIJd3StTdC_wIcR3YPaVTKcQmM,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']",349.0,"13790 S, 13790 South Black Bob Road, Olathe",
OPERATIONAL,"{'location': {'lat': 38.8543238, 'lng': -94.7981327}, 'viewport': {'northeast': {'lat': 38.85559208029149, 'lng': -94.7967859697085}, 'southwest': {'lat': 38.85289411970849, 'lng': -94.7994839302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102228364820281660523"">Bernard Schuster</a>'], 'photo_reference': 'AW30NDxZfEUUTS0Qw4zw-ysv-tMRjpEN_2XjtGtGDieRvWS62vL9Kh0srRkQeKcD1LrIRvw7jgMhMUUuV5NBLtKuVmZVAQeWVnkqFDZmH7q5EbUYQQoLSHkeMnRJqFYUrnvwRpnF7CDGVOrB0-gOm2JURAZKR8e6HIG7vr7SoC9uHUTISM5R', 'width': 1520}]",ChIJ-YyL9WS-wIcR0pXaOtClrAk,"{'compound_code': 'V632+PP Olathe, KS, USA', 'global_code': '86C7V632+PP'}",1.0,3.5,ChIJ-YyL9WS-wIcR0pXaOtClrAk,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",172.0,"1295 East 151st Street Suite 8, Olathe",
OPERATIONAL,"{'location': {'lat': 38.913364, 'lng': -94.7603545}, 'viewport': {'northeast': {'lat': 38.9145952302915, 'lng': -94.7591410197085}, 'southwest': {'lat': 38.9118972697085, 'lng': -94.7618389802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116249450764579814191"">Srivathsa Reddy</a>'], 'photo_reference': 'AW30NDytqlpSqJsMKh2n7mxeVDWb2EZtrWr3NmJcPm4XpruSaL8zhaG2inlDLfrrN5iauG0MNAnpRaWu4uzlhGdLbL1Lgloiw_zTkxNMZF4r-a4hgp-4HRQPB4O_v_j1JbcDAm3O0nZ5Tzl8fH1y7OAiwHBioTPDadkRlVjW3GJTMRMOaHYJ', 'width': 4032}]",ChIJ-2oaFA2VwIcR3IO-eTQvxk8,"{'compound_code': 'W67Q+8V Olathe, KS, USA', 'global_code': '86C7W67Q+8V'}",2.0,4.2,ChIJ-2oaFA2VwIcR3IO-eTQvxk8,GOOGLE,"['bar', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",3036.0,"15090 West 119th Street, Olathe",
