business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 41.2598143, 'lng': -96.07111689999999}, 'viewport': {'northeast': {'lat': 41.2611936302915, 'lng': -96.06969891970849}, 'southwest': {'lat': 41.2584956697085, 'lng': -96.07239688029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bonefish Grill,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108655430936310373955"">Jorge Balderas</a>'], 'photo_reference': 'AW30NDxrNxMeiidilsxmrL-U8UGVbri17KWPaKzjjSSxfbzdyGxwA_uZmussQk7kI7Yg2Gm1r57wmu-4U6bBaeB_4X6XQx28CGH3QEhdmZPrZThWgdXYppp57VpEJJdvMVkDEhnSjN4WhCa_CQeJo7Exjz5E0drn8lAuSk75A1k5pMGlg5pL', 'width': 4032}]",ChIJ678nT8ryk4cRQJV6N_EZy_M,"{'compound_code': '7W5H+WH Omaha, NE, USA', 'global_code': '86H57W5H+WH'}",2.0,4.5,ChIJ678nT8ryk4cRQJV6N_EZy_M,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1176.0,"120 Regency Parkway, Omaha",
OPERATIONAL,"{'location': {'lat': 41.2602228, 'lng': -96.0210353}, 'viewport': {'northeast': {'lat': 41.2613557802915, 'lng': -96.0197904197085}, 'southwest': {'lat': 41.2586578197085, 'lng': -96.0224883802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jason's Deli,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101696346223381705640"">Scott Scoob</a>'], 'photo_reference': 'AW30NDxPf7xqk2Sd0-Cqmx8IKmNh1oaWEZQqJ-bIg_xY8zxLOx6gLkb5e6-p9N9KnQAuZDYCxJCCvoBAIlhC4kQ7X_tD2KrrjztXkUpVhs6OuU0eYSIMwcskw3xLQaESMH0LJPDqqI2SliikPXt-W3RsA2tyfzs_fq1DNiXbDJB-c7UNXO5k', 'width': 4032}]",ChIJ3SMzRaGNk4cRn5EJNTDeAzY,"{'compound_code': '7X6H+3H Omaha, NE, USA', 'global_code': '86H57X6H+3H'}",2.0,4.4,ChIJ3SMzRaGNk4cRn5EJNTDeAzY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1058.0,"7010 Dodge Street Ste 101, Omaha",
OPERATIONAL,"{'location': {'lat': 41.2792399, 'lng': -96.0519439}, 'viewport': {'northeast': {'lat': 41.2807024302915, 'lng': -96.0505424697085}, 'southwest': {'lat': 41.2780044697085, 'lng': -96.05324043029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112761397036517279004"">Alvaro Figueroa</a>'], 'photo_reference': 'AW30NDz5tVWOzCsPLU9JloH7v9ND6T0kZAPAxpOOJ7OIRFi7L-D1SwcFbe8DYWsWWduugLu3Sx272tvE-ZwqGjJJeC1_g8RzAOQ276Mqn34tR3TvnTESEhdY4GOUHMg4QLNqKDr5TMUTeCzfc0Eu39uwKR64FdTDkfonV4cx7PsIkvktc6s', 'width': 4032}]",ChIJCWb-TFmNk4cRcLwtVUV_53o,"{'compound_code': '7WHX+M6 Omaha, NE, USA', 'global_code': '86H57WHX+M6'}",1.0,4.0,ChIJCWb-TFmNk4cRcLwtVUV_53o,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",628.0,"2221 North 90th Street, Omaha",
OPERATIONAL,"{'location': {'lat': 41.26448609999999, 'lng': -96.070459}, 'viewport': {'northeast': {'lat': 41.26587858029151, 'lng': -96.06895371970849}, 'southwest': {'lat': 41.26318061970851, 'lng': -96.07165168029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,P.F. Chang's,{'open_now': True},"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113823960046126478919"">P.F. Chang&#39;s</a>'], 'photo_reference': 'AW30NDyTtp1yFDYYc3QmIXgLLCnhLVNt__KcsdF99ObyhtWdgO_8tuwl0jNGT0NzuupIMzxIwbMJeV5X6wSNbFHxEzaUd18L_tK6Yr6pyPOD9YyA76qTHUpJ4kaSq_vf0wTREvpx_yGrEZpisZnWOqA_YuDD4gGWAa1eKeypciw2B1vsYrHF', 'width': 1920}]",ChIJz8Q7tUeNk4cRJWu3qRRMpCA,"{'compound_code': '7W7H+QR Omaha, NE, USA', 'global_code': '86H57W7H+QR'}",2.0,4.3,ChIJz8Q7tUeNk4cRJWu3qRRMpCA,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1298.0,"10150 California Street, Omaha",
OPERATIONAL,"{'location': {'lat': 41.2647944, 'lng': -95.99215}, 'viewport': {'northeast': {'lat': 41.26627513029149, 'lng': -95.99077811970851}, 'southwest': {'lat': 41.2635771697085, 'lng': -95.99347608029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pitch Pizzeria,{'open_now': True},"[{'height': 723, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100989025311357457514"">Pitch Pizzeria</a>'], 'photo_reference': 'AW30NDzf70lBCuRWg72WrnJPK5aAtXLz5W5d_P4llmpJKKwYroQkDuLciJAVoLzDxIJAgxFcpn3kvsCv8WttvJd0frdpsnYTNaaHN8gM0YTF4Bi3ySdUX9Xr8bzW4KcUfkmXlVtG2xt-kDgp-wGm-_zjlEWLCwk7OSsanG2qw7KuCcgxURHo', 'width': 1284}]",ChIJ4X3pbt2Nk4cRsCEFfwsPE-k,"{'compound_code': '7275+W4 Omaha, NE, USA', 'global_code': '86H67275+W4'}",2.0,4.5,ChIJ4X3pbt2Nk4cRsCEFfwsPE-k,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1393.0,"5021 Underwood Avenue, Omaha",
OPERATIONAL,"{'location': {'lat': 41.25919560000001, 'lng': -96.0288977}, 'viewport': {'northeast': {'lat': 41.2604942802915, 'lng': -96.02772941970849}, 'southwest': {'lat': 41.2577963197085, 'lng': -96.03042738029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 2992, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118226452446465246218"">Frank McBride</a>'], 'photo_reference': 'AW30NDysF-HZfGTPtcxm63fBl_FFYnCify487s5uLjsp_59GEaADnlNcyt2bMf1JDyGh9wXoxGM-zWT8Vp4gyfBZIpuVTTHyJuQkgD7AviOryYllG2y2tVmmFeEw6SK0O1hyZ_BSAymI8HiHdDjWxoOZKR7Up4JdtvoOu0VsidcHKm1sJheW', 'width': 2992}]",ChIJuVJTzwuNk4cRrlhGYYxrWq8,"{'compound_code': '7X5C+MC Omaha, NE, USA', 'global_code': '86H57X5C+MC'}",2.0,4.3,ChIJuVJTzwuNk4cRrlhGYYxrWq8,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3729.0,"7505 Dodge Street, Omaha",
OPERATIONAL,"{'location': {'lat': 41.25874200000001, 'lng': -96.0231798}, 'viewport': {'northeast': {'lat': 41.2601836802915, 'lng': -96.02180906970848}, 'southwest': {'lat': 41.2574857197085, 'lng': -96.02450703029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chipotle Mexican Grill,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114555241531238237484"">Paul Anderson</a>'], 'photo_reference': 'AW30NDzrKehGxe9vzoU2lf1Tyzv5MqRzCMSE551ZIGQ7FCaLHcP9JJcLf44T3CIeLDycKOopWWIQWVkLtW3qTjpxyDbK6bDzjgTvwF6JMGMid8ytcmikNeGr1PKXLabYmE_j6BfG0sF98B8g3z7xGEfNBKHm4fboqKsCN1zD0tsFuGSOwFD3', 'width': 4032}]",ChIJf8LWyKCNk4cRUJZCOIkmSvo,"{'compound_code': '7X5G+FP Omaha, NE, USA', 'global_code': '86H57X5G+FP'}",1.0,4.2,ChIJf8LWyKCNk4cRUJZCOIkmSvo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1085.0,"201 South 72nd Street, Omaha",
OPERATIONAL,"{'location': {'lat': 41.261245, 'lng': -96.0305104}, 'viewport': {'northeast': {'lat': 41.26259038029151, 'lng': -96.0293052197085}, 'southwest': {'lat': 41.25989241970851, 'lng': -96.03200318029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Buffalo Wild Wings,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111589035092416322960"">Luis Ortiz Rosales</a>'], 'photo_reference': 'AW30NDyg_ku7YxO55TjbU4BGN2RYBGX2kHc01f252dcPzASLups84AV4ekeRfBH68BgJWIFzRIfPCZ0kPt8jZXM4IsnCzZ4GFvs4-Ta-v4VGbpqZK4jqBkDjkAACRJgu3sWmS-EcoPZAkNlqhVQhjdW81uB8F5yDScCTc_pXMbDAGJlT1Cue', 'width': 4608}]",ChIJcU7McgyNk4cR5z9zpHPxEJQ,"{'compound_code': '7X69+FQ Omaha, NE, USA', 'global_code': '86H57X69+FQ'}",2.0,3.5,ChIJcU7McgyNk4cR5z9zpHPxEJQ,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1578.0,"205 North 76th Street, Omaha",
OPERATIONAL,"{'location': {'lat': 41.23994299999999, 'lng': -96.025441}, 'viewport': {'northeast': {'lat': 41.2413158302915, 'lng': -96.0239736697085}, 'southwest': {'lat': 41.2386178697085, 'lng': -96.02667163029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Crystal Jade Restaurant,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113777634384141593689"">Lyndon</a>'], 'photo_reference': 'AW30NDzxLA7i61OdY6jKfwIE3XXHt2WxnCzgrpAodcSpqwMzIwdtZ8Porn80mcjfzxFN1U0ugLlcgLtc95Qn7Il2fNnLGOIR41FfPQ2CQLTDOCwvqYBawX9kpLa4QTBxO6kK1sx3rhCX3_9LMSs9jKEFSj46jdRpG3PV1VYAtsVtwY8DKrkJ', 'width': 4032}]",ChIJC9wG9VWMk4cRaQKS4y5S0ng,"{'compound_code': '6XQF+XR Omaha, NE, USA', 'global_code': '86H56XQF+XR'}",2.0,4.0,ChIJC9wG9VWMk4cRaQKS4y5S0ng,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",521.0,"7255 Cedar Street, Omaha",
OPERATIONAL,"{'location': {'lat': 41.23907419999999, 'lng': -96.01432539999999}, 'viewport': {'northeast': {'lat': 41.24053883029149, 'lng': -96.01313826970849}, 'southwest': {'lat': 41.23784086970849, 'lng': -96.0158362302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jones Bros Cupcakes,{'open_now': False},"[{'height': 3088, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107656012350278218610"">Zechariah Barrett</a>'], 'photo_reference': 'AW30NDxS3TPSwusdIvyAczCFhnTvYj0lI3mpRAmIK8omhS6i7vblUxpd7AUtSbqVNFtZqg9BPl9WhX4r91eZZz9gBRs_wrqEhk43Blc3iwhTsweWXblyaRKceuDCwx79Ac17VrKcNa4TfB2bTsQKy7dqo5p8kKqrfv1YUKHiHP5smtF09MBS', 'width': 4160}]",ChIJufmhCE6Mk4cRAPMRT5ikz3o,"{'compound_code': '6XQP+J7 Omaha, NE, USA', 'global_code': '86H56XQP+J7'}",2.0,4.2,ChIJufmhCE6Mk4cRAPMRT5ikz3o,GOOGLE,"['bakery', 'bar', 'cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",813.0,"2121 South 67th Street, Omaha",
