business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 34.070519, 'lng': -117.574714}, 'viewport': {'northeast': {'lat': 34.07222703029149, 'lng': -117.5733089697085}, 'southwest': {'lat': 34.06952906970849, 'lng': -117.5760069302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Ontario Airport Hotel & Conference Center,{'open_now': True},"[{'height': 2348, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110434458847288434124"">Ontario Airport Hotel &amp; Conference Center</a>'], 'photo_reference': 'AW30NDwaQ-YStX2luDuJYDRoP-L-w-JMG2NpsiTZhO9ZWzOfFqKKcgFL6aHP2OIXH7NPA7blBH41YjG3sAjk73QePimiD7BUGw0yuaO8NIKXG7X-H4yGOoNItGZpwG2cw-yF-MM5qtYi98Cq2m5sK3GTi2zzYocZUjcQPhmD0CU1amn8unJJ', 'width': 3773}]",ChIJh8pUSqA1w4ARnmmYTDrKXUg,"{'compound_code': '3CCG+64 Ontario, CA, USA', 'global_code': '85643CCG+64'}",4.1,ChIJh8pUSqA1w4ARnmmYTDrKXUg,GOOGLE,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",1640.0,"700 North Haven Avenue, Ontario",,
OPERATIONAL,"{'location': {'lat': 34.0669076, 'lng': -117.5818102}, 'viewport': {'northeast': {'lat': 34.0683496802915, 'lng': -117.5802922697085}, 'southwest': {'lat': 34.0656517197085, 'lng': -117.5829902302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Panda Inn,{'open_now': True},"[{'height': 1908, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115604234608161915250"">Dan Gentilucci</a>'], 'photo_reference': 'AW30NDzgA2MN9eREqGFDe_jg0L_QCVlg5Ji50YdLgB0iuztVwajVMemrkkOZo40yrtOqCxVo3X4jK7SUTFZH2S2RMKi6HNhxcd0ZOI8WoA-mXf1f-UFxbH3DjcfssfnpbEvd2r4dmApdoAkpGAICVCxw4z1e5h3yFq2I9ifAkyqOhU5n3n0e', 'width': 4032}]",ChIJb4-qgqc1w4ARxRytxgaiZg0,"{'compound_code': '3C89+Q7 Ontario, CA, USA', 'global_code': '85643C89+Q7'}",4.4,ChIJb4-qgqc1w4ARxRytxgaiZg0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2182.0,"3223 North Centre Lake Drive, Ontario",2.0,
OPERATIONAL,"{'location': {'lat': 34.0682871, 'lng': -117.5727141}, 'viewport': {'northeast': {'lat': 34.0698800802915, 'lng': -117.5714270697085}, 'southwest': {'lat': 34.06718211970851, 'lng': -117.5741250302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,El Torito,{'open_now': True},"[{'height': 3333, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108418786844714456543"">El Torito</a>'], 'photo_reference': 'AW30NDxw_V89e4LggJCMzZHcTCQuuGD8zaYlcDEZzX4Sc_MeuDMe-c_D35-NOKf6FcAFddiSwKvDQPtzyHNxtUhxs1Z31fzR6EZl1tqsFM5IuePDroY71jblCOij0fyaG2Ycw0adPHC_Brl9KRx9ngu94zg0Vvl9ghJFd-BJxZq6tMXqGedg', 'width': 5000}]",ChIJgSLwgZ81w4ARVHEgoQPiB88,"{'compound_code': '3C9G+8W Ontario, CA, USA', 'global_code': '85643C9G+8W'}",4.2,ChIJgSLwgZ81w4ARVHEgoQPiB88,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2661.0,"3680 Inland Empire Boulevard, Ontario",2.0,
OPERATIONAL,"{'location': {'lat': 34.0682461, 'lng': -117.5703289}, 'viewport': {'northeast': {'lat': 34.0697185302915, 'lng': -117.5690604697085}, 'southwest': {'lat': 34.0670205697085, 'lng': -117.5717584302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Benihana,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101915332452254371454"">Chris Phillips</a>'], 'photo_reference': 'AW30NDwiX7urcBzTbF2W_umpdx7VxoNzgmjcOpLgoaoYGk5xAvLZkqKLb1gaoO4IfGaNT9PMZC3uhuQ4gZNTPZIp2le-8AheSppgN9Oooab3-PCFKOl-AHAISj5NLhbATg7HeFCY6WYuVGYIotyxbb4f7B7yVqhtArmVXPwcWnq4muyWLes7', 'width': 4032}]",ChIJ-1mGdnU1w4ARL4iHOyDbUfg,"{'compound_code': '3C9H+7V Ontario, CA, USA', 'global_code': '85643C9H+7V'}",4.2,ChIJ-1mGdnU1w4ARL4iHOyDbUfg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3063.0,"3760 Inland Empire Boulevard, Ontario",3.0,
OPERATIONAL,"{'location': {'lat': 34.0661111, 'lng': -117.6097222}, 'viewport': {'northeast': {'lat': 34.0673770302915, 'lng': -117.6086686697085}, 'southwest': {'lat': 34.0646790697085, 'lng': -117.6113666302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Porter's Prime Steakhouse,{'open_now': True},"[{'height': 2028, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116931649558842906500"">Porter&#39;s Prime Steakhouse</a>'], 'photo_reference': 'AW30NDzCXqIkeGvvhl1Va_XD7JzsD-ffC__dTJ7ZWAV72CKqx7HYeETIP_Cv2jYJbCWRpTwvj0lHomWy6ms5n0QXCotdLcB-hrBODCEC6fNSl8gWqH7mw0zp8zY-OUxy-hOmTVWpoZmjyobBBUuZjx73JFsPeWf-toOUvEv4h8amRtCPaGYH', 'width': 3041}]",ChIJ_3xWE1o0w4ARXyJy0nyyzqQ,"{'compound_code': '398R+C4 Ontario, CA, USA', 'global_code': '8564398R+C4'}",4.0,ChIJ_3xWE1o0w4ARXyJy0nyyzqQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",214.0,"222 North Vineyard Avenue, Ontario",3.0,
OPERATIONAL,"{'location': {'lat': 34.0297841, 'lng': -117.6086816}, 'viewport': {'northeast': {'lat': 34.0310305802915, 'lng': -117.6073408697085}, 'southwest': {'lat': 34.0283326197085, 'lng': -117.6100388302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109047359452452556309"">Paul J. Zhang</a>'], 'photo_reference': 'AW30NDxVgj9E6MSM9dSvwcf-WUk8X_cCte9Ondp1fwrGXbCEP621o0zzYcw7eFShMy0q4gZKIwNSY97S4Tm2Y-02AwsSOszIOQ-d5oXBqipnOwostYTNEJLrsPkLmpzFmgpbKQ0ReGPTMco9aRCwY1QH69DC-gyOFlo28UB21Jt1bB9iOph3', 'width': 3024}]",ChIJSa4ETsU0w4ARRlz5wfKsX1c,"{'compound_code': '29HR+WG Ontario, CA, USA', 'global_code': '856429HR+WG'}",4.1,ChIJSa4ETsU0w4ARRlz5wfKsX1c,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",110.0,"2407 South Vineyard Avenue, Ontario",1.0,
OPERATIONAL,"{'location': {'lat': 34.01797880000001, 'lng': -117.5945838}, 'viewport': {'northeast': {'lat': 34.0193519802915, 'lng': -117.5931227197085}, 'southwest': {'lat': 34.0166540197085, 'lng': -117.5958206802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Original Graziano's Pizza Restaurant,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113783317380511115163"">hoaxonyou</a>'], 'photo_reference': 'AW30NDwAynz_XPl4uGvKh-JybEVkYbBAzk0hJUqcNarAqQvDtbfpY6yGSrGvO82--E2Y16MrSqQx8wD93_sl6_2IEFyNMy6jxu5Lzl4TFUh0kUJ7yR15awSRUTHVPnT8uDf8mbIq54j_zvyob2mdmaTRq6O4nabjN0r7PGD2BMsN8PnWCTfA', 'width': 1920}]",ChIJw6dPxtXK3IAR5eq59vXi4mA,"{'compound_code': '2C94+55 Ontario, CA, USA', 'global_code': '85642C94+55'}",4.4,ChIJw6dPxtXK3IAR5eq59vXi4mA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1032.0,"3060 South Archibald Avenue, Ontario",2.0,
OPERATIONAL,"{'location': {'lat': 34.0206875, 'lng': -117.5947361}, 'viewport': {'northeast': {'lat': 34.0219491802915, 'lng': -117.5934010197085}, 'southwest': {'lat': 34.01925121970851, 'lng': -117.5960989802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114420343652670988571"">Paulo Reynaga</a>'], 'photo_reference': 'AW30NDw98rC2N6UT9bAKk0E8iy1nxWjTBaHOidAL8pR6R1YCpuGbHYkxLy0jWzYpDRZrCDU1SL4UD0dNEVIEi3e9lp1f-S9bwsP64ZL33Fkc7H3AGFTQtG10tUsKZ0P8kGtrLWtw6L0tmOvmF01YKie-WjLLnqwWl7S3aiJaj5ldlMzwrUZa', 'width': 1080}]",ChIJYXX6p9XK3IARPSGRcRHzAcQ,"{'compound_code': '2CC4+74 Ontario, CA, USA', 'global_code': '85642CC4+74'}",3.8,ChIJYXX6p9XK3IARPSGRcRHzAcQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",108.0,"2665 East Riverside Drive Suite 7, Ontario",1.0,
OPERATIONAL,"{'location': {'lat': 34.0673807, 'lng': -117.6116858}, 'viewport': {'northeast': {'lat': 34.0688004802915, 'lng': -117.6103252697085}, 'southwest': {'lat': 34.0661025197085, 'lng': -117.6130232302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2992, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114687717790113432898"">Scott Stanley</a>'], 'photo_reference': 'AW30NDzDNmII1W5UY1Z_WNh8f8O8U-75svqeR5C95-FSMrOBnShDQK3PTXm_23kl6CPEmWMVvxj2btZzun7Yac2WUcipQAswZCZ8K9oVk-imNxqDBf3WM8KebZcJnKe-MxVV8RjCMfA6rkAlxumiVf4grWFx2bQZmyjimsid45C9BoONq50s', 'width': 2992}]",ChIJPyalBFs0w4AR-vSkEe7ppOc,"{'compound_code': '398Q+X8 Ontario, CA, USA', 'global_code': '8564398Q+X8'}",3.5,ChIJPyalBFs0w4AR-vSkEe7ppOc,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",76.0,"405 North Vineyard Avenue Suite E, Ontario",1.0,
OPERATIONAL,"{'location': {'lat': 34.06732119999999, 'lng': -117.6113991}, 'viewport': {'northeast': {'lat': 34.0686837802915, 'lng': -117.6100303197085}, 'southwest': {'lat': 34.0659858197085, 'lng': -117.6127282802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bombay Restaurant Cuisine of India | Best Indian food | Best Indian Curry | Buffet Restaurant,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100197348051256956808"">Bombay Restaurant Cuisine of India | Best Indian food | Best Indian Curry | Buffet Restaurant</a>'], 'photo_reference': 'AW30NDy7mWljWYrpsXmKzkSuXKLJQWU8bWKwm8KJWd2JMZelPpxrmE2IFYIsi-58PbCVq0v8AbL0fTkQHLcJwjUQFJgg_g62FuTIEXPFHzftkwjXpO_VS0LMaafp94uxQSy2frcx4jfvavAhkulIN7fiWSF5Af1_rozplbJWIswGq5VBPApQ', 'width': 4608}]",ChIJPyalBFs0w4ARjroil18DewU,"{'compound_code': '398Q+WC Ontario, CA, USA', 'global_code': '8564398Q+WC'}",4.0,ChIJPyalBFs0w4ARjroil18DewU,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",851.0,"405 North Vineyard Avenue Suite: A, 405 North Vineyard Avenue Suite B, Ontario",2.0,
