business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.7749766, 'lng': -117.8701586}, 'viewport': {'northeast': {'lat': 33.7758590802915, 'lng': -117.8688459197085}, 'southwest': {'lat': 33.7731611197085, 'lng': -117.8715438802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hot Dog on a Stick,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102001166772029388250"">Chris Hall</a>'], 'photo_reference': 'AW30NDwdfTsR2CPWTBSyVjg5sJLXtYql8FpbqdaWTDlRWKfv6khsdi02hoWTXtdSQ30HbsegLNirCfl6goZxdxyBQLGyWY5M95jMsTh7JqAs6A3A7lEdRgrYVbKPUE2NfoIYkYo75Iz5IoJzeuTCzqYJYYd3YHqj9tfTX6MHv0rmgQ4yaw1v', 'width': 3024}]",ChIJ8Xf2387Z3IARk0ghYmrNrOc,"{'compound_code': 'Q4FH+XW Santa Ana, CA, USA', 'global_code': '8554Q4FH+XW'}",1.0,3.9,ChIJ8Xf2387Z3IARk0ghYmrNrOc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",59.0,"2800 North Main Street #584, Santa Ana",
OPERATIONAL,"{'location': {'lat': 33.79136280000001, 'lng': -117.8532879}, 'viewport': {'northeast': {'lat': 33.7926924802915, 'lng': -117.8518414197085}, 'southwest': {'lat': 33.7899945197085, 'lng': -117.8545393802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bruxie,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105978834231481267643"">Teck Boon</a>'], 'photo_reference': 'AW30NDxvxIOb8rtVYaTJVJqalOAtpv6Rjf25zD7k6GLxjVLUJuOBCl3IZrZZ1Xsj0f31JLsneFo9Kt8jKuUdTFlGefQfZ2J3a2HNTD5-OA29fD9YnOl2XEK_SILcSp4-_hGC6HEUUFb9Sn0Huh0PdDikkJIfCzwcLSyZ2sQt92jTBQBukhFJ', 'width': 3631}]",ChIJo-Y9jeDZ3IAR8ywi1fUhjYM,"{'compound_code': 'Q4RW+GM Orange, CA, USA', 'global_code': '8554Q4RW+GM'}",1.0,4.6,ChIJo-Y9jeDZ3IAR8ywi1fUhjYM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1859.0,"292 North Glassell Street, Orange",
OPERATIONAL,"{'location': {'lat': 33.78631929999999, 'lng': -117.8532859}, 'viewport': {'northeast': {'lat': 33.7875396302915, 'lng': -117.8520069197085}, 'southwest': {'lat': 33.7848416697085, 'lng': -117.8547048802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Haven Craft Kitchen + Bar,{'open_now': True},"[{'height': 5867, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107571244176401817814"">Haven Craft Kitchen + Bar</a>'], 'photo_reference': 'AW30NDzj2qMtlG8d-7_odch_f-abzeYPZN-OhcNI1ONoTKuSjWEdk_Fo1_RGG3qk7u334FdATYPHttYBuDWPLfv1t3S6jnLebuznKCdscke_7fozuCWstmEVRSyINnT80yoXenJA-WQRU9ld_Uqu9sHp-Bz2uVYUKaEbB7WFdyohng8apRI_', 'width': 3936}]",ChIJkfT_l-fZ3IAR6njvLGHpVYM,"{'compound_code': 'Q4PW+GM Orange, CA, USA', 'global_code': '8554Q4PW+GM'}",2.0,4.4,ChIJkfT_l-fZ3IAR6njvLGHpVYM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1261.0,"190 South Glassell Street, Orange",
OPERATIONAL,"{'location': {'lat': 33.783688, 'lng': -117.8905022}, 'viewport': {'northeast': {'lat': 33.7850321302915, 'lng': -117.8892119697085}, 'southwest': {'lat': 33.7823341697085, 'lng': -117.8919099302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Krispy Kreme,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110466522104196901664"">JONATHAN CEN</a>'], 'photo_reference': 'AW30NDzRsLpEFqe8vSo9QehdoPTHtIacUy3BLOhofZT-26FSN6yrteyLWR2CloujGHYRC5HFyWYjetigYcBCa7h0ZbjuSQOKmshvTsRkx8iu9XPjPNKONRexiuGMuFw37ZOLANdvxiO0gSnj1WxI_52Z09SEQ5ap3IDjdDbkc-CyXFmUFnH-', 'width': 4032}]",ChIJl0znByfY3IARuFkbyEuyldc,"{'compound_code': 'Q4M5+FQ Orange, CA, USA', 'global_code': '8554Q4M5+FQ'}",1.0,4.5,ChIJl0znByfY3IARuFkbyEuyldc,GOOGLE,"['bakery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",2480.0,"330 The City Drive South, Orange",
OPERATIONAL,"{'location': {'lat': 33.7743855, 'lng': -117.866894}, 'viewport': {'northeast': {'lat': 33.7756643802915, 'lng': -117.8654236697085}, 'southwest': {'lat': 33.7729664197085, 'lng': -117.8681216302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112140341038517179572"">M. H.n</a>'], 'photo_reference': 'AW30NDxWlPZl4tA4OxATxKosl_kEXsw9MehwrSGJuDt3ooHIfMDqodF3OIIAla2OjG0VYboNVzYnM7JCVWN3WF0nTw8gPphS53f7fDTkQ1Wgf1z0Jf3YeWsvg7J4eLAcvNoTS2lwmDkZYxYFOSQX4vJ6cCLdUonGKbI9nFRaKdyezMl45Np0', 'width': 4032}]",ChIJ8Xf2387Z3IARg91giJ176SA,"{'compound_code': 'Q4FM+Q6 Santa Ana, CA, USA', 'global_code': '8554Q4FM+Q6'}",2.0,4.4,ChIJ8Xf2387Z3IARg91giJ176SA,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2737.0,"2791 North Main Street, Santa Ana",
OPERATIONAL,"{'location': {'lat': 33.7826948, 'lng': -117.8924749}, 'viewport': {'northeast': {'lat': 33.7840367802915, 'lng': -117.8916635}, 'southwest': {'lat': 33.7813388197085, 'lng': -117.8949091}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Market Broiler Orange,{'open_now': True},"[{'height': 619, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108340922464062394159"">Market Broiler Orange</a>'], 'photo_reference': 'AW30NDwil-bece2-rmViEX3oppTXE_wlYB9F3IqVgj4xclKVYLKjS7k3W8Pb5LZtv5jz3WDn4t0LRZNLvlXmuESQnzASFQVRRAkhB5loAaSre7tfpCBuKddmgSqhUMKfbOf1MDsycY0FiyaR0u6eE7CX11y0X3CD_7yH6UgO-t2DfXxO90US', 'width': 1024}]",ChIJl0znByfY3IAR9Lt4twzTwP0,"{'compound_code': 'Q4M5+32 Orange, CA, USA', 'global_code': '8554Q4M5+32'}",2.0,4.4,ChIJl0znByfY3IAR9Lt4twzTwP0,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",978.0,"20 City Boulevard West, Orange",
OPERATIONAL,"{'location': {'lat': 33.7867937, 'lng': -117.8528349}, 'viewport': {'northeast': {'lat': 33.78814493029149, 'lng': -117.8516337197085}, 'southwest': {'lat': 33.7854469697085, 'lng': -117.8543316802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Gabbi's Mexican Kitchen,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109501170447462964474"">Vem Fell</a>'], 'photo_reference': 'AW30NDwj8zIUFAjsWqSgoDMEDO2uCBS3ohTNsJ5ec3-D-QORs83d809eZ-oMkb8fReU31bZjlb51ryRvYq4zpFQFDYphFVIPhA6ohndmbp1kxLVuOoh2iagFoGBp0zvk1LZo5MQfZSG5K_TRTiHojsR1sPfaNWQ2PZH3D6CsfsCc1CLM8djR', 'width': 4032}]",ChIJZ13GoOfZ3IARZ2s0Xg6lNYc,"{'compound_code': 'Q4PW+PV Orange, CA, USA', 'global_code': '8554Q4PW+PV'}",2.0,4.4,ChIJZ13GoOfZ3IARZ2s0Xg6lNYc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1179.0,"141 South Glassell Street, Orange",
OPERATIONAL,"{'location': {'lat': 33.7886677, 'lng': -117.8532589}, 'viewport': {'northeast': {'lat': 33.7900201302915, 'lng': -117.8518372697085}, 'southwest': {'lat': 33.7873221697085, 'lng': -117.8545352302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Citrus City Grille,{'open_now': True},"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102218643584047891804"">JoRn Henderson Google Ambassador</a>'], 'photo_reference': 'AW30NDzahc1cwqb0O-79xEX4GoW2vN5TaubXyFBE3f7zgxmX8HejdfH59o_XM7vBHJ6yMIlDPre0XLw2L9Oi7ZfpT2hUxCbSTY1AyQ51vf7E-IgpuVP4UbrtE0310LKlzn7MuAEOOOEte8Mi8OQEgkGUqm530w7ggKGmzPKvLQwz1T3LL69O', 'width': 3072}]",ChIJVzikT-fZ3IARyAo5QE7ofLI,"{'compound_code': 'Q4QW+FM Orange, CA, USA', 'global_code': '8554Q4QW+FM'}",2.0,4.5,ChIJVzikT-fZ3IARyAo5QE7ofLI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",888.0,"122 North Glassell Street, Orange",
OPERATIONAL,"{'location': {'lat': 33.7820549, 'lng': -117.892536}, 'viewport': {'northeast': {'lat': 33.7834703302915, 'lng': -117.8918467}, 'southwest': {'lat': 33.7807723697085, 'lng': -117.8946039}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,L.A. Italian Kitchen,{'open_now': True},"[{'height': 426, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113180900875594601735"">L.A. Italian Kitchen</a>'], 'photo_reference': 'AW30NDyTYacSjcVOY09oau6U0PFiERkLOJo-xRJ1Eysfd4T7b65juGtpBw0dJYi3WFxaisE228IF5-m8ApQWFOSQF2xL61-u6AHZvrrayi9xqsrLMJpoabZkfdGKrjrPS_rapf1diFpuPtBSq2LUjpasOTIolXUGcCWgrb_GL63M4Cnq-WCn', 'width': 640}]",ChIJl0znByfY3IARSXntRDJel9c,"{'compound_code': 'Q4J4+RX Orange, CA, USA', 'global_code': '8554Q4J4+RX'}",,3.9,ChIJl0znByfY3IARSXntRDJel9c,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",256.0,"20 City Boulevard West, Orange",
OPERATIONAL,"{'location': {'lat': 33.7749695, 'lng': -117.8709998}, 'viewport': {'northeast': {'lat': 33.77818184999999, 'lng': -117.86714675}, 'southwest': {'lat': 33.77286605, 'lng': -117.87260935}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Panda Express,{'open_now': True},"[{'height': 2736, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112782034094300975732"">Gomtorn Bunjonklaksa</a>'], 'photo_reference': 'AW30NDxqfnsvNq5iZYhQcRiEhyFMJvCE8pPPUCZsc2ABVrtmioOaG5YQzSjMo6jAkV2xntlnlRXBwpxxIPMbuWg49BHhZ-WBX2haY4JbcudJ7dYZz7mHT0lkdKIlgAz-wkGrZH83S1pbwSXP0744qkEPbirMDaLc0M-pKJvClF95TOMKaUN8', 'width': 3648}]",ChIJ8Xf2387Z3IARbdzCGfuMB6Y,"{'compound_code': 'Q4FH+XJ Santa Ana, CA, USA', 'global_code': '8554Q4FH+XJ'}",1.0,3.9,ChIJ8Xf2387Z3IARbdzCGfuMB6Y,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",150.0,"2800 North Main Street #912, Santa Ana",
