business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 28.4311863, 'lng': -81.3076847}, 'viewport': {'northeast': {'lat': 28.4330031802915, 'lng': -81.30650771970849}, 'southwest': {'lat': 28.4303052197085, 'lng': -81.3092056802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Panda Express,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109834612983802698813"">Henk de Swardt</a>'], 'photo_reference': 'AW30NDyB0CpOBkdkqAd8MZRcIQ7a17YhB4Vg-8QNH6wEmpNnWGwn4lHYIK0dzdEHkMvazc3XOGkBGWT36ntBVICpPqlTpk0ATFdMmV2bxbnO7gph78cEO56orFSWAWLOqAs3gAKXPY5vQjymIeRgCjMnqlze7Cr4dB-ZLYGJhRwaF-EkbH5G', 'width': 3984}]",ChIJE5o6y_pi54gROb-2gmhPEW0,"{'compound_code': 'CMJR+FW Orlando, FL, USA', 'global_code': '76WWCMJR+FW'}",1.0,3.1,ChIJE5o6y_pi54gROb-2gmhPEW0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",233.0,"9333 Orlando International Airport Tram, Orlando",
OPERATIONAL,"{'location': {'lat': 28.4355196, 'lng': -81.30122759999999}, 'viewport': {'northeast': {'lat': 28.44180879999999, 'lng': -81.29994326970849}, 'southwest': {'lat': 28.43342320000001, 'lng': -81.3026412302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cask & Larder,{'open_now': False},"[{'height': 1152, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101856429958657631364"">Ja ck</a>'], 'photo_reference': 'AW30NDza2D1vK5cYMxRpB5tCXEGv-o1xcxD_tjrRUhW-XeozeW_2PDQlqTdIrubgxZXGeaGX6Z5ccztVjcdWQnxBmRKsjh2PxjQh0PJQcj534G5XJdcmcWCAk-89wcuRVxEzs8DJ2pgqacdHoVcnCm-2lykoCXdIhgJUw6XKMk52PKEHnvtz', 'width': 2048}]",ChIJ17LV1w1w54gRpybobEyBdeQ,"{'compound_code': 'CMPX+6G Orlando, FL, USA', 'global_code': '76WWCMPX+6G'}",3.0,3.9,ChIJ17LV1w1w54gRpybobEyBdeQ,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",517.0,"Orlando International Airport, 9202 Jeff Fuqua Boulevard, Orlando",
OPERATIONAL,"{'location': {'lat': 28.42521129999999, 'lng': -81.2523928}, 'viewport': {'northeast': {'lat': 28.4266419302915, 'lng': -81.2511389197085}, 'southwest': {'lat': 28.42394396970849, 'lng': -81.2538368802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Nona Blue Modern Tavern,{'open_now': True},"[{'height': 524, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113035313778640863295"">Nona Blue Modern Tavern</a>'], 'photo_reference': 'AW30NDxEDE4wsJT69vULE3ZddHyaIOSgR024szN0PCIaFIfk3k1m8fp6HroYFSE9l2cDVHWUr21GcowIBUX0qa-H-twAzqNi04U_mOfGh6CL4w1F2l5cwa4ZH4-4R-qtd69iDiyK53y5tUwO28aJdUBak4bSsNrHIEpjTb42VPB4fNWtBkue', 'width': 926}]",ChIJ2RLskidi54gRIdjNyTcPZa0,"{'compound_code': 'CPGX+32 Orlando, FL, USA', 'global_code': '76WWCPGX+32'}",2.0,4.6,ChIJ2RLskidi54gRIdjNyTcPZa0,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2391.0,"9685 Lake Nona Village Place, Orlando",
OPERATIONAL,"{'location': {'lat': 28.38246819999999, 'lng': -81.2437885}, 'viewport': {'northeast': {'lat': 28.3838081802915, 'lng': -81.24257296970848}, 'southwest': {'lat': 28.38111021970849, 'lng': -81.2452709302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Moe's Southwest Grill,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100058860990897200178"">Tommy Feminella</a>'], 'photo_reference': 'AW30NDzzCINzveGJjScmUpvJtDVMeD-Gz7Bvbp_L2msk0V0M2af3MTr-0hBibRcC6FEN_CESSGX7AtwIDD4u3AJwpbmWTwJmME3upd5bebU4FvnxEuq2tUtBf17kUNbkFo1DgjObgolvMmvPQpVBIi0-52Iy_k_DSLf8spRP9L6ESKV1-o__', 'width': 1920}]",ChIJb0u3VKZ_54gRhBGCTD1C5cU,"{'compound_code': '9QJ4+XF Orlando, FL, USA', 'global_code': '76WW9QJ4+XF'}",1.0,4.1,ChIJb0u3VKZ_54gRhBGCTD1C5cU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",257.0,"12701 Narcoossee Road, Orlando",
OPERATIONAL,"{'location': {'lat': 28.3930205, 'lng': -81.2667077}, 'viewport': {'northeast': {'lat': 28.3943206802915, 'lng': -81.2655588697085}, 'southwest': {'lat': 28.39162271970849, 'lng': -81.2682568302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Lake Nona Deli & Market,{'open_now': True},"[{'height': 3500, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107973840725690949153"">Lake Nona Deli &amp; Market</a>'], 'photo_reference': 'AW30NDw-VGxoPeJ0_CL3dzG1hnJHAk6aQug1NIeGW4z67tFZ3Kj6ozDD9S2-TOXZ0ty6wlbAdbzKaQY5J2-V_FwwH9P7mra6C_WZ9Fh3DqzQKltEVkC-srSRSPE0UZa6Xq2xx1UzqctvcE33ef3ITLyuHI-t6ee2mzFOa3M_khv3nQ5uUph6', 'width': 5250}]",ChIJBfk4yQli54gR606ZmPxb_u8,"{'compound_code': '9PVM+68 Orlando, FL, USA', 'global_code': '76WW9PVM+68'}",2.0,4.5,ChIJBfk4yQli54gR606ZmPxb_u8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",179.0,"8510 Insular Lane, Orlando",
OPERATIONAL,"{'location': {'lat': 28.4338024, 'lng': -81.2563145}, 'viewport': {'northeast': {'lat': 28.43505813029151, 'lng': -81.2549675697085}, 'southwest': {'lat': 28.4323601697085, 'lng': -81.2576655302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tijuana Flats,{'open_now': True},"[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103509506478206068546"">라나스트레치 Stretch By Lana</a>'], 'photo_reference': 'AW30NDz4rIJiuI0Uw-5meduw0HV1pLl6UBEb4QYMGh0ZPVoSgfAtqA1c_rTUoGbB9_QNJDPzi5a3rM_69i8n_EFhr3HWiwZaNC0D85MEWIHEx3Vdz7wR1KIi-pVcU03eChwZ396U7l6DBtrlgMxqtTG4ZAbfTfG9Sazmfn578VjMvR5TcRpR', 'width': 4000}]",ChIJoe2ISdJj54gRi2z7sbLzdDE,"{'compound_code': 'CPMV+GF Orlando, FL, USA', 'global_code': '76WWCPMV+GF'}",1.0,4.4,ChIJoe2ISdJj54gRi2z7sbLzdDE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1099.0,"9161 Narcoossee Road #110, Orlando",
OPERATIONAL,"{'location': {'lat': 28.431175, 'lng': -81.30648099999999}, 'viewport': {'northeast': {'lat': 28.4329774802915, 'lng': -81.305707}, 'southwest': {'lat': 28.4302795197085, 'lng': -81.30880299999998}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,McCoy's Bar & Grill,{'open_now': True},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117614271937109688164"">McCoy&#39;s Bar &amp; Grill</a>'], 'photo_reference': 'AW30NDy1DwE2DoDSDbhaEAatFPIwZJU0PRTg32Uw0ZU1Z59kKfZh-TBjQOaq_NVQgHK509HCZcnktyIvRBEIk2nn6Is9_vkRAUrbbplyV7lbywOPrT0X_ZAE6weyExxaIRbFAYpQDSaYHXsd94_63oEA-f_s5gHPRPUVqv2T67DU3xUKapk', 'width': 2048}]",ChIJ3WB_SuVi54gRAOcdt-cey4c,"{'compound_code': 'CMJV+FC Orlando, FL, USA', 'global_code': '76WWCMJV+FC'}",,4.3,ChIJ3WB_SuVi54gRAOcdt-cey4c,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",257.0,"9300 Jeff Fuqua Boulevard, Orlando",
OPERATIONAL,"{'location': {'lat': 28.431266, 'lng': -81.30649}, 'viewport': {'northeast': {'lat': 28.43302793029151, 'lng': -81.3048225197085}, 'southwest': {'lat': 28.4303299697085, 'lng': -81.3075204802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hemisphere Restaurant,{'open_now': False},"[{'height': 5304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111097474357025059358"">Hemisphere Restaurant</a>'], 'photo_reference': 'AW30NDyl_Bty_4D0Nbt3YUvxK54Szw80srZ4R_svwRU-mWSGhgBkZA5xpBQwu4eyjQGuYZjmBdyYjMi0z83xaDxqHhOdpehbPPUj1E6PQt_yrs_3Pt5HrfnZWLhPLOIRKbW-MqM430VoCSlVQGOo7LcvVJdibKb1N19-EzTkEYZwOKFq7wOX', 'width': 7952}]",ChIJ3WB_SuVi54gRKJasKI6wVgE,"{'compound_code': 'CMJV+GC Orlando, FL, USA', 'global_code': '76WWCMJV+GC'}",2.0,4.3,ChIJ3WB_SuVi54gRKJasKI6wVgE,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",68.0,"9300 Jeff Fuqua Boulevard, Orlando",
OPERATIONAL,"{'location': {'lat': 28.411824, 'lng': -81.2415408}, 'viewport': {'northeast': {'lat': 28.4131778302915, 'lng': -81.2402960197085}, 'southwest': {'lat': 28.4104798697085, 'lng': -81.2429939802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105320630398470954348"">Jose March-Leuba</a>'], 'photo_reference': 'AW30NDxdXjvNM3X_s8Q8zXi_XaDYC_eMpdOBESg-9aCUIeyZRiZDMBgWWwC1rozenaWI1Zyn3IsjaIW8BWpsbrRqNNQt5PuVK5qdDeMNTAIvoR4A52g3jbkc2gXtgu8OFtoE4tdI2MmZzymNoQFrcszjMzdGsSsPslpP3QCaLDrVu-xygbhE', 'width': 960}]",ChIJSTemgPJh54gRcPF8AtM9hIA,"{'compound_code': 'CQ65+P9 Orlando, FL, USA', 'global_code': '76WWCQ65+P9'}",1.0,3.9,ChIJSTemgPJh54gRcPF8AtM9hIA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",149.0,"10727 Narcoossee Road, Orlando",
OPERATIONAL,"{'location': {'lat': 28.4125142, 'lng': -81.2423541}, 'viewport': {'northeast': {'lat': 28.4138298802915, 'lng': -81.2411262197085}, 'southwest': {'lat': 28.4111319197085, 'lng': -81.24382418029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,McDonald's,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118377627417422773733"">SHAWNO</a>'], 'photo_reference': 'AW30NDxhNwTRRjMiQGHQGxnhPJ8QpB8AzyXs0FZ2FeEVRnyRjBBGNy40LuR4NTHr5fNZmUHXNIldF88lo4hVRgVj23QZWF4xtmBKmvnkkxB5U0B8g5rZG2iNbl_OPgx2uPovbEp6zYBfTFN8mWa0qOOL93UMx3SpIqU_V_GFPVcc6Z9xxYn7', 'width': 3024}]",ChIJyVLN7vJh54gRTTJpmt4dwNY,"{'compound_code': 'CQ75+23 Orlando, FL, USA', 'global_code': '76WWCQ75+23'}",1.0,3.6,ChIJyVLN7vJh54gRTTJpmt4dwNY,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1372.0,"10701 Narcoossee Road, Orlando",
