business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 34.1942213, 'lng': -119.1794502}, 'viewport': {'northeast': {'lat': 34.1955687302915, 'lng': -119.1783201697085}, 'southwest': {'lat': 34.1928707697085, 'lng': -119.1810181302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,La Dolce Vita,{'open_now': False},"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107998845608571221011"">La Dolce Vita</a>'], 'photo_reference': 'AW30NDye_5I086w-lp1xpaiH5-3H7RyvxSl4oEEny-emVIMjJ8GczAbeqfBWM5JlKDXSErMl2Rr7wvK349ufM8QfzXjLT6U0F2HXEWPmZdM5L6u4tXLaAQm7pUiqs7CkdYO0zdI6egPDLFDauBxxA6ACiLe-IjMJ0lB4oJn5Goh0B1VasTG1', 'width': 1200}]",ChIJ2zS8fYFO6IAROLR1hQQmXg4,"{'compound_code': '5RVC+M6 Oxnard, CA, USA', 'global_code': '85625RVC+M6'}",2.0,4.2,ChIJ2zS8fYFO6IAROLR1hQQmXg4,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",213.0,"740 South B Street, Oxnard",
OPERATIONAL,"{'location': {'lat': 34.1984656, 'lng': -119.1796268}, 'viewport': {'northeast': {'lat': 34.1998196802915, 'lng': -119.1783753697085}, 'southwest': {'lat': 34.19712171970851, 'lng': -119.1810733302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102949790711419149355"">D S</a>'], 'photo_reference': 'AW30NDzeSO2ningoonnPbAXWuCaSzTTOJMIDxOLNALe_pr45DGUe52CcTG6qQHCoNa7odFKdzh3yQVOvRO7Rh5Mah_jsrWcZsSJHcJ9l8POIwUVf-HQRFr7BJEmJqYe2rWADoC5_BBxP3SL8GwxgKZ2LIk54QbpTUEKbbuBfqVHjwk86lEbs', 'width': 4640}]",ChIJ0zMT9SlM6IAR0GCCwV85a0c,"{'compound_code': '5RXC+94 Oxnard, CA, USA', 'global_code': '85625RXC+94'}",1.0,4.1,ChIJ0zMT9SlM6IAR0GCCwV85a0c,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",74.0,"440 South B St Retail Bldg C-7, Oxnard",
OPERATIONAL,"{'location': {'lat': 34.2099464, 'lng': -119.1939304}, 'viewport': {'northeast': {'lat': 34.2112830302915, 'lng': -119.1925288697085}, 'southwest': {'lat': 34.2085850697085, 'lng': -119.1952268302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109640583077200260150"">Tim McCoy</a>'], 'photo_reference': 'AW30NDxItxZz6KAAiY06DU1EpR-mwvLwDG3K4dYoS3yVLWjg2fwWXbiSIXXvrr4K1Q-Z868wDd8R948lYwt-FRqU9IquykOyOVEMsBpA4pBk9gRfSJJ8Jxkzvu5cpH88ThuCu0VcUVm44q_j7SwEgmUCV84sjTWrmLQMpkJ2WTG66vUoUFWh', 'width': 4032}]",ChIJDfwQ2chN6IAR5j9d3DpdWL4,"{'compound_code': '6R54+XC Oxnard, CA, USA', 'global_code': '85626R54+XC'}",1.0,4.2,ChIJDfwQ2chN6IAR5j9d3DpdWL4,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",76.0,"810 North Ventura Road, Oxnard",
OPERATIONAL,"{'location': {'lat': 34.1739623, 'lng': -119.178103}, 'viewport': {'northeast': {'lat': 34.1754159302915, 'lng': -119.1767562197085}, 'southwest': {'lat': 34.1727179697085, 'lng': -119.1794541802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3393, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102949790711419149355"">D S</a>'], 'photo_reference': 'AW30NDzDSPKXN0cbLHTv2WsbYqf5G5OzXu7tuoL36zylJ0vvlWIc2sIYNpzb2Hw_HtxHdq3rt_ZUqvZNnBv_x9K3l0SuoX9DX0k3Gaw_EgHdQOuC95t0dOyIiypsv7Znawf41x9WbmwZxEzjNrDy-X0dJK8EwV-FiYrbsGROsSRMXvCKFRdT', 'width': 4525}]",ChIJd8PpufNO6IARaMKrXKpSuAw,"{'compound_code': '5RFC+HQ Oxnard, CA, USA', 'global_code': '85625RFC+HQ'}",1.0,4.2,ChIJd8PpufNO6IARaMKrXKpSuAw,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",249.0,"2811 Saviers Road Building A, Oxnard",
OPERATIONAL,"{'location': {'lat': 34.2365049, 'lng': -119.1800829}, 'viewport': {'northeast': {'lat': 34.2379228802915, 'lng': -119.1785300197085}, 'southwest': {'lat': 34.2352249197085, 'lng': -119.1812279802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,BJ's Restaurant & Brewhouse,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111604482039856986109"">G J</a>'], 'photo_reference': 'AW30NDwCmnUW_OgKThGkLLIKSFKJX-ejgISygLKvIOT1UUaSsxxWYVKOGVkAQOUnYHOf13OyV4zYLwX0tVqyxif3VwKSqbLYnPxkOiqDU1rR0ewfcFjIw_923WAGjTPZNJfo4r_O238WE6uZsM5XagGwq5QJhNeLkFRpY12OlOM_TNLS3DJH', 'width': 4160}]",ChIJU2DrBlBM6IAREjzZkx0koNo,"{'compound_code': '6RP9+JX Oxnard, CA, USA', 'global_code': '85626RP9+JX'}",2.0,4.1,ChIJU2DrBlBM6IAREjzZkx0koNo,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1370.0,"461 West Esplanade Drive, Oxnard",
OPERATIONAL,"{'location': {'lat': 34.1959618, 'lng': -119.2205733}, 'viewport': {'northeast': {'lat': 34.1973363302915, 'lng': -119.2193180697085}, 'southwest': {'lat': 34.1946383697085, 'lng': -119.2220160302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},,ChIJ9ZmLtPpN6IAROf4LYD7rP-c,"{'compound_code': '5QWH+9Q Oxnard, CA, USA', 'global_code': '85625QWH+9Q'}",1.0,3.8,ChIJ9ZmLtPpN6IAROf4LYD7rP-c,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",61.0,"600 Victoria Avenue, Oxnard",
CLOSED_TEMPORARILY,"{'location': {'lat': 34.198941, 'lng': -119.220682}, 'viewport': {'northeast': {'lat': 34.2003083802915, 'lng': -119.2191760197085}, 'southwest': {'lat': 34.1976104197085, 'lng': -119.2218739802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Pirates Bar & Grill,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114435801571412770716"">Ray Gonzales State Farm Agent</a>'], 'photo_reference': 'AW30NDzski89qwQeDlhQgr7TapSopHrCvEWbyGOs6-M9bocfOO__hVN42sQgj4dHI-5KIcc7DNSjwoHTVGIWzJbzEqhb2m9IidO9gGx7frd-KchD-1fNVOoWOFhjIoSsv9bx344sdcIg32cu3eYYYA6aeWjlCx86n1IQ5l_rnIAfn0dmf7al', 'width': 4032}]",ChIJK6B1JvBN6IARF3XMnL6vR2Q,"{'compound_code': '5QXH+HP Oxnard, CA, USA', 'global_code': '85625QXH+HP'}",2.0,3.7,ChIJK6B1JvBN6IARF3XMnL6vR2Q,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",306.0,"450 Victoria Avenue, Oxnard",True
OPERATIONAL,"{'location': {'lat': 34.17419, 'lng': -119.230641}, 'viewport': {'northeast': {'lat': 34.17566618029149, 'lng': -119.2293288697085}, 'southwest': {'lat': 34.1729682197085, 'lng': -119.2320268302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mrs. Olson's Restaurant,{'open_now': False},"[{'height': 609, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114916333990221697146"">Mrs. Olson&#39;s Restaurant</a>'], 'photo_reference': 'AW30NDxyfzl18ZkmmAsvS41yk7mk_u0D_0qv0D6BSHqYZ13y7EqFmAU7KylEwfbz8fi2GCSiryXfzHaJ6ipf-vZ0DtrWgNerJbdWEybMDtWvHJOMNDsedyFXkEaw7bmHB98oiROLtf-D3ralyVSAnLKfDxM_B4Sqju2fOURY1UXLtMd7CGII', 'width': 828}]",ChIJ16dsvOJR6IAREVcNBLF3GsQ,"{'compound_code': '5QF9+MP Oxnard, CA, USA', 'global_code': '85625QF9+MP'}",2.0,4.2,ChIJ16dsvOJR6IAREVcNBLF3GsQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",979.0,"2800 Harbor Boulevard, Oxnard",
OPERATIONAL,"{'location': {'lat': 34.179916, 'lng': -119.1659176}, 'viewport': {'northeast': {'lat': 34.1811846802915, 'lng': -119.1646306197085}, 'southwest': {'lat': 34.1784867197085, 'lng': -119.1673285802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117702972539615511963"">Elizabeth V</a>'], 'photo_reference': 'AW30NDylheTQz728jAZlwrvEeJP4y2dH6IlTpF655vLQohAli9CyeV1pMIohtBTdJ5zCt48QPPupe43mja9c-S0rg7PwoIZ-DYGlgbTQYtTeT7rveUGeyX1VLsSzXMBkWzk_011zWUtEyweyKE803szFFrGmrGLY64kFz0Ss0zAaPowxNzLm', 'width': 3024}]",ChIJA64SJ-tO6IARow3g-AqOeZQ,"{'compound_code': '5RHM+XJ Oxnard, CA, USA', 'global_code': '85625RHM+XJ'}",1.0,3.8,ChIJA64SJ-tO6IARow3g-AqOeZQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",113.0,"2031 Statham Boulevard Unit 365-0108, Oxnard",
OPERATIONAL,"{'location': {'lat': 34.2181236, 'lng': -119.160915}, 'viewport': {'northeast': {'lat': 34.2193599302915, 'lng': -119.1596245697085}, 'southwest': {'lat': 34.2166619697085, 'lng': -119.1623225302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Buffalo Wild Wings,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103668032372301112929"">Donovan Dollar</a>'], 'photo_reference': 'AW30NDyCkcT55obKuT45ZhPy_uL11AwVb8HxiMGr5cins1SrHl1DC6kQHLyCOZnOKZjrMO-UbrCQxOcL6ZYNwznYJCez6LWKC5HEfma_n7RqhF9zbLLSK5DAKfS8p2Zf9UB9DPECeAWg5qslhXcvQfLVW6RRcssihMRI9EuCe_bhufFwufUm', 'width': 4032}]",ChIJh8riubBN6IARnP8tabWSxPg,"{'compound_code': '6R9Q+6J Oxnard, CA, USA', 'global_code': '85626R9Q+6J'}",2.0,3.8,ChIJh8riubBN6IARnP8tabWSxPg,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1249.0,"1600 East Gonzales Road, Oxnard",
