business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 27.9998248, 'lng': -80.6329166}, 'viewport': {'northeast': {'lat': 28.0010465302915, 'lng': -80.6315769697085}, 'southwest': {'lat': 27.9983485697085, 'lng': -80.63427493029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Texas Roadhouse,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102000240168625801252"">Edgardo Barea</a>'], 'photo_reference': 'AW30NDwl6J8sR0TozHiya1BJy-7i7DKVAYMGMJIktyfdhnf_WF4vKi-x-EmcCVgqZySlN6HvcmrF6avn7OzZ6tRKJKFYCSQZMydvtZu13aYwmUz50J0RYDfevKeQ6TEedZZvhLutf3ltIQAro3mvpFjpVl0I8hRceHSrO_Q37s8xuz2g66mT', 'width': 4032}]",ChIJLUy0a18N3ogR5F4pwiOz_Rk,"{'compound_code': 'X9X8+WR Palm Bay, FL, USA', 'global_code': '76VXX9X8+WR'}",2.0,4.4,ChIJLUy0a18N3ogR5F4pwiOz_Rk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",4849.0,"1181 Malabar Road, Palm Bay",
OPERATIONAL,"{'location': {'lat': 27.999575, 'lng': -80.6752594}, 'viewport': {'northeast': {'lat': 28.00086343029151, 'lng': -80.67385381970851}, 'southwest': {'lat': 27.9981654697085, 'lng': -80.67655178029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103860424887223121539"">Herve Andrieu</a>'], 'photo_reference': 'AW30NDxVWnmbxiKN9n-HPfsbmXM_NySXHQm7Xn5CI5k0ZiF7EeE0k4XprGxCA3j4IsfUco6HV24v-Pp8UkAZY_bF9WLjsAi1xNzTtrPon__Z1Cq1wtR1KnSML9_q594WEbsEXZmWxX2Di4H3xrpf_HFnCAV69OX3I-xLaQ1dMETnq5_CGWlm', 'width': 3000}]",ChIJq2awgCQN3ogRZNCbsDDIrQY,"{'compound_code': 'X8XF+RV Palm Bay, FL, USA', 'global_code': '76VXX8XF+RV'}",1.0,4.2,ChIJq2awgCQN3ogRZNCbsDDIrQY,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",342.0,"195 Malabar Road Unit 106, Palm Bay",
OPERATIONAL,"{'location': {'lat': 27.9969757, 'lng': -80.63513569999999}, 'viewport': {'northeast': {'lat': 27.9984410802915, 'lng': -80.6337984197085}, 'southwest': {'lat': 27.9957431197085, 'lng': -80.6364963802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105516839391322745229"">The Witchy Gypsy</a>'], 'photo_reference': 'AW30NDyZ0qhFBJfs_mRcvxbCgUtqN1b8ZwPJRwdjyJvWkRuO9UPN0k0Hb3B8oh1z4t_eMQI4A08wNCghOB7_CI3qBVJfaajkkDIFsmQhIt0MqoTRmYkaZhp3MuNJyMqwCtfGZueMT07pGDij0V3wd8ciWbR09n84-KlbcdECSp_akq-9H3UR', 'width': 1920}]",ChIJF-Ut3V4N3ogRiaz_tu0h0Mg,"{'compound_code': 'X9W7+QW Palm Bay, FL, USA', 'global_code': '76VXX9W7+QW'}",1.0,4.0,ChIJF-Ut3V4N3ogRiaz_tu0h0Mg,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",281.0,"1150 Malabar Road Unit 106, Palm Bay",
OPERATIONAL,"{'location': {'lat': 27.9510292, 'lng': -80.65852939999999}, 'viewport': {'northeast': {'lat': 27.9523171302915, 'lng': -80.65710781970849}, 'southwest': {'lat': 27.9496191697085, 'lng': -80.65980578029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107304732450583595808"">Jelle Foks</a>'], 'photo_reference': 'AW30NDyKGpwb67dAxmuudsrUrjAtE7J3FLU1bk_6F-BBcfT3EBfXwc20jmzNkooDLJLBApEgz1o_-1ByW8oPhpaP1BbVkaBe2gD6WFcBkZitwAMXMENPMnriB-STW7b-kpDXTQQ88bhDOzT3eldSpyp_z5k0W_qRFYjblIr2cSppjjGbYxOE', 'width': 3036}]",ChIJv9vTZ-xy3ogRBtIrf6dhKHc,"{'compound_code': 'X82R+CH Palm Bay, FL, USA', 'global_code': '76VXX82R+CH'}",1.0,3.8,ChIJv9vTZ-xy3ogRBtIrf6dhKHc,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",85.0,"3450 Bayside Lakes Boulevard Southeast Suite #106, Palm Bay",
OPERATIONAL,"{'location': {'lat': 27.9508583, 'lng': -80.6586872}, 'viewport': {'northeast': {'lat': 27.9521420802915, 'lng': -80.65734211970849}, 'southwest': {'lat': 27.9494441197085, 'lng': -80.6600400802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Beef 'O' Brady's,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117601042902843901787"">Jairo Lopez</a>'], 'photo_reference': 'AW30NDxAF_ytKgEGCwJnSnNeU_IRTjVjqtALkgR9NgSkKOyMB34WFGK4pvYhGeOkVk2OqtjuLaKfhCAIK8guJ7PKgHWrIylVeDPajA0lMkp7yRUfkTyJZekxLLQgV4Hye3SAeZgFCi9zGKsAmUcD_F6wnfOmNyL4NQDPMO0vzHRK88JkIB_r', 'width': 3024}]",ChIJv9vTZ-xy3ogRZt_oX4QuWo0,"{'compound_code': 'X82R+8G Palm Bay, FL, USA', 'global_code': '76VXX82R+8G'}",2.0,4.0,ChIJv9vTZ-xy3ogRZt_oX4QuWo0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",843.0,"3450 Bayside Lakes Boulevard Southeast #101-102, Palm Bay",
CLOSED_TEMPORARILY,"{'location': {'lat': 27.9959387, 'lng': -80.6734385}, 'viewport': {'northeast': {'lat': 27.9974875302915, 'lng': -80.6722026697085}, 'southwest': {'lat': 27.9947895697085, 'lng': -80.6749006302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Soprano's Pizza,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107224397751144985180"">Soprano&#39;s Pizza</a>'], 'photo_reference': 'AW30NDySeMU1VSM2-Rq9UVl-IB2T-F2COcJVw8tLLdDtvGqhLDmPP0dxEFSGcDw4jAyzM_x9_FIC3gC2ubiZRCXgJK8EkVYLH214BFgwYUNvaoTSqLUFTftXr--otQ1HY1NV0Mytk43V09c_7bKg562zL8UFdQ-4-uc-BR1ZvWqBNbbJRHKS', 'width': 4032}]",ChIJIx1CYuxy3ogRWPAluc4Y3oo,"{'compound_code': 'X8WG+9J Palm Bay, FL, USA', 'global_code': '76VXX8WG+9J'}",2.0,3.9,ChIJIx1CYuxy3ogRWPAluc4Y3oo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",294.0,"160 Malabar Road # 104, Palm Bay",True
OPERATIONAL,"{'location': {'lat': 27.9868019, 'lng': -80.6490364}, 'viewport': {'northeast': {'lat': 27.9883846802915, 'lng': -80.6476851197085}, 'southwest': {'lat': 27.9856867197085, 'lng': -80.6503830802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/convenience_pinlet,Circle K,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114471379999360277450"">Solomone Savelio</a>'], 'photo_reference': 'AW30NDyDSdap-hjX4C0oTXX5YBHCLS8FGiCdS3Gy0lE9T_XoZLi7mBLoiprUFt-e5JlHlIeIzQCtbFWo1WVr0VmYOeUHYFCGkVAYi_A2nfENDNKbP2APUiPHwFLdB76nvox6-uRtjCZxeaC4NacUVYYyZ4rEzSc6APVJFI0uUXarSrDfVRgX', 'width': 5312}]",ChIJyV7luk4N3ogR22mQAxnJw8w,"{'compound_code': 'X9P2+P9 Palm Bay, FL, USA', 'global_code': '76VXX9P2+P9'}",1.0,3.5,ChIJyV7luk4N3ogR22mQAxnJw8w,GOOGLE,"['convenience_store', 'atm', 'meal_takeaway', 'gas_station', 'finance', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",23.0,"1900 Emerson Drive Southeast, Palm Bay",
OPERATIONAL,"{'location': {'lat': 27.9982748, 'lng': -80.67509849999999}, 'viewport': {'northeast': {'lat': 27.99969323029151, 'lng': -80.6736843197085}, 'southwest': {'lat': 27.9969952697085, 'lng': -80.6763822802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Yummy Chinese & Hibachi Restaurant,{'open_now': True},"[{'height': 425, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107167775165009335330"">Yummy Chinese &amp; Hibachi Restaurant</a>'], 'photo_reference': 'AW30NDz_8Jw883QEzH1y0uf9dtbYtcMvbTCEdBe-7oi_s2ymU5RmBNHf0BG0j-FH9o9_3S-rXUvepIe2KmtZzDsM7LLqO5XuLmITUrsv8GxUQYX-KShkju1uAkssOuiCoewL3PnM0n7xlr4GVwAg835NekRnVZ3534Gp74MSK6PVSBrQBBg1', 'width': 640}]",ChIJ3RrCDScN3ogR3bDyKU--XgY,"{'compound_code': 'X8XF+8X Palm Bay, FL, USA', 'global_code': '76VXX8XF+8X'}",,3.2,ChIJ3RrCDScN3ogR3bDyKU--XgY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",134.0,"190 Malabar Road #116, Palm Bay",
OPERATIONAL,"{'location': {'lat': 27.9982991, 'lng': -80.64320959999999}, 'viewport': {'northeast': {'lat': 27.9996475302915, 'lng': -80.64197046970848}, 'southwest': {'lat': 27.9969495697085, 'lng': -80.6446684302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Sonny's BBQ,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111477449966483443127"">Julio Wong</a>'], 'photo_reference': 'AW30NDyIeb6fJorOLy4_fvEVJUuDM4Jh4BOZI0NPE1J1Tz7WYOmapXdk6sQaymig5O_jVtHyvCwuRujGYY4O27h4dEG80HXvavRBBpGVJVbeUBGe1M83kaG3EJs49OmBGUFqtUiix5GM_q7y4mlPsgN7b6V_yafbsu9q2n-0uJo-oOw3Clyi', 'width': 3024}]",ChIJdeDXi1wN3ogR2wDIpJAdSis,"{'compound_code': 'X9X4+8P Palm Bay, FL, USA', 'global_code': '76VXX9X4+8P'}",2.0,4.3,ChIJdeDXi1wN3ogR2wDIpJAdSis,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2206.0,"1020 Malabar Road, Palm Bay",
OPERATIONAL,"{'location': {'lat': 27.9983839, 'lng': -80.6424328}, 'viewport': {'northeast': {'lat': 27.9997993802915, 'lng': -80.64111586970849}, 'southwest': {'lat': 27.9971014197085, 'lng': -80.64381383029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Sonic Drive-In,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114471379999360277450"">Solomone Savelio</a>'], 'photo_reference': 'AW30NDw5lYl1TLLb1_8yEvcSaXqHHGO_n03WpG8A0cRADu55ryQrrl6ylh928tt_uq8Dvzb34knnOG6ln4QZ3Lct7bSb2mBikTqE6G01jvlaH0gILlfmYNzYVtp7gOsG1JyuM5BhSczrf48TftTbKdaClDj1TovFjDUWkTcdATQ3VSUm1cJT', 'width': 5312}]",ChIJSY5WvVwN3ogRlT7oNhe0V74,"{'compound_code': 'X9X5+92 Palm Bay, FL, USA', 'global_code': '76VXX9X5+92'}",1.0,3.9,ChIJSY5WvVwN3ogRlT7oNhe0V74,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1250.0,"1038 Malabar Road, Palm Bay",
