business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 34.6069052, 'lng': -118.1553627}, 'viewport': {'northeast': {'lat': 34.60817528029149, 'lng': -118.1538738697085}, 'southwest': {'lat': 34.60547731970849, 'lng': -118.1565718302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,BJ's Restaurant & Brewhouse,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104159142913011022854"">Carl Dameron</a>'], 'photo_reference': 'AW30NDwu2Q5HCnC9BAGZhKlDX0pS0zx1o-grFwKqjiMQF6u-HQcgOw2eB9K5wp1_siDyBRNzyYo-xYVYPr_mm6MpTu-YREEcM0keroMe4MH3YR0TbkP3pdlx6Vya7XezO1mMv8a8R8GDv8gAUA9cUyTq_1q7ndiRN6H2owYpYX7Hx-KLsO_A', 'width': 3024}]",ChIJG5npQp9ZwoARwg17ySkJ3cI,"{'compound_code': 'JR4V+QV Palmdale, CA, USA', 'global_code': '8563JR4V+QV'}",2.0,4.2,ChIJG5npQp9ZwoARwg17ySkJ3cI,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1789.0,"1325 Rancho Vista Boulevard, Palmdale",
OPERATIONAL,"{'location': {'lat': 34.5860133, 'lng': -118.1429431}, 'viewport': {'northeast': {'lat': 34.5873088302915, 'lng': -118.1413616697085}, 'southwest': {'lat': 34.5846108697085, 'lng': -118.1440596302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tom's Burgers 25,{'open_now': True},"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105067228589182400734"">John</a>'], 'photo_reference': 'AW30NDx0u7G_-jXbaGTSTN36-WlH-eE_sUqniFNjQoZPSTCtIGqxF580TfWxOuEZ-evTl-gTs_xjL8WczLZaH2A0YL8F1VEXvrBRZM1cGBtJKbGvYKdnqjsHno2Y3mt1rSMXEJ3Px6z71VLANCKn5-VqPe3BVGrxpVeBCot2JyjK7_RfV8BU', 'width': 2560}]",ChIJr-7_nbNZwoARbjbFepDC0OM,"{'compound_code': 'HVP4+CR Palmdale, CA, USA', 'global_code': '8563HVP4+CR'}",1.0,4.1,ChIJr-7_nbNZwoARbjbFepDC0OM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1310.0,"695 West Palmdale Boulevard, Palmdale",
OPERATIONAL,"{'location': {'lat': 34.55917549999999, 'lng': -118.0870243}, 'viewport': {'northeast': {'lat': 34.5605176302915, 'lng': -118.0855468197085}, 'southwest': {'lat': 34.5578196697085, 'lng': -118.0882447802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 766, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109781398897404341477"">Subway</a>'], 'photo_reference': 'AW30NDzYR7pndf5wviJYB6NMyb8ashRXY4eXOLVXJm2MUnSnSiR-GlT9ZYE5Cxu9_Nou5Uw2b9syoh50gxcaZu1ZBSu2rdffsUnRssFE_laN7EU1h8P1ABi404lKA8dUu_hQaC-LSJITZ-ca99Ak-wlLVbuRy7J05Q3fiReH899mrPnpNOCx', 'width': 766}]",ChIJI0s-nt9XwoAREZWRvMjVFoY,"{'compound_code': 'HW57+M5 Palmdale, CA, USA', 'global_code': '8563HW57+M5'}",1.0,4.1,ChIJI0s-nt9XwoAREZWRvMjVFoY,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",266.0,"2321 East Avenue S Unit E-1, Palmdale",
OPERATIONAL,"{'location': {'lat': 34.5799266, 'lng': -118.1204088}, 'viewport': {'northeast': {'lat': 34.5812801302915, 'lng': -118.1189900197085}, 'southwest': {'lat': 34.5785821697085, 'lng': -118.1216879802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105518653819686420573"">Bob Grewal</a>'], 'photo_reference': 'AW30NDwZVWuAVSKNwWUEJ1URDZs-YDLihrsNlYm6wjSwbmA_qlX3K1cxNg64Py2_p8H3z4vA2aRf57s4wBcG-ueWHnZG8GdZStMsA2ZWpxKJXHliEDZSc7iJE4vdLcxvWIKa6VwyW_8nO_6X2Abq1PWMnfQkE5GFKSESSZGzXWoobc71JvvD', 'width': 4032}]",ChIJB7Y6DS9YwoARl-f1vBUvDrQ,"{'compound_code': 'HVHH+XR Palmdale, CA, USA', 'global_code': '8563HVHH+XR'}",1.0,4.3,ChIJB7Y6DS9YwoARl-f1vBUvDrQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",177.0,"509 East Palmdale Boulevard Unit A, Palmdale",
OPERATIONAL,"{'location': {'lat': 34.5802556, 'lng': -118.0950931}, 'viewport': {'northeast': {'lat': 34.5815807302915, 'lng': -118.0938161697085}, 'southwest': {'lat': 34.5788827697085, 'lng': -118.0965141302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108064957543962992128"">Ethan Molina</a>'], 'photo_reference': 'AW30NDxXoMDS7dl_kqDdi6oqKgNDJ1fzu73MZfc_h3zrlpBWzbNZNLmG7iV_DDxYE1udP2lkOX2JtZZ1qa24b1CvrLjeis7hU17qtKWs_AOuItsiSrLMNAPKdTnluycb7VHEJvv5YYyXtwbz-LfFjvEQWVcfPVLscxiOte77K1hofnTlMG8', 'width': 3024}]",ChIJmx0r_JNXwoARvzNezFAwABQ,"{'compound_code': 'HWJ3+4X Palmdale, CA, USA', 'global_code': '8563HWJ3+4X'}",1.0,4.3,ChIJmx0r_JNXwoARvzNezFAwABQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",109.0,"1823 East Palmdale Boulevard, Palmdale",
OPERATIONAL,"{'location': {'lat': 34.607294, 'lng': -118.1511364}, 'viewport': {'northeast': {'lat': 34.6085985802915, 'lng': -118.1496884697085}, 'southwest': {'lat': 34.6059006197085, 'lng': -118.1523864302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,El Torito,{'open_now': True},"[{'height': 3333, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114295902217416703069"">El Torito</a>'], 'photo_reference': 'AW30NDxBwOb8ti00fe4aWi9k2XI2J9IjcAnpPDpTLxLAoLOsQ3dy3k--PXjtYxMtlzpamQIFJj-XmlhnYgc46yizxDnJ4Z06ypS6ws9w1wOATc2fMSterg35GumGhbrPTAwjhkI3iqBoI32iv2T0FFkZOZ0V9IbTqRR5QpjH4VT1jufxYncK', 'width': 5000}]",ChIJ1xckdqJZwoARZUVU1ljPgbg,"{'compound_code': 'JR4X+WG Palmdale, CA, USA', 'global_code': '8563JR4X+WG'}",2.0,3.9,ChIJ1xckdqJZwoARZUVU1ljPgbg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1153.0,"1161 West Avenue P, Palmdale",
OPERATIONAL,"{'location': {'lat': 34.5856327, 'lng': -118.1478576}, 'viewport': {'northeast': {'lat': 34.58702858029149, 'lng': -118.1465666197085}, 'southwest': {'lat': 34.5843306197085, 'lng': -118.1492645802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105518653819686420573"">Bob Grewal</a>'], 'photo_reference': 'AW30NDyy-9bWQxHfua8kaYAIYJKGESAktce5R_qbXgXgQnJszrh4WGyL3abgHt_D2OxyMvKyrp3EJ4FjIaVPFwsKGSWt5BZZB-6bWyoCOFklZhEVUvEAXPHYcZ50Ot_OiRtC2NWtYdEb_svXVh-uXeX6Bkf0enM0BL6qwRSTWAXarrRk3FOI', 'width': 4032}]",ChIJF1-Dj61ZwoARVOnDisJ_RW0,"{'compound_code': 'HVP2+7V Palmdale, CA, USA', 'global_code': '8563HVP2+7V'}",1.0,4.2,ChIJF1-Dj61ZwoARVOnDisJ_RW0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",377.0,"38709 Tierra Subida Avenue #300, Palmdale",
OPERATIONAL,"{'location': {'lat': 34.559224, 'lng': -118.0469313}, 'viewport': {'northeast': {'lat': 34.5605642802915, 'lng': -118.0454857697085}, 'southwest': {'lat': 34.5578663197085, 'lng': -118.0481837302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102946474640904532348"">Mary Castillo</a>'], 'photo_reference': 'AW30NDyTd8dzNyDYwr6iGqngF6RFb2Kb95DU8vtoC1gi3iHbkUTD9B0Ex6_jTGZx7IZGGXwH1AU9arIrQCDo4tEsolcPIMXDrM23Fbc_0KuP34b-YHC9L4TCHh55P3OcAQXRv0_CgCBYbUucw0FSH7M4hOR3rf6tzbT-pEGSnN7B_u8M3xXC', 'width': 5312}]",ChIJrZQ9dJn4woARZOZ_j79iAqU,"{'compound_code': 'HX53+M6 Palmdale, CA, USA', 'global_code': '8563HX53+M6'}",1.0,4.1,ChIJrZQ9dJn4woARZOZ_j79iAqU,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",173.0,"4621 East Avenue S Unit D-102, Palmdale",
OPERATIONAL,"{'location': {'lat': 34.6032689, 'lng': -118.1836685}, 'viewport': {'northeast': {'lat': 34.6045264802915, 'lng': -118.1823274697085}, 'southwest': {'lat': 34.6018285197085, 'lng': -118.1850254302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105518653819686420573"">Bob Grewal</a>'], 'photo_reference': 'AW30NDxzUiLs8dknYLO6e8deNHuXVepEldWYTxnlqgjE5LzZw3I9FLrS7N0FZu_8Xg6d4wPk02Jg9YtmYY5-f62wuga0M3gOt2ey4GFT-v-nhNXUMU6JUcfYK1VzwBLoM_1ZjVwkxVZNcm4jSE5QY-82-LaSZPt45QArBIs49bp8QQXVEPs4', 'width': 4032}]",ChIJm4-qsEJZwoARmqljEBmY8PA,"{'compound_code': 'JR38+8G Palmdale, CA, USA', 'global_code': '8563JR38+8G'}",1.0,3.1,ChIJm4-qsEJZwoARmqljEBmY8PA,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",43.0,"3011 Rancho Vista Boulevard Suite H, Palmdale",
OPERATIONAL,"{'location': {'lat': 34.6113798, 'lng': -118.1473086}, 'viewport': {'northeast': {'lat': 34.61271268029149, 'lng': -118.1460094697085}, 'southwest': {'lat': 34.6100147197085, 'lng': -118.1487074302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Sonic Drive-In,{'open_now': True},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108579580132485867322"">Sonic Drive-In</a>'], 'photo_reference': 'AW30NDwaFCvVklzYfj_BM_B7TqjbQpXBGbrFaGdWN44b30BQCspPXdLP3lKBmI49fODBK3yAwkLwdd2zBg5-S5iS7nVB4tucTu3Tm4FXDVtznFCwZ7zKulyMU4jJeJcQQ6lZP9fiOtsEDAV9N6R2O7jXnoQEpUbcwXN82d1pzmATY-u7BhQq', 'width': 1280}]",ChIJp5SRnppZwoARdsIpT2ljdhA,"{'compound_code': 'JV63+H3 Palmdale, CA, USA', 'global_code': '8563JV63+H3'}",1.0,3.9,ChIJp5SRnppZwoARdsIpT2ljdhA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2749.0,"40124 10th Street West, Palmdale",
