business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 29.6613288, 'lng': -95.1235918}, 'viewport': {'northeast': {'lat': 29.6626793302915, 'lng': -95.1220297697085}, 'southwest': {'lat': 29.6599813697085, 'lng': -95.12472773029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jimmy Changas {Pasadena},{'open_now': True},"[{'height': 664, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102254420940490316321"">Jimmy Changas {Pasadena}</a>'], 'photo_reference': 'AW30NDxL9gW_fm8yQNxAkhNh6V3NCmTy3jlJOHBOxaXuzPP_aNGslM78WA2w2wXP9YlejgiWMUozB5yX-L_h18uSF5lWzCrRaQXoJoVBqLbBDtwcveIla1I6LjdSrqVX96F_xiX0eTZqqNGN8uSE6g9yXoIg2uS3hDrmc3883ikuWIsmGE-U', 'width': 1211}]",ChIJV9O_Cj6fQIYR-7vx50kxEeE,"{'compound_code': 'MV6G+GH Pasadena, TX, USA', 'global_code': '76X6MV6G+GH'}",2.0,4.4,ChIJV9O_Cj6fQIYR-7vx50kxEeE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2637.0,"5144 Center Street, Pasadena",
OPERATIONAL,"{'location': {'lat': 29.6402108, 'lng': -95.15863019999999}, 'viewport': {'northeast': {'lat': 29.64164488029149, 'lng': -95.15743426970849}, 'southwest': {'lat': 29.6389469197085, 'lng': -95.1601322302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110923318713100150907"">Thiago Cunha</a>'], 'photo_reference': 'AW30NDwtF0ueZLL_wjLiWdyNI2RuzW0jPlv85DWRVFEnhpIf8Y108-nDbr-ovo2yTNyaeOzR8xCN9Hs6Pm74THEKfvuNmo1Lcw_FTghgbDTduXyQnE4u9UsqNU6Enzcgiu805_x_rD4GETnlILOcy8ba9m1vYtt_y0RtZVCCwBw0fWQM4etd', 'width': 4032}]",ChIJPzLlLSeZQIYROIpQAK_PLxk,"{'compound_code': 'JRRR+3G Pasadena, TX, USA', 'global_code': '76X6JRRR+3G'}",2.0,4.3,ChIJPzLlLSeZQIYROIpQAK_PLxk,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2658.0,"4641 East Sam Houston Parkway South, Pasadena",
OPERATIONAL,"{'location': {'lat': 29.6389279, 'lng': -95.1627627}, 'viewport': {'northeast': {'lat': 29.6403333802915, 'lng': -95.16134311970849}, 'southwest': {'lat': 29.6376354197085, 'lng': -95.16404108029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 766, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112142407967115601496"">Subway</a>'], 'photo_reference': 'AW30NDyqkVOdIJ4iUTx7DgFB1Ki2T1oYG4DVfo-4jR9ORD-HQdzS6TvCcsIpajb-tqOqaMM1TauLAzZPU0OwZLOuk3k4fcXSapKp85IreoMEcB83NOKdW3Wb-_QRSbpb6N5tPBjSdWxiev9gsDzpN0HCzq2rOWK6gf2QzKTETqoUHv2z0JC3', 'width': 766}]",ChIJSdOl-yCZQIYReibmwllUQDU,"{'compound_code': 'JRQP+HV Pasadena, TX, USA', 'global_code': '76X6JRQP+HV'}",1.0,4.2,ChIJSdOl-yCZQIYReibmwllUQDU,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",126.0,"4804 East Sam Houston Parkway South Suite 100, Pasadena",
OPERATIONAL,"{'location': {'lat': 29.65113569999999, 'lng': -95.15059839999999}, 'viewport': {'northeast': {'lat': 29.6525091302915, 'lng': -95.1493703197085}, 'southwest': {'lat': 29.6498111697085, 'lng': -95.1520682802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Buffalo Wild Wings,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108114510624148525620"">High Tide</a>'], 'photo_reference': 'AW30NDyNWkQokkNfhLEuZKx4BhBDnsF58dBiyBAemzma_ezQCSjgtFNNEUJcGs9q4qqU7uxqblN60dHRrmRdeab4LzHZyrsmzSJxMGhivrkWyj-r9PKYDJKA-bf0HFjWKGjXtWXw4hhwego-aWoE-lI_U3Svv2jfcfSyStaCWmDsxTXTjCPm', 'width': 3000}]",ChIJ_1PK4NCYQIYRPS6YCRwf59Q,"{'compound_code': 'MR2X+FQ Pasadena, TX, USA', 'global_code': '76X6MR2X+FQ'}",2.0,3.9,ChIJ_1PK4NCYQIYRPS6YCRwf59Q,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1759.0,"5875 Fairmont Parkway, Pasadena",
OPERATIONAL,"{'location': {'lat': 29.6396416, 'lng': -95.1591006}, 'viewport': {'northeast': {'lat': 29.64106423029149, 'lng': -95.1578903697085}, 'southwest': {'lat': 29.6383662697085, 'lng': -95.16058833029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Johnny Tamale Cantina,{'open_now': True},"[{'height': 1201, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114705216539668621099"">Johnny Tamale Cantina</a>'], 'photo_reference': 'AW30NDzBIAsbL1U2KS1bRZmpKrwIO9eKT2QDZ22ibIKCgd0y54tXmZHWgSTS6Sdc_SiSckoA4KpHosGLMDTqPi5TyWvdS2sPdd2TTvF2EHtOuvbsq0-zzsW7TFJ5PmimqKScR6khxGPCu5uE-K81hjOeTeHZ-yKODNvKWVYTq9fJJ14trrxO', 'width': 1800}]",ChIJneUD1iCZQIYR1LD37z9nPWQ,"{'compound_code': 'JRQR+V9 Pasadena, TX, USA', 'global_code': '76X6JRQR+V9'}",2.0,4.2,ChIJneUD1iCZQIYR1LD37z9nPWQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1651.0,"4647 East Sam Houston Parkway South, Pasadena",
OPERATIONAL,"{'location': {'lat': 29.6647123, 'lng': -95.1124669}, 'viewport': {'northeast': {'lat': 29.6659549302915, 'lng': -95.11113176970849}, 'southwest': {'lat': 29.6632569697085, 'lng': -95.1138297302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116967158771396970344"">Kari Perez</a>'], 'photo_reference': 'AW30NDwoCPj1Yxzv3GjFltMDmHoAKmyDdFM7HAV9Z9XZot8OheTjCoMxx2O4C_BHwBLo_BHEpeYgS0Z6Cfopbhf2K7ustEI6aI6nMP8iAX62DvaiOzgnx8iiW7BzrTsCI0rJwaepHrZl4WmNA8MeBxs0MyYQ-Vxm6oPnnnDBjYfWEk0_0jE3', 'width': 4032}]",ChIJ13alfBKfQIYRNVLyASBH7aM,"{'compound_code': 'MV7Q+V2 Deer Park, TX, USA', 'global_code': '76X6MV7Q+V2'}",1.0,4.3,ChIJ13alfBKfQIYRNVLyASBH7aM,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",189.0,"8307 Spencer Highway, Deer Park",
OPERATIONAL,"{'location': {'lat': 29.6480368, 'lng': -95.14964040000001}, 'viewport': {'northeast': {'lat': 29.6494407802915, 'lng': -95.14842841970851}, 'southwest': {'lat': 29.6467428197085, 'lng': -95.15112638029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Savannah Cafe & Bakery,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108578577471489180603"">Julieta Lopez</a>'], 'photo_reference': 'AW30NDz0vZljVyLMtjw_KMjrtkTIJS_4pJf1vywBS6OPObu6XfvGZXEKNPR3YBwZ2_S0GggkrVXttUyD4GUA_heMtJFuZcj_ptAFBUXnsDAPY0ZEwtlCXFrzGUBvSVRZyQtlGFnlvBa6CSyTE_8_GyQWa9ZhmG4CHDPynWWoQaBWI584bP-2', 'width': 4032}]",ChIJjbrTRNGYQIYRk5RIOOG4WgI,"{'compound_code': 'JVX2+64 Pasadena, TX, USA', 'global_code': '76X6JVX2+64'}",2.0,4.5,ChIJjbrTRNGYQIYRk5RIOOG4WgI,GOOGLE,"['cafe', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",399.0,"5968 Fairmont Parkway F, Pasadena",
OPERATIONAL,"{'location': {'lat': 29.66658299999999, 'lng': -95.15495399999999}, 'viewport': {'northeast': {'lat': 29.66787153029149, 'lng': -95.15364211970848}, 'southwest': {'lat': 29.6651735697085, 'lng': -95.15634008029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Texas Roadhouse,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106414533642731965753"">Hi H-meh</a>'], 'photo_reference': 'AW30NDzrmY2O4Knq_3_9dIoVtl8O070MY6iKBAcG6fKcw_ZDnUAlo_a1JMKByEoN6clybiwim0LqpEEj0FUgIoZJnZIiqIhNqW1XNsa8evReUl1TLWRAeJO3jivYUo-1L8SUHaBTRS9GgqWzbnwplr0XKv-o0dhGtqugL8-ilYUFcj2JNtoI', 'width': 4032}]",ChIJS_vZbriYQIYRX6Jd-y1Ka4E,"{'compound_code': 'MR8W+J2 Pasadena, TX, USA', 'global_code': '76X6MR8W+J2'}",2.0,4.4,ChIJS_vZbriYQIYRX6Jd-y1Ka4E,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3973.0,"3033 East Sam Houston Parkway South, Pasadena",
OPERATIONAL,"{'location': {'lat': 29.6823367, 'lng': -95.1229109}, 'viewport': {'northeast': {'lat': 29.6835868302915, 'lng': -95.1216579197085}, 'southwest': {'lat': 29.6808888697085, 'lng': -95.1243558802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115093191388282321438"">Ber langa</a>'], 'photo_reference': 'AW30NDwjGkokkIeNCQRBVOF9i2PeiuCAXc819Vg5nLMGRZ8gGwthBi8OIrXYCOVuOZ-4CKJtl0BIExLa8Kj9-4aUpXWP8SkbGnnRTldUzpQjDjcMvCz6Yso2l5jZbxGnp0uTAtbb_QaRq2maEgXxSdLqDeqYZvVGljXmbyqPSEyxbEQl230s', 'width': 4032}]",ChIJlatGhV2fQIYRicKiGEiBEsc,"{'compound_code': 'MVJG+WR Deer Park, TX, USA', 'global_code': '76X6MVJG+WR'}",1.0,4.1,ChIJlatGhV2fQIYRicKiGEiBEsc,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",79.0,"3203 Center Street #18A, Deer Park",
OPERATIONAL,"{'location': {'lat': 29.6492272, 'lng': -95.1648324}, 'viewport': {'northeast': {'lat': 29.6505831802915, 'lng': -95.16359051970849}, 'southwest': {'lat': 29.6478852197085, 'lng': -95.1662884802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chick-fil-A,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116532563748262101147"">Rebecca Wei</a>'], 'photo_reference': 'AW30NDzHmp4QL8_b5jjvaVo2liavSEhlhxwO9muwgbRuQ-YXOFqFgdg7dRl31MM5gZFEvqGcLd-xjktFs6Y8fRePg9oz_BKhktrZVA5bjtOvazTMnSkjTU-tobIxV7DhliHREGAPKy6p815yKw7D9qCmy4FZle3M_xO3J1qsOYsNaNLLsDF1', 'width': 4032}]",ChIJKYxtrOCYQIYRm8P7obfsoQQ,"{'compound_code': 'JRXP+M3 Pasadena, TX, USA', 'global_code': '76X6JRXP+M3'}",1.0,4.6,ChIJKYxtrOCYQIYRm8P7obfsoQQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2488.0,"5104 Fairmont Parkway, Pasadena",
