business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 40.9172139, 'lng': -74.1752229}, 'viewport': {'northeast': {'lat': 40.9186204802915, 'lng': -74.17388731970848}, 'southwest': {'lat': 40.9159225197085, 'lng': -74.17658528029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Zona Urbana,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116612808061319864848"">Rafael Anaya</a>'], 'photo_reference': 'AW30NDyDwjHVt4TmuJqOLLW3wl9-BVdwj1yZTEw5tY4j2m2C8giKMGP3WrT_602EK-GPY1HtdpI9G93BTKO_Kk9kRC09RfU_wxeXf-OajXh-UtX-x8SkpzSYMfNR9CvN3__pYCVhMucljSMwGWIAC-0FU1lLIVYFW-NJDkYFvVZVmfjSs1M6', 'width': 4032}]",ChIJZ6mTx8v9wokRExOXGo3hBw8,"{'compound_code': 'WR8F+VW Paterson, NJ, USA', 'global_code': '87G7WR8F+VW'}",4.3,ChIJZ6mTx8v9wokRExOXGo3hBw8,GOOGLE,"['restaurant', 'bar', 'night_club', 'food', 'point_of_interest', 'establishment']",277.0,"58 - 60 Ellison Street, Paterson",,
OPERATIONAL,"{'location': {'lat': 40.9179626, 'lng': -74.1662312}, 'viewport': {'northeast': {'lat': 40.9193712302915, 'lng': -74.16486421970848}, 'southwest': {'lat': 40.9166732697085, 'lng': -74.1675621802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 812, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112957505204122160728"">Papa Johns Pizza</a>'], 'photo_reference': 'AW30NDyLnx3jEUOi_8J5GoddquC1DjvsJa62gB5RBLuOaST-FbuL6Q_CRk4vQBKvfEI_ER2hmqkA_sVUJzPvlSiaV680f5xDdUmYCOrBJvC1HYdCQBWZkQOxx0N_RfIdin3c2c5zi9w_J9GGQFgOx1TcwKP1XPI1KM2BgfVFAj0c4b4s_E_t', 'width': 1444}]",ChIJi4U7rsv9wokRoVVWTcSTKx4,"{'compound_code': 'WR9M+5G Paterson, NJ, USA', 'global_code': '87G7WR9M+5G'}",3.1,ChIJi4U7rsv9wokRoVVWTcSTKx4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",229.0,"185 Straight Street, Paterson",1.0,
CLOSED_TEMPORARILY,"{'location': {'lat': 40.911965, 'lng': -74.174322}, 'viewport': {'northeast': {'lat': 40.9132256802915, 'lng': -74.1730068697085}, 'southwest': {'lat': 40.9105277197085, 'lng': -74.17570483029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jacksonville,,"[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113990451708082541982"">Jacksonville</a>'], 'photo_reference': 'AW30NDwUvtC0jb2rk7oayuC6i8pKnnhU7nGtrycuEIyr2Q0z2PQCN0MSvWXYKoYRHC-YNH6mRnmFzxvOQ5ZIhYmWxWt-6L_VddM-R5GSIBZ66_6NNQNvzctY7vdtRs4QSsNvx5iEwWGyE1umcsWM5tT51gHK6nHKH95JvFFexv-nrWi09I3S', 'width': 1080}]",ChIJBzPYo839wokR8aABPlBCS0I,"{'compound_code': 'WR6G+Q7 Paterson, NJ, USA', 'global_code': '87G7WR6G+Q7'}",4.2,ChIJBzPYo839wokR8aABPlBCS0I,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",142.0,"325 Grand Street, Paterson",,True
OPERATIONAL,"{'location': {'lat': 40.9154685, 'lng': -74.1726977}, 'viewport': {'northeast': {'lat': 40.91674263029149, 'lng': -74.1713938197085}, 'southwest': {'lat': 40.9140446697085, 'lng': -74.1740917802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Domino's Pizza,{'open_now': True},"[{'height': 1253, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107838859468325549447"">Domino&#39;s Pizza</a>'], 'photo_reference': 'AW30NDwRg3YYVnZT7cL017uIIF-E5egX3Q-qsgLoOWzy9Nx6G70jf9db6GX5a3jy-EPmZiQ25X6HDK1umcXc2X-9mtu3rk154ab5eFVQgF_iN7a9hX6SRBR7hBNLwQGq4tTw672ASzy6WeSyYH4m5_ddxBWoeSCdX0HTmOBE9zHZC4OON0w', 'width': 1080}]",ChIJTYz7Y8v9wokRqWu83dMH55o,"{'compound_code': 'WR8G+5W Paterson, NJ, USA', 'global_code': '87G7WR8G+5W'}",2.8,ChIJTYz7Y8v9wokRqWu83dMH55o,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",703.0,"7-11 Smith Street, Paterson",1.0,
OPERATIONAL,"{'location': {'lat': 40.918824, 'lng': -74.1532778}, 'viewport': {'northeast': {'lat': 40.92012348029149, 'lng': -74.1519901697085}, 'southwest': {'lat': 40.91742551970849, 'lng': -74.1546881302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,McDonald's,{'open_now': True},"[{'height': 5312, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116124064316901380816"">Cesar Rodriguez</a>'], 'photo_reference': 'AW30NDxvdc9858b8FDWNJGXoKlgGQBM4PQCAqtWPf_1Eb6eTMqrbzGlEIuZ6W8qJwmcDtK_Fre5punSNge4uLTz_BYOuoBmHjobk5dEAg3a9haKQMvCHzCxpm6r8Y524fkJoSlmGiDwyDdj3vK5SUmm_c55cH9i3Q2TZ7-zj3_CMVhhQxEU9', 'width': 2988}]",ChIJvcayS0f8wokRH2tZnJn25KY,"{'compound_code': 'WR9W+GM Paterson, NJ, USA', 'global_code': '87G7WR9W+GM'}",3.3,ChIJvcayS0f8wokRH2tZnJn25KY,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1558.0,"485 497 Broadway, Paterson",1.0,
OPERATIONAL,"{'location': {'lat': 40.9148012, 'lng': -74.1725575}, 'viewport': {'northeast': {'lat': 40.9163651302915, 'lng': -74.16942505}, 'southwest': {'lat': 40.9136671697085, 'lng': -74.17467884999999}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cruz Center City Pizza,{'open_now': False},"[{'height': 3500, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114109830398849309108"">Cruz Center City Pizza</a>'], 'photo_reference': 'AW30NDy7ZQ83QYezbcqLwyRO-KWrVURLD9CxaKprQqcERHiwtK0SEsTFcZMXFyWEfzoYTusSFBJ0QhHisjqPuHF9Dmn1r4Ibid52lqAH6UsbKV553Z-JNslws2aZS9KILqc9_K_YC3V-n_rog3u-_vgjZNdWO4ng1JpiXagLR2fzoDsquNOg', 'width': 5250}]",ChIJPXBmhMz9wokR4p7bN9ZzoCY,"{'compound_code': 'WR7G+WX Paterson, NJ, USA', 'global_code': '87G7WR7G+WX'}",3.8,ChIJPXBmhMz9wokR4p7bN9ZzoCY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",76.0,"301 Main Steet, Paterson",1.0,
OPERATIONAL,"{'location': {'lat': 40.9022582, 'lng': -74.1661378}, 'viewport': {'northeast': {'lat': 40.90338793029149, 'lng': -74.16441791970851}, 'southwest': {'lat': 40.9006899697085, 'lng': -74.16711588029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Au Bon Pain,{'open_now': True},"[{'height': 2028, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104338159893238988287"">PattyLove Love</a>'], 'photo_reference': 'AW30NDwwRc_Jq3CfvFkK4XqzrsKB7YLY_YbyFf3QESY4JRls46cQUxBDm2AA4gpAfLnw1yKTxrtxse8csBghvDqPjcFpjN-Oaq4BxRiGJgBThn6D6KPquqKLabsAZSbYwuQIr6iTvkiSuBUedPIUFqS8lbd1qVfneaBQt0F2PH6GCshG4mkQ', 'width': 3902}]",ChIJD001yiv8wokRvgqB4-TfTQk,"{'compound_code': 'WR2M+WG Paterson, NJ, USA', 'global_code': '87G7WR2M+WG'}",4.1,ChIJD001yiv8wokRvgqB4-TfTQk,GOOGLE,"['bakery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",68.0,"703 Main Steet, Paterson",2.0,
OPERATIONAL,"{'location': {'lat': 40.9154689, 'lng': -74.1728321}, 'viewport': {'northeast': {'lat': 40.9167399802915, 'lng': -74.17146431970849}, 'southwest': {'lat': 40.9140420197085, 'lng': -74.17416228029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Dunkin',{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107989945750733847546"">Drew Rowley 973</a>'], 'photo_reference': 'AW30NDyzb9ohD-dGVmuOHHOU8b1X6pnqtCT0Xll7BR4Ddaz8Tx6CDKXaH0ibQlGmkHu42ZPn8c6CffgoYnQVH3CgjM7tEtEmjmF-yYgpgtykCi2EXKTEiH-a3lGgC_uR96gzd6CesyeiKABQ_F_42AzM7ubPqRwgzKIiFL8L6AoHA1MW7hrG', 'width': 4032}]",ChIJTYz7Y8v9wokRHQeHFK8WywE,"{'compound_code': 'WR8G+5V Paterson, NJ, USA', 'global_code': '87G7WR8G+5V'}",3.5,ChIJTYz7Y8v9wokRHQeHFK8WywE,GOOGLE,"['meal_takeaway', 'cafe', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",103.0,"7 Smith Street, Paterson",1.0,
OPERATIONAL,"{'location': {'lat': 40.9234328, 'lng': -74.140959}, 'viewport': {'northeast': {'lat': 40.9247353802915, 'lng': -74.13968711970848}, 'southwest': {'lat': 40.9220374197085, 'lng': -74.14238508029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Riverside Manor,{'open_now': False},"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115188661107786137898"">Marcos Mundarain</a>'], 'photo_reference': 'AW30NDz5L_Fe86B3ACjY4A3YcCo5n4j4iYhRB8WnZ522GWziQN_GqfM3Zza3dmEqJBMzqUeZxq24GnWs_91tdgo1EB41CIGJOuIh4ELXRA05kvpzFf4KcJz2QB9cWmbuDxuNKVFlQKKehBwcwDFEyCwc4mlT6GJhdt6KZN55yCjYtXcjPRtz', 'width': 4128}]",ChIJ84-_0G78wokRFOueVa7JZcQ,"{'compound_code': 'WVF5+9J Paterson, NJ, USA', 'global_code': '87G7WVF5+9J'}",4.2,ChIJ84-_0G78wokRFOueVa7JZcQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",328.0,"27 East 33rd Street, Paterson",2.0,
OPERATIONAL,"{'location': {'lat': 40.9238609, 'lng': -74.1412093}, 'viewport': {'northeast': {'lat': 40.9250610302915, 'lng': -74.1400375697085}, 'southwest': {'lat': 40.9223630697085, 'lng': -74.1427355302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Bourbon BBQ Supply,{'open_now': False},"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102225628610847226634"">Thania Vazquez</a>'], 'photo_reference': 'AW30NDz_Zu53qjKup3NFxUdFWpxnOU8y3lktJALGsp5WgiZtuLATlQnNhFfSbFbvfA9LQdwMFIYB_dYN6zY9T1l7k6Emf_5N7Z3vEshXe6se03gZMwWrvPjKz5QobmK6kd6joSxR0hJcfRU9CCWpFc7EZc1WgISjJOCBzNHBlZwkhy7Sj1k3', 'width': 3264}]",ChIJj_DgWbX8wokRAfQvMaE3LS4,"{'compound_code': 'WVF5+GG Paterson, NJ, USA', 'global_code': '87G7WVF5+GG'}",3.3,ChIJj_DgWbX8wokRAfQvMaE3LS4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",64.0,"27 East 33rd Street, Paterson",2.0,
