business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 29.5593805, 'lng': -95.36122739999999}, 'viewport': {'northeast': {'lat': 29.5604607302915, 'lng': -95.3603430197085}, 'southwest': {'lat': 29.55776276970851, 'lng': -95.3630409802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Golden Corral Buffet & Grill,{'open_now': True},"[{'height': 721, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112774888151785002243"">Golden Corral Buffet &amp; Grill</a>'], 'photo_reference': 'AW30NDyDllDkUWv5UVJnkdXPVfmvlX_rhS9ZlU4kwHoIpCEIOi3YsPsR4O9vE6b7iA8DSooFbf7s3zHzpp8xA_0W7L8igkv6QZ3swnpybi-O5kBCFjmVjUYZeC_FzQrnh_ku50Tsh-NXX5yPmIPwpYUP6EyQiRgyEy1_oG8crlVMYcthi3-P', 'width': 960}]",ChIJ4XIA4g2TQIYRvNL_pyB2jqk,"{'compound_code': 'HJ5Q+QG Pearland, TX, USA', 'global_code': '76X6HJ5Q+QG'}",2.0,3.9,ChIJ4XIA4g2TQIYRvNL_pyB2jqk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2625.0,"9115 Broadway Street, Pearland",
OPERATIONAL,"{'location': {'lat': 29.5616829, 'lng': -95.2760416}, 'viewport': {'northeast': {'lat': 29.5629679802915, 'lng': -95.2747298697085}, 'southwest': {'lat': 29.5602700197085, 'lng': -95.2774278302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106760998311219437579"">Syed Areeb Uddin</a>'], 'photo_reference': 'AW30NDwb4Tics85jWSIvSQhHFSB_v6o_iAwQaJT-Nmj0CMXTCBlQE7a61zlm5oNW8kgqRmWDyiJEPLiyGATdH6mrwLDZ4xS956XNwmJY6m4ULlEkTESXrCsov-TxgE6M7pPTNFH4wUNeo0leVEv1e34a2kxAJ6sQotGbpH45H15tCdGKW8os', 'width': 4032}]",ChIJYfcKzBuRQIYRixvA2p4oD2E,"{'compound_code': 'HP6F+MH Pearland, TX, USA', 'global_code': '76X6HP6F+MH'}",1.0,3.9,ChIJYfcKzBuRQIYRixvA2p4oD2E,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",278.0,"3407 East Broadway Street, Pearland",
OPERATIONAL,"{'location': {'lat': 29.560354, 'lng': -95.3494545}, 'viewport': {'northeast': {'lat': 29.5616070302915, 'lng': -95.3482684197085}, 'southwest': {'lat': 29.5589090697085, 'lng': -95.35096638029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100386040795072815954"">Jose Muniz</a>'], 'photo_reference': 'AW30NDxIYfX89k33ifpSGcNy4f5pU962DtcV4TsFSvXCDMl5YEelOJdk19HKvu2o-jq8SZyRnC8sdlPwYEypf_2ggc9r1qsQPyCZICvjsFdMbv_fvtNS2EM1tpJ9pHNpXueM3eSgrN_8ekEBFi0pf2kSPKTObeQaaydcl_hg1EXRHva595w', 'width': 1200}]",ChIJfbsYuKaTQIYRvDNk3gzYHPM,"{'compound_code': 'HM62+46 Pearland, TX, USA', 'global_code': '76X6HM62+46'}",1.0,3.6,ChIJfbsYuKaTQIYRvDNk3gzYHPM,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",120.0,"8325 Broadway Street Suite 200, Pearland",
OPERATIONAL,"{'location': {'lat': 29.5590322, 'lng': -95.3023597}, 'viewport': {'northeast': {'lat': 29.5604982302915, 'lng': -95.3010123697085}, 'southwest': {'lat': 29.5578002697085, 'lng': -95.30371033029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3492, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107892039048257822457"">Sivabalan Kannan</a>'], 'photo_reference': 'AW30NDy9Df4p10c_ZPNKgIKaCEyDL4p3nkDmlFzxNoacjA8RXZZoIZYOqppzum65Sio8sxtZdD7vEKIwpQIRuMGU5SQOdlTWEvGwACmV9WCdvV6LesM-kkbhk7tPQX21fHa1Mbf2gQ2aqW4QO_lela3yTJJD_kXa8G1yratgk5a7YskiP7MW', 'width': 4656}]",ChIJp9U-aGSRQIYRpMCi40hY7u8,"{'compound_code': 'HM5X+J3 Pearland, TX, USA', 'global_code': '76X6HM5X+J3'}",1.0,3.5,ChIJp9U-aGSRQIYRpMCi40hY7u8,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",86.0,"5402 Broadway Street Suite 120, Pearland",
OPERATIONAL,"{'location': {'lat': 29.55912610000001, 'lng': -95.27305989999999}, 'viewport': {'northeast': {'lat': 29.5604963802915, 'lng': -95.2716601197085}, 'southwest': {'lat': 29.5577984197085, 'lng': -95.2743580802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Thanh Phuong,{'open_now': True},"[{'height': 396, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107788158183341758830"">Thanh Phuong Vietnamese &amp; Chinese Cuisine</a>'], 'photo_reference': 'AW30NDzk_geP5q6qdLOLNZA2yADP4X0l5wZa2FE70UPTCzSlwUnz9trp8FDhxBY7T9V_pTGQvqvqxUpurd02Sc0XjGs5q3FKVHRLQq_z3MEHBROjkAV7cxdb-IgTuNh0kduWQdXgauhRhR2vgLuc19lFekDqbr5YnXrtdrnN1GPKlC2Hn1H9', 'width': 591}]",ChIJdSHejByRQIYRx8pqyux4-qQ,"{'compound_code': 'HP5G+MQ Pearland, TX, USA', 'global_code': '76X6HP5G+MQ'}",1.0,4.4,ChIJdSHejByRQIYRx8pqyux4-qQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",418.0,"3236 East Broadway Street, Pearland",
OPERATIONAL,"{'location': {'lat': 29.56030599999999, 'lng': -95.347943}, 'viewport': {'northeast': {'lat': 29.56158718029149, 'lng': -95.3465915697085}, 'southwest': {'lat': 29.5588892197085, 'lng': -95.3492895302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pearl Dynasty,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115853191040705317798"">Ramon Heredia</a>'], 'photo_reference': 'AW30NDwQM-VNS2G3dYv-hxNWY-YWopmlL1cRFETHUWfWn3sCAyP5GLI1IxQIDhmx2t9Bb1TCtISVFgal6zUxGzfeg7BvMWiQbJoVjRwDJTipHEpk6FJT_-ZrrJwveVOY87zEV_-pga3T3ihRKX4QIEOcpMFkDfkZAmzlzw-oMW9GsU7WPtev', 'width': 5312}]",ChIJJxXsSaGTQIYRSK3LRSUgomw,"{'compound_code': 'HM62+4R Pearland, TX, USA', 'global_code': '76X6HM62+4R'}",2.0,3.7,ChIJJxXsSaGTQIYRSK3LRSUgomw,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",232.0,"8321 Broadway Street #100, Pearland",
OPERATIONAL,"{'location': {'lat': 29.5635001, 'lng': -95.28796489999999}, 'viewport': {'northeast': {'lat': 29.5649330302915, 'lng': -95.2866343197085}, 'southwest': {'lat': 29.5622350697085, 'lng': -95.2893322802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Central Texas Style BBQ,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107415166085875484399"">Omar Silva</a>'], 'photo_reference': 'AW30NDyH2p1KYytRVq6Ln6XSuofZUKpAEmaVzSgHCuKliOGsPPNs23HIBn6-uAKS5xCW_pVLbvr4RSgY9U49LR5OjFMmmoBcXrPz39WDJoffcRltvfesW-k3_yEwUfl5O8Tasidq1Hx9pl5l9_r1br1ywZI9neWYhEvNrYFfbL6rlTxv3S1V', 'width': 3024}]",ChIJCdVvlhSRQIYRHRdnGhSvClo,"{'compound_code': 'HP76+CR Pearland, TX, USA', 'global_code': '76X6HP76+CR'}",2.0,4.4,ChIJCdVvlhSRQIYRHRdnGhSvClo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2192.0,"4110 Broadway Street, Pearland",
OPERATIONAL,"{'location': {'lat': 29.5591166, 'lng': -95.3094239}, 'viewport': {'northeast': {'lat': 29.5605683802915, 'lng': -95.30817746970851}, 'southwest': {'lat': 29.5578704197085, 'lng': -95.31087543029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Domino's Pizza,{'open_now': True},"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111585797498664145776"">Jason Wurts</a>'], 'photo_reference': 'AW30NDxo6j2gKDkcTbhMpvp_HfrW3OmP75rkf-3EZefZ70XGGYDWUqBs-DUZ4nutasaAQde-zCOZ3_2l6C66UlcEbNtVXtViYQTR9wGy7Q7Ddec6zl-wwIyQHlTE4jLWWrd-U-Yg6Cq2g7OyiwI9n9cON2QnNFEwAX44n_geEt09ig9_4F4t', 'width': 3840}]",ChIJcwQAd2SRQIYRTlRv8YINbP4,"{'compound_code': 'HM5R+J6 Pearland, TX, USA', 'global_code': '76X6HM5R+J6'}",1.0,3.9,ChIJcwQAd2SRQIYRTlRv8YINbP4,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",299.0,"5730 Broadway Street Ste 120, Pearland",
OPERATIONAL,"{'location': {'lat': 29.5590857, 'lng': -95.30220519999999}, 'viewport': {'northeast': {'lat': 29.5605258302915, 'lng': -95.30083336970849}, 'southwest': {'lat': 29.5578278697085, 'lng': -95.3035313302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118286306780212625624"">Lydia Thomas</a>'], 'photo_reference': 'AW30NDwPf07ayG_g2f-otvJ68hDgHvgI1qT68BVhY-J5fv_n8J76F9eeQlpIhDJHhmYf4yButiCveUc75qfp087c8hBZsqmfaJEpFHj8uOlWvrPcIZbcJuuF5tHL8jzoWiSRbLsWV1HsASQgoUyV4nlGWD-eBZcTxwdgmt8yLR3yQNzlQ1h4', 'width': 1080}]",ChIJp9U-aGSRQIYRJUBIiwj09o4,"{'compound_code': 'HM5X+J4 Pearland, TX, USA', 'global_code': '76X6HM5X+J4'}",1.0,3.4,ChIJp9U-aGSRQIYRJUBIiwj09o4,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",519.0,"5402 Broadway Street, Pearland",
OPERATIONAL,"{'location': {'lat': 29.5604655, 'lng': -95.275088}, 'viewport': {'northeast': {'lat': 29.56183693029149, 'lng': -95.27376611970848}, 'southwest': {'lat': 29.5591389697085, 'lng': -95.27646408029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 2691, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115275547245885890025"">Paola</a>'], 'photo_reference': 'AW30NDxbfgGqkVzOUPbEKwzAFxNPE59VoBDnof72wWRIG4aHMTgOmY4dxt0w8utLziO33xVDppunqVWsb0k6VE3klMa_6CZgFCf91cdthD6ptSCQl8-yN2yI3yAYXlVwZ44PLItntOzRZd73ledAb3-YBpW6omIgsNUG0eiqd07cDYNnLn1C', 'width': 4032}]",ChIJITVLohuRQIYRHUrYfANb_pU,"{'compound_code': 'HP6F+5X Pearland, TX, USA', 'global_code': '76X6HP6F+5X'}",2.0,4.1,ChIJITVLohuRQIYRHUrYfANb_pU,GOOGLE,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",862.0,"3310 East Broadway Street, Pearland",
