business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.7413576, 'lng': -112.3209161}, 'viewport': {'northeast': {'lat': 33.7425393302915, 'lng': -112.3196510197085}, 'southwest': {'lat': 33.7398413697085, 'lng': -112.3223489802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Stevies Pizza Vistancia,{'open_now': True},"[{'height': 1161, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112503033898468320243"">Stevies Pizza Vistancia</a>'], 'photo_reference': 'AW30NDzVADOVKuS6E_1WHBn36vxiLPIpmvTvafabgi3zsSStxaP_PQRsjVJ-rnxKIgkgWTmoocBnKSJ4Qv3RJPC_7qfgEoE2I6fBm91r2UgZXAYfPi938jaxuKlpFn3uqua0oXHin2YJZXZ3ks0f2sWX3gQRebBVZqIGW6zS4JttKOV7-Dc', 'width': 2064}]",ChIJQQjPO6ZeK4cRMs2LHqZVN7M,"{'compound_code': 'PMRH+GJ Peoria, AZ, USA', 'global_code': '8559PMRH+GJ'}",1.0,4.2,ChIJQQjPO6ZeK4cRMs2LHqZVN7M,GOOGLE,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",384.0,"28465 North Vistancia Boulevard, Peoria",
OPERATIONAL,"{'location': {'lat': 33.7418893, 'lng': -112.3210705}, 'viewport': {'northeast': {'lat': 33.7432913802915, 'lng': -112.3198403197085}, 'southwest': {'lat': 33.7405934197085, 'lng': -112.3225382802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Cross Eyed Cricket Peoria,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105201354833070704196"">Cross Eyed Cricket Peoria</a>'], 'photo_reference': 'AW30NDwmOYmN4Wdfr57vlH4uIkDLQFZfLnZhkeW7m7YqZ93lTK3BpDRHocYfTZhvQ14g9GeL0uss2KUTqYy7cq_vjhupNasM-CgFaRtTMdvC2whbqg5mu5DcZQO50NyCIEzeRcBQEolCPsPkoQE90mDRqIkZZEj2Xh6ImZ5K7_UldinTbMte', 'width': 4032}]",ChIJTUnrVM5fK4cRx-jY9ago1BM,"{'compound_code': 'PMRH+QH Peoria, AZ, USA', 'global_code': '8559PMRH+QH'}",2.0,4.2,ChIJTUnrVM5fK4cRx-jY9ago1BM,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",400.0,"28615 North El Mirage Road, Peoria",
OPERATIONAL,"{'location': {'lat': 33.7413576, 'lng': -112.3209161}, 'viewport': {'northeast': {'lat': 33.7425393302915, 'lng': -112.3196510197085}, 'southwest': {'lat': 33.7398413697085, 'lng': -112.3223489802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Stevies Pizza Vistancia,{'open_now': True},"[{'height': 1161, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112503033898468320243"">Stevies Pizza Vistancia</a>'], 'photo_reference': 'AW30NDxthxjzRNEpjhNlxdTLHAfzCnPdzquinQka5yQSeEyN0kAocxtPO1dJnv6oTPniXuMUC2k8IumuIJ8cJWn13YPeYzsefwS3zVHyAbnqhic9uiB4Y_QF7jD0XNRa4IpTzwQ4ZKA7arQpPRKqviwvaNqrTxgTWK2GBx40gNVNTlwxbB4', 'width': 2064}]",ChIJQQjPO6ZeK4cRMs2LHqZVN7M,"{'compound_code': 'PMRH+GJ Peoria, AZ, USA', 'global_code': '8559PMRH+GJ'}",1.0,4.2,ChIJQQjPO6ZeK4cRMs2LHqZVN7M,GOOGLE,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",384.0,"28465 North Vistancia Boulevard, Peoria",
OPERATIONAL,"{'location': {'lat': 33.7418893, 'lng': -112.3210705}, 'viewport': {'northeast': {'lat': 33.7432913802915, 'lng': -112.3198403197085}, 'southwest': {'lat': 33.7405934197085, 'lng': -112.3225382802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Cross Eyed Cricket Peoria,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105201354833070704196"">Cross Eyed Cricket Peoria</a>'], 'photo_reference': 'AW30NDxlIBCDspmMUTXBm5T6UWpwcFtemFfuYNeF_blgGx83PgKD-DO0u0wku1CpR4htc4qz1_KrCL9DayMf6K0dtJieVX8k7jcV6WVcFEHii15BdkPkqSEHV3z9HTuAavASUsDlaFLsWpsN9fgvtuBrgYLjGK_ENQXGBmni5YgtY9CsUVEk', 'width': 4032}]",ChIJTUnrVM5fK4cRx-jY9ago1BM,"{'compound_code': 'PMRH+QH Peoria, AZ, USA', 'global_code': '8559PMRH+QH'}",2.0,4.2,ChIJTUnrVM5fK4cRx-jY9ago1BM,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",400.0,"28615 North El Mirage Road, Peoria",
OPERATIONAL,"{'location': {'lat': 33.6534674, 'lng': -112.3713658}, 'viewport': {'northeast': {'lat': 33.6547156802915, 'lng': -112.3699199697085}, 'southwest': {'lat': 33.6520177197085, 'lng': -112.3726179302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117183698180592058334"">Matt McLean</a>'], 'photo_reference': 'AW30NDzt_Q6JnkQeIfYCicjEnvyEWaPBEQXi6Y0sIZg8Bt5ZhIrNMMS5rf3rx9Sym0bo3q0nmb7RXdN8UWseUWVchSkkVSEblgPA7mMrP4rU83MU4BL5Hbrk5bM-GJ3uvyYTunNRgDdJipcEq8pjZ22BeFH_8i2P19-ydkuZuQIVZ1Y3fY8', 'width': 4000}]",ChIJMexxXCVbK4cRdOdrQfPoBqQ,"{'compound_code': 'MJ3H+9F Surprise, AZ, USA', 'global_code': '8559MJ3H+9F'}",1.0,3.9,ChIJMexxXCVbK4cRdOdrQfPoBqQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",94.0,"14455 West Grand Avenue Suite 100, Surprise",
OPERATIONAL,"{'location': {'lat': 33.655317, 'lng': -112.375384}, 'viewport': {'northeast': {'lat': 33.6567450302915, 'lng': -112.3739943697085}, 'southwest': {'lat': 33.6540470697085, 'lng': -112.3766923302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Ray's Pizza,{'open_now': True},"[{'height': 3500, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116228841962289313297"">Ray&#39;s Pizza</a>'], 'photo_reference': 'AW30NDyH-alSTAU6zvMzOsC-qehU-Ph7asVV4rI8Y0F093HAQucEkeMNhMBU7DyHeorzcGenMmWqH5OtSKTMu9Mxy2iZVXxSrdUMhX0aPiD4oNwn2R9R_2VKjE8ZiZSVNAjXCtj-8LPnNH4HiyQe6AlYeLTWjCAY1lOpzZyhjFQIk1iwgCMR', 'width': 5250}]",ChIJA85snZ9EK4cRKZXlCRFMXLo,"{'compound_code': 'MJ4F+4R Surprise, AZ, USA', 'global_code': '8559MJ4F+4R'}",2.0,4.5,ChIJA85snZ9EK4cRKZXlCRFMXLo,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",541.0,"14545 West Grand Avenue #110, Surprise",
OPERATIONAL,"{'location': {'lat': 33.6528141, 'lng': -112.370946}, 'viewport': {'northeast': {'lat': 33.6543100802915, 'lng': -112.3694722197085}, 'southwest': {'lat': 33.6516121197085, 'lng': -112.3721701802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hungry Howie's Pizza,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102877656691619493080"">Lee Etsitty</a>'], 'photo_reference': 'AW30NDxCiKMMkVQRaGSnFO6hJZ82xaHRP_sZ4y-WWj1WzqT2nx8wvMRiYb7AoypsHCFqx5QwoVrHExScPTfjqSVC578gPFjXQD8jcUY-B2QyO3XzLPLO8a9dWSiH2DY5iXWype4VNwnbWIuCIC1fGRhFXydbf7Csc4tQrFvkk2UNb4I3Jlhx', 'width': 5312}]",ChIJ0VDn6S9bK4cRltnWU6WErOs,"{'compound_code': 'MJ3H+4J Surprise, AZ, USA', 'global_code': '8559MJ3H+4J'}",1.0,3.9,ChIJ0VDn6S9bK4cRltnWU6WErOs,GOOGLE,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",212.0,"14291 West Grand Avenue Ste 115, Surprise",
OPERATIONAL,"{'location': {'lat': 33.638331, 'lng': -112.412288}, 'viewport': {'northeast': {'lat': 33.6396626302915, 'lng': -112.4110591197085}, 'southwest': {'lat': 33.63696466970851, 'lng': -112.4137570802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Babbo Italian Eatery,{'open_now': True},"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109428677685714361867"">Chris Hancock</a>'], 'photo_reference': 'AW30NDxnyd0NHJxoECwoB-tRPI07birAMgnZIX2wxLES966G3rUlOg2ElTrFC7d0JoWmCxO73_76_DiXHSlte1atVaxJln7SkEIDXQeC_EajxBGDdXSmHRFwCzat86A-sSQ_r3szEQMD1WtrQOss8ann1cvmmMwMAv42oNH_JxF4ZzY_xCzp', 'width': 3840}]",ChIJR8xpmspaK4cRImjAarKFUX0,"{'compound_code': 'JHQQ+83 Surprise, AZ, USA', 'global_code': '8559JHQQ+83'}",2.0,4.2,ChIJR8xpmspaK4cRImjAarKFUX0,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1472.0,"16433 West Bell Road, Surprise",
OPERATIONAL,"{'location': {'lat': 33.638232, 'lng': -112.3954398}, 'viewport': {'northeast': {'lat': 33.6396088802915, 'lng': -112.3942191197085}, 'southwest': {'lat': 33.6369109197085, 'lng': -112.3969170802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Macayo's Mexican Food,{'open_now': True},"[{'height': 3344, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107551236012135838970"">Macayo&#39;s Mexican Food</a>'], 'photo_reference': 'AW30NDx0oE51so1m_5M4M33fUCZJXQ364829hxNIm6ozzsc2ZNP5DdPtnQmB0r9AnOZ6PjKBKnhZjFyW5O7t-iBBj9JfbvonTv2XrVSMm-w3V002EWHFS9eob92f6zLADPJkuineqkUj9TtRzeV2Yl57aB54kl8JEtaNGhZZrOeoF4lpwmEs', 'width': 5016}]",ChIJqx05zjJFK4cR-FnxeKu4oTE,"{'compound_code': 'JJQ3+7R Surprise, AZ, USA', 'global_code': '8559JJQ3+7R'}",2.0,3.9,ChIJqx05zjJFK4cR-FnxeKu4oTE,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2207.0,"15565 West Bell Road, Surprise",
OPERATIONAL,"{'location': {'lat': 33.65752999999999, 'lng': -112.3755507}, 'viewport': {'northeast': {'lat': 33.6589232802915, 'lng': -112.3741498697085}, 'southwest': {'lat': 33.6562253197085, 'lng': -112.3768478302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/convenience_pinlet,Circle K,{'open_now': True},"[{'height': 2323, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106443958684575221748"">Kenneth Henry</a>'], 'photo_reference': 'AW30NDxC3b6kEgfVPfrz8m6FiZ-UKEgbze2CAJBLquBROuBk8AEvl_l1QW8JH0_x5u40U6q-dLuvGJxXmt2B3OgzdQ1kyEQjF81e0u80By5k_bTs_YvZncVqU0i3TozHpilCAqF15lFxOWnGv6_Ri2QumMurHnZ9NydLaA2EJFwmiS-Jz8Mh', 'width': 3543}]",ChIJAwdupyZbK4cRpGyatN_Atoc,"{'compound_code': 'MJ5F+2Q Surprise, AZ, USA', 'global_code': '8559MJ5F+2Q'}",1.0,4.1,ChIJAwdupyZbK4cRpGyatN_Atoc,GOOGLE,"['convenience_store', 'meal_takeaway', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",86.0,"14559 West Grand Avenue, Surprise",
