business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.567013, 'lng': -112.073494}, 'viewport': {'northeast': {'lat': 33.5682993802915, 'lng': -112.0720535697085}, 'southwest': {'lat': 33.5656014197085, 'lng': -112.0747515302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 3145, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112902430615926505635"">Sassan Davis</a>'], 'photo_reference': 'AW30NDwr6J-pd0K4BDyQ0VO7N1IUEEkhrGsZxSgSk8ZnBBJ_KnBzkWHU6duWpVn4Sy1wTed4bovVsZbQVt6p4p4Zn7wRqKv_Bh6HL9cKpLfrQJysUygoCzsO4F8PwHfCeE2qPFoxM7bITXtRYYtZYmHAf8g8wlbZa9c6K9Uun147cvchyh-2', 'width': 5154}]",ChIJQZgAZgttK4cRN481Y-ySRT8,"{'compound_code': 'HW8G+RJ Phoenix, AZ, USA', 'global_code': '8559HW8G+RJ'}",1.0,3.9,ChIJQZgAZgttK4cRN481Y-ySRT8,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",810.0,"8929 North Central Avenue #101, Phoenix",
OPERATIONAL,"{'location': {'lat': 33.5671397, 'lng': -112.0655752}, 'viewport': {'northeast': {'lat': 33.5684702802915, 'lng': -112.0643655197085}, 'southwest': {'lat': 33.5657723197085, 'lng': -112.0670634802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112902430615926505635"">Sassan Davis</a>'], 'photo_reference': 'AW30NDzdcYLVgfQsKvSZljR2WV-WgS_EDtjmR-3szU1wn-H1Ts4shUY0Xth3VAsPxr7GnrDCQarZJSMBlBJtycQgJDhZD34LBc_cRiWUtjvczPOq7c4GnjKB2v39c2xm2XlsuuSveWWYZR2RawvMKHE-sJ0uDtdLR20FHR7Qr7_uu5B9fqft', 'width': 4085}]",ChIJmfPZWHFtK4cRfIGLoLcwwaA,"{'compound_code': 'HW8M+VQ Phoenix, AZ, USA', 'global_code': '8559HW8M+VQ'}",1.0,3.9,ChIJmfPZWHFtK4cRfIGLoLcwwaA,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",436.0,"8930 North 7th Street, Phoenix",
OPERATIONAL,"{'location': {'lat': 33.5667865, 'lng': -112.1025208}, 'viewport': {'northeast': {'lat': 33.56822973029151, 'lng': -112.1011625197085}, 'southwest': {'lat': 33.56553176970851, 'lng': -112.1038604802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2184, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111836770538176861951"">Seanee Johnson</a>'], 'photo_reference': 'AW30NDwg6mNdx469_kY-lDEkIBGXUZ0Bi8-GHc9D_c-bNcHQXjmzynx0NyinP3jjTqeDjF5YjMJavWtX4i7JN0S7y-H7XyXCc-Fcje4SeCkIg2oTPAP3mvjM1IsW3lU67kPqqpIyDm9mNsqfqYN62qGxBMrMIlZmEiYR509_-XUmCUGdYvcx', 'width': 4608}]",ChIJcTZ2DFZsK4cRaSmpzejpMow,"{'compound_code': 'HV8W+PX Phoenix, AZ, USA', 'global_code': '8559HV8W+PX'}",1.0,4.1,ChIJcTZ2DFZsK4cRaSmpzejpMow,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",295.0,"1945 West Dunlap Avenue Suite 7, Phoenix",
CLOSED_TEMPORARILY,"{'location': {'lat': 33.5519837, 'lng': -112.0999105}, 'viewport': {'northeast': {'lat': 33.5533983302915, 'lng': -112.0985655697085}, 'southwest': {'lat': 33.5507003697085, 'lng': -112.1012635302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 766, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103855682982313254010"">Subway</a>'], 'photo_reference': 'AW30NDxAnjUWEH_8f_rnHCUnVBcqSNOnn6eNNS6s0AA-iqPIOqQPxmlL1n9lHD_38i4ZPMfWorRPTdKEtIdI0xXTpRbwwkiFY0H3YjeLepBU4jA_Qha9HrKG_s4YXEDh_tUA74XOaGwjuGkbzGS2A23M6uyfc6ZTb3SsfcWwSVBX9a-yn529', 'width': 766}]",ChIJf_X66uNsK4cR19PvkjHiM6g,"{'compound_code': 'HW22+Q2 Phoenix, AZ, USA', 'global_code': '8559HW22+Q2'}",1.0,4.2,ChIJf_X66uNsK4cR19PvkjHiM6g,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",273.0,"7828 North 19th Avenue Suite 1, Phoenix",True
OPERATIONAL,"{'location': {'lat': 33.57412000000001, 'lng': -112.099195}, 'viewport': {'northeast': {'lat': 33.5754786802915, 'lng': -112.0980775197085}, 'southwest': {'lat': 33.5727807197085, 'lng': -112.1007754802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Maverick Saloon,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115476882710208940525"">Maverick Saloon</a>'], 'photo_reference': 'AW30NDx1MrqNQ0Ae6spgl9t9v-6NjXjJwDPf8AsSCBYJkge_UyYHjN4nWPyWPU47iIwsk3THGKjZIv6u5nBced7cUAW1qCl35ojxvPxhP1ydad7Zap3fQw8b_suGMShQFR4N-YxsdMnx0KqLtlJNEJhlD0D18Fzvzixg2QiBIiTbGlAstLNo', 'width': 1920}]",ChIJVQ2QuVNsK4cRwSbVMKH5g1c,"{'compound_code': 'HWF2+J8 Phoenix, AZ, USA', 'global_code': '8559HWF2+J8'}",1.0,4.5,ChIJVQ2QuVNsK4cRwSbVMKH5g1c,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",864.0,"9605 North 19th Avenue, Phoenix",
OPERATIONAL,"{'location': {'lat': 33.5708244, 'lng': -112.0656616}, 'viewport': {'northeast': {'lat': 33.5722029802915, 'lng': -112.0641707697085}, 'southwest': {'lat': 33.56950501970851, 'lng': -112.0668687302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Los Reyes De La Torta,{'open_now': True},"[{'height': 540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101686603892185311956"">Los Reyes De La Torta</a>'], 'photo_reference': 'AW30NDzVxhX5d4ddP6dO0BMPllQqBh_Ufchmlbk0wl552sEG4oyDv4IljpoPIqUwz2YvOBSkYNK3nFrdqBA8aM88F9dZINAhwNiILu_00xCRjegurRHSrAfyzjQkZLxXhSOj5Gsv4SimMPUd4JPdhho1hU6LFdFpyleUMvIiVmFqeDQKOCnC', 'width': 960}]",ChIJTfH21XVtK4cRQbWSJLqAP6s,"{'compound_code': 'HWCM+8P Phoenix, AZ, USA', 'global_code': '8559HWCM+8P'}",2.0,4.4,ChIJTfH21XVtK4cRQbWSJLqAP6s,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2201.0,"9230 North 7th Street, Phoenix",
OPERATIONAL,"{'location': {'lat': 33.5686358, 'lng': -112.0991725}, 'viewport': {'northeast': {'lat': 33.5699123302915, 'lng': -112.0978372697085}, 'southwest': {'lat': 33.5672143697085, 'lng': -112.1005352302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Taco Bell,{'open_now': True},"[{'height': 2129, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112902430615926505635"">Sassan Davis</a>'], 'photo_reference': 'AW30NDz99DFLxNx_n6Zlep4nKK38cmxctW-cMGkxpaCmvnt9GfGlE__at-omgJ6_YfVTNoDGFo3pc18rJSN_qLnvkc_MvAO_0hHd62ITzUPUYuCiXZrUe5AeAiMvqV19xIxwFXP7wnFaNfVw2R1Ir7maaBHTFoxeoCmV9DWB77Uo6tc1uP1o', 'width': 3332}]",ChIJkzi4o1VsK4cRez1rLspx7Yc,"{'compound_code': 'HW92+F8 Phoenix, AZ, USA', 'global_code': '8559HW92+F8'}",1.0,3.8,ChIJkzi4o1VsK4cRez1rLspx7Yc,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1169.0,"9019 North 19th Avenue, Phoenix",
OPERATIONAL,"{'location': {'lat': 33.5534582, 'lng': -112.099243}, 'viewport': {'northeast': {'lat': 33.55490803029151, 'lng': -112.0980262697085}, 'southwest': {'lat': 33.55221006970851, 'lng': -112.1007242302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Boston Market,{'open_now': True},"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107909643513932044013"">Coleman Anderson</a>'], 'photo_reference': 'AW30NDz75Zdzt-wiw7XmOioEXb3YGFkeTgoqoH26b0NIjbrEDrAeyRbZ0UTldRvUIfcC-zW29m2EEXEV4yv2eZNENveS0SZz8Ofd5tqwEGLUoCZ6uZ3HvQAMvHWv9xqrSfiLwjLMzcQ-smNfKUh7mZeIkflJ6dqtjtYmUz8d-25crPp06Jsb', 'width': 4032}]",ChIJ8yCsp-NsK4cRAS9cHEX7pOM,"{'compound_code': 'HW32+98 Phoenix, AZ, USA', 'global_code': '8559HW32+98'}",1.0,3.7,ChIJ8yCsp-NsK4cRAS9cHEX7pOM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",440.0,"8001 North 19th Avenue, Phoenix",
OPERATIONAL,"{'location': {'lat': 33.5551647, 'lng': -112.1005598}, 'viewport': {'northeast': {'lat': 33.55641948029149, 'lng': -112.0992149697085}, 'southwest': {'lat': 33.5537215197085, 'lng': -112.1019129302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,,"[{'height': 772, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109678842694241516074"">Ben Gursky</a>'], 'photo_reference': 'AW30NDwE3TKHW4v4mUmu8mYXmwO74HaTWuFxschud-nZqlZBwKdkFahfNOweLlydN3nXPnxeiQ-LhInjlXWL8Swk2o8-gGookk43j_MdnOyqxM-biyYsoo11vmzX3-sJYnnyqBGisqfuqUFEsnxzmWgIbWpU_OMUzvnHfaYXNlWdttTiiwkt', 'width': 1372}]",ChIJm0BtE9dsK4cRMp6wK_A6tY0,"{'compound_code': 'HV4X+3Q Phoenix, AZ, USA', 'global_code': '8559HV4X+3Q'}",1.0,3.4,ChIJm0BtE9dsK4cRMp6wK_A6tY0,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",480.0,"8052 North 19th Avenue #14, Phoenix",
OPERATIONAL,"{'location': {'lat': 33.5527283, 'lng': -112.1005534}, 'viewport': {'northeast': {'lat': 33.5541019802915, 'lng': -112.0992764197085}, 'southwest': {'lat': 33.5514040197085, 'lng': -112.1019743802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,McDonald's,{'open_now': True},"[{'height': 3198, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112902430615926505635"">Sassan Davis</a>'], 'photo_reference': 'AW30NDw0zzmj8T7BrBupHm2dlAZz0fj3wve0ln3OqRNpvtCtebVs6trThrj2xSf5VEy1JEwYlZpiyI69wBoGAUFNEXHkxUQ2rHzW3DO3_AjlzwrAsfn_2paEpT0kZIbcYqFksE0UQBtpmLaAdg7_kneP-DTg3rN5bCM7H65HeEO3hreNHwDu', 'width': 4825}]",ChIJK5XAhONsK4cRWdlXFoDkd7I,"{'compound_code': 'HV3X+3Q Phoenix, AZ, USA', 'global_code': '8559HV3X+3Q'}",1.0,3.7,ChIJK5XAhONsK4cRWdlXFoDkd7I,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",2612.0,"1905 West Northern Avenue, Phoenix",
