business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.04142029999999, 'lng': -96.7355552}, 'viewport': {'northeast': {'lat': 33.0427585802915, 'lng': -96.7342591697085}, 'southwest': {'lat': 33.0400606197085, 'lng': -96.7369571302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,{'open_now': True},"[{'height': 683, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107245704426033740605"">Pizza Hut</a>'], 'photo_reference': 'AW30NDwrVX8jBLtS2GCW4lEH0U2YapFQt9Vg9tD2AYZsvl4mf0CIFPjjupUkd6ambY5jdDS0j6VmppurQvGZrnIKH797WvsAIksCxkVhKzonG3-eLaKHQ-GdoP6nxkJDngqPgxNRPcFhBUpA5UD7mE3XT7MMPyLJeK0cX4SeK4dhOWtMecA9', 'width': 1025}]",ChIJkYgsr2UYTIYRERIOzqvnkB8,"{'compound_code': '27R7+HQ Plano, TX, USA', 'global_code': '865527R7+HQ'}",1.0,4.0,ChIJkYgsr2UYTIYRERIOzqvnkB8,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",352.0,"2129 West Parker Road Suite D, Plano",
OPERATIONAL,"{'location': {'lat': 33.04062740000001, 'lng': -96.7140459}, 'viewport': {'northeast': {'lat': 33.0420277302915, 'lng': -96.7127418697085}, 'southwest': {'lat': 33.03932976970851, 'lng': -96.7154398302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Fadia's Deli and Bakery,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113151804192716293845"">Abdallah “Dooly” Ismail</a>'], 'photo_reference': 'AW30NDxmNmtVjVhzYUq51QnB8jXcD9TXxYMLFIgmWSLnwXBX0lPTRK6qU_FeforBiDInuDVyACnU3MvxeIvGfd5V2cl31IYHX0QmcvM00pPIWpvdhtsYKSeLd0GDEZgp3lyttD72422Xix5GVztDefTklSuL57ZfoF7fVrn5RxaeqBQbn6Ng', 'width': 4032}]",ChIJ9SKrF1AfTIYRRsA4GScJZmE,"{'compound_code': '27RP+79 Plano, TX, USA', 'global_code': '865527RP+79'}",1.0,4.5,ChIJ9SKrF1AfTIYRRsA4GScJZmE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",308.0,"910 West Parker Road #100d, Plano",
OPERATIONAL,"{'location': {'lat': 33.0405557, 'lng': -96.7339372}, 'viewport': {'northeast': {'lat': 33.0419079802915, 'lng': -96.7324588197085}, 'southwest': {'lat': 33.03921001970851, 'lng': -96.7351567802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112082733321701045681"">Adrian Camacho</a>'], 'photo_reference': 'AW30NDzHE-W1vL93WkHal2BipwLEKXZ_exT4QnaeCvCXUtsRxYvmVlTxcjatsqn9Zyd-zQwAnL0V2BrFjFLqNyZ9ZmjbhpTSQlso0LKzsCkEPYkc8m07-AdU_6jEOja3ED2t9eRftUChLK3J7PE7YjZ-PVelcmxS794mNn9fqSypFZc0H-py', 'width': 3024}]",ChIJnxQHIWQYTIYRFIauFbV5Nz4,"{'compound_code': '27R8+6C Plano, TX, USA', 'global_code': '865527R8+6C'}",1.0,3.6,ChIJnxQHIWQYTIYRFIauFbV5Nz4,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",111.0,"3131 Custer Road Suite 110, Plano",
OPERATIONAL,"{'location': {'lat': 33.0406252, 'lng': -96.75232539999999}, 'viewport': {'northeast': {'lat': 33.0420801302915, 'lng': -96.75094256970849}, 'southwest': {'lat': 33.0393821697085, 'lng': -96.75364053029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102788824661773610217"">Oliver</a>'], 'photo_reference': 'AW30NDxLxfoXByWbMPMtMsTfJ7ZXeHj7MizTh0ChXvLo7PlTA2fwiaLeGvfbpzQ98IxYZPdMzroNKqksNeAD7lKnwa3sSB8J3DSUp0p186gt1JOgsJK3O1Fu4FdOX8_O7_qXlL4i3FnM_QuN112lwS00l3Ml5vLA3dr20L89LEpDgnKYou7-', 'width': 4032}]",ChIJadfx_4IiTIYR7VeoTAEMatM,"{'compound_code': '26RX+73 Plano, TX, USA', 'global_code': '865526RX+73'}",1.0,3.4,ChIJadfx_4IiTIYR7VeoTAEMatM,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",152.0,"3100 Independence Parkway Suite 305, Plano",
OPERATIONAL,"{'location': {'lat': 33.0573838, 'lng': -96.73135889999999}, 'viewport': {'northeast': {'lat': 33.05883688029149, 'lng': -96.72998076970849}, 'southwest': {'lat': 33.0561389197085, 'lng': -96.7326787302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Thai Jasmine Thai Cuisine,{'open_now': True},"[{'height': 2923, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103094828752940571765"">Thai Jasmine Thai Cuisine</a>'], 'photo_reference': 'AW30NDyZjBrMlC93IROierQJoi03uLbQfgEfnZLAOnRTKeq0lLkfmHlmgfe-gEv7T5VTKSHKAZlsMD7W0y5-SGUPKV_jj4lcRfHkvq7z3qVidKgvF8glXfIXGkQ9euH8dCOs3JoZKER8AGGhioeHxpiVTqv_2I7YVxq-k029Pb8pJQgDuaB1', 'width': 3510}]",ChIJG_qCXxQYTIYRQiy4Oj70oxQ,"{'compound_code': '3749+XF Plano, TX, USA', 'global_code': '86553749+XF'}",1.0,4.0,ChIJG_qCXxQYTIYRQiy4Oj70oxQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",340.0,"2050 Spring Creek Parkway #206, Plano",
OPERATIONAL,"{'location': {'lat': 33.0385653, 'lng': -96.73302079999999}, 'viewport': {'northeast': {'lat': 33.0399972802915, 'lng': -96.73166001970849}, 'southwest': {'lat': 33.0372993197085, 'lng': -96.73435798029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Plano Sports Tavern,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102370252137105058912"">Stephen Taylor</a>'], 'photo_reference': 'AW30NDwvgyTd4Gf6mPm71DBH1zT-PBMITh_a-DDTKfBnBpV0E51_dBrgVupSWX11VDPatPxX5Ip0V9YI-4FNAxwDPXEP2CGfZOzU2B2dyjyIEJ0u6OEG6CovElKvaDqBFHjUxI7Xye9qsSWtAe_9uCqkO4mUeV3YMbAF_mC1ztiYGt5GKAjK', 'width': 4032}]",ChIJr-PHsGYYTIYRXMD5O331PyU,"{'compound_code': '27Q8+CQ Plano, TX, USA', 'global_code': '865527Q8+CQ'}",1.0,4.1,ChIJr-PHsGYYTIYRXMD5O331PyU,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",484.0,"3000 Custer Road #345, Plano",
OPERATIONAL,"{'location': {'lat': 33.0394668, 'lng': -96.7509843}, 'viewport': {'northeast': {'lat': 33.0407620802915, 'lng': -96.7497682697085}, 'southwest': {'lat': 33.0380641197085, 'lng': -96.75246623029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hunan Taste Chinese restaurant,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116605299606780243135"">Lily Bloodworth</a>'], 'photo_reference': 'AW30NDxeCk4JbyIekZmMrMbBi2CJhbs2aQVjopWjav-FXp1FNyoqySwp_VnnEBxNipMYsSYI_p3q75RhzF216AXq-Bjm3VyGC9pzEvnGWCyTKKZa2OQRd4rYSbi112sgP92NMfSJZ4kJsKanbSBzWogRmaj-sGGccPvzNRjS7c8bTONHf_vq', 'width': 4032}]",ChIJadfx_4IiTIYRgiHtppf4JoI,"{'compound_code': '26QX+QJ Plano, TX, USA', 'global_code': '865526QX+QJ'}",2.0,3.4,ChIJadfx_4IiTIYRgiHtppf4JoI,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",113.0,"3100 Independence Parkway APT 322, Plano",
OPERATIONAL,"{'location': {'lat': 33.0398315, 'lng': -96.7558815}, 'viewport': {'northeast': {'lat': 33.0412249802915, 'lng': -96.75447996970848}, 'southwest': {'lat': 33.0385270197085, 'lng': -96.7571779302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Covino's Pasta & Pizza,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102788824661773610217"">Oliver</a>'], 'photo_reference': 'AW30NDyTp63CdWeBOyGjmJjWv4gjBadfUdty0kWZ4WyfcUxIEhq_ZNrSi0X0I1FMs4LcxVajEUZVqpH_iEsQMiJUJvLd2dArk90bQIMyKPfJg3yte4D997jTMWpvHxR4oCKwFDeJ-xAGyZsuRb_OKMXVZE-t4SaA7L3zZPU3Ie-_xzTtBIib', 'width': 4032}]",ChIJ-dWKi4QiTIYRVJFx-caRRH0,"{'compound_code': '26QV+WJ Plano, TX, USA', 'global_code': '865526QV+WJ'}",2.0,4.6,ChIJ-dWKi4QiTIYRVJFx-caRRH0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",439.0,"3265 Independence Parkway, Plano",
OPERATIONAL,"{'location': {'lat': 33.041361, 'lng': -96.736285}, 'viewport': {'northeast': {'lat': 33.0426546302915, 'lng': -96.73490961970849}, 'southwest': {'lat': 33.03995666970851, 'lng': -96.73760758029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,El Norte Grill,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117951547519194635305"">Adam Shadows</a>'], 'photo_reference': 'AW30NDxOToJs0cIzdm2h00ZEIslKGzddKmSpCfK_8QEf6ppqfcOLS0kAuluXluBJrV4Pun43ivyuZ5gwX-C2LvN0A53Vb_ejpaIFYW6OTs9oA5SXnfU3IsXj1XA-TTFSfl6lpgB6doVQkhL6EaypfdMaLg_QT6NHGe7OW4_-me9K6lk-CG2O', 'width': 3264}]",ChIJuSuJCGUYTIYRo-VHUIDTKDg,"{'compound_code': '27R7+GF Plano, TX, USA', 'global_code': '865527R7+GF'}",2.0,4.3,ChIJuSuJCGUYTIYRo-VHUIDTKDg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",910.0,"2205 West Parker Road, Plano",
OPERATIONAL,"{'location': {'lat': 33.0400169, 'lng': -96.73406089999999}, 'viewport': {'northeast': {'lat': 33.0413365802915, 'lng': -96.73252901970848}, 'southwest': {'lat': 33.0386386197085, 'lng': -96.7352269802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,First Watch,{'open_now': False},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106860712250682372173"">AWizardInDallas</a>'], 'photo_reference': 'AW30NDxnEV56vUkStjpe8UKrGWIk2a491pSVa_cc-IfW2WOlOqjYfrRLexup4RN1ADRUE8LhGIpnrL6M6lu8Sm-D-0314VDn1KKp5UoANdHiVvez10JAIoH2D5903yFGdz-br6ddNvqRBc0GOKjLmoDgix-MNRpSdv_PRNF7O5MczacwLDqm', 'width': 5312}]",ChIJyQAOJWQYTIYR-bVsNgPMPgU,"{'compound_code': '27R8+29 Plano, TX, USA', 'global_code': '865527R8+29'}",2.0,4.4,ChIJyQAOJWQYTIYR-bVsNgPMPgU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",993.0,"3131 Custer Road, Plano",
