business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 34.0750663, 'lng': -117.7794431}, 'viewport': {'northeast': {'lat': 34.0765445302915, 'lng': -117.7780514197085}, 'southwest': {'lat': 34.0738465697085, 'lng': -117.7807493802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pomona Valley Mining Co,{'open_now': False},"[{'height': 1282, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102112685566601127942"">Pomona Valley Mining Co</a>'], 'photo_reference': 'AW30NDz0LQZVoyOPOjMQovW3wsI79RlPT5QjYxOkwryagCYPo1QhPRA6PYVhx4SLNullTG6koyHGL-gzEUdtYRkKadqrRmnqPV28kzEsa72fquXWcEuEP06pUPtMLvJrG3vGdCin_tibSMRObystrFPw40aqgHkUxXkeUwX2jnpTGnwHX7Zd', 'width': 2048}]",ChIJawoPVGEuw4ARwZNpl4GiNFM,"{'compound_code': '36GC+26 Pomona, CA, USA', 'global_code': '856436GC+26'}",3.0,4.4,ChIJawoPVGEuw4ARwZNpl4GiNFM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1997.0,"1777 Gillette Road, Pomona",
OPERATIONAL,"{'location': {'lat': 34.0745681, 'lng': -117.7828149}, 'viewport': {'northeast': {'lat': 34.0760652302915, 'lng': -117.7813280197085}, 'southwest': {'lat': 34.07336726970851, 'lng': -117.7840259802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Coco Palm Restaurant,{'open_now': False},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114077601635747374516"">Ofelia Castor</a>'], 'photo_reference': 'AW30NDw4w6vOalCoVA69xE8_pm7nk78CeMxd6809s0Na4_-kNfcjHg0LZ4NwK-8VLPi_KpYVIMuUYuFYlDvK_-UhYyEZTM_SCvUCXyjdd91VKU_Jn5z3LxIkQBzEJBgOf_qqdCL_r9_NxkXOW_HZePe57JhDCcQ6mPq8Eg4lzkxjoa_RboVh', 'width': 3000}]",ChIJ3d4t8WEuw4ARUc_Ns3WuS6w,"{'compound_code': '36F8+RV Pomona, CA, USA', 'global_code': '856436F8+RV'}",3.0,4.4,ChIJ3d4t8WEuw4ARUc_Ns3WuS6w,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1943.0,"1600 Fairplex Drive, Pomona",
OPERATIONAL,"{'location': {'lat': 34.08094809999999, 'lng': -117.7665555}, 'viewport': {'northeast': {'lat': 34.0822699302915, 'lng': -117.7652284697085}, 'southwest': {'lat': 34.0795719697085, 'lng': -117.7679264302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Fairplex,,"[{'height': 4215, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103052522358144091091"">Fairplex</a>'], 'photo_reference': 'AW30NDx7myQSd0mkyh0xY7UEuDsNfhWISotaE0z5Le-oVrc6cmvEs99e3u7mljU7GZbmXw0pHZ_EhX5ydUG5yQOj9keCiu2fpkdqWs2ENToWt2ZdAVXMSrNw5srKS1vjElKMufdAlyzFM4sOFWBmn35AuNL2ygd7G73ikD_crKk43ir_WDEz', 'width': 6322}]",ChIJC1nifkQuw4ARB_0DE1uMiPA,"{'compound_code': '36JM+99 Pomona, CA, USA', 'global_code': '856436JM+99'}",,4.4,ChIJC1nifkQuw4ARB_0DE1uMiPA,GOOGLE,"['rv_park', 'art_gallery', 'lodging', 'storage', 'restaurant', 'food', 'point_of_interest', 'establishment']",1496.0,"1101 West McKinley Avenue, Pomona",
OPERATIONAL,"{'location': {'lat': 34.0535855, 'lng': -117.7767352}, 'viewport': {'northeast': {'lat': 34.0550313302915, 'lng': -117.7753771697085}, 'southwest': {'lat': 34.0523333697085, 'lng': -117.7780751302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105518653819686420573"">Bob Grewal</a>'], 'photo_reference': 'AW30NDxvA7m1WACTyYcPD1dlcALGfwJgQad9MW149yOzyE-ZbNZ8jWRdZD3PzdZlOaeGT1_Pjb_17hID8_zgzR940DzKsyMS7KIep3c-8z0B02MhnEFXOD30SD167Fhx-ZG_F9PpXvIiJWXyE2mnJvExkKRzz0NX0Cge3xSVcoIMydeUxVBk', 'width': 4032}]",ChIJJ_7DbNEtw4AR0XdLGGJXDTQ,"{'compound_code': '363F+C8 Pomona, CA, USA', 'global_code': '8564363F+C8'}",1.0,3.8,ChIJJ_7DbNEtw4AR0XdLGGJXDTQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",193.0,"1636 West Mission Boulevard, Pomona",
OPERATIONAL,"{'location': {'lat': 34.01627899999999, 'lng': -117.7453}, 'viewport': {'northeast': {'lat': 34.0175764302915, 'lng': -117.7439173197085}, 'southwest': {'lat': 34.0148784697085, 'lng': -117.7466152802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,85°C Bakery Cafe - Chino Hills,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102084542345981907576"">STEVEN B</a>'], 'photo_reference': 'AW30NDx4YKO70VZC1_g9XjYtmvRewQWmO9A7tAvFi6vWAokAGyQ7X-mcLBFbkM3WnqBoYJ_Jn2Ljma5H1UfK0e862CogRBXQw6EOpRaD5KpXFhN73t2yj6sfjfW9pwY9ebdh2djAiClpGrh1282xNEyAesaQC7R4k3wi-GeL4gU7WK4Wgbxz', 'width': 4032}]",ChIJaxkmM3stw4ARS4knTi-Yyz0,"{'compound_code': '2783+GV Chino Hills, CA, USA', 'global_code': '85642783+GV'}",1.0,4.4,ChIJaxkmM3stw4ARS4knTi-Yyz0,GOOGLE,"['bakery', 'cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",1514.0,"12959 Peyton Drive, Chino Hills",
OPERATIONAL,"{'location': {'lat': 34.0324496, 'lng': -117.748727}, 'viewport': {'northeast': {'lat': 34.0338081302915, 'lng': -117.7475003697085}, 'southwest': {'lat': 34.0311101697085, 'lng': -117.7501983302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104393491803383975656"">leo antecon</a>'], 'photo_reference': 'AW30NDwhq_nm_-qbO1Rdeie_0nuBVF-uzsgAr-kSUDRYLQqgE7X_icuEMd3_8a2os7V3YJTCojW2g4VwRPYHUpJhJL7hbttB7WPsvAIpRT00jXO4Ui_wOWwdJVPuhd_7-eD4ItB9w6paxfWoWY8ljNw4rZS69kM54HtaUalBeZKoqxCNvMi2', 'width': 5312}]",ChIJfSCtNJstw4AR25maBi177m8,"{'compound_code': '27J2+XG Pomona, CA, USA', 'global_code': '856427J2+XG'}",1.0,4.2,ChIJfSCtNJstw4AR25maBi177m8,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",232.0,"2112 South Garey Avenue E, Pomona",
OPERATIONAL,"{'location': {'lat': 34.055378, 'lng': -117.75029}, 'viewport': {'northeast': {'lat': 34.0567417302915, 'lng': -117.7488177697085}, 'southwest': {'lat': 34.0540437697085, 'lng': -117.7515157302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112009395828840370502"">Edmon Am</a>'], 'photo_reference': 'AW30NDwH8AgiTsIyFb0X-QyeVoFJN7D1v9F11fYUdMVOwG8e2G9aWfeiPok1IVzgLYH_vVy_gtIYJ-SjDPbmwEouKWtaAX_c-8Q7A9qDTnZcYilr49R0tw5z0WnmQyamowiJdniHPkGrPMqzoQuIcRfC_ZPK1nOmtsK9QWmH7y4Tmbus_Jw', 'width': 4032}]",ChIJy4d16-8tw4ARwZb_bq03F5U,"{'compound_code': '364X+5V Pomona, CA, USA', 'global_code': '8564364X+5V'}",2.0,4.3,ChIJy4d16-8tw4ARwZb_bq03F5U,GOOGLE,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",606.0,"Mission Promenade, 101 West Mission Boulevard, Pomona",
OPERATIONAL,"{'location': {'lat': 34.076612, 'lng': -117.750907}, 'viewport': {'northeast': {'lat': 34.07784763029149, 'lng': -117.7496384697085}, 'southwest': {'lat': 34.07514966970849, 'lng': -117.7523364302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116110240883382292742"">Iwan cao</a>'], 'photo_reference': 'AW30NDwA-UdwmqvPKoXDqLu-2Q5fcNX3If7G7gZFejc-FRWWX8eCScp7YuHNJcqKzB6KlkGs7AOhiZJc0wOplxTNuNPcCPAJh8NLlJ_TxxE8sPl828UHTv9n6q-IZ3v9zhx1zSgySDInB3-rsFncCGS6VctEJTDVC4cftMU2IOKrLbjzqu2c', 'width': 1080}]",ChIJmQ2z2A8uw4ARXV5ve8Qel6Y,"{'compound_code': '36GX+JJ Pomona, CA, USA', 'global_code': '856436GX+JJ'}",1.0,4.3,ChIJmQ2z2A8uw4ARXV5ve8Qel6Y,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",27.0,"1798 North Garey Avenue, Pomona",
OPERATIONAL,"{'location': {'lat': 34.0793431, 'lng': -117.7627425}, 'viewport': {'northeast': {'lat': 34.0807315802915, 'lng': -117.7612407197085}, 'southwest': {'lat': 34.0780336197085, 'lng': -117.7639386802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,McKinley's Grille,{'open_now': True},"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114965889294938302474"">Sarfarajey Akram Mir</a>'], 'photo_reference': 'AW30NDykciYmS7pcX3OT3aQR84wLJmRxYVxZdATwYnN6HYnI8G1TmKDZx8tvSQs1yefFgdejlGsZmZsK_egE2vOGQMBDBcFzuivrQK6FT9o4g0pPNr4L5yXOTnrw1WQKBfHuD6-mw73O9alb2Gzt7EBmxdC66iF0t-WYEc95Wgi0yMZYtmmQ', 'width': 4160}]",ChIJA4nWYGsuw4ARRBSmqcCxR5Y,"{'compound_code': '36HP+PW Pomona, CA, USA', 'global_code': '856436HP+PW'}",,4.4,ChIJA4nWYGsuw4ARRBSmqcCxR5Y,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",99.0,"601 West McKinley Avenue, Pomona",
OPERATIONAL,"{'location': {'lat': 34.0482437, 'lng': -117.750209}, 'viewport': {'northeast': {'lat': 34.0496188802915, 'lng': -117.7486772197085}, 'southwest': {'lat': 34.0469209197085, 'lng': -117.7513751802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Domino's Pizza,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109622293379052634483"">Domino&#39;s Pizza</a>'], 'photo_reference': 'AW30NDwFpN_Ps1jRNF8T-OCxC4L_rfCsaxjycC4-hyZlQED54y3Qnr4t-xWOXFoZSTesDV2vTh0hAlkISPIkHsniCz4WSCqP-5Kx0HaR-hvjn9OpALve6x6bMB-L8xqVcO91TMLL8_pcDRhdAU6o2b76dahigilQYvWYOZ9n-nGnWhocT-M', 'width': 1080}]",ChIJk-ZWce0tw4ARQISOFLIeUtU,"{'compound_code': '26XX+7W Pomona, CA, USA', 'global_code': '856426XX+7W'}",1.0,3.8,ChIJk-ZWce0tw4ARQISOFLIeUtU,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",459.0,"1285 South Garey Avenue, Pomona",
