business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,permanently_closed,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours
CLOSED_TEMPORARILY,"{'location': {'lat': 26.2304172, 'lng': -80.1515579}, 'viewport': {'northeast': {'lat': 26.2317046302915, 'lng': -80.15031821970851}, 'southwest': {'lat': 26.22900666970849, 'lng': -80.15301618029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Golden Corral Buffet & Grill,True,"[{'height': 639, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113841275828977512133"">Golden Corral Buffet &amp; Grill</a>'], 'photo_reference': 'AW30NDxVMjkbBDGwE4KgT_fg_vCcFD2STiLkbTS9zDJ-S0sArOCnr8trI6Xz2oZGYZBN0B1EgfcUE0u0C6yzHWCTm7ogzDqjqa8jwuhG6OdPAL3NDfEU_Wse48o7ZO4DZCijE96Du5mwkuThHBgxcGml0o4hdl1_sVeQmCc8U1Q9XNwbfG0V', 'width': 960}]",ChIJ5XaXrwUD2YgRTy-XFzq7-_s,"{'compound_code': '6RJX+59 Pompano Beach, FL, USA', 'global_code': '76RX6RJX+59'}",2.0,3.9,ChIJ5XaXrwUD2YgRTy-XFzq7-_s,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2343.0,"2100 West Atlantic Boulevard, Pompano Beach",
OPERATIONAL,"{'location': {'lat': 26.2320215, 'lng': -80.1193341}, 'viewport': {'northeast': {'lat': 26.2332901802915, 'lng': -80.11807756970849}, 'southwest': {'lat': 26.2305922197085, 'lng': -80.12077553029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113555918208207265047"">Lisa Schettino</a>'], 'photo_reference': 'AW30NDzg8Qx-FIabCxkZ0Dm53PyBc2U_dZ5mKUF5_PPAGKW3IsvaUC9XHQA5oQoi7eUC5vsIvt6uxnvPRY3M9mHwj8qz24uQh9C_Ny8a7VvczZXo2cSWmn-z_K99QGh5AkPP6q78l4LQwrHpczAhPMCmeitiMJ2DcNgPXkchv3xQ-Rz1EMHw', 'width': 960}]",ChIJyW7voZIC2YgRiILwB1DSY0o,"{'compound_code': '6VJJ+R7 Pompano Beach, FL, USA', 'global_code': '76RX6VJJ+R7'}",1.0,4.2,ChIJyW7voZIC2YgRiILwB1DSY0o,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",224.0,"437 East Atlantic Boulevard #5, Pompano Beach",{'open_now': False}
OPERATIONAL,"{'location': {'lat': 26.2238333, 'lng': -80.12269169999999}, 'viewport': {'northeast': {'lat': 26.22513058029151, 'lng': -80.1213969697085}, 'southwest': {'lat': 26.2224326197085, 'lng': -80.1240949302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Calypso | Restaurant & Raw Bar,,"[{'height': 1868, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103860424887223121539"">Herve Andrieu</a>'], 'photo_reference': 'AW30NDynO6_mXYWkuFWnCOqBkDd5QrS2QOrcCPMUr2lbdZ9sBxh6vF9LtvY93KKh6BosfTDK0f9-nFxdD3M2ALdVw47khzpR7StxuWo3ANJDx4SMZ2L7w689o3HVeBx4YgmK-uLzvB0BqZslBgFxPB13A3Ot78hMXiMEeFPJ6HOJsl1K3Jiu', 'width': 4000}]",ChIJ-9MR9_QC2YgRVeNI2esM6Bs,"{'compound_code': '6VFG+GW Pompano Beach, FL, USA', 'global_code': '76RX6VFG+GW'}",2.0,4.6,ChIJ-9MR9_QC2YgRVeNI2esM6Bs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",798.0,"Isles Shopping Center, 460 South Cypress Road, Pompano Beach",{'open_now': False}
CLOSED_TEMPORARILY,"{'location': {'lat': 26.2314235, 'lng': -80.1112233}, 'viewport': {'northeast': {'lat': 26.2327898802915, 'lng': -80.10993681970851}, 'southwest': {'lat': 26.2300919197085, 'lng': -80.11263478029153}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Peking Duck House,True,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103882029679591583000"">Nehir Yilmaz Houchin</a>'], 'photo_reference': 'AW30NDySiXohTdce-aHD0Pb9g0k-hCJCWreWFljnf6tjvpxoPObyn22zIgGvXbYlX3yDRzwbSjAET1YzqouSA_weKKZIFpq1Qr07exFEETr-pyOYeLuLhAJawJf6zIPS1B6SAL8aTWyDSkn7CXg2CcCpHUE8DM8qSNYvHpoRHGjM0FwxbR_4', 'width': 4032}]",ChIJHbC7J5AC2YgRhbfQmcTfoHs,"{'compound_code': '6VJQ+HG Pompano Beach, FL, USA', 'global_code': '76RX6VJQ+HG'}",2.0,4.1,ChIJHbC7J5AC2YgRhbfQmcTfoHs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",641.0,"1200 East Atlantic Boulevard, Pompano Beach",
OPERATIONAL,"{'location': {'lat': 26.220069, 'lng': -80.1310013}, 'viewport': {'northeast': {'lat': 26.2214008302915, 'lng': -80.12956371970849}, 'southwest': {'lat': 26.2187028697085, 'lng': -80.13226168029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Taqueria Doña Raquel,,"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115953005034660553313"">Robert Gibson Z</a>'], 'photo_reference': 'AW30NDxKgz0repLLbx_aMu7rQPFkBw2LeJG4AAIhpu2rBY4RgfGL1wA6gTb-_c1TnLi43ED0FvNuDeXpoyxm7UADBCuTczVYmP86CigotlBRzwqg2u-S5A11-YMmmCOdapHjPH0_SCUWI0QeONfdyTIax6Pa-bTPvE7tneFfQUywMeJO9gzI', 'width': 2560}]",ChIJMSBZEFgC2YgRpzQCCMt-G6s,"{'compound_code': '6VC9+2H Pompano Beach, FL, USA', 'global_code': '76RX6VC9+2H'}",1.0,4.2,ChIJMSBZEFgC2YgRpzQCCMt-G6s,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1642.0,"791 South Dixie Highway, Pompano Beach",{'open_now': False}
OPERATIONAL,"{'location': {'lat': 26.22236019999999, 'lng': -80.13008320000002}, 'viewport': {'northeast': {'lat': 26.22372353029149, 'lng': -80.1288288197085}, 'southwest': {'lat': 26.22102556970849, 'lng': -80.13152678029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cielito Lindo,,"[{'height': 1868, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103860424887223121539"">Herve Andrieu</a>'], 'photo_reference': 'AW30NDz2aW3UrdzC5s9X03l3mOgdBLAl15BLpV94yki3aNLPQEDmAmG3d6bC_-XM1g9UbqT6r8arGaFKb-WnnaHxempFt0wE8tlA1-xxMaQQBoO-5uDxi4SwW9hd236MpTS1wcVqeskhBnp1hnOq-Gl7mmTj1yxuzKSbyd2WGEs4dYBhd3pI', 'width': 4000}]",ChIJ82QyvvcC2YgRXNvVGBCD1Qg,"{'compound_code': '6VC9+WX Pompano Beach, FL, USA', 'global_code': '76RX6VC9+WX'}",1.0,4.4,ChIJ82QyvvcC2YgRXNvVGBCD1Qg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",895.0,"600 South Dixie Highway West, Pompano Beach",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 26.23195, 'lng': -80.107474}, 'viewport': {'northeast': {'lat': 26.2332710302915, 'lng': -80.10613176970848}, 'southwest': {'lat': 26.2305730697085, 'lng': -80.10882973029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Gianni's,,"[{'height': 375, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107632583821018247383"">Gianni&#39;s</a>'], 'photo_reference': 'AW30NDyz19LHF5Do14D3QnqOiLN5gOVgPbka7a400moTUJN2YEZ6mTpOcOen1QeiW6cANvD0SB5ji3LtpJ80v3gg6z2qJrwnlUQdGJKw4m5H_9orqpQ4OPHynmtrYw4rlTZM-gJZRd1ULH81uciKanvzRHU2abkQnyX0nqmz6P8z4VC9bOzm', 'width': 500}]",ChIJ7whXxJoC2YgRzGHswBUo09U,"{'compound_code': '6VJV+Q2 Pompano Beach, FL, USA', 'global_code': '76RX6VJV+Q2'}",2.0,4.6,ChIJ7whXxJoC2YgRzGHswBUo09U,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1452.0,"1601 East Atlantic Boulevard, Pompano Beach",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 26.2314643, 'lng': -80.1090516}, 'viewport': {'northeast': {'lat': 26.23289753029151, 'lng': -80.1077005697085}, 'southwest': {'lat': 26.2301995697085, 'lng': -80.11039853029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cafe Brazil Restaurant,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108217939210975833247"">Luzeth Pereira da Silva</a>'], 'photo_reference': 'AW30NDwgHqk7LdyEdMvlKAh2VowQb6Jon_Mfv7fef2crqYCiTjIva4y4x6Vh6XmMM0Z25WPHvlF7l3_gk9t5TUnv6hFg6ztTL8ZOY9luoep1xP7fXnaL-4lWy-AyN2Z8TFauDnzmUHfmwkgxQAcKF4ekU13yWy1VabixvJXy3pnM-KHcAWlO', 'width': 4032}]",ChIJn3ABrJoC2YgRgpBAdgyQHUM,"{'compound_code': '6VJR+H9 Pompano Beach, FL, USA', 'global_code': '76RX6VJR+H9'}",1.0,4.6,ChIJn3ABrJoC2YgRgpBAdgyQHUM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",84.0,"1436 East Atlantic Boulevard bay d, Pompano Beach",{'open_now': False}
OPERATIONAL,"{'location': {'lat': 26.2325, 'lng': -80.15055559999999}, 'viewport': {'northeast': {'lat': 26.2338104302915, 'lng': -80.1494416697085}, 'southwest': {'lat': 26.2311124697085, 'lng': -80.1521396302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Mexican Supermarket Inc,,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115436318507482075470"">Gustavo Rios</a>'], 'photo_reference': 'AW30NDwbwRtdkljWjAPgXHTrroz6vlkh9AX7dMHUGln09NfJJqJfBxjnlPh3ahBKr-uVi8RpvsBj_S76ZHpGOgJXfhKoDpxpNjLi3IUau3xDcdEzNJW7lfeN9qjpw1kxOcRVhB6EsFGC648a4b-FI33XrkXV_XThVJMl87_8_247uNYjxrfM', 'width': 4608}]",ChIJ_b0H5wQD2YgRllTel2FOCuw,"{'compound_code': '6RMX+2Q Pompano Beach, FL, USA', 'global_code': '76RX6RMX+2Q'}",,4.2,ChIJ_b0H5wQD2YgRllTel2FOCuw,GOOGLE,"['grocery_or_supermarket', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",723.0,"2099 West Atlantic Boulevard, Pompano Beach",{'open_now': False}
OPERATIONAL,"{'location': {'lat': 26.2336993, 'lng': -80.1248505}, 'viewport': {'northeast': {'lat': 26.2350649302915, 'lng': -80.12357901970849}, 'southwest': {'lat': 26.2323669697085, 'lng': -80.12627698029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chicken Box & More,,"[{'height': 2226, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105197191329259882770"">David Carter</a>'], 'photo_reference': 'AW30NDyfu-472peSv8tnpuKfmHSRnV8cxFSujZB5muCq1tACkFNcSEnBwr8afdE6EUadsEhHv5nBZP9Gd5kLavrJdAq7hTeYd4SrGCDgShd_8QmeB096tM6w9136RRyB3hYfyVE5nhRmfvfu0vWY8-ekTyQksgKtv-X3T4zskb4i4smehqj6', 'width': 2226}]",ChIJuxvq8O0C2YgRGf9TTTSlmJE,"{'compound_code': '6VMG+F3 Pompano Beach, FL, USA', 'global_code': '76RX6VMG+F3'}",1.0,4.3,ChIJuxvq8O0C2YgRGf9TTTSlmJE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",168.0,"204 North Flagler Avenue, Pompano Beach",{'open_now': False}
