business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 27.3130855, 'lng': -80.4045589}, 'viewport': {'northeast': {'lat': 27.3144136302915, 'lng': -80.4030277197085}, 'southwest': {'lat': 27.3117156697085, 'lng': -80.40572568029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Panera Bread,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110287574629885866131"">Panowork.com魔鬼哥哥</a>'], 'photo_reference': 'AW30NDwS9sCGSm9Ps9hXQL1_KPszwius0EAPX3ny9yTAxQAZbZjrf40laG-eug5zo6BveFNP-ilGHoIgcGJ1-4D8ZkUmGP1FWjXKNa_p45ciHQlfl_yqR6Uya8WS68UBAzivWdhs1xImcBwsPT8qz8fCfmgGCUvevz3NQRem0Sc1DMeg4oyx', 'width': 6000}]",ChIJzWvyQYfr3ogRk41ctuv5Af4,"{'compound_code': '8H7W+65 Port St. Lucie, FL, USA', 'global_code': '76VX8H7W+65'}",2.0,4.1,ChIJzWvyQYfr3ogRk41ctuv5Af4,GOOGLE,"['cafe', 'bakery', 'meal_takeaway', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",800.0,"1707 Saint Lucie West Boulevard #174, Port St. Lucie",
OPERATIONAL,"{'location': {'lat': 27.2641711, 'lng': -80.4082708}, 'viewport': {'northeast': {'lat': 27.2655938802915, 'lng': -80.40692261970848}, 'southwest': {'lat': 27.2628959197085, 'lng': -80.4096205802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104427266532395186594"">The Bee Man Jay</a>'], 'photo_reference': 'AW30NDzHWu3rEeWjGml_T0IS84qqfJ0SL3_ImJdByWo1mummpt4iidcgd0iOG1Iejq8BmMXp8MyatWDmgzflwmR8jWfjbP4cbmQNCF2zQ4BqpSv5rNvnAZmyHCvm_yBJVoUMmxEQHe21WvOKeB60tdfH2erBd4rBFK83jep1KqehBwQTMfbQ', 'width': 4032}]",ChIJ40KnCFXq3ogRMFkdt0Efp1c,"{'compound_code': '7H7R+MM Port St. Lucie, FL, USA', 'global_code': '76VX7H7R+MM'}",1.0,3.6,ChIJ40KnCFXq3ogRMFkdt0Efp1c,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",56.0,"1924 Southwest Gatlin Boulevard, Port St. Lucie",
OPERATIONAL,"{'location': {'lat': 27.3121383, 'lng': -80.4077265}, 'viewport': {'northeast': {'lat': 27.31354483029151, 'lng': -80.40637726970849}, 'southwest': {'lat': 27.3108468697085, 'lng': -80.4090752302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103860424887223121539"">Herve Andrieu</a>'], 'photo_reference': 'AW30NDwdaFsk3ve2184Qh1VHkJROfnIkAXoGAj-66Gq7HgTg5aTGSHgTf-IcvIqfapJh399k8hbaihA3He8J2xt9kEOb-HPO0eTO-A196cdMpuX5HdyatG7GUsBRxXTgEdMEgSn5fnlnVSU9tNUt0fg4dFYC3mILZTfNtW6R4Ns5LcnlrKOg', 'width': 4032}]",ChIJhcaeioDr3ogRv4C9w-gkZCE,"{'compound_code': '8H6R+VW Port St. Lucie, FL, USA', 'global_code': '76VX8H6R+VW'}",1.0,4.0,ChIJhcaeioDr3ogRv4C9w-gkZCE,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",148.0,"1795 Saint Lucie West Boulevard, Port St. Lucie",
OPERATIONAL,"{'location': {'lat': 27.3124078, 'lng': -80.406516}, 'viewport': {'northeast': {'lat': 27.3136385802915, 'lng': -80.40514896970849}, 'southwest': {'lat': 27.3109406197085, 'lng': -80.4078469302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103530969474692515552"">n b</a>'], 'photo_reference': 'AW30NDyZOD8ivQnfcJFpzGu3CYafikPDkbG57nr0GhUNVWcmVPDQSvDtLGUCv44dmsUXYwj-lw_iIMSR0SEg_pt-YG3Yk4P4r25dGhElsnweB7rlQtr3MPH5CF5W_2jnjQPYr2LYDfZtf2HXSOY-qyWXIWrlm7ybq_b6U6gp5g0JnAZ2sK3A', 'width': 4000}]",ChIJC3t4h3_r3ogRUqgFDxBexJg,"{'compound_code': '8H6V+X9 Port St. Lucie, FL, USA', 'global_code': '76VX8H6V+X9'}",2.0,4.1,ChIJC3t4h3_r3ogRUqgFDxBexJg,GOOGLE,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",922.0,"1789 Saint Lucie West Boulevard, Port St. Lucie",
OPERATIONAL,"{'location': {'lat': 27.31524019999999, 'lng': -80.4088254}, 'viewport': {'northeast': {'lat': 27.3164540302915, 'lng': -80.40748076970849}, 'southwest': {'lat': 27.31375606970849, 'lng': -80.4101787302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Duffy's Sports Grill,{'open_now': True},"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107902725077425630535"">Juan Gonzalez</a>'], 'photo_reference': 'AW30NDzQeKF4r-0HW7R3QcV2koiqEL06eqyelp-xUNgouOFyKe0tCyP7RBENV2XmT8KJBK87JDY03DMVVSQrOmSUnQANAmYqE-9qOyTJ5T0rb-CjebQ7SMH4YtApjTF024_EtdKGZ2ZBKGw0rWX0ffHfU5ADpn95V3dQnNVCZBN1KWf2RY6K', 'width': 1280}]",ChIJNRu1dIDr3ogRa12gHdlf048,"{'compound_code': '8H8R+3F Port St. Lucie, FL, USA', 'global_code': '76VX8H8R+3F'}",2.0,4.1,ChIJNRu1dIDr3ogRa12gHdlf048,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2059.0,"1608 Northwest Courtyard Circle, Port St. Lucie",
OPERATIONAL,"{'location': {'lat': 27.3106526, 'lng': -80.4064214}, 'viewport': {'northeast': {'lat': 27.3121093302915, 'lng': -80.40507571970849}, 'southwest': {'lat': 27.3094113697085, 'lng': -80.4077736802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chipotle Mexican Grill,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114497822808201629966"">Damos Designs</a>'], 'photo_reference': 'AW30NDz5_Yw6I1JCDRnpFr_tNvXeLLBQt9-i2exr7Rd-dIl19t2WQKS4kSG9o7r4qmRqn1vb7ZUIX0478H8HnNgaCP7hLQPT6dc6mx4kh8zKJ7vEJGnYKjhIgSuCgd2zbBFbQs56f5Z24R9V-gPYJKIVghBmbIAFD-HIQ3KUE_hPLjK2zM0F', 'width': 4032}]",ChIJz88q5oDr3ogRJn0_t3KpVn4,"{'compound_code': '8H6V+7C Port St. Lucie, FL, USA', 'global_code': '76VX8H6V+7C'}",1.0,3.8,ChIJz88q5oDr3ogRJn0_t3KpVn4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1620.0,"1768 Saint Lucie West Boulevard, Port St. Lucie",
OPERATIONAL,"{'location': {'lat': 27.3152389, 'lng': -80.4088668}, 'viewport': {'northeast': {'lat': 27.3164541802915, 'lng': -80.4075993197085}, 'southwest': {'lat': 27.3137562197085, 'lng': -80.41029728029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Superplay USA,{'open_now': True},"[{'height': 12000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109822316005739967899"">Walter Hunter</a>'], 'photo_reference': 'AW30NDyFw6ecwpXOa0sglWQoBYCeucVC2FqLoB7n6QowRZMAkClWWetlRS-uToAc-unXH0EVtptGxtONe730YuDkcqA2zlwXLl7X5oxJNKNyN2SD1ayVYHEHaLi6pPK0gmQKCePCTbhdozNUCsz1y_i4FM61vN1s2alvI3mvb2rME6zAUw3w', 'width': 9000}]",ChIJgSFRv3_s3ogRdrymLWKVlXM,"{'compound_code': '8H8R+3F Port St. Lucie, FL, USA', 'global_code': '76VX8H8R+3F'}",,4.2,ChIJgSFRv3_s3ogRdrymLWKVlXM,GOOGLE,"['bowling_alley', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1660.0,"1600 Northwest Courtyard Circle, Port St. Lucie",
OPERATIONAL,"{'location': {'lat': 27.3104458, 'lng': -80.4092447}, 'viewport': {'northeast': {'lat': 27.3119021802915, 'lng': -80.40786791970851}, 'southwest': {'lat': 27.30920421970849, 'lng': -80.41056588029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bob Evans,{'open_now': True},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116236831023080114651"">Jose Diaz</a>'], 'photo_reference': 'AW30NDy_h7P_PcEWGaMAKcK0nEUqszY50q7bdOfOLyaJOtbzQWBDkKvxtr9X6acNIEeBJ2rMQouMHbF-49ZWYlCgW7g1Z3mfqJBS431OAw0rbSTuB8nRHfCDAwEQPjQB1Zz7xH8kp-mYggygtn4DbXhu3Eif1fVIFyvaIevTVj0HcPKWjTLV', 'width': 4032}]",ChIJdbbUNIDr3ogRprHeEQjDkEw,"{'compound_code': '8H6R+58 Port St. Lucie, FL, USA', 'global_code': '76VX8H6R+58'}",2.0,4.1,ChIJdbbUNIDr3ogRprHeEQjDkEw,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1189.0,"1830 Southwest Fountainview Boulevard, Port St. Lucie",
OPERATIONAL,"{'location': {'lat': 27.2715863, 'lng': -80.3595574}, 'viewport': {'northeast': {'lat': 27.2728307802915, 'lng': -80.3585096697085}, 'southwest': {'lat': 27.2701328197085, 'lng': -80.3612076302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Shindig Irish Restaurant & Pub,{'open_now': True},"[{'height': 646, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102098908219269154393"">Shindig Irish Restaurant &amp; Pub</a>'], 'photo_reference': 'AW30NDww_bYbO_Khc_5e_xYtNoRRUrsoAapyGDXdsU1AbJCL83ggjhLb99FEY_EYrH8r5W0suo7QA2LHQbo4bHk_6jNq-JA0FRnEzo7num2-oz50HXqxWFxres4qyGPhCoOJfAOvpxXSnp17Xt7q6sjwibmFjbFdQlEGt5XwcP7EaW82mX6p', 'width': 932}]",ChIJbdXQXHzp3ogRKqV5k8O9N10,"{'compound_code': '7JCR+J5 Port St. Lucie, FL, USA', 'global_code': '76VX7JCR+J5'}",2.0,4.2,ChIJbdXQXHzp3ogRKqV5k8O9N10,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1131.0,"464 Southwest Port Saint Lucie Boulevard Suite 115, Port St. Lucie",
OPERATIONAL,"{'location': {'lat': 27.3111614, 'lng': -80.402242}, 'viewport': {'northeast': {'lat': 27.3125633302915, 'lng': -80.4009716197085}, 'southwest': {'lat': 27.3098653697085, 'lng': -80.4036695802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,West End Grill St. Lucie West,{'open_now': False},"[{'height': 1000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113912968110338085398"">West End Grill St. Lucie West</a>'], 'photo_reference': 'AW30NDxpDR_JG-NAokaGnaG0TkT_LWBNEfHGPrAyp0fkedLI0WXb6qajuseXAbD6p6UlSs6fhbtQ76km9pfIMyqU8daCDvR75HLDP0Pli9kVCdBlULYMOSekzU2N6oGfgks6S7QmaPXTGEPhyopZqlYmWUbWBEKVJVXMJKd9-u1xqH5Pj1ek', 'width': 1504}]",ChIJD6VDCofr3ogRDAO3C3cwvDs,"{'compound_code': '8H6X+F4 Port St. Lucie, FL, USA', 'global_code': '76VX8H6X+F4'}",2.0,4.3,ChIJD6VDCofr3ogRDAO3C3cwvDs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",916.0,"1680 Saint Lucie West Boulevard, Port St. Lucie",
