business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 45.5226738, 'lng': -122.6572991}, 'viewport': {'northeast': {'lat': 45.5240200802915, 'lng': -122.6558059197085}, 'southwest': {'lat': 45.5213221197085, 'lng': -122.6585038802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Jupiter Hotel Portland,{'open_now': True},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112915327102882629801"">Jupiter Hotel Portland</a>'], 'photo_reference': 'AW30NDxPI9pWiLJmiCFLjDPvRLWLRaN3G6jr5FzuFsOzu3c1dF_1evKjPw0xAvLPVH0V1UBnnUAKoio4TT5hRgGJFEH2_OZXq8bMb0NTivFvsb2nlGLh4mjFFzUrmDHT-mWwwhg9sbFM4O7XV2RsazdsoFv7OmdHnKBFvM-zwW6EIGmOi0Sf', 'width': 2048}]",ChIJYSElm6WglVQRV4lqVx4GFto,"{'compound_code': 'G8FV+33 Portland, OR, USA', 'global_code': '84QVG8FV+33'}",4.1,ChIJYSElm6WglVQRV4lqVx4GFto,GOOGLE,"['bar', 'lodging', 'parking', 'restaurant', 'food', 'point_of_interest', 'establishment']",1278.0,"800 East Burnside Street, Portland",,
OPERATIONAL,"{'location': {'lat': 45.523017, 'lng': -122.641625}, 'viewport': {'northeast': {'lat': 45.5242923802915, 'lng': -122.6402768697085}, 'southwest': {'lat': 45.5215944197085, 'lng': -122.6429748302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Screen Door Eastside,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103209724696129580200"">Karolina Scott</a>'], 'photo_reference': 'AW30NDymalW5laqetknIMT5k2rxshF8m_t9StI23_Z8twW6mKxVjMIo0udu4Q1jECxIbxzROj7cOI4aLY3ahpKZZRFw6_ey_h845nPirbtCzAi-JLpJ1hO1B2A0QylEbe0FgASqWmnaXn80x93hJSyRmnCqEN0n1xF4ZUsHuG5Nb9SyjudrR', 'width': 2268}]",ChIJu1MQrL6glVQRNuGYoTmvBoY,"{'compound_code': 'G9F5+69 Portland, OR, USA', 'global_code': '84QVG9F5+69'}",4.6,ChIJu1MQrL6glVQRNuGYoTmvBoY,GOOGLE,"['bakery', 'bar', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",5944.0,"2337 East Burnside Street, Portland",2.0,
OPERATIONAL,"{'location': {'lat': 45.523075, 'lng': -122.654286}, 'viewport': {'northeast': {'lat': 45.5243378802915, 'lng': -122.6529438697085}, 'southwest': {'lat': 45.52163991970851, 'lng': -122.6556418302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Noble Rot,{'open_now': False},"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100138266847111265036"">Noble Rot</a>'], 'photo_reference': 'AW30NDwMc5MEXJos-waYEsa8yKNppH3tAtUPpuFdwg04KngZG0os-9e0BoKS6CMvgvthOam0EKuyW834Eqz188vWhgTYaKZvbBHNewDIjfpf8T-ea18s29lu86jdVs642kbfX48I-OeW0XqoPiJXsVth2wJOJ4I93ARzTkhrDLuADQuDxcBq', 'width': 768}]",ChIJX2EUbaWglVQRt7MSs2r8k9c,"{'compound_code': 'G8FW+67 Portland, OR, USA', 'global_code': '84QVG8FW+67'}",4.5,ChIJX2EUbaWglVQRt7MSs2r8k9c,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",812.0,"1111 East Burnside Street, Fourth Floor, Portland",3.0,
OPERATIONAL,"{'location': {'lat': 45.5307664, 'lng': -122.6555739}, 'viewport': {'northeast': {'lat': 45.5320678302915, 'lng': -122.6539118697085}, 'southwest': {'lat': 45.5293698697085, 'lng': -122.6566098302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Gather Food & Drink,{'open_now': False},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110066936765461932905"">JC Soya</a>'], 'photo_reference': 'AW30NDzEhcaspNkL-lGCWRpq-hhbb6_7iDFtHDpH8ynoDwmB2oe4-DuxUlYx0BdqGqmXvBKUIKj0623rHEPUGJkE2EJSZeLfH4dK61iJI06XJ5S7hLk2erG8ddMRnKLbc9u2wHf-ysVbbxM1ofjo5BM7eyD7jvpPU0zCubpP8-GksaVFyodN', 'width': 4000}]",ChIJJSSiubOglVQRlN_csTfi3Rk,"{'compound_code': 'G8JV+8Q Portland, OR, USA', 'global_code': '84QVG8JV+8Q'}",3.9,ChIJJSSiubOglVQRlN_csTfi3Rk,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",99.0,"1000 Northeast Multnomah Street, Portland",2.0,
OPERATIONAL,"{'location': {'lat': 45.52674439999999, 'lng': -122.6613944}, 'viewport': {'northeast': {'lat': 45.52810023029149, 'lng': -122.6601822197085}, 'southwest': {'lat': 45.5254022697085, 'lng': -122.6628801802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Spirit of 77,{'open_now': True},"[{'height': 1700, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103341249415761841951"">Spirit of 77</a>'], 'photo_reference': 'AW30NDzzCh8_7_wVmT0UtnASd43kUPY7GADk3XFwndfVSTkFZfVwrNxFBa8KLIVHt-lcmfX13auG-Gic1UdmnBDJU5NNlq5rYIn2RiBtDdP1E0C2A_ZPBd5xNgbwsWkkZMTBkzz5mC1dyjLQOPvAhy198H06Yp2AHULqMHxPWh96rnznjFoR', 'width': 3023}]",ChIJ3VGMj66glVQRsiyWm496sZE,"{'compound_code': 'G8GQ+MC Portland, OR, USA', 'global_code': '84QVG8GQ+MC'}",4.3,ChIJ3VGMj66glVQRsiyWm496sZE,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",819.0,"500 Northeast Martin Luther King Junior Boulevard, Portland",2.0,
OPERATIONAL,"{'location': {'lat': 45.5166508, 'lng': -122.6558434}, 'viewport': {'northeast': {'lat': 45.5179267302915, 'lng': -122.6545139197085}, 'southwest': {'lat': 45.5152287697085, 'lng': -122.6572118802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Cascade Brewing Barrel House,{'open_now': False},"[{'height': 2000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106878181202600750105"">Cascade Brewing Barrel House</a>'], 'photo_reference': 'AW30NDwNUF73HeHotV4Tnq6Lg813bgb3CUAQbXkX2iC8IdmxBUTrQyilxSFXA9NEySGt3-lAY_MN5RQa3ZVBBjdMAnlkuvuJwmOoDeqMqMs0qb4cAvA4rErp7xBpUgPDVHLmhvTBxWTdJ4zYK2XMnK6dzeKN8cTAPJgAYs0qRVU-s0flF1mI', 'width': 3008}]",ChIJSyhtBaGglVQRUsYu_I5BHEc,"{'compound_code': 'G88V+MM Portland, OR, USA', 'global_code': '84QVG88V+MM'}",4.7,ChIJSyhtBaGglVQRUsYu_I5BHEc,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2317.0,"939 Southeast Belmont Street, Portland",2.0,
OPERATIONAL,"{'location': {'lat': 45.5221859, 'lng': -122.6738239}, 'viewport': {'northeast': {'lat': 45.5234717802915, 'lng': -122.6723164697085}, 'southwest': {'lat': 45.5207738197085, 'lng': -122.6750144302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mother's Bistro & Bar,{'open_now': False},"[{'height': 1508, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101752596214621523994"">Mother&#39;s Bistro &amp; Bar</a>'], 'photo_reference': 'AW30NDyYjKhcFBQyZy2ajbOLgLkKoKkeR5vEqdxa5FI0kzJb5tPoSPZ6YUq8OMORTV849RdQU1uKM7YyqSPDkJCvKv3nmncCx0YXbcannGE3aoYxQT_WdQGzX808F9xi8gHBkMDARMge3ox2iWX0K2iLNy4KB3tAi8tLV7UaJJn-TTB3H_EY', 'width': 3300}]",ChIJ5V0qcAYKlVQRcYiPk80LC4g,"{'compound_code': 'G8CG+VF Portland, OR, USA', 'global_code': '84QVG8CG+VF'}",4.6,ChIJ5V0qcAYKlVQRcYiPk80LC4g,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",4324.0,"121 Southwest 3rd Avenue, Portland",2.0,
OPERATIONAL,"{'location': {'lat': 45.5160053, 'lng': -122.6565143}, 'viewport': {'northeast': {'lat': 45.5173854802915, 'lng': -122.6552567197085}, 'southwest': {'lat': 45.5146875197085, 'lng': -122.6579546802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rogue Eastside Pub & Pilot Brewery,{'open_now': True},"[{'height': 902, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105533955129514646612"">Rogue Eastside Pub &amp; Pilot Brewery</a>'], 'photo_reference': 'AW30NDxe3bG3nQSHm91SDJjJsP_9KCs-95xB-6qmV-YP9GJmW6XsS6wjnFfrixGLO6p5PmIGeQMM0bGUKZ3ls0eV7snDE96-zjSYzs-0L73RwsG9qUUQ_HeKd6qqpU6gy8sGbNPmt-_KMvaCQLvfi8w5VIII35y2DU6sZALW0lZ4Bo-cudtL', 'width': 902}]",ChIJ02Q2-aCglVQRIvsmpuUK2XI,"{'compound_code': 'G88V+C9 Portland, OR, USA', 'global_code': '84QVG88V+C9'}",4.2,ChIJ02Q2-aCglVQRIvsmpuUK2XI,GOOGLE,"['bar', 'liquor_store', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",713.0,"928 Southeast 9th Avenue, Portland",2.0,
OPERATIONAL,"{'location': {'lat': 45.5231778, 'lng': -122.6320194}, 'viewport': {'northeast': {'lat': 45.5244714802915, 'lng': -122.6306732197085}, 'southwest': {'lat': 45.5217735197085, 'lng': -122.6333711802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Laurelhurst Market,{'open_now': True},"[{'height': 680, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103857528971474918345"">Laurelhurst Market</a>'], 'photo_reference': 'AW30NDw1RW7DecQbQVi-UmHJEUKWnL2f9KaXTTFpAfpd35L9PcrSzERBmnYP78MZ-h1J-vLYKwb4yH5mqJ7WwufQGpDIvuD7CZDFd7IxD2yQEeB5ThLFHt74CxxgKgOdawcXEK4F8UixTPjpRlpNPaEXv2jYfK8lHoNEuUdFJ9_E5jED_2Go', 'width': 1024}]",ChIJpbq0ZcCglVQRyCN9m__XcpY,"{'compound_code': 'G9F9+75 Portland, OR, USA', 'global_code': '84QVG9F9+75'}",4.5,ChIJpbq0ZcCglVQRyCN9m__XcpY,GOOGLE,"['bar', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",653.0,"Parking, 3155 East Burnside Street, Portland",3.0,
OPERATIONAL,"{'location': {'lat': 45.5309854, 'lng': -122.6619689}, 'viewport': {'northeast': {'lat': 45.5323251802915, 'lng': -122.6604716197085}, 'southwest': {'lat': 45.5296272197085, 'lng': -122.6631695802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Burgerville,{'open_now': True},"[{'height': 1072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105482964018791295436"">Peter Carlesimo</a>'], 'photo_reference': 'AW30NDyXXFYwGQsu1GfLPQ_DdpmfY2F_sspHg9czW0ACjxaOEKhHB4ktL-GhFdkiUVLzcDbbjWWcZ0X4LFEs0cUsV9Kp3HIavVQ4xN15vFNv61xiKYJCRMYK9nu4HyI23AQCEQG5XEPgxx1tsmsaMGmNGm2qIhYhWEk3EW2pH1WfYpxbn1k2', 'width': 1430}]",ChIJ4x8IYK2glVQR2g65A0B9FwI,"{'compound_code': 'G8JQ+96 Portland, OR, USA', 'global_code': '84QVG8JQ+96'}",4.0,ChIJ4x8IYK2glVQR2g65A0B9FwI,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",2495.0,"1135 Northeast Martin Luther King Junior Boulevard, Portland",2.0,
