business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 41.8265771, 'lng': -71.4149327}, 'viewport': {'northeast': {'lat': 41.82769948029149, 'lng': -71.4134389697085}, 'southwest': {'lat': 41.8250015197085, 'lng': -71.4161369302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Capital Grille,{'open_now': True},"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102640974188563858846"">John Juniet</a>'], 'photo_reference': 'AW30NDzjUe-Eukbj0ymKfakx4Wqj631HJJe07Hjsy1BbKnPryK6leHRbkCCTqFGtPeR8iwKHr_4og9qIi3PIix5TNTPIBCHqsIBSwQtYLxAvr3PFmbqlV34clkIMihyVFTk9n1cG5SSajbMA8zSZa2t-KEydm5F-Ie2YjoU51w1NdzmeuDx2', 'width': 4096}]",ChIJkzBtzWlF5IkRyEEuqWGYli0,"{'compound_code': 'RHGP+J2 Providence, RI, USA', 'global_code': '87HCRHGP+J2'}",4.0,4.6,ChIJkzBtzWlF5IkRyEEuqWGYli0,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1337.0,"10 Memorial Boulevard Ste 101, Providence",
OPERATIONAL,"{'location': {'lat': 41.817539, 'lng': -71.4114101}, 'viewport': {'northeast': {'lat': 41.8186366802915, 'lng': -71.4098498697085}, 'southwest': {'lat': 41.8159387197085, 'lng': -71.4125478302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,CAV Restaurant,{'open_now': True},"[{'height': 1000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115986637184283442738"">CAV Restaurant</a>'], 'photo_reference': 'AW30NDwKOKTYV2lcQl_iSl88eSfkdCk4u--r-JglbtKPyMqCnu4XqpWutQKBT6ixlJUdXuiUF1TQb8d5wA9B48t9ac0935VtNIgjqRIaVUbRDpHdY4S6re1ZuZ_jT-_wMueLcam7YYeFoxuXRkMtAlxbVeKhdBZ4icat8aeuJsw0iEH756CE', 'width': 1498}]",ChIJwaxDd2tF5IkRm7YN3XPuyek,"{'compound_code': 'RH9Q+2C Providence, RI, USA', 'global_code': '87HCRH9Q+2C'}",2.0,4.6,ChIJwaxDd2tF5IkRm7YN3XPuyek,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",938.0,"14 Imperial Place, Providence",
OPERATIONAL,"{'location': {'lat': 41.8274194, 'lng': -71.4107361}, 'viewport': {'northeast': {'lat': 41.8288637302915, 'lng': -71.40954116970849}, 'southwest': {'lat': 41.8261657697085, 'lng': -71.4122391302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cafe Nuovo,{'open_now': True},"[{'height': 5932, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113821263233439254865"">Cafe Nuovo</a>'], 'photo_reference': 'AW30NDwOOkF3rgpoZSqd_QcTtu7XbkXzuW8GbkUZNtXjrBFMb9lE5ggESK282TFTbC7s4iW5W0FHoRGXkZMxGqHT9L68fKQYf09qqhBO7S8aknZtUyuY4dCE4gzBak6p-ajLd3n3wB3mgH875jRe_beVWsyH9J7J5Oe_FbxlNu0uQQD1gk51', 'width': 7309}]",ChIJTylwOxdF5IkRTz6Qim5c_tA,"{'compound_code': 'RHGQ+XP Providence, RI, USA', 'global_code': '87HCRHGQ+XP'}",3.0,4.7,ChIJTylwOxdF5IkRTz6Qim5c_tA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",656.0,"One Citizens Plaza, Providence",
OPERATIONAL,"{'location': {'lat': 41.8224011, 'lng': -71.416747}, 'viewport': {'northeast': {'lat': 41.8238096802915, 'lng': -71.4154953197085}, 'southwest': {'lat': 41.8211117197085, 'lng': -71.4181932802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Trinity Brewhouse,{'open_now': True},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104118654872502329722"">Trinity Brewhouse</a>'], 'photo_reference': 'AW30NDxL3xXq_q1eyE1HfxGn_A4eZ9VUfR1962FkCs3ebPjyETMQGJOKRv-GUuSdxT0pZVdx7LCss7P4XSZrKEl0NXANNZ5LjkiyH_hVz9qlB-yeQ-9HQZN4HO1yBbheNyuSJHBPBre9s__hOI5uz81z6c8asQkjPv1Waj2SbfQEzRaupJui', 'width': 2048}]",ChIJPRtGjBJF5IkRn6K-qqw3mVc,"{'compound_code': 'RHCM+X8 Providence, RI, USA', 'global_code': '87HCRHCM+X8'}",2.0,4.3,ChIJPRtGjBJF5IkRn6K-qqw3mVc,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",562.0,"186 Fountain Street, Providence",
OPERATIONAL,"{'location': {'lat': 41.8242135, 'lng': -71.4069133}, 'viewport': {'northeast': {'lat': 41.8256028302915, 'lng': -71.40554211970849}, 'southwest': {'lat': 41.82290486970851, 'lng': -71.40824008029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hemenway's Restaurant,{'open_now': True},"[{'height': 715, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112161447443268758942"">Hemenway&#39;s Restaurant</a>'], 'photo_reference': 'AW30NDxmn4SwUlovSIPf16PMBlGrKIxk5G_Wyl9l0T2UnuageR3UbLED7DXtrMyyC_VStMw5Ra2ydmz7bheLihJ6cz2X3uaObbKgsGLAgGlXn_svkh7YeR_eanfNlDvD8XkosHPmg9OXrzQLqY8jgJ33xvBJWREtRlmr9eXGiD9zXo7KprCy', 'width': 1072}]",ChIJLQjzBBZF5IkRYX_d525MaUA,"{'compound_code': 'RHFV+M6 Providence, RI, USA', 'global_code': '87HCRHFV+M6'}",4.0,4.6,ChIJLQjzBBZF5IkRYX_d525MaUA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1662.0,"121 South Main Street, Providence",
OPERATIONAL,"{'location': {'lat': 41.825567, 'lng': -71.4140437}, 'viewport': {'northeast': {'lat': 41.82686718029149, 'lng': -71.4126196197085}, 'southwest': {'lat': 41.82416921970849, 'lng': -71.4153175802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Union Station Brewery,{'open_now': True},"[{'height': 2945, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110226905596030759692"">Union Station Brewery</a>'], 'photo_reference': 'AW30NDzZsIcdaeMIQsAMNfxuazuO_cLQA4CNFI-xJKAdaxdZu3oJaOs8NzicQO2JexpHpIqJ7YMWzRfow5wu9UcnhFZnBD2EwVkMsHIxAZghicIPHBfr73mCKOtOPmDtrGMrbbeRJR8X42T2U9_304bT66DM6dVamujDQrs0ZkrFv3EFKR37', 'width': 4413}]",ChIJea65bhFF5IkRd6KFhzBEc0A,"{'compound_code': 'RHGP+69 Providence, RI, USA', 'global_code': '87HCRHGP+69'}",2.0,4.0,ChIJea65bhFF5IkRd6KFhzBEc0A,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",358.0,"36 Exchange Terrace, Providence",
OPERATIONAL,"{'location': {'lat': 41.82726, 'lng': -71.41666}, 'viewport': {'northeast': {'lat': 41.8287173802915, 'lng': -71.41586381970849}, 'southwest': {'lat': 41.8260194197085, 'lng': -71.41856178029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Johnny Rockets,{'open_now': False},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117175124834089799387"">Carl Aust</a>'], 'photo_reference': 'AW30NDzJYnKyBLU6D2nYU1VlqFal6xosoIo6OrZldtiycutXseXZMDb2GucmffqwRAFKH3UAWST6DAQSHAA29efpy6NA2lb6xaqcWGU0cQauDX1P1DzcdLod3UrDMo7IBEJrhFafuyHyACHntry3yPEbsXNfcErQIePTtYoOMyuVTC0T8ghy', 'width': 4000}]",ChIJT0091BFF5IkRK7_sWAgsM1A,"{'compound_code': 'RHGM+W8 Providence, RI, USA', 'global_code': '87HCRHGM+W8'}",2.0,3.3,ChIJT0091BFF5IkRK7_sWAgsM1A,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",151.0,"59 Providence Place, Providence",
OPERATIONAL,"{'location': {'lat': 41.8280694, 'lng': -71.4172273}, 'viewport': {'northeast': {'lat': 41.82911903029149, 'lng': -71.41614746970849}, 'southwest': {'lat': 41.8264210697085, 'lng': -71.4188454302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Dave & Buster's,{'open_now': True},"[{'height': 2584, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109673110697172665283"">Dave &amp; Buster&#39;s</a>'], 'photo_reference': 'AW30NDwXR2n_EZ8SBDB64nyA4w45OcO3XOAh6mQiHqM8NMVEgPOB0R8nErkZSLiL5srRN-9H7VIjeomPUertqO9SysXRKpnp6Amt_MJMbFdIdVUGJzpJHJq5NZt8WVxM8saeQOefJ07d33Ps11Nl2NOu-s6cnOEQMovxhH0-vRQO-7L_xGao', 'width': 3828}]",ChIJI4Xt0xFF5IkR1wy-A0JN6Zo,"{'compound_code': 'RHHM+64 Providence, RI, USA', 'global_code': '87HCRHHM+64'}",2.0,4.2,ChIJI4Xt0xFF5IkR1wy-A0JN6Zo,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",3446.0,"40 Providence Place, Providence",
OPERATIONAL,"{'location': {'lat': 41.8199096, 'lng': -71.4282042}, 'viewport': {'northeast': {'lat': 41.82133168029149, 'lng': -71.4269253197085}, 'southwest': {'lat': 41.8186337197085, 'lng': -71.42962328029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Julian's,{'open_now': False},"[{'height': 600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102751857241836338862"">Julian&#39;s</a>'], 'photo_reference': 'AW30NDzdmSGKb8GTTSE-du3zg9-R1wZndsl1NNb9anhm3B27uiBuisJFuR1sGNKL3PwrbdDO6qJgOOneCDh2n2tOdw5LfiFrxi-6t_WjaPHwC8LkUYvjprJzmYzOGE9bZYvG2mjJNZLzvqgTp3oEHLEnGZWXAU3zy02rGo-a7Vr3g-JnIxw2', 'width': 900}]",ChIJDdVwCnVF5IkRWBWx1viNNh8,"{'compound_code': 'RH9C+XP Providence, RI, USA', 'global_code': '87HCRH9C+XP'}",2.0,4.5,ChIJDdVwCnVF5IkRWBWx1viNNh8,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1679.0,"318 Broadway, Providence",
OPERATIONAL,"{'location': {'lat': 41.8228014, 'lng': -71.42195459999999}, 'viewport': {'northeast': {'lat': 41.82414653029151, 'lng': -71.4205522697085}, 'southwest': {'lat': 41.82144856970851, 'lng': -71.42325023029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Camille's,{'open_now': False},"[{'height': 394, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112981903827127489137"">Camille&#39;s</a>'], 'photo_reference': 'AW30NDzZp3fURlQInBtZxT9GjkkrDfujqP7VbQUz8VzvBmLedg6wQHFBchtnH8BdjSzc4xPim1ldXM2Ltc6GE8Mp3w7-bUIfjTTPO0sV70CIKLJLnDG0s2P82xu9SyVt7zrj7FFCPKgfTmm1VtAJ7DlUfjDfQgOcHPmOCPJlHPagfTzIN9uW', 'width': 700}]",ChIJ47Pv7gxF5IkR47UnKcK-7qo,"{'compound_code': 'RHFH+46 Providence, RI, USA', 'global_code': '87HCRHFH+46'}",3.0,4.7,ChIJ47Pv7gxF5IkR47UnKcK-7qo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",679.0,"71 Bradford Street, Providence",
