business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 40.2783711, 'lng': -111.6771423}, 'viewport': {'northeast': {'lat': 40.2795539802915, 'lng': -111.6758594197085}, 'southwest': {'lat': 40.2768560197085, 'lng': -111.6785573802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/movie_pinlet,Cinemark University Mall,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118079033749288136942"">Shayne Fisher</a>'], 'photo_reference': 'AW30NDwFfL5byhmXUdUQNyolp0dQv-DEHIQx_UZWrwwzRTus_wXJp-Uy5mafyvKqSYBSXkhO_TIXcob8X2869nSKzYyAnHhVkz2fZdo4BNS_Gj43NlVW0F5DZi7NLvxMkzFfV2yaTQzBI9R4uk2CPb9JuKqj8kMn-GDTgx2fSJi7VUr9rOBO', 'width': 1920}]",ChIJTYpVoIWaTYcRZasKz-PGp5k,"{'compound_code': '78HF+84 Orem, UT, USA', 'global_code': '85GC78HF+84'}",4.6,ChIJTYpVoIWaTYcRZasKz-PGp5k,GOOGLE,"['movie_theater', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2025.0,"1010 South 800 East, Orem",,,
OPERATIONAL,"{'location': {'lat': 40.2172851, 'lng': -111.6637302}, 'viewport': {'northeast': {'lat': 40.2188507302915, 'lng': -111.6626025697085}, 'southwest': {'lat': 40.2161527697085, 'lng': -111.6653005302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/movie_pinlet,Cinemark 16,"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110815194943153737512"">Jeremy U</a>'], 'photo_reference': 'AW30NDzCO7C53nGtR3g-BsK8BeCi-N3xuPoNxNQ-r0N6hVY5QEjh3mE0L8Rh4HT271vXVw1bvpJHvHB1TqPp8iPIoQkLX6fE_dWQKPFNjHprCcjT0NSghvfnNSUiqC3fYEiFAlAjDn1DT7kBnLSoGDHeWGdpRjWitA-bQh8oCxg3gO3bDg_5', 'width': 3984}]",ChIJMyQScF6XTYcRjkPSCgig3ps,"{'compound_code': '688P+WG Provo, UT, USA', 'global_code': '85GC688P+WG'}",4.2,ChIJMyQScF6XTYcRjkPSCgig3ps,GOOGLE,"['movie_theater', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1279.0,"1200 Town Center Blvd Suite 2050, Provo",,,
OPERATIONAL,"{'location': {'lat': 40.263592, 'lng': -111.6672608}, 'viewport': {'northeast': {'lat': 40.2650095802915, 'lng': -111.6660236697085}, 'southwest': {'lat': 40.2623116197085, 'lng': -111.6687216302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103614449019289194601"">Cody Simonsen</a>'], 'photo_reference': 'AW30NDxF04sd_xdKAL4SmO0ttER5k5iI6bnH2fpPIQZMm9g0ReNGJlBAdOle6DEv-liqcgdm1_AYUK39GJv4a3QqsS2aYp6k3EYw85JhHzDm9gDkwQ1ONKObHLdHQqfA8njDEvn8GVlM05ChiyGv5mNENIcs1cZFjSiAowhtUa3dqQfvDdZI', 'width': 5312}]",ChIJvWulHniaTYcROzMKo44399U,"{'compound_code': '787M+C3 Provo, UT, USA', 'global_code': '85GC787M+C3'}",4.4,ChIJvWulHniaTYcROzMKo44399U,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2862.0,"504 West 2230 North, Provo",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 40.2736275, 'lng': -111.6794232}, 'viewport': {'northeast': {'lat': 40.27497668029149, 'lng': -111.6782104197085}, 'southwest': {'lat': 40.2722787197085, 'lng': -111.6809083802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Carrabba's Italian Grill,"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113651968386042734045"">Dusty Miller</a>'], 'photo_reference': 'AW30NDzZuQpvkJAjaQuJhyblT1F7dTToP3qDQNjvVdgMO-toqq4cDlzSFIo6kYCGLvVvVYr1qzR62S79peIbfWo02Dphtukz9yigz4Z6KDCmQjSAEUL5wN7GJxK3LDebua4FcH-zMx_CcZOaJSL5S0LIMUC1CkOwdZmM1JNL6JDz39kNsp4B', 'width': 4048}]",ChIJ6dB3YoiaTYcR7SEDJXTUJrI,"{'compound_code': '78FC+F6 Orem, UT, USA', 'global_code': '85GC78FC+F6'}",4.2,ChIJ6dB3YoiaTYcR7SEDJXTUJrI,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1589.0,"University Mall, 683 East University Parkway, Orem",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 40.2444847, 'lng': -111.6565985}, 'viewport': {'northeast': {'lat': 40.2459013302915, 'lng': -111.6550166697085}, 'southwest': {'lat': 40.2432033697085, 'lng': -111.6577146302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Brick Oven,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113422148136742277031"">Dennis Webb</a>'], 'photo_reference': 'AW30NDybJ0XLZv4GXORe-Au7E4vNSOUAjiuPfQxfFvwbBAG_3dQbp3pNeOQ_BqyaKPA_5dcpRgGs-6q2znorCjSDC0X4OeFOTIkwvE23DmxuurBMy9t8kwZv96phyb0lfFqa9PGePV7l0XQgXPtBv73pIarCitSxL-Uz2DxvXh402JO4ytg3', 'width': 3024}]",ChIJ-QZypK-QTYcR1bxoFI6oPTo,"{'compound_code': '68VV+Q9 Provo, UT, USA', 'global_code': '85GC68VV+Q9'}",4.3,ChIJ-QZypK-QTYcR1bxoFI6oPTo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3743.0,"111 East 800 North, Provo",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 40.25110000000001, 'lng': -111.66609}, 'viewport': {'northeast': {'lat': 40.2524296302915, 'lng': -111.6648610197085}, 'southwest': {'lat': 40.2497316697085, 'lng': -111.6675589802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112101190300459570753"">Kira Joy</a>'], 'photo_reference': 'AW30NDxH0hH8n30IeXFyYLSDxgHwwxLPIQuT-6YmipTEFACeLkhjYdCMVP_e39tdSVXgN_DrcR7fu8PZ1l6gx5E6XTxLNO0jcR0cHg2jW9jKBsAMabEL5EvQgvH6VeUum3iy2qqJYNFO-roqyKN8IF9Yy5FcmyzQ36Tsui4b-TXvft2mbfeU', 'width': 3024}]",ChIJDQhO9QqaTYcRclZqtn3dNQM,"{'compound_code': '782M+CH Provo, UT, USA', 'global_code': '85GC782M+CH'}",3.2,ChIJDQhO9QqaTYcRclZqtn3dNQM,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",745.0,"1260 North State Street, Provo",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 40.2177312, 'lng': -111.662733}, 'viewport': {'northeast': {'lat': 40.21887825000002, 'lng': -111.66121155}, 'southwest': {'lat': 40.21531244999998, 'lng': -111.66520975}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Red Robin Gourmet Burgers and Brews,"[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114635300751193998148"">Red Robin Gourmet Burgers and Brews</a>'], 'photo_reference': 'AW30NDyPpXAAKRlcwDq0ISOpfz2XCpZ-VC6OEEjeX2oIREFkEbnPo2MxvvFsypBkbbZKnY1ZzQY2oUM8Fr6SIUo6Z2TMz-d_0Gi8wn_xgpcG7C1ngwYsKNL1GMiZwBafc4HRzNNpZ8tH3r9ee5AbTMD2wT0pTHRBam-oRvJl0W9h_pAN3f0q', 'width': 1080}]",ChIJ23MRcF6XTYcR8a4CIgc0wjQ,"{'compound_code': '689P+3W Provo, UT, USA', 'global_code': '85GC689P+3W'}",4.0,ChIJ23MRcF6XTYcR8a4CIgc0wjQ,GOOGLE,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",1892.0,"1200 Towne Centre Boulevard Suite 1100, Provo",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 40.2345004, 'lng': -111.6570147}, 'viewport': {'northeast': {'lat': 40.2358364802915, 'lng': -111.6555956697085}, 'southwest': {'lat': 40.2331385197085, 'lng': -111.6582936302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,La Dolce Vita Ristorante Italiano,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106018887682810641998"">La Dolce Vita Ristorante Italiano</a>'], 'photo_reference': 'AW30NDwqBHgT5v0A0iFwk8JmeTs0mUw5pUytgRrVGdLzTId-6ppacVxtiAuVNLVMLRtbX0esBxSMsbbxJBrDahOu-4MCBEkgLFL87mIyd45JB_gLVt6BNnW9q4CrVfl6rUmsVzBwKFx9tMRVa-2BSwxdZVzoCWRviLDYYdSEJC0kRPEfL-SZ', 'width': 2048}]",ChIJZ-9I4lKXTYcRU3uTb3q_6bA,"{'compound_code': '68MV+R5 Provo, UT, USA', 'global_code': '85GC68MV+R5'}",4.3,ChIJZ-9I4lKXTYcRU3uTb3q_6bA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",900.0,"61 North 100 East, Provo",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 40.2745477, 'lng': -111.6816521}, 'viewport': {'northeast': {'lat': 40.2758283302915, 'lng': -111.6802289197085}, 'southwest': {'lat': 40.2731303697085, 'lng': -111.6829268802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,P.F. Chang's,"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116154436190763275381"">mark midgley</a>'], 'photo_reference': 'AW30NDwvWa2pwFcmHDx4R3eNS01ZKx5YeRwaBbLMyNrogS9xoZJLFkDkeFzKgVWslhpydVoM_bH1uDrvjqVd_Uvx4TqaBP9LX9wUlGT54daAFNq97Mg3uiwuO7Z-xQRchcn61C_D883K0rplczhWj_ysqqCvLQfcYG-j-F8KrTG79Rh9n5qa', 'width': 3072}]",ChIJxxHS-YuaTYcRHKmoEjlZAQY,"{'compound_code': '78F9+R8 Orem, UT, USA', 'global_code': '85GC78F9+R8'}",4.1,ChIJxxHS-YuaTYcRHKmoEjlZAQY,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1385.0,"575 East University Parkway Ste A-20, Orem",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 40.2749568, 'lng': -111.6813187}, 'viewport': {'northeast': {'lat': 40.2760309302915, 'lng': -111.6800626197085}, 'southwest': {'lat': 40.27333296970851, 'lng': -111.6827605802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Green Tea HP (University Mall),"[{'height': 748, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101143241571051612192"">Green Tea HP (University Mall)</a>'], 'photo_reference': 'AW30NDzVPvyouBO8YdGgYod40IeFV77yc09gtOmjpcg8jc4n83OIjofnMjYWbUah8xpoio1coNeIxfLAbOUXjaMdVWVCCH6_q7k9Ji7tONmWNf_WaFdF7tpajRVDqvZsr8GX7mCywETw3uzZuqlBA4RRfpR3xbFNhIOJarcs1xxkqn2TvtJ5', 'width': 750}]",ChIJt3KEzoiaTYcRV9MQv_LMDRE,"{'compound_code': '78F9+XF Orem, UT, USA', 'global_code': '85GC78F9+XF'}",4.6,ChIJt3KEzoiaTYcRV9MQv_LMDRE,GOOGLE,"['cafe', 'health', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",60.0,"575 East University Parkway, Orem",{'open_now': True},,
