business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 38.2897415, 'lng': -104.59435}, 'viewport': {'northeast': {'lat': 38.2911524302915, 'lng': -104.5930454697085}, 'southwest': {'lat': 38.2884544697085, 'lng': -104.5957434302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 2219, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116542540636866445983"">Matt Price</a>'], 'photo_reference': 'AW30NDyCGyDidSaE6-Pprfg-ct2ajWIeHrMMBPuta_bXu43dR0YKhVSyh4SakoniANrpgKpYU6LU-mznfS__-3R5Zul1EGdM45IGL-wZWbnvUtSWY5_N0HIkSx3yY3Sl33M9EMA6dN3DhQEklr7Y_BEg9z4hnthOp0vSd2XE_m_wKmroc7LU', 'width': 3946}]",ChIJi4YbpryjE4cRLI9KGEbKB3w,"{'compound_code': '7CQ4+V7 Pueblo, CO, USA', 'global_code': '85CQ7CQ4+V7'}",1.0,4.0,ChIJi4YbpryjE4cRLI9KGEbKB3w,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",472.0,"1230 Bonforte Boulevard, Pueblo",
OPERATIONAL,"{'location': {'lat': 38.2577161, 'lng': -104.6192876}, 'viewport': {'northeast': {'lat': 38.2590108302915, 'lng': -104.6178329697085}, 'southwest': {'lat': 38.2563128697085, 'lng': -104.6205309302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101442492541472009959"">Mike Leeb</a>'], 'photo_reference': 'AW30NDwwN_aOHrc3FuCjx971XZuyBQlAIw3i7mHe7roRsjEMSqOP60habTyiNI6I34rTwaA4A1CYom43phkYehA9Ma-4EIwert1ZU-AVr18rApQaN_1jpCSCrVEOGss1paenyRk6JX2xvk-_kFkOOqPAtemYRnYOwgQYGuzlkp3hYPTQFrsw', 'width': 1920}]",ChIJmern3-aiE4cR5vgd4KcnBqk,"{'compound_code': '795J+37 Pueblo, CO, USA', 'global_code': '85CQ795J+37'}",1.0,3.7,ChIJmern3-aiE4cR5vgd4KcnBqk,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",331.0,"229 - 231 East Abriendo Avenue, Pueblo",
OPERATIONAL,"{'location': {'lat': 38.31954929999999, 'lng': -104.617202}, 'viewport': {'northeast': {'lat': 38.32080238029149, 'lng': -104.6158487697085}, 'southwest': {'lat': 38.3181044197085, 'lng': -104.6185467302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cactus Flower Mexican Restaurant,{'open_now': False},"[{'height': 375, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109311781190300190021"">Cactus Flower Mexican Restaurant</a>'], 'photo_reference': 'AW30NDySwmPKZ_5WfPTsvvArrKKaPpvCK0Dyzgwg4biHf2u_FOx5Odv4F7p3-MxGmDyBAfS6Ib_Aw_Vj7ZInazBLFVNOMVflTtUE9ISlRNemo0oXmyTyI1mggFnEpjPSYTkfl8NT3CjyIEctYT2CWpwONL7FDYbPpXpuUJqCgjko0AvQNrV1', 'width': 500}]",ChIJIwm7w4ChE4cR1PkZM4qYfks,"{'compound_code': '899M+R4 Pueblo, CO, USA', 'global_code': '85CQ899M+R4'}",2.0,4.2,ChIJIwm7w4ChE4cR1PkZM4qYfks,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3206.0,"4610 North Elizabeth Street, Pueblo",
OPERATIONAL,"{'location': {'lat': 38.30670469999999, 'lng': -104.5989375}, 'viewport': {'northeast': {'lat': 38.30806988029149, 'lng': -104.5974925197085}, 'southwest': {'lat': 38.30537191970849, 'lng': -104.6001904802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3464, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116801691373664594980"">Matt Maria</a>'], 'photo_reference': 'AW30NDymHKT6kIOQtgnAGPoG8yaxw526iPExZH4jsSxr0LGfztulTE3QPKtFahkeoqASP9mBOBihyqRT5WmtPcwI2QvC3fUUy3YK8WSIrbFjoLIopAm6mG7IWU7EFtUNOUoTMSRXju8hykmghp8V2lES5b6Z8LSZ1pBzUfnMy37YULc9b92C', 'width': 4618}]",ChIJ0-qLCMWjE4cRJFDPgjuMr2I,"{'compound_code': '8C42+MC Pueblo, CO, USA', 'global_code': '85CQ8C42+MC'}",1.0,4.1,ChIJ0-qLCMWjE4cRJFDPgjuMr2I,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",141.0,"2145 Jerry Murphy Road, Pueblo",
OPERATIONAL,"{'location': {'lat': 38.2736165, 'lng': -104.6088473}, 'viewport': {'northeast': {'lat': 38.2750841802915, 'lng': -104.6077064697085}, 'southwest': {'lat': 38.2723862197085, 'lng': -104.6104044302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111336182532105678170"">Brian “n/a” Samson</a>'], 'photo_reference': 'AW30NDw7hXTHWFU8bln-JYtxYQgimbgK6p8uxyWJ5SCBvPaDBfCefOPtj6rbqn3eGOk55sImjb2afScBtF3ikml3OzQZJoKBadjradz7WAGfw3y9fZhAIQQG8UMi8141Oc8EZ0N19erri1LnjuzFD0NgPg-YA2-5iKFdgBQDtme6-SdI9Rcj', 'width': 4032}]",ChIJGwjaDgGjE4cRmeaOEew7J70,"{'compound_code': '79FR+CF Pueblo, CO, USA', 'global_code': '85CQ79FR+CF'}",1.0,3.8,ChIJGwjaDgGjE4cRmeaOEew7J70,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",351.0,"701 North Main Street, Pueblo",
OPERATIONAL,"{'location': {'lat': 38.312012, 'lng': -104.613793}, 'viewport': {'northeast': {'lat': 38.3133382802915, 'lng': -104.6126065197085}, 'southwest': {'lat': 38.3106403197085, 'lng': -104.6153044802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Ruby Tuesday,{'open_now': True},"[{'height': 5344, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116801691373664594980"">Matt Maria</a>'], 'photo_reference': 'AW30NDyY0YcL7cdiwnpeDuxX6a38zP0U-sxXPm797xxJxRlKDXmabfJASUoYefeP-iLGaipyN74YWtK_3C0HBsLXhwCwA5_0okhJOPLpGa86aIPp-rH0ihY9uExfgYIOAyxT9BGT9fVflRNliiP-6nvxRtlpj_2-TFbXJNOlzczMmcJvvkRE', 'width': 4008}]",ChIJRQmTmSyiE4cRbaeU491q-fE,"{'compound_code': '896P+RF Pueblo, CO, USA', 'global_code': '85CQ896P+RF'}",2.0,4.0,ChIJRQmTmSyiE4cRbaeU491q-fE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1585.0,"4150 North Freeway Road, Pueblo",
OPERATIONAL,"{'location': {'lat': 38.3085687, 'lng': -104.6215703}, 'viewport': {'northeast': {'lat': 38.3100463802915, 'lng': -104.6202736197085}, 'southwest': {'lat': 38.3073484197085, 'lng': -104.6229715802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104992901955899710767"">Kazsia the Rogue</a>'], 'photo_reference': 'AW30NDxXLirbJXjq3pNX9Kt0YrPSo3rIucMt0YH7NcbiXrly0WRyAe5AAvw_y63T-wwvckiAtSneAC-9ZeG31g8hOCRH0o8RwdhQ0c3ULadde6PQtmLbPsimEp0kxrRuiZ-bGr3gCy4WHLRPAxinTyOVHNjJDuj3WY_yOnb7kwntbmf04oYR', 'width': 4032}]",ChIJBeP2pi-iE4cRB__EWVhxPJc,"{'compound_code': '895H+C9 Pueblo, CO, USA', 'global_code': '85CQ895H+C9'}",1.0,4.0,ChIJBeP2pi-iE4cRB__EWVhxPJc,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",354.0,"965 West U.S. Hwy 50 Suite 140, Pueblo",
OPERATIONAL,"{'location': {'lat': 38.3383134, 'lng': -104.7409742}, 'viewport': {'northeast': {'lat': 38.3395633802915, 'lng': -104.7395944197085}, 'southwest': {'lat': 38.3368654197085, 'lng': -104.7422923802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101442492541472009959"">Mike Leeb</a>'], 'photo_reference': 'AW30NDzXN-7IcCaJ9T_lJY9SgHGm3X8D0X1-jbbtORsTFrWS_xzCbL-YbKUbkNlwEPLypaYNvi9QrIvrp0d8ojNnZK_8M6k78osw4b-fiSIimq_RK5-v2E7zaWd7mMgN7DFV2bJaCgKz4_Fm29-Iy-XFFkKb9JKcnXfVspEmzbDkKzINvfwl', 'width': 1920}]",ChIJWTtdz4SeE4cR_-Gf8wJ8FLQ,"{'compound_code': '87Q5+8J Pueblo West, CO, USA', 'global_code': '85CQ87Q5+8J'}",1.0,4.2,ChIJWTtdz4SeE4cR_-Gf8wJ8FLQ,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",253.0,"74 North McCulloch Boulevard, Pueblo West",
OPERATIONAL,"{'location': {'lat': 38.2435013, 'lng': -104.6481243}, 'viewport': {'northeast': {'lat': 38.2448906802915, 'lng': -104.6468372697085}, 'southwest': {'lat': 38.2421927197085, 'lng': -104.6495352302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104992901955899710767"">Kazsia the Rogue</a>'], 'photo_reference': 'AW30NDywGHQrHKot93ZQ3P5hpw8jC1P07JrFxhgIYFqWM3CwuH1u8c_HeBbxGzvB6RDgRYd63XD3yEYgAamBLEek5oH40sT7Iqu75u4nqlhqTnc-FkBvB-hJYgCA-w2zQlNnwgKVa3lKjldze4bcBf9lMj3mK2lJG9Dt2HKXGsdVF6tUv1mp', 'width': 4032}]",ChIJ7-HB3qSiE4cR6B9rH4Pxipg,"{'compound_code': '69V2+CQ Pueblo, CO, USA', 'global_code': '85CQ69V2+CQ'}",1.0,4.2,ChIJ7-HB3qSiE4cR6B9rH4Pxipg,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",322.0,"3216 West Northern Avenue, Pueblo",
OPERATIONAL,"{'location': {'lat': 38.2190754, 'lng': -104.6261213}, 'viewport': {'northeast': {'lat': 38.22039548029149, 'lng': -104.6249253697085}, 'southwest': {'lat': 38.2176975197085, 'lng': -104.6276233302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4618, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102498741280342835915"">Oppiee</a>'], 'photo_reference': 'AW30NDxVbT3pMyADRrtlQm1wsbnSnQteAS0SUEvUstPaz3XJBfMoerGtVcCUNmCR3Xj7WW7A580ZbFOnTlAFtgKbfMh48c8XbOXR96JQoRsOSh34Q0Wgb423b4ldLMjjjhgtrmrPVz1eTMIcDylRMBoAOnJ9WGwhE6ss_DjqRYuuJDSwXukO', 'width': 3464}]",ChIJf9D-pTy9E4cRSbMGMqSZRBA,"{'compound_code': '699F+JH Pueblo, CO, USA', 'global_code': '85CQ699F+JH'}",1.0,4.2,ChIJf9D-pTy9E4cRSbMGMqSZRBA,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",157.0,"1271 West Pueblo Boulevard, Pueblo",
