business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 42.218875, 'lng': -71.0237192}, 'viewport': {'northeast': {'lat': 42.2201686302915, 'lng': -71.02240516970849}, 'southwest': {'lat': 42.2174706697085, 'lng': -71.02510313029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Dave & Buster's,{'open_now': True},"[{'height': 2584, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111031780827021117401"">Dave &amp; Buster&#39;s</a>'], 'photo_reference': 'AW30NDwJzrvv90P-XvxV_TuW10INibVxjK3ZnidntPehy0DrvTCKEx6_A-YccxD8VdPSOtnfzemDCf8oxMGXbPdVOg9eiH0cB0m647VPNYP-JFQXoljHsnW9vym2Oy-rCyJG1HCkrysljLXNvvYRCwaHYHJyBl6rYExKPalIAPTDSQne1Xs-', 'width': 3828}]",ChIJuWNqVDx944kRQLB31NpXDxI,"{'compound_code': '6X9G+GG Braintree, MA, USA', 'global_code': '87JC6X9G+GG'}",2.0,4.1,ChIJuWNqVDx944kRQLB31NpXDxI,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",2643.0,"250 Granite Street, Braintree",
OPERATIONAL,"{'location': {'lat': 42.24818579999999, 'lng': -71.0019049}, 'viewport': {'northeast': {'lat': 42.2495907302915, 'lng': -71.0004603197085}, 'southwest': {'lat': 42.2468927697085, 'lng': -71.0031582802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Fat Cat,{'open_now': True},"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112075657287956724594"">Nick Brooks</a>'], 'photo_reference': 'AW30NDyDU0nD7WHMhrEVppYj3Nz_z7RTflEybxjcOKlIK_T7vAXYDKCzuIZNR5LGoY_VONAfzsyVagAiDnZ3GLiXrJlvC55uyg43vvKwkbpBu2DFvO_J14SR2HDbIAhGIs_VQMFpbJwYC243GhRGleTZtvKIh40rtb90-kywdVRd8BvcxVJA', 'width': 4128}]",ChIJU6wT2Epj44kRsjQP0gHY1PQ,"{'compound_code': '6XXX+76 Quincy, MA, USA', 'global_code': '87JC6XXX+76'}",2.0,4.4,ChIJU6wT2Epj44kRsjQP0gHY1PQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1658.0,"1495 Hancock Street, Quincy",
OPERATIONAL,"{'location': {'lat': 42.2465087, 'lng': -71.00329909999999}, 'viewport': {'northeast': {'lat': 42.24775648029151, 'lng': -71.00192281970848}, 'southwest': {'lat': 42.24505851970851, 'lng': -71.00462078029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,IHOP,{'open_now': True},"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109948771393596561349"">Jeannette Sanchez</a>'], 'photo_reference': 'AW30NDzPIqdaRhfu5tWSEoxDOC5d2rPVURK19n9bpYpnrkr4eMZTzG0-XwTf4Zyll7lVpaq-D1zmfEEbZLrHVCgttUJjH_RKv8un6DRJRsgF4jT3HZaT1wOTSEerILBnRFJpYkuK6lj4RzyEXPCww2PSFv5j-MV11XMSBd4vOW9DJGQEZ1KF', 'width': 4048}]",ChIJ5Y8nx8p844kRZhmmY3yu3ME,"{'compound_code': '6XWW+JM Quincy, MA, USA', 'global_code': '87JC6XWW+JM'}",1.0,4.0,ChIJ5Y8nx8p844kRZhmmY3yu3ME,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1695.0,"115 Parkingway, Quincy",
OPERATIONAL,"{'location': {'lat': 42.2442229, 'lng': -71.0488488}, 'viewport': {'northeast': {'lat': 42.24554978029149, 'lng': -71.04757951970849}, 'southwest': {'lat': 42.24285181970849, 'lng': -71.0502774802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Granite Links,{'open_now': True},"[{'height': 472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112117104872256822029"">Granite Links</a>'], 'photo_reference': 'AW30NDwHaFSVePMIZKpFI9TmQ_uStreIz_lJfhFls_871M4NaX1_ZfnjXoRYxSIvu19QM_4Vgc27FeSxpIGycyXSbI0ux5sO2MgTOeFk0FD2_JHiYA4L_b1WNCSFWEWytS-DHjo5ttrLKBFwwIb9XR7S_dMzCBn9qdhd6TWlPk7BO3L1U6iZ', 'width': 725}]",ChIJ0WoToFZ844kRE-V8aaZF8T0,"{'compound_code': '6XV2+MF Quincy, MA, USA', 'global_code': '87JC6XV2+MF'}",,4.6,ChIJ0WoToFZ844kRE-V8aaZF8T0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1031.0,"100 Quarry Hill Drive, Quincy",
OPERATIONAL,"{'location': {'lat': 42.2206637, 'lng': -71.0255519}, 'viewport': {'northeast': {'lat': 42.2220728802915, 'lng': -71.02436851970849}, 'southwest': {'lat': 42.21937491970851, 'lng': -71.0270664802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Master Wok ( 2nd floor / elevator,{'open_now': False},"[{'height': 963, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101089281349321894657"">Rola Sam</a>'], 'photo_reference': 'AW30NDwh4BOxLQ5SZGODqQCSxOtlz1wDO9kvDPXQKKsuTIywUewFdbd4CqI2qI09g0HzFELeOmSOEI5S5by1dM3AeW16oJj4sYYiGcUtuqI__DdAHjfwPA5jWtjlOFeIUCTMlwLmt6ds3EdUa-rIaX5iOvGCTqGCGLnnoAztndfs2IGwF7-g', 'width': 1284}]",ChIJnd0U_D1944kRJaqSoXuBj7Q,"{'compound_code': '6XCF+7Q Braintree, MA, USA', 'global_code': '87JC6XCF+7Q'}",2.0,2.8,ChIJnd0U_D1944kRJaqSoXuBj7Q,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",28.0,"250 Granite Street # 195, Braintree",
OPERATIONAL,"{'location': {'lat': 42.23644589999999, 'lng': -70.9869831}, 'viewport': {'northeast': {'lat': 42.23790593029149, 'lng': -70.98537946970849}, 'southwest': {'lat': 42.23520796970849, 'lng': -70.98807743029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113339185832146487135"">Subway</a>'], 'photo_reference': 'AW30NDyL71sqx494ZLObe7xl883eVswppBuThPf1DKlJG-DKg7G0SLeVPVNe72e-UHunSocgEY3jfCS70_iSywo-7SksnAjET3ND591Ns6uW39-vSRzkyMY0f5ahuorzYuJ9OW-FtARQhZI8opL3WGI0DLVF2nNRoKJu6G0OkqP3-7S_pG1u', 'width': 8964}]",ChIJ9c9vGjtj44kRuM9N19CNt7g,"{'compound_code': '62P7+H6 Quincy, MA, USA', 'global_code': '87JF62P7+H6'}",1.0,4.1,ChIJ9c9vGjtj44kRuM9N19CNt7g,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",97.0,"301 Falls Boulevard, Quincy",
OPERATIONAL,"{'location': {'lat': 42.2213855, 'lng': -71.02594049999999}, 'viewport': {'northeast': {'lat': 42.22272393029149, 'lng': -71.02474781970848}, 'southwest': {'lat': 42.22002596970849, 'lng': -71.02744578029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Cheesecake Factory,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101997173033800024369"">Kdian Wong</a>'], 'photo_reference': 'AW30NDz9bMze40y6d57M1GNb5c0nQI0k8GM1XiD05CQj99l01Aurz3EBeElNSMa13KzrnX_VAi2yu-jHxcdhlCjSmcs8_c6DHgj0sN0MgjxPZC0e1oK_aX0RvGI5FCxk_zZBgYGH2dV_euFjuiv6IADvE00Fo07iUgqkmKgkXsFn8bioeMXq', 'width': 4032}]",ChIJnd0U_D1944kR4jNeJB819q8,"{'compound_code': '6XCF+HJ Braintree, MA, USA', 'global_code': '87JC6XCF+HJ'}",2.0,4.0,ChIJnd0U_D1944kR4jNeJB819q8,GOOGLE,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",2977.0,"250 Granite Street, Braintree",
OPERATIONAL,"{'location': {'lat': 42.2485345, 'lng': -71.0015578}, 'viewport': {'northeast': {'lat': 42.24979053029149, 'lng': -71.0003061697085}, 'southwest': {'lat': 42.24709256970849, 'lng': -71.0030041302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Alba Restaurant,{'open_now': True},"[{'height': 678, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108147508457848580862"">Alba Restaurant</a>'], 'photo_reference': 'AW30NDw_E0185MEVcF0OPvDp4_spp0ue_j5GmbJNw8C0eif3paPJEA3WwLKRZ55vxda-60ZiC4BaQDSmhg_3_XVymHMsThW5asce9W-CqDE6tnyrgCL8gbi2Jco8PfpajvyBZDgsuHRn4xQ6a2E6KSoXcqH6-tKb7sk5egbyTznXgIZ94fvU', 'width': 750}]",ChIJ-Ruet0pj44kREg7_1xlevUw,"{'compound_code': '6XXX+C9 Quincy, MA, USA', 'global_code': '87JC6XXX+C9'}",3.0,4.5,ChIJ-Ruet0pj44kREg7_1xlevUw,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",760.0,"1486 Hancock Street, Quincy",
OPERATIONAL,"{'location': {'lat': 42.2536114, 'lng': -71.0273926}, 'viewport': {'northeast': {'lat': 42.2550179302915, 'lng': -71.02605346970849}, 'southwest': {'lat': 42.2523199697085, 'lng': -71.02875143029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Dunkin',{'open_now': False},"[{'height': 1864, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112789207135091873114"">Samantha Sheehy</a>'], 'photo_reference': 'AW30NDzDPvFRXNuzjSrG14u50-Un7IkbDW54029VGQLLC0v0Giy9u26I1bIlQdT_AU5F3NWkgu2i2UpKeGtwIWto2E2XcJSf8AvW0ksbZISC56AJrYj0PynBFbDlFMV0G--e7JvDXMlEaL2POGFLhXonKBbWXDb1phDvnl79N1-O4VAXPsCK', 'width': 1788}]",ChIJ-TSbEpV844kR8ITDIcgqYSo,"{'compound_code': '7X3F+C2 Quincy, MA, USA', 'global_code': '87JC7X3F+C2'}",1.0,4.1,ChIJ-TSbEpV844kR8ITDIcgqYSo,GOOGLE,"['meal_takeaway', 'bakery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",144.0,"550 Adams Street, Quincy",
OPERATIONAL,"{'location': {'lat': 42.2399627, 'lng': -70.99064589999999}, 'viewport': {'northeast': {'lat': 42.2413676802915, 'lng': -70.98931021970849}, 'southwest': {'lat': 42.2386697197085, 'lng': -70.99200818029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,China Pearl,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109282442300414663761"">Snow Love</a>'], 'photo_reference': 'AW30NDzNLUrhjKls7IqTejZ4LhTuVwc_UO0RrcTwcxy_O0EfXIy0qP35RYBLdY5upNCNVTUwblPz8LETgRhpCo_T4FDaXJraoFcMNWZrh_PxVFKopUVOTXL_t0h6Uoatrlgy9zIz2MK_7tHioTXw-ocsKaFGN1mJZB0N8khveaGVGGo_0213', 'width': 4032}]",ChIJKfd-Tjdj44kRy_jfwhCN_m8,"{'compound_code': '62Q5+XP Quincy, MA, USA', 'global_code': '87JF62Q5+XP'}",2.0,3.9,ChIJKfd-Tjdj44kRy_jfwhCN_m8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",441.0,"237 Quincy Avenue, Quincy",
