business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 39.52880200000001, 'lng': -119.8143556}, 'viewport': {'northeast': {'lat': 39.5300146302915, 'lng': -119.8128345197085}, 'southwest': {'lat': 39.5273166697085, 'lng': -119.8155324802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Roxy,{'open_now': False},"[{'height': 308, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101829800863678073054"">Roxy</a>'], 'photo_reference': 'AW30NDyq8_di_Juj7z2HyW9nknStXWXzeMI1Fo1uNgnNE6U0F1P5EEsBNLI42q0_DLY5f1YIWcUF3sADS15cLfEwTt6Rth2HDMTk3rEuHJp8HnVumBsJunyJ4FTlT4T-Tlw-B4z1F4pdDnVnOOSbguTZTZKT7Uatz7lyZIkvz_XStUE186l1', 'width': 550}]",ChIJ080StzVHmYARgV21ilMdRIs,"{'compound_code': 'G5HP+G7 Reno, NV, USA', 'global_code': '85F2G5HP+G7'}",4.6,ChIJ080StzVHmYARgV21ilMdRIs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",377.0,"345 North Virginia Street, Reno",,
OPERATIONAL,"{'location': {'lat': 39.5267274, 'lng': -119.8126797}, 'viewport': {'northeast': {'lat': 39.5281753302915, 'lng': -119.8115866197085}, 'southwest': {'lat': 39.5254773697085, 'lng': -119.8142845802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Club Cal Neva,{'open_now': True},"[{'height': 2817, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108920517008463552386"">Ravi Kant Sharma</a>'], 'photo_reference': 'AW30NDwYiYUpl3iVqjg7BsLfF-q5mFsBY_ogibIcd2O7VowHWGEIxLY3irrGQt7MQw3aUXK0h7QQBb4dN_8LZzoXavCvZhW5U2W0pksOs-kr3okmItT9rnVCbP5BYwSSp0CSwCw5wncJhilHq84a4zJ0j86ZoJrEpeg43XMumKYBC0dtINWn', 'width': 3167}]",ChIJk5ehscpAmYARzEnEgofAsKs,"{'compound_code': 'G5GP+MW Reno, NV, USA', 'global_code': '85F2G5GP+MW'}",3.8,ChIJk5ehscpAmYARzEnEgofAsKs,GOOGLE,"['casino', 'tourist_attraction', 'bar', 'restaurant', 'food', 'parking', 'point_of_interest', 'establishment']",4470.0,"38 East 2nd Street, Reno",,
OPERATIONAL,"{'location': {'lat': 39.527929, 'lng': -119.8141447}, 'viewport': {'northeast': {'lat': 39.5293745802915, 'lng': -119.8128081197085}, 'southwest': {'lat': 39.5266766197085, 'lng': -119.8155060802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Whitney Peak Hotel,{'open_now': True},"[{'height': 1192, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110600155808306615863"">Whitney Peak Hotel</a>'], 'photo_reference': 'AW30NDwG7fab8b8sfQgLA5-LxnlmlabLU3R7Q5X_cWaB30zEwAOVA2F89sM4YQbfXNHZRFEElZWpHbUVuLY6TjUBnM1_XdikJxekABT3I4-vw3E-ILmOrD4_lQMvF_Y_GNVPQzCjOhoejhYQAH-I4yRnoLabnugf6y_qqtzE78ezltAUmqa-', 'width': 2119}]",ChIJS4X3-bVAmYARWKGmi-LN1v0,"{'compound_code': 'G5HP+58 Reno, NV, USA', 'global_code': '85F2G5HP+58'}",4.3,ChIJS4X3-bVAmYARWKGmi-LN1v0,GOOGLE,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",2117.0,"255 North Virginia Street, Reno",,
OPERATIONAL,"{'location': {'lat': 39.5210309, 'lng': -119.8119581}, 'viewport': {'northeast': {'lat': 39.52233753029149, 'lng': -119.8107587697085}, 'southwest': {'lat': 39.5196395697085, 'lng': -119.8134567302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Peg's Glorified Ham n Eggs - S Sierra St,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102570381296357921634"">Todd Rezsnyak</a>'], 'photo_reference': 'AW30NDzXn85OkC5_1hMtf5cSwaMNFD6FDpE5qeJv5Z-Ap-JfyijRN9OWMxu8S82cnnjVQfhjNOeOfBW8Wk68ZPtNW6DJBQMYg95SO_Txmshnr-rsqfBeP-Ozb05VqIflWTZsY3LNczC3y7wOO3Kzcu0wDhANXuj_oouZSbAMWuFEm5Xyf0k', 'width': 4032}]",ChIJBVL638lAmYARDMrSRJFuLqQ,"{'compound_code': 'G5CQ+C6 Reno, NV, USA', 'global_code': '85F2G5CQ+C6'}",4.6,ChIJBVL638lAmYARDMrSRJFuLqQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2207.0,"420 South Sierra Street, Reno",2.0,
OPERATIONAL,"{'location': {'lat': 39.5250264, 'lng': -119.8143388}, 'viewport': {'northeast': {'lat': 39.5264691802915, 'lng': -119.8128763697085}, 'southwest': {'lat': 39.5237712197085, 'lng': -119.8155743302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/movie_pinlet,Century Riverside 12,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103941017776390015237"">Jason hikes and stuff</a>'], 'photo_reference': 'AW30NDyjlYPbCFChVPyCc2e3clRYuuI9ULg3cGIL3lV_1Ig_U1zP5KZ0KFxtitTsb_TctrLP3f6mXpQeUkvDqh5Roj_MDs4kHgTTqvkmUQwYK1_JeSz1qaPrsTZxmOzON0KCtqdkJz-pwVuiBObSQeqZwIPLl7hIbTJencnQkqJG__oXBCi5', 'width': 3024}]",ChIJ09Dz6MpAmYARsTAxQKiTvgM,"{'compound_code': 'G5GP+27 Reno, NV, USA', 'global_code': '85F2G5GP+27'}",4.4,ChIJ09Dz6MpAmYARsTAxQKiTvgM,GOOGLE,"['movie_theater', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1191.0,"11 North Sierra Street, Reno",,
OPERATIONAL,"{'location': {'lat': 39.5129179, 'lng': -119.8068592}, 'viewport': {'northeast': {'lat': 39.5142854302915, 'lng': -119.8054638197085}, 'southwest': {'lat': 39.5115874697085, 'lng': -119.8081617802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,India Kabab & Curry,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103941017776390015237"">Jason hikes and stuff</a>'], 'photo_reference': 'AW30NDxQddo9eBkyH5aRTGT2OhCAm5u7umwgD41SxutIH_PwH_QLZwPZ17UURfphtoskl_2UfRqugjb5n-6Hg0T9xyDOZ6FXPSrfgPLTG5DMo6BIhtZpsjp0GhwdGIQF_1ur2E82XnmsjUmxD_IGD_cRyu7S2Hmph-Ew_9n04OpBY7bseIVC', 'width': 4032}]",ChIJGxcHmb5AmYARmDec2C9UWNk,"{'compound_code': 'G57V+57 Reno, NV, USA', 'global_code': '85F2G57V+57'}",4.0,ChIJGxcHmb5AmYARmDec2C9UWNk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1046.0,"1091 South Virginia Street, Reno",2.0,
OPERATIONAL,"{'location': {'lat': 39.53089430000001, 'lng': -119.810135}, 'viewport': {'northeast': {'lat': 39.5321376802915, 'lng': -119.8087995697085}, 'southwest': {'lat': 39.5294397197085, 'lng': -119.8114975302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Louis' Basque Corner,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103855467001111271870"">Venessa Mason</a>'], 'photo_reference': 'AW30NDxWVchg4_80YkXTSSOryAc-Hqom2W_ZvqCqCnUk_RLzuHP9u5esSyEdTjxY57XF7gBXW_-2x04YL8WoBVBxwPBFtaPH5dv9Gu2vo70cw-4rR8g30DZTlk-bboGItMJExjRwHv1YTc1JlapYzisd4B0sOvoyMvaCVyQ_1JON_PrvY_Kb', 'width': 4032}]",ChIJmYiHRkpHmYARknz3VELNrtQ,"{'compound_code': 'G5JQ+9W Reno, NV, USA', 'global_code': '85F2G5JQ+9W'}",4.5,ChIJmYiHRkpHmYARknz3VELNrtQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",861.0,"301 East 4th Street, Reno",2.0,
OPERATIONAL,"{'location': {'lat': 39.53197569999999, 'lng': -119.8671676}, 'viewport': {'northeast': {'lat': 39.5331686802915, 'lng': -119.8657323697085}, 'southwest': {'lat': 39.5304707197085, 'lng': -119.8684303302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Round Table Pizza,{'open_now': True},"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100577511921820840128"">Amy Smee</a>'], 'photo_reference': 'AW30NDx3VPSOtX4np5fBBY1zNImaVd_D3lOXgFzRj8sZ0it8-dwmIpaddSziDxDZEer8pU5UNMtNI3aDZAT0aV6VxzDFWKN5nm1Bs0zdB5p-fPB4mw--jCoM3CjIdOjQ13Xk95vBnS_1Rx0cR4ExLcOquvsgdizf9888EM4vzflA-P2Omznp', 'width': 4128}]",ChIJiw2OYZZGmYAR5Sy3mi_o3qw,"{'compound_code': 'G4JM+Q4 Reno, NV, USA', 'global_code': '85F2G4JM+Q4'}",3.6,ChIJiw2OYZZGmYAR5Sy3mi_o3qw,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",134.0,"5150 Mae Anne Avenue, Reno",2.0,
OPERATIONAL,"{'location': {'lat': 39.5314327, 'lng': -119.863929}, 'viewport': {'northeast': {'lat': 39.5328385802915, 'lng': -119.8626064197085}, 'southwest': {'lat': 39.5301406197085, 'lng': -119.8653043802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113215131735764043011"">David Holley</a>'], 'photo_reference': 'AW30NDzSc0DowSSVgO_AkZIpSMDDdKaAR3l3wotqH94VPd3o6E9TOccZ52pLksmaCXcFV48uBqXC3j-3t5jKP-GoedPKV1yipIv5J5l9N8mKNsRSbD3AtqGzQ3KDirDMbDLJpMlkWt36xQj1BWz9bq1JzH9Bbv1AgVEj4IWpP1WEv9HB94p5', 'width': 4032}]",ChIJA-LEFpJGmYARp32yM9Otv2E,"{'compound_code': 'G4JP+HC Reno, NV, USA', 'global_code': '85F2G4JP+HC'}",3.6,ChIJA-LEFpJGmYARp32yM9Otv2E,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",72.0,"10310 North McCarran Boulevard Suite 200, Reno",1.0,
OPERATIONAL,"{'location': {'lat': 39.5028608, 'lng': -119.7978684}, 'viewport': {'northeast': {'lat': 39.5043732302915, 'lng': -119.7968447697085}, 'southwest': {'lat': 39.5016752697085, 'lng': -119.7995427302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/movie_pinlet,Century Park Lane 16,,"[{'height': 2899, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101791450926290537116"">Noah Tirona</a>'], 'photo_reference': 'AW30NDybvV8Ckdgo_C8iU_IOFlMfDihj0CXjE2PW5fyY8r3gpBgW6pOaeniveIT7mQO3e0AlN7cYNluhiCiMKmPnxQCaapv9o-ErNa5HBqU7GCNEOpx-p1py96r1CG_Rf5sEhm8phZJOMictjf7CR_Vusq1voJBtpbi8OcKNDK1w-T2qokAE', 'width': 3865}]",ChIJZ2VO1JpAmYARV3gGza4TNu8,"{'compound_code': 'G632+4V Reno, NV, USA', 'global_code': '85F2G632+4V'}",4.3,ChIJZ2VO1JpAmYARV3gGza4TNu8,GOOGLE,"['movie_theater', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1941.0,"2040 Century Way, Reno",,
