business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 34.1064469, 'lng': -117.3655721}, 'viewport': {'northeast': {'lat': 34.10779623029148, 'lng': -117.3642899697085}, 'southwest': {'lat': 34.10509826970849, 'lng': -117.3669879302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115717816577874390844"">Eleanor Martinez</a>'], 'photo_reference': 'AW30NDya92zyL70qyQnjTZmAkrHbF92aVwtQeaXjGcYVlnJOCsocjEegDE-vEv3A08wOMQTzC06ZOGdkXJNzNBoRJ6rcVY7Gs7g-y_oTJO2AlWkm5KLrYkxo6U6vvRrkjsW-oUwzb3LmLRWlDcOslvR7XBqK2Sl8tIF1LYTCIKNjZZtgCFyw', 'width': 4032}]",ChIJ8SU3EWNNw4ARIQZTgjTBJeE,"{'compound_code': '4J4M+HQ Rialto, CA, USA', 'global_code': '85644J4M+HQ'}",1.0,4.1,ChIJ8SU3EWNNw4ARIQZTgjTBJeE,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",117.0,"303 East Foothill Boulevard, Rialto",
OPERATIONAL,"{'location': {'lat': 34.10634419999999, 'lng': -117.3968878}, 'viewport': {'northeast': {'lat': 34.1076929802915, 'lng': -117.3955417697085}, 'southwest': {'lat': 34.1049950197085, 'lng': -117.3982397302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109125020541341854538"">my weeds</a>'], 'photo_reference': 'AW30NDyHZRRjCgLmM5Yg8xtCGzfjjj7LEElgRUgAo4K4B1J4li4KD9hm2h-72YH4kaRp9SuUXhnq8lN_IJjmhcRfajfErVp3mVEEaYdRR8bI50-VAU5e1cz5XlK5FpFNCum5x0sM9vV_C_fwoSQp2wbqQ7Xit16FSvB4gCCmsAml1oMjgwe1', 'width': 3264}]",ChIJpVA7AgZNw4ARP5C5hbMBIuM,"{'compound_code': '4J43+G6 Rialto, CA, USA', 'global_code': '85644J43+G6'}",1.0,4.0,ChIJpVA7AgZNw4ARP5C5hbMBIuM,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",379.0,"1325 West Foothill Boulevard, Rialto",
OPERATIONAL,"{'location': {'lat': 34.1382038, 'lng': -117.3717669}, 'viewport': {'northeast': {'lat': 34.13952003029151, 'lng': -117.3703649697085}, 'southwest': {'lat': 34.13682206970851, 'lng': -117.3730629302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 5312, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100977217974077901951"">S B</a>'], 'photo_reference': 'AW30NDzc004gU3eEdtREvhQGMAjEcq1u2zWmCff3D2daytPTHW8vkC_WzOYe0zK0rSMEAOflp1Mc4aRcPlP7CTsbOXkCszHSpGvrXcVon-i2LmzDSh5vBYPZ2lJb3Hyoo6pEM4OQcNncmst1pVdY2kENcgdpV4PWoTNLCe3LO5gvyVM2evb2', 'width': 2988}]",ChIJfYl1x_JNw4ARSuP95GiU1ZQ,"{'compound_code': '4JQH+77 Rialto, CA, USA', 'global_code': '85644JQH+77'}",1.0,4.3,ChIJfYl1x_JNw4ARSuP95GiU1ZQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",87.0,"2026 North Riverside Avenue Suite D, Rialto",
OPERATIONAL,"{'location': {'lat': 34.1216235, 'lng': -117.3956865}, 'viewport': {'northeast': {'lat': 34.12297033029149, 'lng': -117.3944542197085}, 'southwest': {'lat': 34.1202723697085, 'lng': -117.3971521802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102954736273046153301"">Subway</a>'], 'photo_reference': 'AW30NDwwZBcxJKSymFFJOQIDTPNbuOjSAW4-ufKA2Fe1uizv2YR2ZcJCRW7EfnH3ySfKp158vvrBodGwxwjQTW3gmQxgRg5IqkxLJX7-7OzviBCvMLZiZqqoQIOlugeEWpTd8koAhmJ4z2sMcJ_ZL41pk2DSqbnDfAnBjRi03xONBU4eowgG', 'width': 1763}]",ChIJbdMXtLpNw4AR2VvEQna6QVU,"{'compound_code': '4JC3+JP Rialto, CA, USA', 'global_code': '85644JC3+JP'}",1.0,3.8,ChIJbdMXtLpNw4AR2VvEQna6QVU,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",112.0,"1244 West Baseline Road Suite 8, Rialto",
OPERATIONAL,"{'location': {'lat': 34.1070167, 'lng': -117.3984556}, 'viewport': {'northeast': {'lat': 34.1082691802915, 'lng': -117.3971068697085}, 'southwest': {'lat': 34.1055712197085, 'lng': -117.3998048302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wienerschnitzel,{'open_now': True},"[{'height': 2616, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112460157953290138629"">Luke Phillip</a>'], 'photo_reference': 'AW30NDxY43OEgVkEEp7-lWhc2nlETQybZApwprSyvv-slog3xBy8nt0wxsGzzz-On0Jnp2bOGVc8JwNiiB15u6NIxrjy7jN7PTrIpMO_zMutKM558d2zIcTKa6x7QEnGs5YRUjL2a664yilvlKpye4YLPVGBtNZQaUkwKsQIOITByVjA3prf', 'width': 2634}]",ChIJx6vAQAZNw4ARpvfGVlQeeho,"{'compound_code': '4J42+RJ Rialto, CA, USA', 'global_code': '85644J42+RJ'}",1.0,4.1,ChIJx6vAQAZNw4ARpvfGVlQeeho,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",635.0,"1388 West Foothill Boulevard, Rialto",
OPERATIONAL,"{'location': {'lat': 34.0978528, 'lng': -117.3707655}, 'viewport': {'northeast': {'lat': 34.09927478029151, 'lng': -117.3693788697085}, 'southwest': {'lat': 34.09657681970851, 'lng': -117.3720768302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Dairy Queen,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116473479577564262457"">Gabriel Felton</a>'], 'photo_reference': 'AW30NDwEj_OGzCMMrYJO3JftYOa9FdqyZ09za_CqFSSv571lZA5_CqeQ1sC8YEosoHwwUn15uhMkuMXAl3ZLzw-38dz7DNp4Ai7bHGpTHKiNbAjc2g4TtKYZqjeThyV5jlF7LfMvmsQCeROH9HccTjdM-NUT-gTy8bL-4eV0mX4A2Qx9kuHp', 'width': 4032}]",ChIJ56UGnGdNw4ARPPdbqpRxDTE,"{'compound_code': '3JXH+4M Rialto, CA, USA', 'global_code': '85643JXH+4M'}",1.0,4.3,ChIJ56UGnGdNw4ARPPdbqpRxDTE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1047.0,"222 South Riverside Avenue, Rialto",
OPERATIONAL,"{'location': {'lat': 34.1217402, 'lng': -117.3970297}, 'viewport': {'northeast': {'lat': 34.1230824302915, 'lng': -117.3956094197085}, 'southwest': {'lat': 34.1203844697085, 'lng': -117.3983073802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Farmer Boys,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114449987498525180474"">Farmer Boys</a>'], 'photo_reference': 'AW30NDxF44yI0WleCMWG4O6K7C-Yz0ZFBCe9eP06-mGU2eawBjk8TusSlWOGQxjZIuU7Z6h9Y90gsMdFwWOKv9mw_tCsuOgsADtwgYZn9gewtqLYm5rS3qXSKGESylqJlYmBNT6wG7gRCSYpkqffxOj9ksjXYGBjAQP6DHIxUUOySSkllNIk', 'width': 4032}]",ChIJ7WyxB7BNw4ARTjwDmzr99ZQ,"{'compound_code': '4JC3+M5 Rialto, CA, USA', 'global_code': '85644JC3+M5'}",2.0,4.3,ChIJ7WyxB7BNw4ARTjwDmzr99ZQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1520.0,"1310 West Baseline Road, Rialto",
OPERATIONAL,"{'location': {'lat': 34.1063667, 'lng': -117.4344577}, 'viewport': {'northeast': {'lat': 34.1076536302915, 'lng': -117.4330905197085}, 'southwest': {'lat': 34.1049556697085, 'lng': -117.4357884802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1350, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103144852467746236875"">Angelica Solorio</a>'], 'photo_reference': 'AW30NDxP1GkjKveUiAvjtzELgPEdIxgehlJrE2pPuCFClsayWrKed7tvOygVI-jBhrIhqDm0mx-FfjwDSH0wQNuP8ip-O-nXpAooGZzAVYj-mGi2uIYaMs2RNW0X_hhBMK9lGJsjX4709aVl9e2Qjw2XjANnY2LFTuwoLtKSy2FNAIpwHgaA', 'width': 1080}]",ChIJ-8ZG22BMw4ARImrm2zJEzaA,"{'compound_code': '4H48+G6 Fontana, CA, USA', 'global_code': '85644H48+G6'}",1.0,3.6,ChIJ-8ZG22BMw4ARImrm2zJEzaA,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",135.0,"16951 Foothill Boulevard Suite A, Fontana",
OPERATIONAL,"{'location': {'lat': 34.0961115, 'lng': -117.3712349}, 'viewport': {'northeast': {'lat': 34.09746313029149, 'lng': -117.3697789197085}, 'southwest': {'lat': 34.0947651697085, 'lng': -117.3724768802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,{'open_now': True},"[{'height': 683, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107347063240467751742"">Pizza Hut</a>'], 'photo_reference': 'AW30NDw6gGrKVsA1-myXsOczEJmbAVkH-z7SXDkJZJnfX6_S2Cl7GPEVHQUNyHxq-ZfraE8BywkDCq-64FC8UnxE9baSUUHp6jDp6FHvaJGxdOi_SlDP2OqIZuB6yFi3DpLaEN5_o0CYUKcI00cope7bYApotdF4vQAWOwbaxMTgeGLwBDfI', 'width': 1025}]",ChIJI4HqgV1Nw4AR6eQq_zSalko,"{'compound_code': '3JWH+CG Rialto, CA, USA', 'global_code': '85643JWH+CG'}",1.0,3.2,ChIJI4HqgV1Nw4AR6eQq_zSalko,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",371.0,"310 South Riverside Avenue, Rialto",
OPERATIONAL,"{'location': {'lat': 34.1080148, 'lng': -117.3955408}, 'viewport': {'northeast': {'lat': 34.10925118029149, 'lng': -117.3942191197085}, 'southwest': {'lat': 34.1065532197085, 'lng': -117.3969170802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115889217845882957209"">EDWARD C</a>'], 'photo_reference': 'AW30NDwb8O36bSlbBFtXawZO6Kzg2bEINeg5lW_pjRPKUCJojeYXYVFKKAIFqCSX8rNwDjt_9w__oHnrPovkME68nT69zbGU9uECwTv4LQdoszzP_LL2PyO7cBQzK1dz3NQkuAyxys6xy7lRld0YmAdEFRm6sNFtr3ILZs7SEhu4mLQiyrCB', 'width': 4032}]",ChIJzViNkwhNw4AROSi9VH4QAiY,"{'compound_code': '4J53+6Q Rialto, CA, USA', 'global_code': '85644J53+6Q'}",1.0,3.8,ChIJzViNkwhNw4AROSi9VH4QAiY,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",524.0,"1270 West Foothill Boulevard Suite-E, Rialto",
