business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 37.9818468, 'lng': -122.3197839}, 'viewport': {'northeast': {'lat': 37.9833309802915, 'lng': -122.3182449197085}, 'southwest': {'lat': 37.9806330197085, 'lng': -122.3209428802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/movie_pinlet,Century Hilltop 16,"[{'height': 9248, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114237425711805643555"">Ramesh Malla</a>'], 'photo_reference': 'AW30NDxnq7xfA_g-4zyMbya2RI-9B2rZ1IXBnfD-YP66GJYOnqyOg0Zj5msHn1FeZgFUtHX3qAI3HD7Ic-C32koONtA9fjmdSxsOQ5kU8s3QDdcTwMRY-1CbAOJ9vjbpQy877dxfmuxFDJubSwHc-_1WwSzBCZ69LXy-uN4q0ybG8YX2xODa', 'width': 6936}]",ChIJTTwySKV3hYARFeX7E6UvRVY,"{'compound_code': 'XMJJ+P3 Richmond, CA, USA', 'global_code': '849VXMJJ+P3'}",4.3,ChIJTTwySKV3hYARFeX7E6UvRVY,GOOGLE,"['movie_theater', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",1215.0,"3200 Klose Way, Richmond",,,
OPERATIONAL,"{'location': {'lat': 37.9329742, 'lng': -122.3296796}, 'viewport': {'northeast': {'lat': 37.9342276802915, 'lng': -122.3281360697085}, 'southwest': {'lat': 37.9315297197085, 'lng': -122.3308340302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110456418209991633659"">right spot</a>'], 'photo_reference': 'AW30NDzd6K6UJSzqBi17Ie_gYglyg5bh3TpbloGARpXKLA_lGZfjNKhJdI9oMaQdkCGVPZlqrObcevkfWPH8N3TV3kFmXyKeFK94zr4L90ZbUwAtAfF3fxPkKgiD0sUYuiilu-JspHSHjEf3pS8Wt1OmdAHLtDWApss-onO6D6t9xo9AWsKf', 'width': 4032}]",ChIJX7PdnkB4hYARfNneAr5XDew,"{'compound_code': 'WMMC+54 Richmond, CA, USA', 'global_code': '849VWMMC+54'}",3.3,ChIJX7PdnkB4hYARfNneAr5XDew,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",74.0,"4250 Macdonald Avenue Suite B, Richmond",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 37.9255682, 'lng': -122.3473698}, 'viewport': {'northeast': {'lat': 37.9268756302915, 'lng': -122.3461132697085}, 'southwest': {'lat': 37.9241776697085, 'lng': -122.3488112302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,"[{'height': 2934, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107222051045022646288"">Akram AbouKhalil</a>'], 'photo_reference': 'AW30NDzKAYAbfzEVutbIoROfHDDh668wGe6_viBbzD3Jbx3NTIfipt-8et6Zc2ssutDoUR4-8ptlJWwZeV3kjWOb2ots7LAEo0YWxAOIz4U5gl7-gwTx71TBSGue_tfUmH0drURh7FH0KdFQm5_yuUInUp3f4BSJ01qwAxpSVe4o5oGOxsBY', 'width': 5216}]",ChIJCWGt_nJ4hYARFMjsYI13HJY,"{'compound_code': 'WMG3+63 Richmond, CA, USA', 'global_code': '849VWMG3+63'}",3.8,ChIJCWGt_nJ4hYARFMjsYI13HJY,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",149.0,"2315 Cutting Boulevard B, Richmond",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 37.9833511, 'lng': -122.3175187}, 'viewport': {'northeast': {'lat': 37.9847189802915, 'lng': -122.3163110197085}, 'southwest': {'lat': 37.9820210197085, 'lng': -122.3190089802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109233632440591075722"">Subway</a>'], 'photo_reference': 'AW30NDyUtOeBWdjI59gkbmdaXzOgFXaRZ3KUKGQloITqZhOzGhaDCj0f8bzUzaQssGGa3pqJcaKhtwpQuacd2ayI1Bw1G8rtbOPzGjz9IgBtdtwM2xJ99Hc0BJq2h4Y8W-J1N-GbdgbwD-i0BQN4YHQYULJ-_ZcKelCPoIi6Tv61aDi6Y0r-', 'width': 1763}]",ChIJ8yrt66V3hYARmvieMWHMgJg,"{'compound_code': 'XMMJ+8X Richmond, CA, USA', 'global_code': '849VXMMJ+8X'}",3.6,ChIJ8yrt66V3hYARmvieMWHMgJg,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",67.0,"3800 F Klose Way, Richmond",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 37.9900226, 'lng': -122.3356105}, 'viewport': {'northeast': {'lat': 37.9915096802915, 'lng': -122.3343523197085}, 'southwest': {'lat': 37.98881171970851, 'lng': -122.3370502802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104637275824050556626"">J S</a>'], 'photo_reference': 'AW30NDyf3IJLVMjmQ-eZCCZZcEmCp39I4L_UNqkDvc-wNaZrUAwNsPvaefhmZgs7nd4fzEqNN8eFhS47NRIzJ_jurZw_5yNqTeP30oGcQtRX8dFu-KdJkLA-oASqmlYlJwVr92ZScX9qyUHl1IWJyy-IzRYYb62Hgb4vdWDDoC_x7SScxGQD', 'width': 1920}]",ChIJQW-hb1d2hYARezbRxsDrsh4,"{'compound_code': 'XMR7+2Q Richmond, CA, USA', 'global_code': '849VXMR7+2Q'}",3.3,ChIJQW-hb1d2hYARezbRxsDrsh4,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",35.0,"15501 San Pablo Avenue Suite H, Richmond",{'open_now': True},1.0,
CLOSED_TEMPORARILY,"{'location': {'lat': 37.9809491, 'lng': -122.3291857}, 'viewport': {'northeast': {'lat': 37.98181383029151, 'lng': -122.3280112697085}, 'southwest': {'lat': 37.97911586970851, 'lng': -122.3307092302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,"[{'height': 2040, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102688446897362622126"">Bridget Canfield</a>'], 'photo_reference': 'AW30NDw4Qjb24MuYVnJ_xxB8vwUW848-tU_CT0olPaXvTlMRDOmmYEHzz4uWP5vDficWmnwPk7M0wMBuHnEgwEtSpNXA3Il8Ww2iKE6Lq2eWNkqqlbPvRnnFCJbnyfepfqzt4NwsGqNjpivJdApszIIYlSBzZHWed1ExEymEAwJSuofIHk5w', 'width': 2720}]",ChIJ6xXHy7d3hYARQs4Na7PF6RE,"{'compound_code': 'XMJC+98 Richmond, CA, USA', 'global_code': '849VXMJC+98'}",3.7,ChIJ6xXHy7d3hYARQs4Na7PF6RE,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",54.0,"2138 Hilltop Mall Road Kiosk K127, Richmond",,1.0,True
CLOSED_TEMPORARILY,"{'location': {'lat': 37.9617325, 'lng': -122.3251021}, 'viewport': {'northeast': {'lat': 37.9631916302915, 'lng': -122.3238541697085}, 'southwest': {'lat': 37.9604936697085, 'lng': -122.3265521302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112346980017287240707"">Joseph Liu</a>'], 'photo_reference': 'AW30NDzpe2hWiaUIgT-VwW4IHKIKH1xxniklA7SaahjW9yt9JKApYv9JidY46NvnQISlW69ClhT6-pWUy81JK_OPTFKZOro_jkK0TYMjXpUi0MotoGb1mPGgx3fCzdhOcH-QExgGtHOkxYP8qvvKniL9tqaaqP4tl0vFDbyN9VxYReax1xkg', 'width': 3840}]",ChIJbwTYmlyXhYARijWxKH5hP6g,"{'compound_code': 'XM6F+MX San Pablo, CA, USA', 'global_code': '849VXM6F+MX'}",3.7,ChIJbwTYmlyXhYARijWxKH5hP6g,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",11.0,"3340-M, San Pablo Dam Road, San Pablo",,1.0,True
OPERATIONAL,"{'location': {'lat': 37.9873955, 'lng': -122.3127015}, 'viewport': {'northeast': {'lat': 37.9888475802915, 'lng': -122.3112662697085}, 'southwest': {'lat': 37.98614961970851, 'lng': -122.3139642302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Outback Steakhouse,"[{'height': 2232, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102688446897362622126"">Bridget Canfield</a>'], 'photo_reference': 'AW30NDw7FTOH3gyO8GePilU4S-X7YqPfit3iPe6W9Cua6H2zFN8WobmUXGgbninIcXlaz8GyoPhEKUjj3kSOtqer76vG_qLzssv-LeupZaPu5DN9o5D655T3IYdEAWgjamPkMfzb8Xw_IAkfpuyFpmygaJybbRdQINB-E3C15vFUo7-CWra7', 'width': 3968}]",ChIJoe8bRqh3hYAROHRP1j3219c,"{'compound_code': 'XMPP+XW Pinole, CA, USA', 'global_code': '849VXMPP+XW'}",3.8,ChIJoe8bRqh3hYAROHRP1j3219c,GOOGLE,"['bar', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",1184.0,"1361 Fitzgerald Drive, Pinole",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 37.9078088, 'lng': -122.3055801}, 'viewport': {'northeast': {'lat': 37.9091248802915, 'lng': -122.3043337697085}, 'southwest': {'lat': 37.9064269197085, 'lng': -122.3070317302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112477087801324466742"">Lea Pia</a>'], 'photo_reference': 'AW30NDzFgUzQ9MZVqg244A5gokTTFA5wIT1yyZGQdT-Fve5DKrAkC1Gka6_OX98p-2uaoKYmb2IH95eKCKGiP2___mvo5n5fE728kpLcRotYikQZTZW5VMxUtrChu9lfMHmz4c-7oFKIY5yLmnV1M0gbQpc24HbHzXvq9SmxPHd7VJjgAVns', 'width': 3024}]",ChIJNab9EBx5hYARTQM1yFuc3h8,"{'compound_code': 'WM5V+4Q El Cerrito, CA, USA', 'global_code': '849VWM5V+4Q'}",3.9,ChIJNab9EBx5hYARTQM1yFuc3h8,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",61.0,"10398 San Pablo Avenue, El Cerrito",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 37.9788423, 'lng': -122.295116}, 'viewport': {'northeast': {'lat': 37.9801414302915, 'lng': -122.2938706697085}, 'southwest': {'lat': 37.9774434697085, 'lng': -122.2965686302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118312121047364557218"">Yashica J Crawford</a>'], 'photo_reference': 'AW30NDwlKDUHx5_ZsrjWD81iy9CKhTHv5RHMMo-CmSnn65HWq6VQaSF6m1BiQtk1oV8qkH_wmptSw1SR_aolOXqY0qL7I6H3Ikgx753jhJkfAWZa_xv6zpa_W_ccNk7G9Dt77JScz0GhTNaBV1z9f33MTb_ObDj4RB6MtaQDME1anfhIwgB_', 'width': 1920}]",ChIJhcpbW2x3hYARkuPd1ZEZNkE,"{'compound_code': 'XPH3+GX El Sobrante, CA, USA', 'global_code': '849VXPH3+GX'}",3.9,ChIJhcpbW2x3hYARkuPd1ZEZNkE,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",254.0,"454 Appian Way Suite A-1, El Sobrante",{'open_now': True},1.0,
