business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 37.5565681, 'lng': -77.47506709999999}, 'viewport': {'northeast': {'lat': 37.5579170802915, 'lng': -77.47371811970848}, 'southwest': {'lat': 37.5552191197085, 'lng': -77.47641608029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Amuse,{'open_now': False},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113869261139237004077"">Mark Wlaz</a>'], 'photo_reference': 'AW30NDw0V9YeF9vPnEBDZlQ1Z4p5S0OLgSiSnP51qxeQ1_Wg3dLjZSi8WbITzSFrzxGGLSrDBq7kodIXqigf2EbUphyOpQss9YWm4XttcKr5GW_M0GOAyuGwRTfNphH2ck1SZA6D9NnkoxZEfqqkapjszZtVY9e4UAo0zf-DVQSSDUpuDMSx', 'width': 4032}]",ChIJs1Bd8_wTsYkRmT7FbOu_xAI,"{'compound_code': 'HG4F+JX Richmond, VA, USA', 'global_code': '8794HG4F+JX'}",3.0,4.5,ChIJs1Bd8_wTsYkRmT7FbOu_xAI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",177.0,"200 North Arthur Ashe Boulevard, Richmond",
OPERATIONAL,"{'location': {'lat': 37.5393861, 'lng': -77.4385655}, 'viewport': {'northeast': {'lat': 37.5407942802915, 'lng': -77.43716116970849}, 'southwest': {'lat': 37.5380963197085, 'lng': -77.43985913029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Capital Ale House,{'open_now': True},"[{'height': 2852, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116528819404676418201"">Capital Ale House</a>'], 'photo_reference': 'AW30NDxJYfFfDCeX6hVIvGJJ7t6iAMjDjOzz2V8GIhPfJ4O_EhRfUYuB4WnoZgbuUiKTRkqufr64hXFJoQDoCQ6_vVIiy7rjumcRJZp3qKfWmIsl5NR_arYmVUt_jL8A_Ot8cPgoHcXxSmDdRuVq7zsuP2fXMryrWo69qjcOyIS992zQuShZ', 'width': 4304}]",ChIJ2e_bdT0RsYkRXtAhGw4wSgk,"{'compound_code': 'GHQ6+QH Richmond, VA, USA', 'global_code': '8794GHQ6+QH'}",2.0,4.2,ChIJ2e_bdT0RsYkRXtAhGw4wSgk,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",2067.0,"623 East Main Street, Richmond",
OPERATIONAL,"{'location': {'lat': 37.5675531, 'lng': -77.48641909999999}, 'viewport': {'northeast': {'lat': 37.5689015302915, 'lng': -77.48500296970849}, 'southwest': {'lat': 37.5662035697085, 'lng': -77.4877009302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Stella's,{'open_now': True},"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114922378619697253017"">Brian Marsh</a>'], 'photo_reference': 'AW30NDzLAIYXjOftLcXSQJ1N2DS3z5Yg1PtIiv4ZSGcWc2alN60eqMT1OSh8PYoFbr2wG_g-Tv6C8jkGv8A3UOvSEbluKDdQTuqTr5BcvLWFsokFDsuEiF6IyHBX3UmjBg0eiFCaozhU-bGQzq8iz4ni-I99L6_O7jNPKIV1uYTiABJ_tIQe', 'width': 3072}]",ChIJt33ecwkUsYkReaWRGici66E,"{'compound_code': 'HG97+2C Richmond, VA, USA', 'global_code': '8794HG97+2C'}",2.0,4.7,ChIJt33ecwkUsYkReaWRGici66E,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1489.0,"1012 Lafayette Street, Richmond",
OPERATIONAL,"{'location': {'lat': 37.5512833, 'lng': -77.4590194}, 'viewport': {'northeast': {'lat': 37.5526750302915, 'lng': -77.45761061970849}, 'southwest': {'lat': 37.5499770697085, 'lng': -77.4603085802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Kuba Kuba,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101534352080442699437"">Kuba Kuba</a>'], 'photo_reference': 'AW30NDzTkGeyQMMgWjncN5EEXmEyE8wBsBEjd9KPy6gwuysBwm6I9c1le69wretTbP1eisnrqIdtT0QAs_kypCOPe6Ey3vp305sXRr73YZLnuOz0w40WstR1A39gVzgqWAyfUZrLOJoMPdetj7doDd6BVtGOwTYlyJ-fjwoaDi00PtsRc9vu', 'width': 4032}]",ChIJ0xC5AVARsYkRHsyYRkmLElk,"{'compound_code': 'HG2R+G9 Richmond, VA, USA', 'global_code': '8794HG2R+G9'}",2.0,4.5,ChIJ0xC5AVARsYkRHsyYRkmLElk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2148.0,"1601 Park Avenue, Richmond",
OPERATIONAL,"{'location': {'lat': 37.5399704, 'lng': -77.4282783}, 'viewport': {'northeast': {'lat': 37.5412488802915, 'lng': -77.4269874197085}, 'southwest': {'lat': 37.5385509197085, 'lng': -77.42968538029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},,ChIJw1u10yMRsYkRxTc0VYxGzII,"{'compound_code': 'GHQC+XM Richmond, VA, USA', 'global_code': '8794GHQC+XM'}",1.0,3.6,ChIJw1u10yMRsYkRxTc0VYxGzII,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",63.0,"Medical Center, 1250 East Marshall Street, Richmond",
OPERATIONAL,"{'location': {'lat': 37.5266667, 'lng': -77.4430556}, 'viewport': {'northeast': {'lat': 37.5282114802915, 'lng': -77.44174556970849}, 'southwest': {'lat': 37.5255135197085, 'lng': -77.4444435302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Legend Brewing Co,{'open_now': True},"[{'height': 9000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104521306431126051001"">John Herbstritt</a>'], 'photo_reference': 'AW30NDzcC8gDiB44eMJiJssFqTKnIEo7zFOx80B1Y5WFgBbvklOsnirzSS6mtylkjV8TU04foKGC7uheG0IjNWmrco_9KMwQPbFDvr8KJ3QDdEYRxafB5vuqU2GdCXePRnfpwsOjcoYuQkJqFHOHQCF4PVAqdCNuRbYRCdmCdE4S89SM7_1S', 'width': 12000}]",ChIJf1_BuA0RsYkRr_2Z8sQna3Y,"{'compound_code': 'GHG4+MQ Richmond, VA, USA', 'global_code': '8794GHG4+MQ'}",2.0,4.2,ChIJf1_BuA0RsYkRr_2Z8sQna3Y,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",820.0,"321 West 7th Street, Richmond",
OPERATIONAL,"{'location': {'lat': 37.5494399, 'lng': -77.4501318}, 'viewport': {'northeast': {'lat': 37.55065428029149, 'lng': -77.4487414697085}, 'southwest': {'lat': 37.54795631970849, 'lng': -77.4514394302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chipotle Mexican Grill,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106925600318803347581"">Pradeep chowdary peddineni</a>'], 'photo_reference': 'AW30NDwL5LGZQAR9pqh1v6ZoEetECLq9j1Qz38UBbFKoXJ9GBYNw4-jSwJ1-b1Afcw9p7lbHyV0-zYHnrYc0yqBz0LkS_0sJZqiCuwOSWmNjfRp4IISy5byIsP2zTb-_myD45ej-ESYNCU79Kqjprgi1Rhuw6VfSbOEphoHbumx-f0cajJqA', 'width': 4032}]",ChIJOzui0kcRsYkRbwZm6Berp6A,"{'compound_code': 'GGXX+QW Richmond, VA, USA', 'global_code': '8794GGXX+QW'}",1.0,3.5,ChIJOzui0kcRsYkRbwZm6Berp6A,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1088.0,"810 West Grace Street, Richmond",
OPERATIONAL,"{'location': {'lat': 37.5506098, 'lng': -77.4693569}, 'viewport': {'northeast': {'lat': 37.55189483029151, 'lng': -77.46803226970849}, 'southwest': {'lat': 37.54919686970851, 'lng': -77.4707302302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Sticky Rice,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111769790369768065246"">Darin Partterson</a>'], 'photo_reference': 'AW30NDxGyHdaecM2OaVbeycvwK8g113ArX9Xfl8dCS6zJ7B9s7DaSh1STLmm9E2NKZx-BZ1a0zlzon0rgiAg6ab6QRW3QUGWizVHGwuXZmXEkToXVBOW6cmCyF1gibCTnLPvushxuaLabdv1E3oeDFnf--dZRTdBrqf5MZXCQHlfO5AhYz5n', 'width': 2252}]",ChIJLwSHllMRsYkRBmzCgbHPfgk,"{'compound_code': 'HG2J+67 Richmond, VA, USA', 'global_code': '8794HG2J+67'}",2.0,4.2,ChIJLwSHllMRsYkRBmzCgbHPfgk,GOOGLE,"['night_club', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1346.0,"2232 West Main Street, Richmond",
CLOSED_TEMPORARILY,"{'location': {'lat': 37.54677589999999, 'lng': -77.45321249999999}, 'viewport': {'northeast': {'lat': 37.54766473029149, 'lng': -77.4518530197085}, 'southwest': {'lat': 37.54496676970849, 'lng': -77.4545509802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,,ChIJv8iQGEQRsYkRNTdzlw6LrBQ,"{'compound_code': 'GGWW+PP Richmond, VA, USA', 'global_code': '8794GGWW+PP'}",1.0,2.3,ChIJv8iQGEQRsYkRNTdzlw6LrBQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",22.0,"Higgs Bldg, 907 Floyd Avenue, Richmond",True
OPERATIONAL,"{'location': {'lat': 37.54546819999999, 'lng': -77.4465266}, 'viewport': {'northeast': {'lat': 37.5469209802915, 'lng': -77.44518281970849}, 'southwest': {'lat': 37.5442230197085, 'lng': -77.4478807802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Graduate Richmond,,"[{'height': 3553, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113857813022793196777"">Graduate Richmond</a>'], 'photo_reference': 'AW30NDxAOSdGvJ2EWA3BJImorSsbnBTgF8lBUfct_ejsVoegxdut1__ddFHH41zTHn3xOA4juu9q1cga_wwcmm_faYcxty4kc8GyXQJhWCUIx3wHwoMNPrZ8nNvCa2rSKp_x9kSbZeJMzqE4s_sU-mb3mWJdbobVS2_gz_Zu7x-uzUQDJ30D', 'width': 5470}]",ChIJkc3lpDgRsYkR85n4yF8Oa50,"{'compound_code': 'GHW3+59 Richmond, VA, USA', 'global_code': '8794GHW3+59'}",,4.1,ChIJkc3lpDgRsYkR85n4yF8Oa50,GOOGLE,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",1184.0,"301 West Franklin Street, Richmond",
