business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 35.20583609999999, 'lng': -106.6124193}, 'viewport': {'northeast': {'lat': 35.2070166802915, 'lng': -106.6113329697085}, 'southwest': {'lat': 35.20431871970851, 'lng': -106.6140309302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,El Pinto Restaurant,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106829188769600267427"">Michael Muhvich</a>'], 'photo_reference': 'AW30NDxv-n1wDZaQ5RxAgNN06vZ4F1l7Db39ENyPPWkLAaReYh59eBnIskPaBbyzby0IhOgt-vQnEftwhU4OuyZlolkN842ckx2qoh2aDUQXB6k-GuhtL56we1Uo7Vk1oOTfa2xJUzXwHOBZ5WOX2sUohr-EcbL89lnvDbFnVXOHM2ZBavaV', 'width': 4032}]",ChIJrR3OlLt2IocRhS_nkvutSR4,"{'compound_code': '694Q+82 Albuquerque, NM, USA', 'global_code': '857M694Q+82'}",2.0,4.2,ChIJrR3OlLt2IocRhS_nkvutSR4,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",5885.0,"10500 4th Street Northwest, Albuquerque",
OPERATIONAL,"{'location': {'lat': 35.242201, 'lng': -106.688275}, 'viewport': {'northeast': {'lat': 35.2434646802915, 'lng': -106.6869128197085}, 'southwest': {'lat': 35.2407667197085, 'lng': -106.6896107802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103987749665246312414"">Nicolas Peña</a>'], 'photo_reference': 'AW30NDw9so-Dx3v7QOy7Oaw5OBQ27zqYo69l74XHi3s_s_oJzbULj7IOCko_0SgqIHSwvT6J46lXCEDzc49dMZ1mnBdYyN84kRFoH6324cdaGEitR_c-eWXHSQhoujGZRpqq2rlT7UIsFOXYNCYouE7mmghuuPaUeqHMOqN126DiFtqXXoxK', 'width': 5312}]",ChIJuRr410JwIocRs_q4uuX3rTs,"{'compound_code': '68R6+VM Rio Rancho, NM, USA', 'global_code': '857M68R6+VM'}",1.0,4.2,ChIJuRr410JwIocRs_q4uuX3rTs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",255.0,"Lariat Square, 2345 Southern Boulevard Southeast, Rio Rancho",
OPERATIONAL,"{'location': {'lat': 35.2045352, 'lng': -106.6509391}, 'viewport': {'northeast': {'lat': 35.2057621302915, 'lng': -106.6493495197085}, 'southwest': {'lat': 35.2030641697085, 'lng': -106.6520474802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jason's Deli,{'open_now': True},"[{'height': 2203, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118054767946966756146"">ウエストデイブ</a>'], 'photo_reference': 'AW30NDy5r15utGK_FKXwXydUqZn3kqmANHB4AKMbYsq2PHwpjpkSdX-D-Ur1SZmD_S-1vtm5EAjzlfKRBF5qVLiNtloAfgb5is-yCMq8RCi9q1xrTESh6Niq0HygM_jsFEgFbg25FN04BsNNHdlsa66APvEh8Sj-IxF-SIaleSdzo27L4XlS', 'width': 3328}]",ChIJKwfKskFxIocRNp0Ic9M3mXQ,"{'compound_code': '683X+RJ Albuquerque, NM, USA', 'global_code': '857M683X+RJ'}",2.0,4.3,ChIJKwfKskFxIocRNp0Ic9M3mXQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",948.0,"3410 New Mexico 528, Albuquerque",
OPERATIONAL,"{'location': {'lat': 35.2448588, 'lng': -106.6981993}, 'viewport': {'northeast': {'lat': 35.2462026802915, 'lng': -106.6967261197085}, 'southwest': {'lat': 35.2435047197085, 'lng': -106.6994240802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 2645, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118054767946966756146"">ウエストデイブ</a>'], 'photo_reference': 'AW30NDwjKu0VsmdmtVlayP-vHA7sjB351lov4sZlJSSMPo_Ta2v90pnz0N8z0VFbo_kRGGGxzgX9w97hL1f-ZRGBNNyzTREFb8KHOrF8wKVJrE-YNNJFsXCi5KpbE9fRYv5lmDuP0g-t_JXzI2vMhu6MS2wKrd8_GmUqgYbA8J3rWKSbeMuQ', 'width': 3529}]",ChIJI_v10kFwIocRXpg6BCeHkbg,"{'compound_code': '68V2+WP Rio Rancho, NM, USA', 'global_code': '857M68V2+WP'}",1.0,3.7,ChIJI_v10kFwIocRXpg6BCeHkbg,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",511.0,"701 Unser Boulevard Southeast Suite 101, Rio Rancho",
OPERATIONAL,"{'location': {'lat': 35.3199176, 'lng': -106.5720474}, 'viewport': {'northeast': {'lat': 35.32108073029151, 'lng': -106.5711125697085}, 'southwest': {'lat': 35.31838276970851, 'lng': -106.5738105302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111158458867121649233"">Amanda Rachau</a>'], 'photo_reference': 'AW30NDxqAsYOpl3aHF4gJnhFirxPZz_huUO4vcqfFz0YDh4WfsQUoGxgVJBtTCABdVpBrMV_0qEKqpzTSSw3QPiVUxHkD4QY75D9FxJcLt6x2T3sCA83fJ9oBC6g2tMp2P4QMD2zsCTDoikzSXTlyR6DBQgwN-78tM0uMPZhNIrckXPR_aoJ', 'width': 4032}]",ChIJ8a-WLVd4IocRDn05rJFIl0I,"{'compound_code': '8C9H+X5 Bernalillo, NM, USA', 'global_code': '857M8C9H+X5'}",1.0,2.9,ChIJ8a-WLVd4IocRDn05rJFIl0I,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",76.0,"460 New Mexico 528, Bernalillo",
OPERATIONAL,"{'location': {'lat': 35.2533389, 'lng': -106.6506336}, 'viewport': {'northeast': {'lat': 35.25464358029151, 'lng': -106.6491878697085}, 'southwest': {'lat': 35.25194561970851, 'lng': -106.6518858302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 2657, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118054767946966756146"">ウエストデイブ</a>'], 'photo_reference': 'AW30NDzFCv32LaT1e84eDxk74bRqQvEOQrQz5rmVLwP_2lx0C7IoLY4dw9H6ZoVrbguaa1q-ilOrbgbx5774_Uq5M7JdySrG3gqsgoRAes3M6EjMkw1bWJY7B44j32qbLqEyzSoXAeqVoq4hncdESzW55QLJy7P0GEl2mNztbgdWnLCyn0fo', 'width': 3545}]",ChIJ1-_mWL5wIocRNvTCK03KvRs,"{'compound_code': '783X+8P Rio Rancho, NM, USA', 'global_code': '857M783X+8P'}",1.0,3.1,ChIJ1-_mWL5wIocRNvTCK03KvRs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",151.0,"4300 Ridgecrest Drive Southeast, Rio Rancho",
OPERATIONAL,"{'location': {'lat': 35.2430721, 'lng': -106.6963564}, 'viewport': {'northeast': {'lat': 35.24442063029149, 'lng': -106.6950823697085}, 'southwest': {'lat': 35.24172266970849, 'lng': -106.6977803302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Saigon 2 Restaurant,{'open_now': True},"[{'height': 716, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100826397472762645181"">Saigon 2 Restaurant</a>'], 'photo_reference': 'AW30NDzPN0MxIyISYXvmxgiY1BCJPwAFH9fdUUBwthSC3ls_CtlKqwqpMctMSvcPUcL91kgrGLVGJdYxTxmIp3b_Rlu-qB27gGY_pyodeTv2gWmQK0Nd7ZYe3yrcrBNUbozTUGCy4YRnoBlgZGIAAhpZHK1dU69ey9c_zpuGBrZSipXYtZy3', 'width': 960}]",ChIJRUc5skFwIocRAiOoowh5dS8,"{'compound_code': '68V3+6F Rio Rancho, NM, USA', 'global_code': '857M68V3+6F'}",1.0,4.5,ChIJRUc5skFwIocRAiOoowh5dS8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",345.0,"2003 Southern Boulevard Southeast suites 105_106, Rio Rancho",
OPERATIONAL,"{'location': {'lat': 35.20522699999999, 'lng': -106.6477381}, 'viewport': {'northeast': {'lat': 35.2063044302915, 'lng': -106.6459885197085}, 'southwest': {'lat': 35.2036064697085, 'lng': -106.6486864802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Ichiban Japanese Restaurant,{'open_now': False},"[{'height': 1868, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107240699369106443886"">Gary Bodman</a>'], 'photo_reference': 'AW30NDxDFEdeLDgsf2-rEUocvMwK-uVQHlFB6naFjS9RsaahTcgabGcI_RcrNT5exvfZjyfUDguI1QcQGlxZBvwA_BhxHV9LBqDxy5UExmdc-Sh-wz2NBQcgbY5NhxFhRsXrYJDAbDV3vGCKRCLKAJcbNrRDlYB3jMgFllKUKoCNKat-sOAV', 'width': 4000}]",ChIJx7FAJkFxIocRVOYqSrlhw98,"{'compound_code': '6942+3W Albuquerque, NM, USA', 'global_code': '857M6942+3W'}",2.0,4.5,ChIJx7FAJkFxIocRVOYqSrlhw98,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",486.0,"10701 Corrales Road Suite 18, Albuquerque",
OPERATIONAL,"{'location': {'lat': 35.2080563, 'lng': -106.657574}, 'viewport': {'northeast': {'lat': 35.20929168029149, 'lng': -106.6562747697085}, 'southwest': {'lat': 35.20659371970849, 'lng': -106.6589727302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103987749665246312414"">Nicolas Peña</a>'], 'photo_reference': 'AW30NDw_RM_IMEesXky7ILB5RD6xtllVaE-1eVkgYs1fi6avqjV3-d0dIhZvKcwC9jO483RXlSQm7p8L-KrygzeHEsHL27QAtK6Kuq3QrShoaR67coY4gkf7j28KxQVMshkcNceQ3sEZfY9uWUTKI3_QpQUoimxPClvpQAF3JeshNuulX_fq', 'width': 4032}]",ChIJy3EYJhNxIocRoR93UAhV42E,"{'compound_code': '685R+6X Albuquerque, NM, USA', 'global_code': '857M685R+6X'}",2.0,4.3,ChIJy3EYJhNxIocRoR93UAhV42E,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3251.0,"10500 Coors Boulevard Bypass Northwest, Albuquerque",
OPERATIONAL,"{'location': {'lat': 35.203041, 'lng': -106.645825}, 'viewport': {'northeast': {'lat': 35.20436228029151, 'lng': -106.6446069697085}, 'southwest': {'lat': 35.20166431970851, 'lng': -106.6473049302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Anitas New Mexican Foods,{'open_now': False},"[{'height': 2197, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100235539582393722571"">Edward</a>'], 'photo_reference': 'AW30NDyGD1-yNNvUg2jfDJvV3YjOBw4SCc1IwerObaVV552B4FjrUZz6cBTwdl7be9ufHexSmY6K4X39f8Hu1SRfiyxGQ4-gnmhFUWbNeMiBem6pRIzN2KbleeVcamZ1PfyejXbvo_rTiGHPqWF-g0WbXORo4XF0MAes7QG151K1f6V0NaDb', 'width': 2197}]",ChIJu39kmEZxIocRDeEeUNrtPGM,"{'compound_code': '6933+6M Albuquerque, NM, USA', 'global_code': '857M6933+6M'}",1.0,4.3,ChIJu39kmEZxIocRDeEeUNrtPGM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",660.0,"10200 Corrales Road, Albuquerque",
