business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 42.2245761, 'lng': -89.072727}, 'viewport': {'northeast': {'lat': 42.2259128802915, 'lng': -89.0711782697085}, 'southwest': {'lat': 42.2232149197085, 'lng': -89.07387623029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102703732842866122674"">Subway</a>'], 'photo_reference': 'AW30NDzFZBa4w2AxvlqZr2-NNuJpiRem5GvcCUMNC-03WWUiHbXyYpFeVFifuWExLnb6S2U-3gUd2yBuyBR2KX-6189BVLe5nkYaiIErFp9Q919Wq2jT7zCsVwcmJh5_3eobnaxndt5HhsK4Afb63KCA7ADJe6XfD9jP6pIzRCaFesP4XN69', 'width': 1763}]",ChIJ6YM0V3LACIgRC-1FZ1ERFvc,"{'compound_code': '6WFG+RW Rockford, IL, USA', 'global_code': '86JG6WFG+RW'}",1.0,3.4,ChIJ6YM0V3LACIgRC-1FZ1ERFvc,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",148,"3313 11th Street, Rockford",
OPERATIONAL,"{'location': {'lat': 42.2660339, 'lng': -89.0372288}, 'viewport': {'northeast': {'lat': 42.26738348029151, 'lng': -89.0359321697085}, 'southwest': {'lat': 42.26468551970851, 'lng': -89.03863013029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105398706511029857418"">Brian Ellison</a>'], 'photo_reference': 'AW30NDzw6ap8orMkkYEs8B2RdQR3Fnq0ySErLe-xEDlKj5KG3KFLiAuEBnQ4PgSNefQEvsaXZGhYcXtWUUvhQyCB7_bKy7ZzU2GStAiXqvB9wkE3FsG4r_FF8NHz8_fdBYqZhsDj_BGxDCZ_yvmYYoUwm8uyn2cJHx_VGtci9ToaoxT9zghV', 'width': 4032}]",ChIJ1ctGuRi_CIgR538AeZhkPj8,"{'compound_code': '7X87+C4 Rockford, IL, USA', 'global_code': '86JG7X87+C4'}",1.0,4.1,ChIJ1ctGuRi_CIgR538AeZhkPj8,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",254,"3798 East State Street #201, Rockford",
OPERATIONAL,"{'location': {'lat': 42.2684666, 'lng': -89.0896391}, 'viewport': {'northeast': {'lat': 42.2696929302915, 'lng': -89.0884113697085}, 'southwest': {'lat': 42.2669949697085, 'lng': -89.0911093302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Capri Restaurant & Pizza,{'open_now': False},"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101836217657339653974"">Mark Granger</a>'], 'photo_reference': 'AW30NDyJWQz6CosHkFmSNsaHo7vzKbgQF8N0npdk0CN4bewV7jbU-7Unt_ZXtUJvW5RPDyfd6syVYCkFP6NxP86oY-d1zart-822jked023_mpV0_35HFCRhqfSD0--4_rFC-LU6c9W3SZMoFYi2zN4jk1IiY0DSGuYDKNjaRCotLrCtEjym', 'width': 3072}]",ChIJKRoUitO_CIgRoo6s3BrVPgw,"{'compound_code': '7W96+94 Rockford, IL, USA', 'global_code': '86JG7W96+94'}",2.0,4.5,ChIJKRoUitO_CIgRoo6s3BrVPgw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1294,"313 East State Street, Rockford",
OPERATIONAL,"{'location': {'lat': 42.26086650000001, 'lng': -89.0567737}, 'viewport': {'northeast': {'lat': 42.2621841802915, 'lng': -89.05540486970848}, 'southwest': {'lat': 42.2594862197085, 'lng': -89.05810283029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Stockholm Inn,{'open_now': False},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117883401319849575708"">Ray Ray</a>'], 'photo_reference': 'AW30NDzHZu2TmKTuriY4yg_eKCeZO0A-rduLwFBK4JYVTdg-CCHRyChmgp2lP1Xn7NCSsGNpbnOYmufLfY8ygzs1b7H4eWyGJZl8O7ps0bBh3TkjaDuxA5JO5EI-E-yBlAUOfPvwZ6QvYqhdwRiP0Ovb0d47neA-o8bsnOnHk9wTnM4lCFkv', 'width': 4032}]",ChIJj-Vrl6e_CIgRW1DbTjLu0lw,"{'compound_code': '7W6V+87 Rockford, IL, USA', 'global_code': '86JG7W6V+87'}",1.0,4.4,ChIJj-Vrl6e_CIgRW1DbTjLu0lw,GOOGLE,"['bakery', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",2106,"2420 Charles Street, Rockford",
CLOSED_TEMPORARILY,"{'location': {'lat': 42.27877730000001, 'lng': -89.0788804}, 'viewport': {'northeast': {'lat': 42.2802789802915, 'lng': -89.07775401970851}, 'southwest': {'lat': 42.27758101970851, 'lng': -89.08045198029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,,ChIJL91gwja-CIgRqI2OnD6EIT8,"{'compound_code': '7WHC+GC Rockford, IL, USA', 'global_code': '86JG7WHC+GC'}",1.0,4.6,ChIJL91gwja-CIgRqI2OnD6EIT8,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",16,"200 Y Boulevard, Rockford",True
OPERATIONAL,"{'location': {'lat': 42.2713073, 'lng': -89.0939854}, 'viewport': {'northeast': {'lat': 42.2725451302915, 'lng': -89.09269506970848}, 'southwest': {'lat': 42.26984716970851, 'lng': -89.09539303029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,District Bar and Grill,{'open_now': True},"[{'height': 2272, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108274357855490677607"">Michael Sell</a>'], 'photo_reference': 'AW30NDyGBljjtBKFhjHDB4LNZBsJaG75RwBTAC6-JjXW6IVb_o21C7M2-M8JBSWWIWXBvU86gmewMtM2bgb_DEKjUkXpMgttsyQo6Td3Okd-_LEkGgE4Q7zZZ3J1twu9j2-7C1BA0K414isVOhqjTbkrIt89A7C7E34uqRoWh-qvsNFcAE5u', 'width': 4032}]",ChIJS32iXtW_CIgRxZGQc5sv1Hs,"{'compound_code': '7WC4+GC Rockford, IL, USA', 'global_code': '86JG7WC4+GC'}",2.0,3.9,ChIJS32iXtW_CIgRxZGQc5sv1Hs,GOOGLE,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",941,"205 West State Street, Rockford",
OPERATIONAL,"{'location': {'lat': 42.25248799999999, 'lng': -89.02942829999999}, 'viewport': {'northeast': {'lat': 42.2539099802915, 'lng': -89.02804971970849}, 'southwest': {'lat': 42.2512120197085, 'lng': -89.0307476802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 812, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104402185361747645501"">Papa Johns Pizza</a>'], 'photo_reference': 'AW30NDyRqDnwokesQiuFqXqJ2JbWcM9GyPFNfyyP2ZseHMAthsXU3UwJB6dVYdLQ4ys-xsa7O7ou9cMKNGnwOLL13wWmfJmiCVZ97uInN0Jerrm9FPg59xGHbO7ujfY-1s8w1KKOzLO_NzIbzXLgFHlMCgDdfHHkdvua-DSiElZ13lXrVviU', 'width': 1444}]",ChIJBXo7ZTi_CIgRYf1gbmUBA68,"{'compound_code': '7X2C+X6 Rockford, IL, USA', 'global_code': '86JG7X2C+X6'}",1.0,3.7,ChIJBXo7ZTi_CIgRYf1gbmUBA68,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",294,"1501 South Alpine Road, Rockford",
OPERATIONAL,"{'location': {'lat': 42.26497860000001, 'lng': -89.03602629999999}, 'viewport': {'northeast': {'lat': 42.2663174302915, 'lng': -89.0343390697085}, 'southwest': {'lat': 42.2636194697085, 'lng': -89.0370370302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Don Carter Lanes,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103485234104840746339"">Erik Czerwin</a>'], 'photo_reference': 'AW30NDwhL4fl484XRdhe4Wb5JQQ_2_BrAD_0eTeYXlAflMqOWIIaH33n6B5FxpniozrWwhLF20R9gImkyIqKUPAknKto84SZU4hnd-92OrefxQzjWLZ0g816OlNihUxSPFvNomFPE3FjU82TUgA70ebOI9_G93y-o6ll40Q6sLs7W9pHH2Ib', 'width': 4032}]",ChIJw7HzciK_CIgRxfXLfQ5wGvw,"{'compound_code': '7X77+XH Rockford, IL, USA', 'global_code': '86JG7X77+XH'}",,4.3,ChIJw7HzciK_CIgRxfXLfQ5wGvw,GOOGLE,"['bowling_alley', 'bar', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",1188,"4007 East State Street #2075, Rockford",
OPERATIONAL,"{'location': {'lat': 42.2615981, 'lng': -89.06193420000001}, 'viewport': {'northeast': {'lat': 42.2629474302915, 'lng': -89.0606645197085}, 'southwest': {'lat': 42.2602494697085, 'lng': -89.06336248029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Sam's Pizza,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108907817183369981038"">Mark Roberts</a>'], 'photo_reference': 'AW30NDx3P2Ywoq6QO0KBOS_6oV0hyiO08KFwwvwVkD5aP7iRJqBUn9u-WP14rDlXuDpMs5T1QLH2FB5Axngllhwfv7kTyyFb4nhoTXQeHGpyfi5PSGnQZlb-T77Whnvo6pS_NZojWQ9o6YkRkQj7CFbPKpEw7040rQfxyTEdWLPD9lmGc1t_', 'width': 5312}]",ChIJiRdZiaW_CIgRlfp73DjEBnc,"{'compound_code': '7W6Q+J6 Rockford, IL, USA', 'global_code': '86JG7W6Q+J6'}",2.0,3.7,ChIJiRdZiaW_CIgRlfp73DjEBnc,GOOGLE,"['restaurant', 'meal_delivery', 'food', 'point_of_interest', 'establishment']",772,"2134 Charles Street, Rockford",
OPERATIONAL,"{'location': {'lat': 42.26635599999999, 'lng': -89.039735}, 'viewport': {'northeast': {'lat': 42.2675118302915, 'lng': -89.03831246970849}, 'southwest': {'lat': 42.2648138697085, 'lng': -89.0410104302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Johnny Pamcakes,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100381920368831273121"">Johnny Pamcakes</a>'], 'photo_reference': 'AW30NDzVnxdNtemF9P7kPfqKDdWR8e8uHFjDPHh8QGWDYw-GuPWQBtQlXbgkHS5anOKiJ97J7hYx4qJk2vu0w6VRCs5-gOhpJwrxLBqXZhC2coS27QvD-2c56BsY-LdUyqxNkW69ONF-YSmVKp7kq8dFoWgZMiFwZNurlOH9Y9787GV9MXYr', 'width': 4032}]",ChIJwzh2Kxm_CIgRjE3y8u-o-BI,"{'compound_code': '7X86+G4 Rockford, IL, USA', 'global_code': '86JG7X86+G4'}",1.0,4.6,ChIJwzh2Kxm_CIgRjE3y8u-o-BI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2024,"3700 East State Street, Rockford",
