business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 38.7771659, 'lng': -121.3476444}, 'viewport': {'northeast': {'lat': 38.7786388302915, 'lng': -121.3462152197085}, 'southwest': {'lat': 38.7759408697085, 'lng': -121.3489131802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Sun City Roseville,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117874522446097934021"">Audrey Garvey</a>'], 'photo_reference': 'AW30NDy4j-eNEU7R4YuhW_vTOQAlVU7n0OXlvotEIAowpv8muhMTlHYKYvF_DmnlEKMMLF_zNOE1hDMLpLsOmvpypHIG-qJdVxs0WrweTAGvJuKGIUIXYNYXf79Qmn2SpEMmnKrwhz2Ql7FkuJeW0-7LDJxbSf24sZW3FCKA4Wxtp6VX4xob', 'width': 3024}]",ChIJURXYfVYhm4ARs362mRC3X0g,"{'compound_code': 'QMG2+VW Roseville, CA, USA', 'global_code': '84CWQMG2+VW'}",4.6,ChIJURXYfVYhm4ARs362mRC3X0g,GOOGLE,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",226.0,"7050 Del Webb Boulevard, Roseville",,,
OPERATIONAL,"{'location': {'lat': 38.7687826, 'lng': -121.2700429}, 'viewport': {'northeast': {'lat': 38.7700809802915, 'lng': -121.2685595197085}, 'southwest': {'lat': 38.7673830197085, 'lng': -121.2712574802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Yard House,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118171887845979136149"">Graham Breeze</a>'], 'photo_reference': 'AW30NDzbirshSiOoXGFEt_clsHuvgLwA9Or_IlFA4yiUSWm5hdRBDucd_5xHgoGJpzAD8DCyf8bTTyK7zwdZYikrj_yBwoUuPlUgPX8FUimn8mkj9Y_Gr51H3ERejD97cZUhdMMLRP4awxSgJRmht-8O1oYKFHRBe-9WiJQaQV8IHJrIdYnQ', 'width': 4032}]",ChIJC4fub9Ehm4ARy1C2F5-evFA,"{'compound_code': 'QP9H+GX Roseville, CA, USA', 'global_code': '84CWQP9H+GX'}",4.4,ChIJC4fub9Ehm4ARy1C2F5-evFA,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3514.0,"1166 Roseville Parkway Bldg E, Roseville",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 38.7887174, 'lng': -121.2831193}, 'viewport': {'northeast': {'lat': 38.7901264802915, 'lng': -121.2814405197085}, 'southwest': {'lat': 38.7874285197085, 'lng': -121.2841384802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Krispy Kreme,"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102342980348429294921"">Luis Castillo</a>'], 'photo_reference': 'AW30NDzvHyYalk3eOaE8fRYTvJFm5eBN6Fsf3-Xkg86FDC5vokwsxAzlYXUVcmEDHMhpLuyOyAAhyYrDtmM9q1-D6MKvVKsaqPQZHOElJ2xrEVGG5csKOKDssDJEsDc7yt2Hxx-w1PkyNNI7ZRtIQR4VcEVXZHmGbFVYGrGLNJSdUIDi4rWK', 'width': 4048}]",ChIJ7f63g_Ihm4ARwBPf4kr_Unc,"{'compound_code': 'QPQ8+FQ Roseville, CA, USA', 'global_code': '84CWQPQ8+FQ'}",4.1,ChIJ7f63g_Ihm4ARwBPf4kr_Unc,GOOGLE,"['bakery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",819.0,"10317 Fairway Drive, Roseville",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 38.7748196, 'lng': -121.268997}, 'viewport': {'northeast': {'lat': 38.7760311302915, 'lng': -121.2672241697085}, 'southwest': {'lat': 38.7733331697085, 'lng': -121.2699221302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pretzelmaker,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116571181246074521615"">Pretzelmaker</a>'], 'photo_reference': 'AW30NDyIyQzhPN-qw2fx8I7TYMEY690h2khxo6lHdJYPoqPqeY4xfKYQp2MFwNClK01fyWvevmR_CciZBB6-kJ62-EqDgmDs3fIn9Eern7LhIyraMqpheQUlL-7Ky8Ifd7cZRLw9sSrJwLCUQI_WhieeX_SsBLSV-HUNd76096Irv9fTBflM', 'width': 1920}]",ChIJM0guxNAhm4ARgdkt6NzMQaQ,"{'compound_code': 'QPFJ+WC Roseville, CA, USA', 'global_code': '84CWQPFJ+WC'}",2.3,ChIJM0guxNAhm4ARgdkt6NzMQaQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",7.0,"1151 Galleria Boulevard, Roseville",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 38.79860499999999, 'lng': -121.334027}, 'viewport': {'northeast': {'lat': 38.79989398029149, 'lng': -121.3325879697085}, 'southwest': {'lat': 38.79719601970849, 'lng': -121.3352859302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,La Provence Restaurant,"[{'height': 683, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115865805597510438874"">La Provence Restaurant</a>'], 'photo_reference': 'AW30NDw0RgTX11AZFMeQBrMKI48LnvaUvKp6XYKlGY31KqdXzahCcAOqvIToV6n3GnJvXnpunyy8WViGnH0ENfys8PCVL6HO5QFOTgCpbUVJUh-yiYk3oXHCujzAW960H05lGpGSMnC2bgbNCAeO_dNr5X2qso165wGQqtxO7NOIRXhO75wT', 'width': 1024}]",ChIJtaLWIOojm4AR13_0BN_h9LA,"{'compound_code': 'QMX8+C9 Roseville, CA, USA', 'global_code': '84CWQMX8+C9'}",4.3,ChIJtaLWIOojm4AR13_0BN_h9LA,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",768.0,"110 Diamond Creek Place #100, Roseville",{'open_now': False},3.0,
OPERATIONAL,"{'location': {'lat': 38.7828003, 'lng': -121.2855026}, 'viewport': {'northeast': {'lat': 38.7841130302915, 'lng': -121.2842235197085}, 'southwest': {'lat': 38.7814150697085, 'lng': -121.2869214802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Sonic Drive-In,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100088785005247963328"">Amber Wise</a>'], 'photo_reference': 'AW30NDxhxKNZzjm8roME65lYcpOLqXyjJ8K3AttcmKzbQjYpoLJJ15zsGWPUX_82d5vdnAIbQIj7NLc4ATPYAYmYjfmuxezIARcHnFlerbTjuD22CtwYMNwWFT-3-TgVKNlWDORXn-vvkSkFcPAdbCKrtt88egiHrvnHf_HfHWDHv9ZRcmlI', 'width': 4128}]",ChIJESywXpMhm4AR2d4lFuwEc50,"{'compound_code': 'QPM7+4Q Roseville, CA, USA', 'global_code': '84CWQPM7+4Q'}",3.8,ChIJESywXpMhm4AR2d4lFuwEc50,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3308.0,"913 Pleasant Grove Boulevard, Roseville",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 38.7733451, 'lng': -121.2715682}, 'viewport': {'northeast': {'lat': 38.7748817802915, 'lng': -121.2702640197085}, 'southwest': {'lat': 38.7721838197085, 'lng': -121.2729619802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Il Fornaio,"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106212320693755689264"">Il Fornaio</a>'], 'photo_reference': 'AW30NDwJSPrkqxhh3zXZxNu8i_noAaOK8NcUNdjDaLwchxPKILWj-KLzKdh8tDr3KGchzDcfSFhSNoC69xy7_2aJKRQOjlT3gWzkGd2YCYIKLDpO4tiE82YUr0Oc-0xLbUrUs4ApbO2nBEA2fwVM3JGSRQ_bnIjuhiNKQ2vn4XCqcMSNUNrt', 'width': 2048}]",ChIJKbU2htYhm4ARwzDnB18SIR0,"{'compound_code': 'QPFH+89 Roseville, CA, USA', 'global_code': '84CWQPFH+89'}",4.4,ChIJKbU2htYhm4ARwzDnB18SIR0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",644.0,"1179 Galleria Boulevard Suite P-118, Roseville",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 38.77710270000001, 'lng': -121.347462}, 'viewport': {'northeast': {'lat': 38.7786069302915, 'lng': -121.3461255197085}, 'southwest': {'lat': 38.7759089697085, 'lng': -121.3488234802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Timbers At the Lodge,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100539295780753164306"">Kamran Mirza</a>'], 'photo_reference': 'AW30NDws_jU8S5-aEJEf6gBXlv56znsTMu7gZUqa7kJc1LEMwPMdVA9aJbMEAaWcxdBcV3QffSewscR_tkOnYgKxdpvmRl36dF8OpapEH_VMSrNSr-0l2QnUBfrO6NgBR0X9mKwB-i-FZZSnx6ADbhggW81pn8hYAbgU1iRu1Kwbsw4uNKJF', 'width': 4032}]",ChIJURXYfVYhm4AR56WSvUjeyGQ,"{'compound_code': 'QMG3+R2 Roseville, CA, USA', 'global_code': '84CWQMG3+R2'}",4.5,ChIJURXYfVYhm4AR56WSvUjeyGQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",274.0,"7050 Del Webb Boulevard, Roseville",{'open_now': True},,
OPERATIONAL,"{'location': {'lat': 38.7708878, 'lng': -121.2651587}, 'viewport': {'northeast': {'lat': 38.7721796302915, 'lng': -121.2640655197085}, 'southwest': {'lat': 38.7694816697085, 'lng': -121.2667634802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117428986594868800088"">Peter Brown</a>'], 'photo_reference': 'AW30NDyd4_P7ATgz5-L-wGRDakKl5oBW_OKZ9p4hDxv-LBu6iB4QOBXC7dt3qc47GtbxJlAd4EVLUbDRC5CpK0D2ojTa_TCXg3heOg6xnhZ7ByrqjGdpUmz3MxRnusUHG2YfwTgahhXnxo8EqXVd24jOHqdCJUo0q1kMETnSecrFqUdIGZJo', 'width': 3024}]",ChIJXRaAKtQhm4ARd-fie6qbeH4,"{'compound_code': 'QPCM+9W Roseville, CA, USA', 'global_code': '84CWQPCM+9W'}",4.3,ChIJXRaAKtQhm4ARd-fie6qbeH4,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1878.0,"1160 Galleria Boulevard, Roseville",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 38.7736502, 'lng': -121.2708455}, 'viewport': {'northeast': {'lat': 38.7749511802915, 'lng': -121.2693262197085}, 'southwest': {'lat': 38.7722532197085, 'lng': -121.2720241802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hot Dog on a Stick,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115427680526132848972"">Donald Carlisle</a>'], 'photo_reference': 'AW30NDw8_L5_dri6UIux9PhvPQmDp9tVbROgcRktCKNzI_pm4sGdfIkmpBRkoT-OjtrhEryVcLhEbis8BF4ZSd417OtDhsWwLS1JxdKw7oK8Btk4w3fU_MtZfFL2EXWMl2PmB3dKwU9iulArLRSYLwY89Dfz3txHiDvV1BlhMkYLF0I2q0Lp', 'width': 3000}]",ChIJ9VSg6tYhm4ARfz1tih2ej2U,"{'compound_code': 'QPFH+FM Roseville, CA, USA', 'global_code': '84CWQPFH+FM'}",4.2,ChIJ9VSg6tYhm4ARfz1tih2ej2U,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",30.0,"1151 Galleria Boulevard, Roseville",{'open_now': True},1.0,
