business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 30.5254752, 'lng': -97.6326469}, 'viewport': {'northeast': {'lat': 30.5269522302915, 'lng': -97.63130706970851}, 'southwest': {'lat': 30.5242542697085, 'lng': -97.63400503029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Salt Lick,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107341968407866724587"">John Joh</a>'], 'photo_reference': 'AW30NDwHWvWDmwElhTN_Pc_UxB2ohCGOVRZlxUYbNWj8siMRsQ1w0EEhq_YZajV1_gxJacP4-u22xAHHg5k2SCxaXr7dyHCPtHPU73oMElKzYVF3Y_bgv-RQQsLzixhAn-p2S3MYeFx0WGlFqIFC2809p0_2duseV7l-ZxzwAIxsNy-yzFU4', 'width': 4032}]",ChIJQdurmmfQRIYRcOYjeeTTygY,"{'compound_code': 'G9G8+5W Round Rock, TX, USA', 'global_code': '8624G9G8+5W'}",2.0,4.3,ChIJQdurmmfQRIYRcOYjeeTTygY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",4355.0,"3350 East Palm Valley Boulevard, Round Rock",
OPERATIONAL,"{'location': {'lat': 30.4884644, 'lng': -97.67966969999999}, 'viewport': {'northeast': {'lat': 30.4898495302915, 'lng': -97.67830141970849}, 'southwest': {'lat': 30.4871515697085, 'lng': -97.68099938029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/movie_pinlet,Flix Brewhouse Round Rock,,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104309347360644495769"">Flix Brewhouse Round Rock</a>'], 'photo_reference': 'AW30NDwQ43t-a8hAUKtV5WK8w7gj4MTaEag76_wxBOVbwcN7Tm_5WFuPF-qL_ed9Sf7nss5NA4mRSm9Dm_fQ5BQ34hHjzVjQIb0Z2cGeeUDkd0PU3GffX3_7o3IsVxA-6WasRx9Nzl7pJ64BhXS09hWADnQGZ3xT3ZrMF0UTgKCCI3U_k0K8', 'width': 4928}]",ChIJh0WJVl-0RIYRoWtvACxiE0c,"{'compound_code': 'F8QC+94 Round Rock, TX, USA', 'global_code': '8624F8QC+94'}",,4.4,ChIJh0WJVl-0RIYRoWtvACxiE0c,GOOGLE,"['movie_theater', 'restaurant', 'food', 'point_of_interest', 'establishment']",3076.0,"2200 South Interstate 35 Frontage Road b1, Round Rock",
OPERATIONAL,"{'location': {'lat': 30.53455599999999, 'lng': -97.6932586}, 'viewport': {'northeast': {'lat': 30.53594178029149, 'lng': -97.69177806970849}, 'southwest': {'lat': 30.5332438197085, 'lng': -97.6944760302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chuy's,{'open_now': True},"[{'height': 2214, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115100271982331608378"">Mike Pool</a>'], 'photo_reference': 'AW30NDzI6kJBMW7A4LC2is_dNGrzRPWppC14iACMvtpj4RK8Q0G4Qh4_zjXcmGgNkWrxWdCtnE686jfn_FqE_aMgZzmJeS_ZILzDZjNfRrIGZgreb77HSjzv31NlH2PeySlVckDZqeTtVGc66R_YbKYNRr21D6unur4sI0EarEpPLsFOz0jR', 'width': 3971}]",ChIJWUFmzn7RRIYRO2BOD_l_qvg,"{'compound_code': 'G8M4+RM Round Rock, TX, USA', 'global_code': '8624G8M4+RM'}",2.0,4.4,ChIJWUFmzn7RRIYRO2BOD_l_qvg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",5317.0,"2320 North Interstate Highway 35, Round Rock",
OPERATIONAL,"{'location': {'lat': 30.5351727, 'lng': -97.69419820000002}, 'viewport': {'northeast': {'lat': 30.5366773302915, 'lng': -97.6928090697085}, 'southwest': {'lat': 30.5339793697085, 'lng': -97.69550703029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cracker Barrel Old Country Store,{'open_now': True},"[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103955888002934666383"">Cracker Barrel Old Country Store</a>'], 'photo_reference': 'AW30NDwz4gbJidEiSrT2DYBeXkinn3kdm-FT4gvab3Xyufh6K-6SY9z0Pr7tpSU8Qo-jnu4nWsN9xage_zrqXHAUDKx6804E3g916zMrWPJBJjUXJHEANBcTfK3EHec5cgELhjodPC9biRzOwmCJ0P7ExuZMD3cF3Am7-jHsBpG14JFeRbeG', 'width': 1080}]",ChIJAWthlX7RRIYRd9KJ2GtoI7M,"{'compound_code': 'G8P4+38 Round Rock, TX, USA', 'global_code': '8624G8P4+38'}",2.0,4.3,ChIJAWthlX7RRIYRd9KJ2GtoI7M,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",5273.0,"2350 North Interstate Highway 35, Round Rock",
OPERATIONAL,"{'location': {'lat': 30.5102879, 'lng': -97.6944245}, 'viewport': {'northeast': {'lat': 30.5117255802915, 'lng': -97.69312791970849}, 'southwest': {'lat': 30.5090276197085, 'lng': -97.69582588029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hao Hao Vietnamese & Chinese Restaurant,{'open_now': True},"[{'height': 1593, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114149972267454715773"">Patrick Hanley</a>'], 'photo_reference': 'AW30NDwUjXeVBZYRxzf3dIXDr5pgdooDr5IE5PT3s4C6TJHcbJrIYRKp57ZOMhdFy2vK4BiLr046wWd12aXSex-8BwPo7IFwVjkX_p-c-ykHgTVvotB5XWQ3HWVl-7Wn1CTl9itm6t_nrN68XEDGSa1a4rVfAu2uw4ZvpvRvtvhYAOKVgd16', 'width': 3024}]",ChIJZevsCIvRRIYRhi6teKsR5Es,"{'compound_code': 'G864+46 Round Rock, TX, USA', 'global_code': '8624G864+46'}",1.0,4.2,ChIJZevsCIvRRIYRhi6teKsR5Es,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",555.0,"1205 Round Rock Avenue #135, Round Rock",
OPERATIONAL,"{'location': {'lat': 30.4962188, 'lng': -97.6777877}, 'viewport': {'northeast': {'lat': 30.4975588302915, 'lng': -97.67604291970848}, 'southwest': {'lat': 30.4948608697085, 'lng': -97.6787408802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Swad Indian Vegetarian Restaurant,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108170014802614942414"">NKay</a>'], 'photo_reference': 'AW30NDwb7V6Vl3ak_q2yLrWOybQ9foR6tq2EoybNl1QwDjZZ1yyFWzntPPsBGfhBcTJXnBUS0HZV5NdCLXGWGhnH8HJ8sIeC1sU3L-t-MoVKQ_WjALtqYnigAcKeGO25XLYqcNXSPR__ytjpq_F9MYorSYIrpnnmcyrEDEDiZU305T3DqWUE', 'width': 4032}]",ChIJobB23WPJRIYRX0khMCwnHAU,"{'compound_code': 'F8WC+FV Round Rock, TX, USA', 'global_code': '8624F8WC+FV'}",1.0,3.9,ChIJobB23WPJRIYRX0khMCwnHAU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",677.0,"1401 South Interstate 35 Frontage Road # 220, Round Rock",
OPERATIONAL,"{'location': {'lat': 30.4871264, 'lng': -97.6745852}, 'viewport': {'northeast': {'lat': 30.4882649802915, 'lng': -97.67341904999999}, 'southwest': {'lat': 30.4855670197085, 'lng': -97.67616004999998}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Joe's Crab Shack,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104466699713241964463"">Fredy Escobar</a>'], 'photo_reference': 'AW30NDySL7bE3flG6l0naVsM0uPyHhp0X38ZMjTwR8pROruYI2ewgicwIUcdLOwRkWvc3ruT3Cv4_hhDsqNtn_OH1kzZs8CSckQs2C3py_gwE5-dPMGwd6E0Ljefw40JqSjDrNknCJr9oFT404Hp9Lp1h0Mimffast5BEF5n2GpptHgTtA_b', 'width': 4032}]",ChIJMUsDkd_RRIYRBXOfGXw1iuE,"{'compound_code': 'F8PG+V5 Round Rock, TX, USA', 'global_code': '8624F8PG+V5'}",2.0,4.0,ChIJMUsDkd_RRIYRBXOfGXw1iuE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2446.0,"2401 South Interstate 35 Frontage Road, Round Rock",
OPERATIONAL,"{'location': {'lat': 30.4788505, 'lng': -97.67231319999999}, 'viewport': {'northeast': {'lat': 30.48018663029151, 'lng': -97.67108201970848}, 'southwest': {'lat': 30.47748866970851, 'lng': -97.6737799802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jason's Deli,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100451961417008967325"">John Kelly</a>'], 'photo_reference': 'AW30NDxJKxLG9q9JzGxVH07UCzTiw-0JeFNhYnkytZZRqlOwXwKbWeN6WdJF7T3L4YOaBOuCfUIJ_Cg8DZ-oqsqW4amFj5ixdPWME5I2G5QWk2j_6J4558kM8WJD_tfLZS5d0RAQvcbBUWG5HAhyPiqpATI2zRIxv8gv_vvcBOLC4coSWLhN', 'width': 4032}]",ChIJb7pR8CPORIYR29s3B8l3Fq0,"{'compound_code': 'F8HH+G3 Round Rock, TX, USA', 'global_code': '8624F8HH+G3'}",2.0,4.4,ChIJb7pR8CPORIYR29s3B8l3Fq0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1379.0,"117 Louis Henna Boulevard, Round Rock",
OPERATIONAL,"{'location': {'lat': 30.480739, 'lng': -97.68177}, 'viewport': {'northeast': {'lat': 30.4819987302915, 'lng': -97.6803742197085}, 'southwest': {'lat': 30.4793007697085, 'lng': -97.68307218029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Logan's Roadhouse,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106249526469506270827"">Glitch Lock</a>'], 'photo_reference': 'AW30NDxXVWjmhyWthCzL9TtsYiLVhI8CxZBDhvQCwCdg0T3n6G-d7aa0L30r_LEnmzPFYRpYDpk-BFerLr_OVQuwSDAMu5T868uUpYRZi1v2mOEaLzVIhjV9eEksWatoHPa5HCI36G7E7OALfd4ADn8pJc3wF53fDjk9Z-BN0f1o7Wc4F6gE', 'width': 4160}]",ChIJnbxWph7ORIYR7kC7YzpLnKs,"{'compound_code': 'F8J9+77 Round Rock, TX, USA', 'global_code': '8624F8J9+77'}",2.0,3.9,ChIJnbxWph7ORIYR7kC7YzpLnKs,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",738.0,"2702 B, Parker Drive, Round Rock",
OPERATIONAL,"{'location': {'lat': 30.4950246, 'lng': -97.67519539999999}, 'viewport': {'northeast': {'lat': 30.4964101302915, 'lng': -97.67415786970848}, 'southwest': {'lat': 30.4937121697085, 'lng': -97.6768558302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Juarez Restaurant & Bakery,{'open_now': False},"[{'height': 12000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113781697176838233460"">Edward Arias</a>'], 'photo_reference': 'AW30NDwBXfdEEEF3pvxViDIVx_kDmbumMGj7pBopMgwOz1nfyEwgUvMd5MXaCmxWlZXwMTNbHOotzx4_S8fAQPME5OSi-phE1J0uOFAykcxA0lrBRpJAkYdK_AcdnDFI39kuiUvBQJgAQ6jF768ubvtgP4yK1M4RHjJf2ueBtjU9nhNMeDH-', 'width': 9000}]",ChIJqUVact3RRIYR3bF6AtCbPBE,"{'compound_code': 'F8WF+2W Round Rock, TX, USA', 'global_code': '8624F8WF+2W'}",1.0,4.4,ChIJqUVact3RRIYR3bF6AtCbPBE,GOOGLE,"['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1790.0,"1701 South Mays Street, Round Rock",
