business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 44.9389291, 'lng': -123.0395975}, 'viewport': {'northeast': {'lat': 44.94001603029149, 'lng': -123.0383483697085}, 'southwest': {'lat': 44.9373180697085, 'lng': -123.0410463302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,The Grand Hotel in Salem,{'open_now': True},"[{'height': 4375, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108138739321209632566"">The Grand Hotel in Salem</a>'], 'photo_reference': 'AW30NDzcmbL8eTHWTvU_w9Ekc_Qu6gEhpUxbsnj1KO7yruQeVPG0QcsjgvHlNNjzmV4PnmAWPWiCity7-U6xVq49v720VTI-r6URnAyDzkx4COTiLUxBdoFK4UFNC8RzeRqw_HNPEag0cxYa7dFOr5I6vQp3WcQAI5zscaKddvoWL0r2PB52', 'width': 7000}]",ChIJ8R5yXW3_v1QRJb_bpXoJOOc,"{'compound_code': 'WXQ6+H5 Salem, OR, USA', 'global_code': '84PRWXQ6+H5'}",4.5,ChIJ8R5yXW3_v1QRJb_bpXoJOOc,GOOGLE,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",1107.0,"201 Liberty Street Southeast, Salem",,
OPERATIONAL,"{'location': {'lat': 44.9062791, 'lng': -123.0199317}, 'viewport': {'northeast': {'lat': 44.9076296802915, 'lng': -123.0184785697085}, 'southwest': {'lat': 44.9049317197085, 'lng': -123.0211765302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gilgamesh Brewing,{'open_now': True},"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103519520881778444019"">Morrie Carter</a>'], 'photo_reference': 'AW30NDy5OQrzEGG3W-FyVw-Tj7PHBu6Yzj_60hV-ShgI7UcHFCYApPCBxdCRLorb0stfO7Y9ZRL4o_4FWxh6bXO4F92vRacouZG-G6ML9GVej-DCFG3IZEaJujx8LdHrwRj-P-w92IzF3hQeBGDYhMhEySwFgCySkgWr67GXKvtLnwKQZ_-y', 'width': 4048}]",ChIJ25Xwaa_4v1QRNjrfLzhtwc0,"{'compound_code': 'WX4J+G2 Salem, OR, USA', 'global_code': '84PRWX4J+G2'}",4.2,ChIJ25Xwaa_4v1QRNjrfLzhtwc0,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",864.0,"2065 Madrona Avenue Southeast, Salem",,
OPERATIONAL,"{'location': {'lat': 44.8915058, 'lng': -123.0607976}, 'viewport': {'northeast': {'lat': 44.8928146302915, 'lng': -123.0592861197085}, 'southwest': {'lat': 44.8901166697085, 'lng': -123.0619840802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Love Love Teriyaki :),{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100269617872479196703"">Abu Medinah</a>'], 'photo_reference': 'AW30NDwYslW_cmLgiTMDujy2tKJndFAz-ua5s2ysaBp0JlRgFccAxaV_8X6IqwcJUjBrM75WPWuyCF5yd-3Ga8q6kZOmEDP1aKN_PELplT7z4UPtq356d1Zm2uLAgqpDhQYBTG25Tg4u2LKyicou7i7g8dlxpehljTPsZu9RPAZr213f7Sme', 'width': 4032}]",ChIJdSQjojAHwFQRPG2sG813kOE,"{'compound_code': 'VWRQ+JM Salem, OR, USA', 'global_code': '84PRVWRQ+JM'}",4.3,ChIJdSQjojAHwFQRPG2sG813kOE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",374.0,"4555 Liberty Road South #250, Salem",1.0,
OPERATIONAL,"{'location': {'lat': 44.913747, 'lng': -123.044812}, 'viewport': {'northeast': {'lat': 44.9151792802915, 'lng': -123.0436477697085}, 'southwest': {'lat': 44.9124813197085, 'lng': -123.0463457302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Venti's Cafe + Taphouse,{'open_now': False},"[{'height': 9248, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101674810924213667738"">Tony Quintero</a>'], 'photo_reference': 'AW30NDwnk_ZC9-RE1u4W3Hy4DaoxH7kaSWTAWw8oATM7YzQwsk5Z7nsDAxVFLixOMzX7-LiW5xtOpvcGcQV6Z2x_siUa4ENpth11mqAUjB3_g1Dodl0HhwneTnMKm-d6tEFOiOtJpuFDpLuppvGgKwryiFyuvO_ZM3mSeQPBiRUgHEgPvrpi', 'width': 6936}]",ChIJlduzqKkAwFQRxTToT6WymwA,"{'compound_code': 'WX74+F3 Salem, OR, USA', 'global_code': '84PRWX74+F3'}",4.4,ChIJlduzqKkAwFQRxTToT6WymwA,GOOGLE,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1255.0,"2840 Commercial Street Southeast, Salem",2.0,
OPERATIONAL,"{'location': {'lat': 44.9357124, 'lng': -123.0197664}, 'viewport': {'northeast': {'lat': 44.9371115302915, 'lng': -123.0184975697085}, 'southwest': {'lat': 44.9344135697085, 'lng': -123.0211955302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Word Of Mouth Neighborhood Bistro,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104914610614534351175"">Mike Hardie</a>'], 'photo_reference': 'AW30NDwu7tP4ItlMSEk4CCClkl2yBaMI_eDJtFLTBMmfzu3KbIuz_N6-QkkZ68yo8Uqw08DuBXi8cNaMhG9bMo_KYfXYoqq0ZEcOvkA93AJkUHEYISJO-fY5H-fKCoWXGprZO5LFvXyHt1H7tAnXI8Hhc12oBlYbmhtXcqaTAvbAfvWhZ02h', 'width': 4032}]",ChIJUdgGKxb_v1QRjo0Lmk3EyeI,"{'compound_code': 'WXPJ+73 Salem, OR, USA', 'global_code': '84PRWXPJ+73'}",4.7,ChIJUdgGKxb_v1QRjo0Lmk3EyeI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1935.0,"140 17th Street Northeast, Salem",2.0,
OPERATIONAL,"{'location': {'lat': 44.9132723, 'lng': -123.0448292}, 'viewport': {'northeast': {'lat': 44.9145336302915, 'lng': -123.0433793197085}, 'southwest': {'lat': 44.91183566970851, 'lng': -123.0460772802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112724056294813722825"">Local Buzz</a>'], 'photo_reference': 'AW30NDyQNB7A5MQsOVMsmlR3IPTLGSR0mMjomNFl-7UAH3JfYp-f6SZ0XFy0sILEC9VmPzdfaJVKPXxrXKHzqE4vU5YFKv2wZxN7lhjH3zfDVUI2mgtr1BqJnc1z6-Oa3NRv4JiKeht6AeETlUEjxeEGH3vi5FiSlas1yfJraZri9DDwywDg', 'width': 4032}]",ChIJJ-j3bKkAwFQRtO9jZP-wh24,"{'compound_code': 'WX74+83 Salem, OR, USA', 'global_code': '84PRWX74+83'}",3.3,ChIJJ-j3bKkAwFQRtO9jZP-wh24,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",57.0,"2914 Commercial Street Southeast, Salem",1.0,
OPERATIONAL,"{'location': {'lat': 44.9298526, 'lng': -123.0444283}, 'viewport': {'northeast': {'lat': 44.9309792802915, 'lng': -123.0431537697085}, 'southwest': {'lat': 44.9282813197085, 'lng': -123.0458517302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Best Little Roadhouse,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111862868303857559891"">Best Little Roadhouse</a>'], 'photo_reference': 'AW30NDwmuU1433cms1KBJxEQkBXvEMzENQJeYK71EFUra722uMAcq0OvBTVVtWMgzuZgwcRPwWW2QKFXHynzWb2gQ3BAoFF_KaPlYvHuWZBU41w17qLSzRxFVfhJ3f0Io0Y9_46oZ9KN8G7veGGyxRjYxCVrcwLap7IxR6u2HAqScw_5Vexd', 'width': 5184}]",ChIJRdor0mf_v1QRsYYUzZGNE7U,"{'compound_code': 'WXH4+W6 Salem, OR, USA', 'global_code': '84PRWXH4+W6'}",4.3,ChIJRdor0mf_v1QRsYYUzZGNE7U,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2836.0,"1145 Commercial Street Southeast, Salem",2.0,
CLOSED_TEMPORARILY,"{'location': {'lat': 44.9364073, 'lng': -123.0256309}, 'viewport': {'northeast': {'lat': 44.9378620302915, 'lng': -123.0242552697085}, 'southwest': {'lat': 44.9351640697085, 'lng': -123.0269532302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112035623600726922845"">Aimee Fritsch</a>'], 'photo_reference': 'AW30NDxY_jKSDwn98lfSN7WZ9PHSt5Zamokf4QCrStNpgHHcLwEdiPR5ocd7u0vW3HA1YcFvPwYLoSJcjYLppBiG2ejOaMjRooADAs7wV8M3DCBSLn0xs9-g8DlBABbzfdVQR-HXIuF5mNucyQqWmc-Ax7tj24lVGV8Ox0vl0-olWa88QDwA', 'width': 4032}]",ChIJgY9TKRT_v1QRWVgswEtSGYU,"{'compound_code': 'WXPF+HP Salem, OR, USA', 'global_code': '84PRWXPF+HP'}",4.3,ChIJgY9TKRT_v1QRWVgswEtSGYU,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",177.0,"1310 State Street, Salem",1.0,True
OPERATIONAL,"{'location': {'lat': 44.9416124, 'lng': -122.9848871}, 'viewport': {'northeast': {'lat': 44.94300638029149, 'lng': -122.9833565697085}, 'southwest': {'lat': 44.94030841970849, 'lng': -122.9860545302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Red Robin Gourmet Burgers and Brews,{'open_now': True},"[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104965212431215486747"">Red Robin Gourmet Burgers and Brews</a>'], 'photo_reference': 'AW30NDwQyrhD3o5xxfqsWmoYsuumWUE39ejFWc9Meq2iYsVGNOHbdQzatUNi_cyckyoclaDqsYJImxmVQxyOQweKti8a9EASEW3yMDSUee6S10I2Hh3iIUnGfxWeE80_S5CUt3kU1H-JXMJSEMIS0t6kvrGAu9EcohmdpB0KOvrpnNQ2-Vzn', 'width': 1080}]",ChIJZ35KC9v-v1QRMYuTism5Qmw,"{'compound_code': 'W2R8+J2 Salem, OR, USA', 'global_code': '84PVW2R8+J2'}",3.8,ChIJZ35KC9v-v1QRMYuTism5Qmw,GOOGLE,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",2839.0,"831 Lancaster Drive Northeast, Salem",2.0,
OPERATIONAL,"{'location': {'lat': 44.9391229, 'lng': -122.9852442}, 'viewport': {'northeast': {'lat': 44.9404890802915, 'lng': -122.9840206697085}, 'southwest': {'lat': 44.9377911197085, 'lng': -122.9867186302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111229282781645237990"">josh w</a>'], 'photo_reference': 'AW30NDzF1gxzFfg_Lr3kP_0wIg3OREVlNl6KTtHw6dltxrx_AFLF7l2UfwBABMwtV7Ckrwym-VEh2uVR0tlXDnuVLAJRoaI_FYc6LHjlMUS528uK3Kh7JJwPWgjCcX_OBTuxYtOLhJhyQkXnuQQMfrUha7KlMB1ZV1W4Y-_ZkptJpOlofjEi', 'width': 4032}]",ChIJmQJTXMP-v1QRngmDesLUBZ0,"{'compound_code': 'W2Q7+JW Salem, OR, USA', 'global_code': '84PVW2Q7+JW'}",3.8,ChIJmQJTXMP-v1QRngmDesLUBZ0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",102.0,"3912 Center Street Northeast, Salem",1.0,
