business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 36.6799273, 'lng': -121.6409215}, 'viewport': {'northeast': {'lat': 36.68137008029149, 'lng': -121.6394470697085}, 'southwest': {'lat': 36.67867211970849, 'lng': -121.6421450302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,In-N-Out Burger,{'open_now': True},"[{'height': 752, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113638635510149194000"">In-N-Out Burger</a>'], 'photo_reference': 'AW30NDzNjdURm77Axvgq-qLnDoA76Ujvvqw4zfqXBXGe4Se6wTr---wrIbh6jgX8nyXByhFRauMpEjSPjEGKg3JjL5oCOsNWnQtbb1ph2IsXAhkCORf4TW9nY2Jx6r0UzJWqBgHTXzwVK-VTfTEEyuufFXz2sf6woYOYX7-R4fBaODcNXy6s', 'width': 1337}]",ChIJiwJpPL34jYARY-zEgS1n8Pg,"{'compound_code': 'M9H5+XJ Salinas, CA, USA', 'global_code': '848WM9H5+XJ'}",1.0,4.6,ChIJiwJpPL34jYARY-zEgS1n8Pg,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",4436.0,"151 Kern Street, Salinas",
OPERATIONAL,"{'location': {'lat': 36.6651613, 'lng': -121.6302013}, 'viewport': {'northeast': {'lat': 36.6664338302915, 'lng': -121.6287376697085}, 'southwest': {'lat': 36.6637358697085, 'lng': -121.6314356302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113774759536530347657"">teekz Joox</a>'], 'photo_reference': 'AW30NDxDJVp6Tg8zs2rFPzEcTd73T54Y418vw2KNuf1oH1He9wW7dUJapO5V1vc8LlnsLxCec5oPAYnqYQ2KBm5QbIoprGfylHfSieHXfCGrpi90KkJF1oTmy9hHOmjUN8x1bYK40o48eILM7WZUGQMrN4pjNOUJ1hvItakc7mCXj9t54XPq', 'width': 1920}]",ChIJLfREtoH4jYARlAbNDCzx7oQ,"{'compound_code': 'M989+3W Salinas, CA, USA', 'global_code': '848WM989+3W'}",1.0,3.6,ChIJLfREtoH4jYARlAbNDCzx7oQ,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",136.0,"951 Work Street, Salinas",
OPERATIONAL,"{'location': {'lat': 36.71195000000001, 'lng': -121.6538453}, 'viewport': {'northeast': {'lat': 36.7132631302915, 'lng': -121.6526942197085}, 'southwest': {'lat': 36.7105651697085, 'lng': -121.6553921802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111912392836792953634"">Gun Korea</a>'], 'photo_reference': 'AW30NDxTyVMykjXDz-1CuRAqZlbyiXA2JLs149nD2VNb61jXwaXwLDQs-9yqeWl8SIyEYerXo5Whd7E4JIjZO_w5aTLPFmjWvnlzGO1T383AqYcbz5HQdw-lrPsYC9Yn8PDO2A3DKiTY3UimJKNstMWF_OGbhGauuCxAIXRdnudX_ROlnoLV', 'width': 4096}]",ChIJbYp32zj_jYAR5WYdnOmrxls,"{'compound_code': 'P86W+QF Salinas, CA, USA', 'global_code': '848WP86W+QF'}",2.0,4.2,ChIJbYp32zj_jYAR5WYdnOmrxls,GOOGLE,"['bar', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",1484.0,"1580 North Main Street, Salinas",
OPERATIONAL,"{'location': {'lat': 36.6661273, 'lng': -121.6562565}, 'viewport': {'northeast': {'lat': 36.66749678029149, 'lng': -121.6550445197085}, 'southwest': {'lat': 36.66479881970849, 'lng': -121.6577424802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2337, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113098405004390985843"">Caitlyn</a>'], 'photo_reference': 'AW30NDxFMtJ8M00CQ1CnPKjBiGttLisdkPGDqo-DF8POHiubRuI5kz3McctIZggK-JRihIhKxQRqreHToowaOf6ymh_e3mwiDjw_dPloaueZyXTxzOxT0ZCxxQJc-MzACPThHaFFRCh11OP8-f3_Y_jqxczJQweXYfVYH2XPSZmgO9JFQK9i', 'width': 2801}]",ChIJ_bk-0e34jYARtqQQ7-pH4xE,"{'compound_code': 'M88V+FF Salinas, CA, USA', 'global_code': '848WM88V+FF'}",1.0,4.0,ChIJ_bk-0e34jYARtqQQ7-pH4xE,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",185.0,"741 South Main Street, Salinas",
CLOSED_TEMPORARILY,"{'location': {'lat': 36.7142767, 'lng': -121.6246242}, 'viewport': {'northeast': {'lat': 36.7157925802915, 'lng': -121.6231914697085}, 'southwest': {'lat': 36.7130946197085, 'lng': -121.6258894302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,,ChIJdTaoQaYAkoARB4ba-v4gVKs,"{'compound_code': 'P97G+P5 Salinas, CA, USA', 'global_code': '848WP97G+P5'}",1.0,4.2,ChIJdTaoQaYAkoARB4ba-v4gVKs,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",26.0,"1939 Natividad Road, Salinas",True
OPERATIONAL,"{'location': {'lat': 36.6963326, 'lng': -121.639176}, 'viewport': {'northeast': {'lat': 36.6975832302915, 'lng': -121.6379238197085}, 'southwest': {'lat': 36.6948852697085, 'lng': -121.6406217802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1142, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101537712660767276761"">apollo</a>'], 'photo_reference': 'AW30NDwcORAVG3Ihmv-AhEbD98f16jqWDTRMfRaJKCGzanfpn_lEUHKwgeZoFvwWPYeAV8io4T3eMNkr-BiWeQT-aZ8ugfxTDomgbYtqW9IeZ66tHJYa1qECt_UY-KAZkrR_D__RsMUSLqRSkFcYYsjdJoIcYqsrGlkdvXgE2ZzF6_ALlmWA', 'width': 1080}]",ChIJ4WFBe634jYARMwl68nUPUek,"{'compound_code': 'M9W6+G8 Salinas, CA, USA', 'global_code': '848WM9W6+G8'}",1.0,4.4,ChIJ4WFBe634jYARMwl68nUPUek,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",63.0,"650 East Laurel Drive Suite D, Salinas",
OPERATIONAL,"{'location': {'lat': 36.6956481, 'lng': -121.5975911}, 'viewport': {'northeast': {'lat': 36.69690043029149, 'lng': -121.5961969197085}, 'southwest': {'lat': 36.69420246970849, 'lng': -121.5988948802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118221451500046905439"">Jorge Lucio</a>'], 'photo_reference': 'AW30NDw5ImaHKMPUU0mSm9ukrWAiTo8hUx1V2izHVqou2hL2uycuh5tRNvZVHh-Y11YI9Dms4G8vE4uUhP3h8TaiyU5WU3t8SBVLOgClGoibG9n9b87NYbNNDbOKyEPmArgGnwNzAdGH1G0P83NZHwvjH_5MB-ExJbhU2et6lfj221yf8EC6', 'width': 1080}]",ChIJW6x58TwHkoARATwjDAf2JaQ,"{'compound_code': 'MCW2+7X Salinas, CA, USA', 'global_code': '848WMCW2+7X'}",1.0,3.9,ChIJW6x58TwHkoARATwjDAf2JaQ,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",65.0,"1581 North Sanborn Road Space 102, Salinas",
OPERATIONAL,"{'location': {'lat': 36.7132147, 'lng': -121.6519987}, 'viewport': {'northeast': {'lat': 36.7146353302915, 'lng': -121.6506590697085}, 'southwest': {'lat': 36.7119373697085, 'lng': -121.6533570302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2894, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113098405004390985843"">Caitlyn</a>'], 'photo_reference': 'AW30NDyMOJacunWPpAQ-I3iH4PxEO50yu2egt8ZyMKcc2ne-kDDmr4udMr9yypbipgNlB8y0ivTlgIgJ9Am24IdhqVACSgXaYJMtL0Y7YO7dOqHqF_ntgWTnOj6U0IC8DsjtH4MpK7nPpB2XDwgBGpMy8rizF4TjwbRPguezeRDNS59ZLgtC', 'width': 3815}]",ChIJBxRi5D__jYAR-x8aN9IBORA,"{'compound_code': 'P87X+76 Salinas, CA, USA', 'global_code': '848WP87X+76'}",1.0,4.0,ChIJBxRi5D__jYAR-x8aN9IBORA,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",93.0,"1564 North Main Street, Salinas",
OPERATIONAL,"{'location': {'lat': 36.653491, 'lng': -121.661406}, 'viewport': {'northeast': {'lat': 36.6547820302915, 'lng': -121.6598372697085}, 'southwest': {'lat': 36.6520840697085, 'lng': -121.6625352302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Gino's,{'open_now': True},"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109705780142519924445"">Carol Lefever</a>'], 'photo_reference': 'AW30NDwpZFA9qnDUkCNS3vFlC9jERLFCekh1bk3qKUKUY4ZGama-mPuGaC132aLiRdcP0q3s4HLnrD1GZ61ptY9WER_fx4LuHafHtbpTfTgDdfXNWO5kUA_4Nr2WpqPUW_Ph6NMz3cAAj2CyGNl5VqY-gdFQnuZT78M01beR3eHQ98wWajwS', 'width': 3264}]",ChIJm7AW6ff4jYARYwJZMao-4WY,"{'compound_code': 'M83Q+9C Salinas, CA, USA', 'global_code': '848WM83Q+9C'}",2.0,4.5,ChIJm7AW6ff4jYARYwJZMao-4WY,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",857.0,"1410 South Main Street, Salinas",
OPERATIONAL,"{'location': {'lat': 36.691188, 'lng': -121.652714}, 'viewport': {'northeast': {'lat': 36.6925453302915, 'lng': -121.6514710697085}, 'southwest': {'lat': 36.6898473697085, 'lng': -121.6541690302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 2318, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113098405004390985843"">Caitlyn</a>'], 'photo_reference': 'AW30NDz6BwOBSVTEwLpuRy4U3DQMiyL9mdcaJRfco4xjRyjXNRoAdPwb893GmcL7lZH1OMzXJ8v_clW4ZQKtHZGro4fWl_4oBoHyEokY42dj7ynhklb1ruuNTkOu0uvNs5175wGlvzawFSh1rn_tksmlgvLbNNKxs2qacXXieyfGqbTAzd91', 'width': 2886}]",ChIJAfZoRMr4jYARgn6RYHXrJA0,"{'compound_code': 'M8RW+FW Salinas, CA, USA', 'global_code': '848WM8RW+FW'}",2.0,4.2,ChIJAfZoRMr4jYARgn6RYHXrJA0,GOOGLE,"['cafe', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']",587.0,"Shopping Center, 917B Sherwood Drive, Salinas",
