business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 40.7718053, 'lng': -111.9124897}, 'viewport': {'northeast': {'lat': 40.77304718029149, 'lng': -111.9110124697085}, 'southwest': {'lat': 40.77034921970849, 'lng': -111.9137104302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Red Iguana,{'open_now': True},"[{'height': 2310, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111002661827897985378"">C Tedesco</a>'], 'photo_reference': 'AW30NDzauUm10TxRszise1-wqiNMm5oD47oxIFV7DG6p6uR_X9Vn0ocDfnX1kt_lQjmn30c9HIneTUF0Ue_oKaE4sRzMWdLYWuTDZTRmBTedeH8ot-KNA3YeEqR2EHIdyiH-EYojio4WfU_rNqqo-Fhp2Vzals6cyPHaIQsYWiXXpjKTc1Ly', 'width': 2595}]",ChIJm_zJw1b0UocRsOFXp-iC0Z8,"{'compound_code': 'Q3CQ+P2 Salt Lake City, UT, USA', 'global_code': '85GCQ3CQ+P2'}",2.0,4.6,ChIJm_zJw1b0UocRsOFXp-iC0Z8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",7939.0,"736 West North Temple Street, Salt Lake City",
OPERATIONAL,"{'location': {'lat': 40.769692, 'lng': -111.9161652}, 'viewport': {'northeast': {'lat': 40.7709158302915, 'lng': -111.9147302197085}, 'southwest': {'lat': 40.76821786970851, 'lng': -111.9174281802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Red Iguana 2,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101959018348328741403"">Lilly Cunningham</a>'], 'photo_reference': 'AW30NDxnnAOJLNadQdxGv4EbdOrKsG6mSTywa7twp0v1M5JORfeQ70LXUuNBAGt4bZ7tgsRZlwkJNhhZYd2v-wp25CtfM22nrq8WUAprFfLkXuuYyVXB-qSbdcT4B8z_3khAoOI6s6f2EuD0lxCJlNRGamEVirImIoYhYHCMRQAyWC710TxY', 'width': 4032}]",ChIJj096gVf0UocR9ymswczDHHU,"{'compound_code': 'Q39M+VG Salt Lake City, UT, USA', 'global_code': '85GCQ39M+VG'}",2.0,4.6,ChIJj096gVf0UocR9ymswczDHHU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",6735.0,"866 West South Temple, Salt Lake City",
OPERATIONAL,"{'location': {'lat': 40.77226059999999, 'lng': -111.9399928}, 'viewport': {'northeast': {'lat': 40.77329823029149, 'lng': -111.9384357197085}, 'southwest': {'lat': 40.7706002697085, 'lng': -111.9411336802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2736, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107171975304199763714"">Sahil</a>'], 'photo_reference': 'AW30NDzGMmXJUH9K5Acrzt93Y9C-RIpnDMMiQ7m550JKgMY4ms5U7gvJiqd3pFREXEg8apWU_ZjNGUVCNl-y0uyhNQ8547I1Qm5W43aTI3swOFGifCjHI3WKF0MuKvtO6P4EO95iCEL9eD8KdDlYAUECRkoLSNvvf7eJQIQn2j4SNIBGyfhd', 'width': 3648}]",ChIJQVzXVmX0UocRXXhHZXsUt20,"{'compound_code': 'Q3C6+W2 Salt Lake City, UT, USA', 'global_code': '85GCQ3C6+W2'}",1.0,3.5,ChIJQVzXVmX0UocRXXhHZXsUt20,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",96.0,"1704 West North Temple Street, Salt Lake City",
OPERATIONAL,"{'location': {'lat': 40.78405889999999, 'lng': -111.9372048}, 'viewport': {'northeast': {'lat': 40.78553978029149, 'lng': -111.9358274197085}, 'southwest': {'lat': 40.78284181970849, 'lng': -111.9385253802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116544581473917225715"">Jonathan Baker</a>'], 'photo_reference': 'AW30NDyAZOXvB2UchTXUi9mwI2ucmsirLhrkdAddJ2PyBucSBnPrnokHUEKrTFIx9tCdhLgV_1sNWzF93c9ktLgQe7VWQQZpm4ZevgsNIXfNkwaiz65zz9rBDv8dz90AW77LexP6cf76WDbunp_i7JTgGr0ABd5oupktwSuwMFWZpvnTfXcq', 'width': 4032}]",ChIJtXAQ_hL0UocROJGenb3elbo,"{'compound_code': 'Q3M7+J4 Salt Lake City, UT, USA', 'global_code': '85GCQ3M7+J4'}",1.0,3.5,ChIJtXAQ_hL0UocROJGenb3elbo,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",344.0,"1625 West 700 North G, Salt Lake City",
OPERATIONAL,"{'location': {'lat': 40.7516404, 'lng': -111.9162656}, 'viewport': {'northeast': {'lat': 40.7529025302915, 'lng': -111.9151933697085}, 'southwest': {'lat': 40.7502045697085, 'lng': -111.9178913302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100681174838699058502"">Corby B.</a>'], 'photo_reference': 'AW30NDw0nNmQpA7zBaCgyqw73XNhNUe7bLduSevKqTZap3lgPbTayLeiCioClt6cVcXwu7adygWasN9VWkHckE9UqBk-y7BLYXtxNnAG7G4wIj-J0n8T-UYb_WJEe5iLGXdGSmg-dnOKlmTVSdotq7QptiERNGeAlj80TomJJzDCfWiwTTPs', 'width': 4032}]",ChIJizCyIeb0UocR9oYUOh8r08A,"{'compound_code': 'Q32M+MF Salt Lake City, UT, USA', 'global_code': '85GCQ32M+MF'}",1.0,3.7,ChIJizCyIeb0UocR9oYUOh8r08A,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",576.0,"805 South 900 West, Salt Lake City",
OPERATIONAL,"{'location': {'lat': 40.78428799999999, 'lng': -111.9378207}, 'viewport': {'northeast': {'lat': 40.78582893029149, 'lng': -111.9360887197085}, 'southwest': {'lat': 40.78313096970849, 'lng': -111.9387866802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116544581473917225715"">Jonathan Baker</a>'], 'photo_reference': 'AW30NDzGHHPOAYJpCis3jQ3u0kjh34aFCVq0a9QCIrPN7WGYBhP29Gqt5TrFPFZw95aV5HGo85TLFGSvxt0qPacXl14rZ1avwZyjXMLmJfjsqXtG8jhK1QFUL-sWSBQPl6B9TCtkOC9G978CoZ-9qqQA39qqfW502RJ1me4BrwQYGTXwXy1t', 'width': 4032}]",ChIJXUlV-hL0UocRGzqapxx40BQ,"{'compound_code': 'Q3M6+PV Salt Lake City, UT, USA', 'global_code': '85GCQ3M6+PV'}",1.0,3.6,ChIJXUlV-hL0UocRGzqapxx40BQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",219.0,"1645 West 700 North P, Salt Lake City",
OPERATIONAL,"{'location': {'lat': 40.7706263, 'lng': -111.9382361}, 'viewport': {'northeast': {'lat': 40.7723768802915, 'lng': -111.9368257197085}, 'southwest': {'lat': 40.7696789197085, 'lng': -111.9395236802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Star of India,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101996889454849874258"">Star of India</a>'], 'photo_reference': 'AW30NDw0jlWZsUI9U3OrWKyOKULdE2KE3zY9xvyn1oHCTy_RxNJ1QQRyDiERfUPT95SpIDHJvR0LQ6R6YIHJ21PTNkPnXqfc4mipygXqPdju0Zr3Ptg_p5zR4CctCZDOmxIIRtb82v2IQfSlZN4CR5WRFSLi9UjlFbiLRRIu_MwFyGp62J0R', 'width': 4032}]",ChIJTVypqRH1UocRlI37jCPN-ew,"{'compound_code': 'Q3C6+7P Salt Lake City, UT, USA', 'global_code': '85GCQ3C6+7P'}",2.0,4.4,ChIJTVypqRH1UocRlI37jCPN-ew,GOOGLE,"['bar', 'cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",1500.0,"1659 West North Temple Street, Salt Lake City",
OPERATIONAL,"{'location': {'lat': 40.7719385, 'lng': -111.9143303}, 'viewport': {'northeast': {'lat': 40.7731256802915, 'lng': -111.9130720697085}, 'southwest': {'lat': 40.7704277197085, 'lng': -111.9157700302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104994708766903093542"">Pan Pan</a>'], 'photo_reference': 'AW30NDzWWyUj_JliqaeE9B3XiLwPj5DHaba5nxb-2OvWo9HGukDO39PyJ30Qd1Qg6u7CuM7R0qv06fNX5Jx4lxNOz1h3vTTKmwNh37ub8Y2oxBGz9EwcFsG_YFy0RhyKLktXbnKdJ2rB6uDMzQYT-384Jj_yV1_-991JCF_I0RTx3kOwbzam', 'width': 4032}]",ChIJAy-1Ilf0UocRnspAI5vAKZ0,"{'compound_code': 'Q3CP+Q7 Salt Lake City, UT, USA', 'global_code': '85GCQ3CP+Q7'}",1.0,3.8,ChIJAy-1Ilf0UocRnspAI5vAKZ0,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",552.0,"804 West North Temple Street, Salt Lake City",
OPERATIONAL,"{'location': {'lat': 40.784059, 'lng': -111.937205}, 'viewport': {'northeast': {'lat': 40.7855903302915, 'lng': -111.9357775697085}, 'southwest': {'lat': 40.7828923697085, 'lng': -111.9384755302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Golden Pearl,{'open_now': True},"[{'height': 3006, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106618947085141945702"">L John</a>'], 'photo_reference': 'AW30NDzIvbIJVtxBoZwnbFSDi5MYqIf_YdoBYXPcNREWdGdv0KijKnZm8yJQojlDgsj5JuCWu5aLhCNyDK8Y8aC9NED9fFw_h9CG4GcHl32U0C_mFawgf-mXkqqVOsL_EnZowZRmZXZCrDzxASqk5Fp5J0RMZOdcQFh1cycXXO77CWD1vcBH', 'width': 5344}]",ChIJtXAQ_hL0UocRAwzGS7qMw0E,"{'compound_code': 'Q3M7+J4 Salt Lake City, UT, USA', 'global_code': '85GCQ3M7+J4'}",2.0,4.3,ChIJtXAQ_hL0UocRAwzGS7qMw0E,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",426.0,"1625 West 700 North suite d, Salt Lake City",
OPERATIONAL,"{'location': {'lat': 40.7826902, 'lng': -111.9243389}, 'viewport': {'northeast': {'lat': 40.7840122802915, 'lng': -111.9231165197085}, 'southwest': {'lat': 40.78131431970851, 'lng': -111.9258144802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Domino's Pizza,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113090841062497121794"">Kyle Daley</a>'], 'photo_reference': 'AW30NDzvSeLCgaF6SRbOlPqegS9ubX9KDFy4nd2WI6ic0xdjo2HVcHtkCMgfJI-VuCfxIlQ9TSAZdfOs-FL1UwONnX525S3AYY0ClGtx6hJVFFaQ-4GV-iMr0FSMnLM8mhv2K4x8BZGmOfS_af9x94rPq9yfJAPiDmboNKFzL6iVmKCZkbtZ', 'width': 4032}]",ChIJr48nHEH0UocRPQdR6M0tRJY,"{'compound_code': 'Q3MG+37 Salt Lake City, UT, USA', 'global_code': '85GCQ3MG+37'}",1.0,2.7,ChIJr48nHEH0UocRPQdR6M0tRJY,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",804.0,"1156 West 600 North, Salt Lake City",
