business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 34.13552, 'lng': -117.2945758}, 'viewport': {'northeast': {'lat': 34.1369657802915, 'lng': -117.2932254197085}, 'southwest': {'lat': 34.1342678197085, 'lng': -117.2959233802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117253022807311965100"">Steven Teel</a>'], 'photo_reference': 'AW30NDzzUuopPatgIQEzThFz4c7doNjsnQNqfjqcfwbQDMhoKtViBu7ndJME549apYqvmYZSX5iTcC-cYCW-yaurt6MIVfn3vnp_He-eBZg3Nd9WZP-DzhXtD9CSM9KV0BjIEx2gBIdj0F0TkvC1278abUUB7iLG9dFvx4SQoYRJFkrGmgkJ', 'width': 1920}]",ChIJCzGXeApTw4ARemqOygO380U,"{'compound_code': '4PP4+65 San Bernardino, CA, USA', 'global_code': '85644PP4+65'}",1.0,3.7,ChIJCzGXeApTw4ARemqOygO380U,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",727.0,"525-B West Highland Avenue, San Bernardino",
OPERATIONAL,"{'location': {'lat': 34.11968699999999, 'lng': -117.278984}, 'viewport': {'northeast': {'lat': 34.1210356802915, 'lng': -117.2776868697085}, 'southwest': {'lat': 34.1183377197085, 'lng': -117.2803848302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wienerschnitzel,{'open_now': True},"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116767851082138833205"">Salomon Del Rio</a>'], 'photo_reference': 'AW30NDyTUsryq6D4xL_rM2DKwxbcGDo9WMP7sDQ9nXx3hbTPmfKe7E4zVJtsqE_u3tnyNcnk-AKFi2cDtyn2Ou5WnPv80e1yC0li-7iKU5gg8-ML_jpdeqkYYHpTAgE5pYhAQYsvPT97VQ04YQ832_7yJY193XbNULRM9lDVsT2xJoAabO3m', 'width': 3264}]",ChIJrYsS4WdTw4ARuVcTxJ-MuUo,"{'compound_code': '4P9C+VC San Bernardino, CA, USA', 'global_code': '85644P9C+VC'}",1.0,4.2,ChIJrYsS4WdTw4ARuVcTxJ-MuUo,GOOGLE,"['restaurant', 'food', 'store', 'point_of_interest', 'establishment']",807.0,"1102 North Waterman Avenue, San Bernardino",
OPERATIONAL,"{'location': {'lat': 34.1210425, 'lng': -117.2885072}, 'viewport': {'northeast': {'lat': 34.1225434802915, 'lng': -117.2871573697085}, 'southwest': {'lat': 34.1198455197085, 'lng': -117.2898553302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Alfredo's Pizza & Pasta,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115087806656575719069"">Matthew Salomon Saldana</a>'], 'photo_reference': 'AW30NDwipse3PWO9Ery_2HyUWnSAKitxiiIk66cr5KN0w-otdMsh43qLO-cZNctCqdeLFmdEgxFa7BKfYY65z_s0_eUSmnQTUhe9g2Rt7Pk-ipZLXf4nO3V40Wb7Z60JJeLJcAqy1PNdPNaYxaLqX7x-3WWSeVi49Q0UXFIBJ1I5PlGetrFZ', 'width': 4032}]",ChIJXdNdeWtTw4AR1SBmQRB5ILo,"{'compound_code': '4PC6+CH San Bernardino, CA, USA', 'global_code': '85644PC6+CH'}",2.0,4.4,ChIJXdNdeWtTw4AR1SBmQRB5ILo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1811.0,"251 West Base Line Street, San Bernardino",
OPERATIONAL,"{'location': {'lat': 34.12101009999999, 'lng': -117.2870596}, 'viewport': {'northeast': {'lat': 34.12241353029149, 'lng': -117.2857325697085}, 'southwest': {'lat': 34.1197155697085, 'lng': -117.2884305302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pronto Pizza,{'open_now': True},"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100071691135365700818"">Hector Lizarraga</a>'], 'photo_reference': 'AW30NDxhpDfL8v5Uglxumz2wOsCvZTHXEhRVjjSocWI6fkHrhSuYKZ5IBeTCp3HMTKEtx8iy1Ehzl8ijCyPsCwIeZ75tMGWA3d02zxl0iJHC_CeTLk3xX5BR7FkrZ3meGWNiccxYGzvisBp1qkcpn3vMHKYpb4Llh1SZ6Ljr9ZkwzEQFdhxD', 'width': 4160}]",ChIJT2e7kWtTw4ARRpMZyh_bh6E,"{'compound_code': '4PC7+C5 San Bernardino, CA, USA', 'global_code': '85644PC7+C5'}",1.0,4.2,ChIJT2e7kWtTw4ARRpMZyh_bh6E,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",563.0,"199 West Base Line Street A, San Bernardino",
OPERATIONAL,"{'location': {'lat': 34.13613349999999, 'lng': -117.2722077}, 'viewport': {'northeast': {'lat': 34.1374682302915, 'lng': -117.2707277197085}, 'southwest': {'lat': 34.1347702697085, 'lng': -117.2734256802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Denny's,{'open_now': True},"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104616956414473918767"">Raymond Padilla</a>'], 'photo_reference': 'AW30NDxoMtxbfd5Z3zoCBfh8a9bKB6H6wV6x-4OlRJC7_R3PYNjNT5ZwIity5dp-sTh2Mo08LBBPqe_shbSKz0jbMSqA3wz7iLf6HmgT8URuL5VPXCbFqvq72ek5bv9jWwVnaS1AHJnEbjKPVQCvnFNpE4Sq0Yq-z7rjkIZ_ECR8Uy-bOTb5', 'width': 4000}]",ChIJCac7p35Tw4ARb5D7MRVZfVM,"{'compound_code': '4PPH+F4 San Bernardino, CA, USA', 'global_code': '85644PPH+F4'}",1.0,3.9,ChIJCac7p35Tw4ARb5D7MRVZfVM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2335.0,"702 East Highland Avenue, San Bernardino",
OPERATIONAL,"{'location': {'lat': 34.1362321, 'lng': -117.2667914}, 'viewport': {'northeast': {'lat': 34.1377372302915, 'lng': -117.2651907697085}, 'southwest': {'lat': 34.1350392697085, 'lng': -117.2678887302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Mexico Cafe,{'open_now': True},"[{'height': 1000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107867175405346906365"">The Mexico Cafe</a>'], 'photo_reference': 'AW30NDzBDu_wLz0jwaoh-mj-NngA4ovmsaqBfUPeusXo-78wlFPJUPt_vqnao1Gn4xHzmoG-tVK2aRPkBcMjnj3UGFCBOBrxRmzBjhaBX9gOipLHoycxLolTPuixdsMjl2tQIhkxLWSyIip0oW8InCQjiCuiE_4AiRe2CDFI7I6LGFEZF8a1', 'width': 1500}]",ChIJO_VCEIJUw4ARaxN_NenmrTs,"{'compound_code': '4PPM+F7 San Bernardino, CA, USA', 'global_code': '85644PPM+F7'}",2.0,4.2,ChIJO_VCEIJUw4ARaxN_NenmrTs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2616.0,"892 East Highland Avenue, San Bernardino",
OPERATIONAL,"{'location': {'lat': 34.13797580000001, 'lng': -117.2846497}, 'viewport': {'northeast': {'lat': 34.1393169302915, 'lng': -117.2834215697085}, 'southwest': {'lat': 34.1366189697085, 'lng': -117.2861195302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pizza House,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104875806960874773125"">Alan L</a>'], 'photo_reference': 'AW30NDxQVTVS7tyIDVIO-jDZxQd01ZsAV-mr1nqH5qXfSC3CV0cbtLVWZgNISUqKtt-9h0n8gtECTuBdMRcvnAfeAwwFK8q7kYiwLfI6cg2N8rrkiRZ2jmFKemWRlxvdrORTxiFKz8jCZYrKUP_9p6jPR4oBTfTbkA7Io8IHmKWejnk00Tcl', 'width': 4032}]",ChIJ8bzZ_Z1Tw4ARlTD3BXxX-6k,"{'compound_code': '4PQ8+54 San Bernardino, CA, USA', 'global_code': '85644PQ8+54'}",1.0,4.3,ChIJ8bzZ_Z1Tw4ARlTD3BXxX-6k,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",536.0,"2433 North Sierra Way, San Bernardino",
OPERATIONAL,"{'location': {'lat': 34.136215, 'lng': -117.303943}, 'viewport': {'northeast': {'lat': 34.1375828802915, 'lng': -117.3025250197085}, 'southwest': {'lat': 34.1348849197085, 'lng': -117.3052229802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Yum Yum Donuts,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101754330365891502784"">David Vasana Thach</a>'], 'photo_reference': 'AW30NDwJyzJUm14rgy8-Ba6nJIVvEaUOM4q4ufJgJwwG7ztiSVNlo1DpEooOqqMFncQbbRJ1Vi6VXMRDJRCdZ0xaNBC0HEyvy74O8RXS1-aIqH9-9j8P3vFpLTpfIfBGjHudALcxRAdSMr5mvXEQn_cI9A8h0MwYwtentlJo9M_2U5TlKA6W', 'width': 4032}]",ChIJBeYsj6hTw4ARcm4976qv2sM,"{'compound_code': '4MPW+FC San Bernardino, CA, USA', 'global_code': '85644MPW+FC'}",1.0,4.4,ChIJBeYsj6hTw4ARcm4976qv2sM,GOOGLE,"['meal_takeaway', 'bakery', 'cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",768.0,"932 West Highland Avenue, San Bernardino",
OPERATIONAL,"{'location': {'lat': 34.1360869, 'lng': -117.264542}, 'viewport': {'northeast': {'lat': 34.1373348802915, 'lng': -117.2630311697085}, 'southwest': {'lat': 34.1346369197085, 'lng': -117.2657291302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,{'open_now': True},"[{'height': 683, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105561523443343653915"">Pizza Hut</a>'], 'photo_reference': 'AW30NDzLHDxctr-fXo0sqGt38VUra7-CE455H2Ila9p9V9e5XQZghvHtC6h69-KND8pK7CZmuLh-gTaCOAZh-rGcy1iOgA0-VvcQaJ9TdXwlrRuszx7XAxS7SsN3dUnfmMxZv60AS_cdU9qKA-QHBg7eoZ-GeYAL7dsxEHd5PUdMRYz5xCd5', 'width': 1025}]",ChIJs2hjs4NUw4ARwJeY4tmvDLA,"{'compound_code': '4PPP+C5 San Bernardino, CA, USA', 'global_code': '85644PPP+C5'}",1.0,3.5,ChIJs2hjs4NUw4ARwJeY4tmvDLA,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",508.0,"1102 East Highland Avenue, San Bernardino",
OPERATIONAL,"{'location': {'lat': 34.1238939, 'lng': -117.27845}, 'viewport': {'northeast': {'lat': 34.12516513029149, 'lng': -117.2771914197085}, 'southwest': {'lat': 34.12246716970849, 'lng': -117.2798893802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Los Portales Restaurant #3,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112395385080338903830"">Rafael Gutierrez</a>'], 'photo_reference': 'AW30NDz-V9OfOwCjiSxmaukQYoZzyfzNCIe4dTMkvB5fY-yHWYrcAG8xs4ZH60kD92YfyakNuT-WfMWfTyMkcqjQZrZlYf0bJVL3k3ZdQxWPGKBVF8DlWkQehsswPRXJJa1ZTgveWuREcAI3bkxCSHhGbcAt4AMklZNqgjNVE0cwgP7Ymi1D', 'width': 4032}]",ChIJ30aPB2ZTw4ARaNUwa_XuHWw,"{'compound_code': '4PFC+HJ San Bernardino, CA, USA', 'global_code': '85644PFC+HJ'}",2.0,4.0,ChIJ30aPB2ZTw4ARaNUwa_XuHWw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",273.0,"1313 North Waterman Avenue, San Bernardino",
