business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed,price_level,opening_hours
OPERATIONAL,"{'location': {'lat': 37.286677, 'lng': -121.797528}, 'viewport': {'northeast': {'lat': 37.2891121, 'lng': -121.7955682697085}, 'southwest': {'lat': 37.2858653, 'lng': -121.7982662302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,The Ranch Golf Club,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101424341322703417775"">Fanny Mireya Garcia</a>'], 'photo_reference': 'AW30NDyjil4toTVtKeOo2u_zGZ4LfLOWmT-0HMakDDkhu8waULZHjfnjO2AEv8dcXzfTZ7vaBU2Z6g6zT2846ZWm7lysgZw9mbro2An0muk_Irc9YHLBf-B9J_Iq3vrPN_skC5TW9uDfUZa-zwYjQmvgOdPUBpAQCEZlhXNLAFzauLcxzoti', 'width': 4608}]",ChIJubNU9-0tjoARNEKVFM3yJfc,"{'compound_code': '76P2+MX San Jose, CA, USA', 'global_code': '849W76P2+MX'}",4.3,ChIJubNU9-0tjoARNEKVFM3yJfc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",228.0,"The Ranch Club House, 4601 Hill Top View Lane, San Jose",,,
CLOSED_TEMPORARILY,"{'location': {'lat': 37.3003771, 'lng': -121.8220497}, 'viewport': {'northeast': {'lat': 37.30167308029149, 'lng': -121.8207946697085}, 'southwest': {'lat': 37.29897511970849, 'lng': -121.8234926302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,"[{'height': 4048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113590510184262173652"">Royans Tharakan</a>'], 'photo_reference': 'AW30NDxKqbbO6uaAUgNjsf_WKGTW5ybbnsfebj_dglPsnB5G8OXpG2w4T4p7G0CEfALEdGWUkgkd4iG_wythsAW1hlrbpeADMUWj7SbiGyMkOnppY0DWp9nQu3p1NkuGt8ByxKPba0X0ibfI7YL-RX9U0gLrbylT1AW853ix-xYRQ_Z-Wj0v', 'width': 3036}]",ChIJV1ABeH4tjoAR2uJHJustE34,"{'compound_code': '852H+55 San Jose, CA, USA', 'global_code': '849W852H+55'}",3.4,ChIJV1ABeH4tjoAR2uJHJustE34,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",38.0,"1041 East Capitol Expressway Unit D, San Jose",True,1.0,
OPERATIONAL,"{'location': {'lat': 37.2671603, 'lng': -121.832333}, 'viewport': {'northeast': {'lat': 37.2685113302915, 'lng': -121.8308375197085}, 'southwest': {'lat': 37.2658133697085, 'lng': -121.8335354802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,"[{'height': 1240, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106376655468137145820"">Hải Cao Minh</a>'], 'photo_reference': 'AW30NDw5k3odL--SdD0Csx8CvM53c_ftr-srFR91hr5qsMoA2_QZ117fYxpYcvBRSt3Zl6k8uxUgsbwIEs3nqyXe7Hac1xgYKMnGYCRcZ9_e6NNJsJtCHuFImCKgcS9LgJQGuy4044Fy41zSY3WEsxB-biLlkxqDdA17LQkNjN0kUmDmDIEy', 'width': 1656}]",ChIJoQl-jBgyjoAR6675iIr02DI,"{'compound_code': '7589+V3 San Jose, CA, USA', 'global_code': '849W7589+V3'}",3.9,ChIJoQl-jBgyjoAR6675iIr02DI,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",65.0,"171 Branham Lane #5, San Jose",,1.0,{'open_now': True}
OPERATIONAL,"{'location': {'lat': 37.26740900000001, 'lng': -121.83229}, 'viewport': {'northeast': {'lat': 37.2687502302915, 'lng': -121.8308131697085}, 'southwest': {'lat': 37.2660522697085, 'lng': -121.8335111302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,High Five Pizza,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101839682262193572073"">Dude</a>'], 'photo_reference': 'AW30NDzkfGPAaOgTCfF3yO48GDHLGjqwBddLR0cf6J8p-4xKCJH7iY2EBG4LsAUW-Yzr_6EiBEFSVKl3_Ocm-byyHHmQrKGDg5sGSuKys2GblUrdmvSgjBEXX1HOQnsmP-sGJWsfqXX3ifoXUTrg1wB-H3oAqsiLnw2f1KR5xOgLhCdpDBJT', 'width': 4032}]",ChIJoQl-jBgyjoARe7mGB2hH57E,"{'compound_code': '7589+X3 San Jose, CA, USA', 'global_code': '849W7589+X3'}",4.6,ChIJoQl-jBgyjoARe7mGB2hH57E,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",800.0,"171 Branham Lane, San Jose",,2.0,{'open_now': True}
OPERATIONAL,"{'location': {'lat': 37.2925106, 'lng': -121.8334168}, 'viewport': {'northeast': {'lat': 37.2939662302915, 'lng': -121.8319944197085}, 'southwest': {'lat': 37.2912682697085, 'lng': -121.8346923802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,"[{'height': 1240, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106376655468137145820"">Hải Cao Minh</a>'], 'photo_reference': 'AW30NDxSw8AgDdazxKoz3z1k9EO8RLLTZWzs3sT3x0sf6TqHbWAQWimhhvGqSB0ij_eNd7zTUBWB5NxXVTl0IgeWmeDhmm_0YwT0GJrbsYb0PqVBl8XOQSFLazHSgWsHjuxmu2bfKz6LOVRq4_e80RapenXwJkZLba8HM_hpE237Ov30DaqI', 'width': 1656}]",ChIJG3lb9V0yjoAR-dfgL8jHWrc,"{'compound_code': '75V8+2J San Jose, CA, USA', 'global_code': '849W75V8+2J'}",3.9,ChIJG3lb9V0yjoAR-dfgL8jHWrc,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",230.0,"3161 Senter Road, San Jose",,1.0,{'open_now': True}
OPERATIONAL,"{'location': {'lat': 37.2670461, 'lng': -121.8322857}, 'viewport': {'northeast': {'lat': 37.2682914302915, 'lng': -121.8309278197085}, 'southwest': {'lat': 37.26559346970851, 'lng': -121.8336257802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Panda Express,"[{'height': 2604, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116189229563719876888"">Mohammad Mosaferi</a>'], 'photo_reference': 'AW30NDy8HB1rgxamCDO77pcamRLS3S3SkVQfosTAbLDJJdrP8NT7EhLyHpYSLEbkRMIVVdZ7n_16Tb7zywfGHxqHipTzRLE8hYMET46IKxmlBEj0m5SlhRrhKr_mRGLHUM4bE4DvwKFdr2fYGMuF8WntHCYxr8FmyITYggwnYMoYaG6tuQh5', 'width': 4624}]",ChIJoQl-jBgyjoARFi9JUkzOdsI,"{'compound_code': '7589+R3 San Jose, CA, USA', 'global_code': '849W7589+R3'}",3.6,ChIJoQl-jBgyjoARFi9JUkzOdsI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",268.0,"171 Branham Lane #7, San Jose",,1.0,{'open_now': True}
OPERATIONAL,"{'location': {'lat': 37.2930526, 'lng': -121.8341866}, 'viewport': {'northeast': {'lat': 37.2943184302915, 'lng': -121.8326618197085}, 'southwest': {'lat': 37.2916204697085, 'lng': -121.8353597802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jack in the Box,"[{'height': 1240, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106376655468137145820"">Hải Cao Minh</a>'], 'photo_reference': 'AW30NDzxWgjO5Ipr35-QSnkYS5lZr5B27jQV6NWNFkXciJzqUiD3sWD4PvYaaCAYjG7jcV1TnNUSXx7rdsTftCBNTSzY98FuAF1_m3vp56OAUvLEhmvtNUZJBsGi2TlanXlQb05zL9lYL7zgGtF8FRtShv01OQ16EVNjteMyc-mheCUS0SBW', 'width': 1656}]",ChIJqfdm410yjoARQDdU_1AMm40,"{'compound_code': '75V8+68 San Jose, CA, USA', 'global_code': '849W75V8+68'}",3.9,ChIJqfdm410yjoARQDdU_1AMm40,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",757.0,"611 East Capitol Expressway, San Jose",,1.0,{'open_now': True}
OPERATIONAL,"{'location': {'lat': 37.2786605, 'lng': -121.8346315}, 'viewport': {'northeast': {'lat': 37.2799894302915, 'lng': -121.8331668697085}, 'southwest': {'lat': 37.2772914697085, 'lng': -121.8358648302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Lee's Sandwiches,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113932505514336097927"">Lee&#39;s Sandwiches</a>'], 'photo_reference': 'AW30NDzCIxAzw8gOwtyHQPc7Exg3E-yKsz5UpQzfZEiVr1PTFpXvCKwMsrFtIbP9XADEbkaO0OJ58_vd0xtFgJI2mvr1NPRY0Nzwt5Htx8WyNUCZL22Jwe3knZxpuDjU6rWDNycvsNwDuFSNjCOFYn2LjSbXZioqHketMbYSmN9ZA8cD8OnC', 'width': 3024}]",ChIJX8SQe0AyjoAR6XCpVWcnd8Q,"{'compound_code': '75H8+F4 San Jose, CA, USA', 'global_code': '849W75H8+F4'}",3.9,ChIJX8SQe0AyjoAR6XCpVWcnd8Q,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",222.0,"4060 Monterey Highway, San Jose",,1.0,{'open_now': True}
OPERATIONAL,"{'location': {'lat': 37.2855847, 'lng': -121.842561}, 'viewport': {'northeast': {'lat': 37.2867396302915, 'lng': -121.8411809197085}, 'southwest': {'lat': 37.28404166970851, 'lng': -121.8438788802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Southern Kitchen,"[{'height': 3672, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117995335416437278187"">Joe G</a>'], 'photo_reference': 'AW30NDwqnqJbOwosxltkluFMtN6QqtiHSMfurgmSjNCoXvmOKw-bQ93hfAvKCc8Fi3pBwbCy7YDuJgRikBWcCIQ7qpMn0kzD4xtx35ari9RaFrJuCr2IUBxjAa3y0iHVM-mu7V3q2oNCAIrLkBRBmGyG7EvBwz-rwlE6nienZPB4nQxW7hiE', 'width': 4896}]",ChIJxxMq1kQyjoARMCDaBBm5O5E,"{'compound_code': '75P4+6X San Jose, CA, USA', 'global_code': '849W75P4+6X'}",4.4,ChIJxxMq1kQyjoARMCDaBBm5O5E,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",874.0,"3378 Monterey Highway, San Jose",,1.0,{'open_now': False}
OPERATIONAL,"{'location': {'lat': 37.300169, 'lng': -121.821948}, 'viewport': {'northeast': {'lat': 37.30148143029149, 'lng': -121.8206568697085}, 'southwest': {'lat': 37.2987834697085, 'lng': -121.8233548302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109425833457372260850"">Steve S.</a>'], 'photo_reference': 'AW30NDzARKCwpmDWaaWgnuUrD_57dKU7GBiKqeefkKdo3LJ_9GuTBPmDEHBV7rUFQTZEkjQ-yAQYaPMM53sWzBUKYkPNzJCeDfbhOTyl2Fggx5uDc4n4CdHj5pauhPz6qRmWMZQ7ZR-uKqYhLEHpK1xo0g7HQLMn0OjuzKoU0htoZuOgclHs', 'width': 4032}]",ChIJs3pOMn0yjoARUTPi_65odM4,"{'compound_code': '852H+36 San Jose, CA, USA', 'global_code': '849W852H+36'}",4.2,ChIJs3pOMn0yjoARUTPi_65odM4,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",411.0,"Gould Plaza, 1041 East Capitol Expressway, San Jose",,2.0,{'open_now': True}
