business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 37.579933, 'lng': -122.347116}, 'viewport': {'northeast': {'lat': 37.58124893029149, 'lng': -122.3456721697085}, 'southwest': {'lat': 37.57855096970849, 'lng': -122.3483701302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Il Fornaio Burlingame,{'open_now': True},"[{'height': 1304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113993062242972751699"">Il Fornaio Burlingame</a>'], 'photo_reference': 'AW30NDx29xlmGR-2ae1jpg7JKiNwz3W6JFqIkBVUCnEiMDcrTPFfF9vRm3dDPT7AF177g027oONz5SvZDOYXJkiXdNvY-r3iXA6JCoV8XExrXqmRT0DPh8HNI6gM1ubT-faJEkVzDYQZu1Hnyw_IH22VioR0czRHHwtzUCpdb7Md9ngc01Wq', 'width': 1684}]",ChIJxyMCLPKdj4ARCOZkwvPLG1c,"{'compound_code': 'HMH3+X5 Burlingame, CA, USA', 'global_code': '849VHMH3+X5'}",2.0,4.2,ChIJxyMCLPKdj4ARCOZkwvPLG1c,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",952.0,"327 Lorton Avenue, Burlingame",
OPERATIONAL,"{'location': {'lat': 37.591771, 'lng': -122.3429228}, 'viewport': {'northeast': {'lat': 37.5929913802915, 'lng': -122.3413753697085}, 'southwest': {'lat': 37.59029341970851, 'lng': -122.3440733302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,"Kincaid's Fish, Chop & Steakhouse",{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110305446444302148620"">ed marshall</a>'], 'photo_reference': 'AW30NDxbbsAFydj5iVHIcGfwY6kBe82iDMZOCRkAIiDf0fUKljoh5Dgg4rcSctP3GXr7twMGsy9WkFbj4-14Up7cVAWdKEuoh7L_FIYFJAzg3Fq9SUpSrArCI0ld2DUY_Aihb6-SuFCsnirznSsDstSqDx6UjUAQZIOHN3oIE2TSA9uY5kpd', 'width': 4032}]",ChIJwYo8l5Gdj4ARzYTiPg7X3JI,"{'compound_code': 'HMR4+PR Burlingame, CA, USA', 'global_code': '849VHMR4+PR'}",3.0,4.3,ChIJwYo8l5Gdj4ARzYTiPg7X3JI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1501.0,"60 Bayview Place, Burlingame",
OPERATIONAL,"{'location': {'lat': 37.5663339, 'lng': -122.3223532}, 'viewport': {'northeast': {'lat': 37.5674944302915, 'lng': -122.3212776197085}, 'southwest': {'lat': 37.5647964697085, 'lng': -122.3239755802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/movie_pinlet,Century 12 San Mateo,,"[{'height': 2500, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111383913900870229200"">Lawrence Marcus</a>'], 'photo_reference': 'AW30NDwqROxhsF8I4yEFmM2oSXf3t8POptN7g97WOe02BUBHANuVFXw8M0rX3J8zypWnVKVaONSdSLXmOlmzyCe9GL7pntf5u1TfCMp2DoorGWLN67Ij2EOFFBnpIuF6NrQkbi-ZmBp-TjWszoAlbErKT1g5F_nt9wCb4IhcHs97KDPcFfwF', 'width': 2268}]",ChIJd3dEm3Cej4ARl8USef836uE,"{'compound_code': 'HM8H+G3 San Mateo, CA, USA', 'global_code': '849VHM8H+G3'}",,4.3,ChIJd3dEm3Cej4ARl8USef836uE,GOOGLE,"['movie_theater', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1702.0,"320 2nd Avenue, San Mateo",
OPERATIONAL,"{'location': {'lat': 37.5383381, 'lng': -122.3006898}, 'viewport': {'northeast': {'lat': 37.53969353029149, 'lng': -122.2995395697085}, 'southwest': {'lat': 37.5369955697085, 'lng': -122.3022375302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Paul Martin's America,{'open_now': True},"[{'height': 858, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116850856855345544544"">Paul Martin&#39;s America</a>'], 'photo_reference': 'AW30NDzkvZpjRApOCSnEOoupkJZbIX8Hq-EKxBb5w15ZbisL3GzcMPJT3RtbD-SumT1KanuhBRyzjUrw8AnEpRkTJmAlszNJhyS6iWwM9bSnTk5Kadgi04mRsj9SaLZ2vQOFHznkU2tGfueJOLavfJzFgka55XPdt40z78xOSyX7TiXVTCR3', 'width': 1287}]",ChIJWV4bIgOfj4AR8nlVhuFMcT4,"{'compound_code': 'GMQX+8P San Mateo, CA, USA', 'global_code': '849VGMQX+8P'}",2.0,4.1,ChIJWV4bIgOfj4AR8nlVhuFMcT4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",734.0,"101 Hillsdale Shopping Ctr, San Mateo",
OPERATIONAL,"{'location': {'lat': 37.5802157, 'lng': -122.3469846}, 'viewport': {'northeast': {'lat': 37.5815714302915, 'lng': -122.3456885697085}, 'southwest': {'lat': 37.5788734697085, 'lng': -122.3483865302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Stacks,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109369311079204619825"">JuzJS</a>'], 'photo_reference': 'AW30NDwmXZNqQCBnTyfZEDTDMdD-SbOijDU-iBcaYz2UsoN5sFrMFtZdEV9GfNACREet0uvHU2_SlaTmBDAtbbZevLG7kRnhNGbmuF7vZVt02gKDiLiXv_p1yDMK-OeOiSim6R_pqIoT5yVf5bes1xlwklRGCmNEsAHn-s4LWuJQqidcjkRF', 'width': 3024}]",ChIJj2pBJfKdj4AR4qXVqaOjAJY,"{'compound_code': 'HMJ3+36 Burlingame, CA, USA', 'global_code': '849VHMJ3+36'}",2.0,4.3,ChIJj2pBJfKdj4AR4qXVqaOjAJY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1074.0,"361 California Drive, Burlingame",
OPERATIONAL,"{'location': {'lat': 37.5621709, 'lng': -122.3185678}, 'viewport': {'northeast': {'lat': 37.5635351302915, 'lng': -122.3173074697085}, 'southwest': {'lat': 37.5608371697085, 'lng': -122.3200054302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Ramen Dojo,{'open_now': True},"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100086306809140991840"">Menn</a>'], 'photo_reference': 'AW30NDzNMQGzYK-HMYo5AIXuJMFlXw-ibq7T0LNxn5DBfnNjqnH5boMCO1lFjBmJU94kVHprv1tdyPa6cmGrXqwkoRdXYFFhgc3FQfC-B69B_s8omNuW1ka-kWyHDqBkybR7AHlpW16qOL9URm5U9nhN7vigs_3-6jlSDeiQU75fVFEBFObS', 'width': 4096}]",ChIJe_K0-WSej4ARodOC4dXyLbI,"{'compound_code': 'HM6J+VH San Mateo, CA, USA', 'global_code': '849VHM6J+VH'}",2.0,4.4,ChIJe_K0-WSej4ARodOC4dXyLbI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1200.0,"805 South B Street, San Mateo",
OPERATIONAL,"{'location': {'lat': 37.56086120000001, 'lng': -122.282872}, 'viewport': {'northeast': {'lat': 37.5621873802915, 'lng': -122.2816082197085}, 'southwest': {'lat': 37.55948941970851, 'lng': -122.2843061802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,BJ's Restaurant & Brewhouse,{'open_now': True},"[{'height': 480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101144639025146720863"">BJ&#39;s Restaurant &amp; Brewhouse</a>'], 'photo_reference': 'AW30NDz1WxjZONNcg05Po0Yg4XBMpvrcWH2A_eQvBIcNDYKoLZsoaujeFx3JDnSwToNkZr17mH7u-ZkBhI6CIOb3t6bUMTulUM6gHzy2barX4Y30unmMz7ojJaSmlKuwpSuj-3ZuPZcWo84QRQRTsx0Ey_mITiFlz_G60eF1s-cgIdzSg6d_', 'width': 640}]",ChIJv_7wm8Oej4ARzflirOTE7qc,"{'compound_code': 'HP68+8V San Mateo, CA, USA', 'global_code': '849VHP68+8V'}",2.0,3.9,ChIJv_7wm8Oej4ARzflirOTE7qc,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1316.0,"2206 Bridgepointe Parkway, San Mateo",
OPERATIONAL,"{'location': {'lat': 37.56229860000001, 'lng': -122.3192993}, 'viewport': {'northeast': {'lat': 37.56374733029151, 'lng': -122.3178599197085}, 'southwest': {'lat': 37.56104936970851, 'lng': -122.3205578802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Espetus San Mateo,{'open_now': True},"[{'height': 663, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100253272988672655886"">Espetus San Mateo</a>'], 'photo_reference': 'AW30NDxiNexVXmIjYrf1WlPmHCH2M5jBJ-QqrUKBdjeCDDmM3QeIfMN0iH2lq8pintJg9kxne3YHFUi0Rnut2spDEe3TrVHb6MIpg9wx83YjR6WEsqJs1JDu60q6zgPbwIglV8_1LA5ECZtN6u4COPbwxUs8Xu6wFt91wkr0Mo60DIZsxgZV', 'width': 1010}]",ChIJHQ-1AmWej4AR1QryXVCTOi8,"{'compound_code': 'HM6J+W7 San Mateo, CA, USA', 'global_code': '849VHM6J+W7'}",3.0,4.6,ChIJHQ-1AmWej4AR1QryXVCTOi8,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1976.0,"710 South B Street, San Mateo",
OPERATIONAL,"{'location': {'lat': 37.5898625, 'lng': -122.349908}, 'viewport': {'northeast': {'lat': 37.59131053029149, 'lng': -122.3485703697085}, 'southwest': {'lat': 37.58861256970849, 'lng': -122.3512683302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Leann’s Cafe,{'open_now': True},"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105477920749685413272"">Leann’s Cafe</a>'], 'photo_reference': 'AW30NDzIqKpZgH3V7Ze9Z7fHPb6LER4Rq8eAHP1cfgfJ8FJ9C2zpJVDch0tOVo6ira0cI2_oHZ3KgqyEdFfiPYi6GLu0_pr7Fbit5tIdOt5tTxl8l5WHDP9WoxtADQG9C_KZBEmopYovcBLcgAVGiCaK9Xv2Jq1GwbLtQ9DLpYOkmjfbFrQP', 'width': 1800}]",ChIJPf9ixI6dj4ARafzLjvB5kxs,"{'compound_code': 'HMQ2+W2 Burlingame, CA, USA', 'global_code': '849VHMQ2+W2'}",1.0,4.3,ChIJPf9ixI6dj4ARafzLjvB5kxs,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",1111.0,"777 Airport Boulevard, Burlingame",
OPERATIONAL,"{'location': {'lat': 37.5797044, 'lng': -122.3456551}, 'viewport': {'northeast': {'lat': 37.5810091802915, 'lng': -122.3442664697085}, 'southwest': {'lat': 37.5783112197085, 'lng': -122.3469644302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Flights Restaurant By Alex Hult - Burlingame,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105536843127229431886"">Brendan</a>'], 'photo_reference': 'AW30NDwuwchI8_bZ_nsQYmzMOWevLie-FTw-IKqo4AFnB3t761g8iISwRtTHUfBYIgqnB-1OGhazCf30E5J7kwmhpQm6RrBYbbaNcKqSURxDEujxOFvRV2YbgM5VfkyWOw4Npyp3HQdC5JMsrxqw_RO7eDGG7q-yEq7KsQpVqEmLo7kfqCdJ', 'width': 4032}]",ChIJz_ye9vGdj4ARoBGsAmTo-ys,"{'compound_code': 'HMH3+VP Burlingame, CA, USA', 'global_code': '849VHMH3+VP'}",3.0,4.0,ChIJz_ye9vGdj4ARoBGsAmTo-ys,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",563.0,"1100 Burlingame Avenue, Burlingame",
