business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.9244523, 'lng': -84.33540819999999}, 'viewport': {'northeast': {'lat': 33.9258235802915, 'lng': -84.3345939697085}, 'southwest': {'lat': 33.9231256197085, 'lng': -84.3372919302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,McKendrick's Steak House,{'open_now': False},"[{'height': 1000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111323222647938655415"">McKendrick&#39;s Steak House</a>'], 'photo_reference': 'AW30NDwRrFElsodMOFFKmQexUqXDIJ1Pd0ol_CWjFk1IR83On7qCZ_X7joCde6gKhqsu89DkXmkRd_QfYN9-mec0gsfrsGNUT08fMqlHG30Yc21zmNGedNNWhzwoUA9MjTlkN0so64XhaF8oCQHjw6vhjkkuRvfUuqJBHJcszwrd777zMIim', 'width': 1500}]",ChIJaY3FGl0J9YgRxyARFrvjqAM,"{'compound_code': 'WMF7+QR Atlanta, GA, USA', 'global_code': '865QWMF7+QR'}",4.0,4.4,ChIJaY3FGl0J9YgRxyARFrvjqAM,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",761.0,"4505 Ashford Dunwoody Road, Atlanta",
OPERATIONAL,"{'location': {'lat': 33.9230099, 'lng': -84.3400709}, 'viewport': {'northeast': {'lat': 33.92423693029149, 'lng': -84.3386261197085}, 'southwest': {'lat': 33.92153896970849, 'lng': -84.3413240802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Maggiano's Little Italy,{'open_now': True},"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108928653049068058708"">Odette Bui</a>'], 'photo_reference': 'AW30NDyrjPNl10etOkAfNQPvHNRukUYlaX4Ztx3f9GYdXdyPdWzlIso5hDkYNnF2Q_Onpivl4_9cQC9bM7g1Rvjj7jnE0RQHTTgoLX5qDdvZKA-OrAN7dYMX2sv9LmRfMiH_BQPB4F8BBH_jLXM3tyycdpMbmKwNhkCQnouqmJMlme5jZePa', 'width': 4640}]",ChIJiSZb4EQJ9YgRdXDLuRbHSGk,"{'compound_code': 'WMF5+6X Dunwoody, GA, USA', 'global_code': '865QWMF5+6X'}",2.0,4.3,ChIJiSZb4EQJ9YgRdXDLuRbHSGk,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3472.0,"4400 Ashford Dunwoody Road Space #3035, Dunwoody",
OPERATIONAL,"{'location': {'lat': 33.9250129, 'lng': -84.3351718}, 'viewport': {'northeast': {'lat': 33.9263771802915, 'lng': -84.33370176970848}, 'southwest': {'lat': 33.9236792197085, 'lng': -84.33639973029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Eclipse di Luna,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102213009722084717810"">Shari Freeman</a>'], 'photo_reference': 'AW30NDx5f7zY8qXocJJfT8Zp-v6e-5pispHNX-F5dBiaPaaUPcJ48EgnmqprVYPBpGKXQw9gCCFGpiF4KUxWNFNfMCpE9F0aaMVPFE-7tpt8mmWbTE7CJHN_hVvZs0JJF1qWY5dcyz70SIf8KaCgL6DayM2Dde-P0T73UvjmlHNmxsgh01t_', 'width': 3024}]",ChIJaY3FGl0J9YgRYugC_nLgVA8,"{'compound_code': 'WMG7+2W Atlanta, GA, USA', 'global_code': '865QWMG7+2W'}",2.0,4.4,ChIJaY3FGl0J9YgRYugC_nLgVA8,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2385.0,"4505 Ashford Dunwoody Road Northeast, Atlanta",
OPERATIONAL,"{'location': {'lat': 33.9265095, 'lng': -84.33982089999999}, 'viewport': {'northeast': {'lat': 33.9276974302915, 'lng': -84.3385313197085}, 'southwest': {'lat': 33.9249994697085, 'lng': -84.3412292802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Seasons 52,{'open_now': True},"[{'height': 2372, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112864043523322650021"">Lost Traveler</a>'], 'photo_reference': 'AW30NDyFbR21DK_vEt_S8fTKYyThZgGuO2mSS9UZLROg6BpugTsNdRDu3f3FzDzJfoyFnmZsMhRP-t2smrUPFNPEsgx0hrEYk2mXvwVPHjlktBbSmxbQIpWXgnz_NdDM_yIiHHYpFIoYvT7vRza1aERbhNa5WwH-6lBhQito4tKPqy6ojPDu', 'width': 4032}]",ChIJU4wNmFsJ9YgRirvK9ICqlJE,"{'compound_code': 'WMG6+J3 Dunwoody, GA, USA', 'global_code': '865QWMG6+J3'}",2.0,4.5,ChIJU4wNmFsJ9YgRirvK9ICqlJE,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2830.0,"90 Perimeter Center West, Dunwoody",
OPERATIONAL,"{'location': {'lat': 33.9242698, 'lng': -84.33930989999999}, 'viewport': {'northeast': {'lat': 33.9256443802915, 'lng': -84.3377966197085}, 'southwest': {'lat': 33.9229464197085, 'lng': -84.3404945802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Cheesecake Factory,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108410462194320144607"">David Solots</a>'], 'photo_reference': 'AW30NDzevziDxDIJ-hoP_H73XT0v7d-f-JSSBP5ZX0hS8nUv_t6mtDi4-2RQXLbzeKPeEzUWltWk-IU_D-zV51MJ0teStxcMCdLkHdTxmOWuhXEiEiHG66I9uDyBdBck3DjsfGtQDcj5I2r8hb79vzMEdSEFaimgSdDQPmg6leAC72x6t_mE', 'width': 4032}]",ChIJpbwRpEQJ9YgRVM5WSx1ZBos,"{'compound_code': 'WMF6+P7 Atlanta, GA, USA', 'global_code': '865QWMF6+P7'}",2.0,4.1,ChIJpbwRpEQJ9YgRVM5WSx1ZBos,GOOGLE,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",4528.0,"4400 Ashford Dunwoody Road, Atlanta",
OPERATIONAL,"{'location': {'lat': 33.9375688, 'lng': -84.3791177}, 'viewport': {'northeast': {'lat': 33.93897793029149, 'lng': -84.3777962697085}, 'southwest': {'lat': 33.9362799697085, 'lng': -84.3804942302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Nori Nori,{'open_now': False},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108086537957026297444"">Paul B</a>'], 'photo_reference': 'AW30NDxWc7q3jsB1A_0ceXXxOaW7zqvR8uYxQo2P8PGcFu5ojbhpmAnf6G69hgZgam09tVX-Ed6DavRRPTMtAD_k6pniF4rce-7bCQxohHDYWVjrxu-w_nwhDDLxBLKtFfYfBYDSMSdllOMoPlKo3-ILCLIsNTHXBbnBrfZaRvDpzjNZkF48', 'width': 4032}]",ChIJ_9I6iyAM9YgROh8a4QBTKmY,"{'compound_code': 'WJQC+29 Sandy Springs, GA, USA', 'global_code': '865QWJQC+29'}",3.0,4.2,ChIJ_9I6iyAM9YgROh8a4QBTKmY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2490.0,"6690 Roswell Road Suite 2110, Sandy Springs",
OPERATIONAL,"{'location': {'lat': 33.9257031, 'lng': -84.34414}, 'viewport': {'northeast': {'lat': 33.9271822802915, 'lng': -84.34283986970848}, 'southwest': {'lat': 33.9244843197085, 'lng': -84.34553783029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chuy's,{'open_now': False},"[{'height': 6936, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114089595457191693662"">Brandon Tackett (SrBrand04)</a>'], 'photo_reference': 'AW30NDyoDHEMr1nPkhlUO8gG7K7m8YpdPhcUGjs6SFJv21bYXwwg14-huHDD9-rO1qS1dc2xjoTb8pjbF05tV7aetRHFPN1Tr7LEZjDqxx1jjAXm7iDCaV0X6JHmIJlefVzy5sa0wu40b1RBLMXysKilAOpTJdndIyX_AyPxnyaImbxjYJ8m', 'width': 9248}]",ChIJs_SxAlsJ9YgRc5Wbne1aywQ,"{'compound_code': 'WMG4+78 Atlanta, GA, USA', 'global_code': '865QWMG4+78'}",2.0,4.2,ChIJs_SxAlsJ9YgRc5Wbne1aywQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1921.0,"118 Perimeter Center West, Atlanta",
CLOSED_TEMPORARILY,"{'location': {'lat': 33.9239816, 'lng': -84.3407976}, 'viewport': {'northeast': {'lat': 33.9256612302915, 'lng': -84.3398292197085}, 'southwest': {'lat': 33.9229632697085, 'lng': -84.34252718029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Häagen-Dazs,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110673254084194933491"">Ryan Vaughn Morris</a>'], 'photo_reference': 'AW30NDyKHIOliexXLvJppEyfrI0XjxqlenGpaY6QfmQ8A4thhHVcihJzJlBhWyqmK3r_5CbHeDGSw1ijC_2zBgP_rNwga5Cy2QVg16XUVAY3RqqRRbs3LzcONeIWt-0h-6ir0gDeUKD3t8NK0HR8FKKxCy__3baiJBP9al1Xyi3ESp2h5mzv', 'width': 4032}]",ChIJiSZb4EQJ9YgRpC-uD-wWweY,"{'compound_code': 'WMF5+HM Atlanta, GA, USA', 'global_code': '865QWMF5+HM'}",2.0,2.8,ChIJiSZb4EQJ9YgRpC-uD-wWweY,GOOGLE,"['restaurant', 'food', 'store', 'point_of_interest', 'establishment']",39.0,"4400 Ashford Dunwoody Road #1670, Atlanta",True
OPERATIONAL,"{'location': {'lat': 33.93437619999999, 'lng': -84.3523975}, 'viewport': {'northeast': {'lat': 33.9355549802915, 'lng': -84.3513710197085}, 'southwest': {'lat': 33.9328570197085, 'lng': -84.3540689802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Paris Bistro,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118435313468325394633"">Adam Slide</a>'], 'photo_reference': 'AW30NDzHJL3R85eXrEv9EN4rWAR_zhU03Z0zr-DdP6rpf3Y12CyZ-1MypGEYMwLGhKVhwsP74MxHgwQAK6OXfzY4osdXJtcExFQsvMojJfuhgAnp8ZCqixRagqlJZZfADHSieqFAaLAOxuEoOp87CPdgvuyZwROL6tGjPdWwGETLnkl2EdmH', 'width': 4032}]",ChIJ9XqhZ1UJ9YgREbZT9akd8bA,"{'compound_code': 'WJMX+Q2 Atlanta, GA, USA', 'global_code': '865QWJMX+Q2'}",,5.0,ChIJ9XqhZ1UJ9YgREbZT9akd8bA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,"1100 Abernathy Road Northeast # 340, Atlanta",
OPERATIONAL,"{'location': {'lat': 33.9237999, 'lng': -84.3411489}, 'viewport': {'northeast': {'lat': 33.9255875802915, 'lng': -84.34001741970849}, 'southwest': {'lat': 33.9228896197085, 'lng': -84.3427153802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chipotle Mexican Grill,{'open_now': False},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106763971725268736521"">ATL_LATIN_GURL</a>'], 'photo_reference': 'AW30NDyu1V80Doqq3mRlTPX8aQPFkxuqIDs3zRuIyPZWXq6oW_gmWj9qEJ3yfQOJboumevk_mF5bTPPa9hb-9k6TTCyT1jda3f4a2ebgWIvLBHh8Ed1kMHyLQKjtTHm22sZpXWsOkgmHurjPHoYLJKTvg55Vv6Ir5IGmmZeeB5SjM0lSeiL7', 'width': 3120}]",ChIJP6i6NFsJ9YgR7TE-0earObY,"{'compound_code': 'WMF5+GG Atlanta, GA, USA', 'global_code': '865QWMF5+GG'}",1.0,3.9,ChIJP6i6NFsJ9YgR7TE-0earObY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",588.0,"4400 Ashford Dunwoody Road Northeast Ste 1385, Atlanta",
