business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.7478189, 'lng': -117.8657384}, 'viewport': {'northeast': {'lat': 33.7492649802915, 'lng': -117.8643471697085}, 'southwest': {'lat': 33.7465670197085, 'lng': -117.8670451302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Detention DTSA,{'open_now': False},"[{'height': 4158, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112468534046539384913"">Detention DTSA</a>'], 'photo_reference': 'AW30NDwfjXogp1kaYYuSBdajUig6KdYscHajs0e6iySMd3aoV2x5YqmoKBW8gWRD-YHhMJ5RK8FKvzncBWiIoE-SS5nv9cnqM3GHyP6khKed5BULTo8Dn8l95XQA0-iE52Kd3P2SPrjccmfCIavwvvRqucWGXyBUMyj-mgTOOrVGLQVryKBq', 'width': 6237}]",ChIJBdybfQjZ3IAR2LQv9pS1ySw,"{'compound_code': 'P4XM+4P Santa Ana, CA, USA', 'global_code': '8554P4XM+4P'}",3.0,4.7,ChIJBdybfQjZ3IAR2LQv9pS1ySw,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1049.0,"220 East 4th Street #102, Santa Ana",
OPERATIONAL,"{'location': {'lat': 33.728032, 'lng': -117.885674}, 'viewport': {'northeast': {'lat': 33.72929788029149, 'lng': -117.8843516197085}, 'southwest': {'lat': 33.72659991970849, 'lng': -117.8870495802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111474775075782425337"">jose alberto garcia nava</a>'], 'photo_reference': 'AW30NDw5hO4XhRh1GkhMTPZP9bS8kTx4jX3JVvcEMlOfllOFgC5FL1WXSVdQQ7L_6M1t9F93Kpc47VcqbSXFu9SvuRhpMuVsXzFWH1syPEO_caSoum98cPJijHAmwseUNy5J-9-G_RzkPThw0kNCZYrNNWSkAgISgQX0rJf45tydfePwb5v_', 'width': 4160}]",ChIJdYbI5ubY3IARnGQGFcsb9jU,"{'compound_code': 'P4H7+6P Santa Ana, CA, USA', 'global_code': '8554P4H7+6P'}",1.0,3.7,ChIJdYbI5ubY3IARnGQGFcsb9jU,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",480.0,"1442 South Bristol Street #2-C, Santa Ana",
OPERATIONAL,"{'location': {'lat': 33.7523387, 'lng': -117.88478}, 'viewport': {'northeast': {'lat': 33.7537680802915, 'lng': -117.8834696197085}, 'southwest': {'lat': 33.7510701197085, 'lng': -117.8861675802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,In-N-Out Burger,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114469118395545767440"">Patanan Ariyakornwijit</a>'], 'photo_reference': 'AW30NDw-G0GriWoLkMtgMR2oHpCDtm7KLPRAIpGH1t0BCCJstvKdMHaF-_MmZVn_Fp8TVUr94slM4rqToPc7ZpbNamYKL5AW563augCFlvlwk7A96Wmqg1qgYPlfvi5O9fZwlfJ2GAsrFBL7rAtkfqyPMBcYNgce7ovu-FCNBLR2q9sai9dA', 'width': 5312}]",ChIJq36OaFHY3IAR5CZEGINYI90,"{'compound_code': 'Q428+W3 Santa Ana, CA, USA', 'global_code': '8554Q428+W3'}",1.0,4.6,ChIJq36OaFHY3IAR5CZEGINYI90,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3169.0,"815 North Bristol Street, Santa Ana",
OPERATIONAL,"{'location': {'lat': 33.7470005, 'lng': -117.8699776}, 'viewport': {'northeast': {'lat': 33.7484112802915, 'lng': -117.8685951197085}, 'southwest': {'lat': 33.7457133197085, 'lng': -117.8712930802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 5304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114575108400569415806"">Subway</a>'], 'photo_reference': 'AW30NDyUS3Eym9oVNwsd42oDsSbBPyt7OyuaR02MkGwYtspFxlXMvC0WUPwZsJ5h_ocArjtVVHkdo0RNVM1RMeBTiGat1-JVcrtJTEZ5eJmYJWo3jjPH6k3zZ3ApcW6vwBGgP-boZ4-UCn3ComAAcPZRr6n6-dmbjkg0IebAwryi_QPjZJkY', 'width': 7952}]",ChIJcaCNAwfZ3IARyHsJB4lMDvQ,"{'compound_code': 'P4WJ+R2 Santa Ana, CA, USA', 'global_code': '8554P4WJ+R2'}",1.0,3.7,ChIJcaCNAwfZ3IARyHsJB4lMDvQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",117.0,"220 North Broadway, Santa Ana",
OPERATIONAL,"{'location': {'lat': 33.7470313, 'lng': -117.8695634}, 'viewport': {'northeast': {'lat': 33.7484268302915, 'lng': -117.8681312697085}, 'southwest': {'lat': 33.7457288697085, 'lng': -117.8708292302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chapter One: the modern local,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110791899518115443799"">Matthew Prunty</a>'], 'photo_reference': 'AW30NDw2O9ZzazU4l0B0bRXaKs4-KAEh48VMxi_RvbJ4r5-h5V3oZ-uO7TOSken1-DiVpLOISofuZwHq-cOS2Bbkue8DR6RQp9kW8hLqjRS3K-KvK_G9o7095liu-MZ9r-Q9jFbMcL8MbVNmoBdCB0KHroYlvPm2N7zv1LddkoErj3kwT9yu', 'width': 4032}]",ChIJ8Yc-AQfZ3IARM0SyP60V-S0,"{'compound_code': 'P4WJ+R5 Santa Ana, CA, USA', 'global_code': '8554P4WJ+R5'}",2.0,4.5,ChIJ8Yc-AQfZ3IARM0SyP60V-S0,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",966.0,"227 North Broadway, Santa Ana",
OPERATIONAL,"{'location': {'lat': 33.7450315, 'lng': -117.8871474}, 'viewport': {'northeast': {'lat': 33.7464872302915, 'lng': -117.8857434197085}, 'southwest': {'lat': 33.7437892697085, 'lng': -117.8884413802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,El Toro Carniceria,{'open_now': True},"[{'height': 2720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109724135149428300946"">El Toro Carniceria</a>'], 'photo_reference': 'AW30NDx_hr7EQnMJUQgxcG3BSjk-BVTZPusnLtG_p7U_2AKlbdi81dR9J3YqfwvXovOZD5k55GqHozz_iYo3W_Oyz7H4tQIuAOBFX4LB-AixWcnpvNz8lfkTi5fXw3pT6E_EXjNKy9pR7tzkivoSk6Dn6lhOwWM6MRk3Ye0rEaNiYadBVekL', 'width': 4080}]",ChIJMVd91FfY3IAR_yW_cEB-Qfw,"{'compound_code': 'P4W7+24 Santa Ana, CA, USA', 'global_code': '8554P4W7+24'}",1.0,4.3,ChIJMVd91FfY3IAR_yW_cEB-Qfw,GOOGLE,"['supermarket', 'grocery_or_supermarket', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",1327.0,"1340 West 1st Street, Santa Ana",
OPERATIONAL,"{'location': {'lat': 33.7279793, 'lng': -117.8856044}, 'viewport': {'northeast': {'lat': 33.7292715802915, 'lng': -117.8841987697085}, 'southwest': {'lat': 33.7265736197085, 'lng': -117.8868967302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 999, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106820387911553202036"">Subway</a>'], 'photo_reference': 'AW30NDwszqX8px-2TMxJ4PSB-cUylNOmvKUYInKIhiKSJ2bVdmX5F5dLtVfg86iGH21HnujGMBpzSpqEkvENaB_gsxqwwINEZPoT8Hfm7yeIPBGhrK1Zf4-mYyL4JsCF69uMLP-vZnkDh6ovlzL3qIthJUqEroUaO8F6XPDvKQeLu8gln-u3', 'width': 999}]",ChIJdYbI5ubY3IARU8dvcAlGj0k,"{'compound_code': 'P4H7+5Q Santa Ana, CA, USA', 'global_code': '8554P4H7+5Q'}",1.0,4.0,ChIJdYbI5ubY3IARU8dvcAlGj0k,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",77.0,"1442 South Bristol Street Suite 2-D, Santa Ana",
OPERATIONAL,"{'location': {'lat': 33.746151, 'lng': -117.869461}, 'viewport': {'northeast': {'lat': 33.7475665802915, 'lng': -117.8678436197085}, 'southwest': {'lat': 33.7448686197085, 'lng': -117.8705415802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Den Cafe,{'open_now': False},"[{'height': 2400, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113798179314809004882"">Den Cafe</a>'], 'photo_reference': 'AW30NDzufzYZTVd04FycLDarFmyluiiF1JaLJCKlL8ab2l4tSXYn5I0dFJ1zsNHc0v-XjkW4emgtekOGrO6DvX7mFPGy7kOUcSV38Rxn8CgeXTvuZ2_4maiZJdFybNrcb6wTBkO9h65FukajHppwdkCwxnjEmtgE8_NEk5X-DN92jgbx7mA5', 'width': 3600}]",ChIJGcXo-QbZ3IARdf0EDWH2UOo,"{'compound_code': 'P4WJ+F6 Santa Ana, CA, USA', 'global_code': '8554P4WJ+F6'}",2.0,4.4,ChIJGcXo-QbZ3IARdf0EDWH2UOo,GOOGLE,"['cafe', 'bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",414.0,"125 North Broadway D, Santa Ana",
OPERATIONAL,"{'location': {'lat': 33.7275532, 'lng': -117.9048037}, 'viewport': {'northeast': {'lat': 33.72903013029151, 'lng': -117.9035298697085}, 'southwest': {'lat': 33.72633216970851, 'lng': -117.9062278302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105518653819686420573"">Bob Grewal</a>'], 'photo_reference': 'AW30NDy85x4tXOSlhD7UmDL0OpHjlX8K2kIVJrIbX1lUI_cFZ5rRCQ9vSAuCKZv-6zXrKdtNJFAiEAzN5Fgx4mvpgMjo4Ht4dnSzMA1e0Z8tX1_NW-xXbfP2TulPKYK9k65Qz7MZdIcMcHJjLn1fedAuG5WqRcf3k6lkPFDkxS-Mh-IZofun', 'width': 4032}]",ChIJE_yQrpPY3IARRUXjyF_FuBQ,"{'compound_code': 'P3HW+23 Santa Ana, CA, USA', 'global_code': '8554P3HW+23'}",1.0,4.1,ChIJE_yQrpPY3IARRUXjyF_FuBQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",114.0,"2633 West Edinger Avenue Suite 200, Santa Ana",
OPERATIONAL,"{'location': {'lat': 33.7477834, 'lng': -117.8713034}, 'viewport': {'northeast': {'lat': 33.7492351302915, 'lng': -117.8699559697085}, 'southwest': {'lat': 33.7465371697085, 'lng': -117.8726539302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Crave Restaurant Downtown Santa Ana,{'open_now': False},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107894392457055017197"">Dao Pham</a>'], 'photo_reference': 'AW30NDwYx96l4ngTrcJDiUQno7jy24Lb7ao_ud_-LfQwiTn8vKPrcS4D7a-QbEWt3s3L2rJbiuCP1elTAA2RYCarLa0JpdIog50gzt01-rb_xZrPxBjYeegz2X__5YtBC1ADYlPBgP2nZirTgwIqazflarIBE20tW8JjOSrtNM0DURzBlqMt', 'width': 1700}]",ChIJl4l6RgfZ3IARIOzwboYoRVI,"{'compound_code': 'P4XH+4F Santa Ana, CA, USA', 'global_code': '8554P4XH+4F'}",2.0,4.5,ChIJl4l6RgfZ3IARIOzwboYoRVI,GOOGLE,"['cafe', 'bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",561.0,"410 West 4th Street 2nd Floor, Santa Ana",
