business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 37.3723025, 'lng': -121.9806889}, 'viewport': {'northeast': {'lat': 37.37336468029149, 'lng': -121.9769619}, 'southwest': {'lat': 37.3706667197085, 'lng': -121.9823799}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"K1 Speed - Indoor Go Karts, Corporate Event Venue, Team Building Activities",{'open_now': True},"[{'height': 1152, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112703172833151897861"">K1 Speed - Indoor Go Karts, Corporate Event Venue, Team Building Activities</a>'], 'photo_reference': 'AW30NDxRE9mzWE5WCtpLDzkiuJsWZ3qnRvF2y7HpEKECCHLBfSAdaMlhQlU3AVR_D4YLE8pFej2JZtl2ejRzAootKKXbbbp4tHXUOTETSuueG24ZWrsXSXRFIwtN7DOjiTDXJsCKT37w_eboBPPvWSzridSQsDbMYiTXOYA8eXwbmK5TVgZP', 'width': 2048}]",ChIJ-x22mPfJj4AR6CpZ0t62ZG0,"{'compound_code': '92C9+WP Santa Clara, CA, USA', 'global_code': '849W92C9+WP'}",4.0,ChIJ-x22mPfJj4AR6CpZ0t62ZG0,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1774.0,"2925 Mead Avenue, Santa Clara",,
OPERATIONAL,"{'location': {'lat': 37.385473, 'lng': -121.9732193}, 'viewport': {'northeast': {'lat': 37.38700623029149, 'lng': -121.9715929697085}, 'southwest': {'lat': 37.38430826970849, 'lng': -121.9742909302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Birk's,{'open_now': True},"[{'height': 450, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103094255456523876300"">Birk&#39;s</a>'], 'photo_reference': 'AW30NDyFzISQ3jmv5hb6ReZWR4ykld7iA34e9lme1qS9pcoKN6m7_6hfCJmXUM47WePI4QxIfNu4hjG7U9vz9hnUvH8SFV6ASOkP2YqynydDOnSDvVVe7LAx8TyLV6vI0KwSX0Yt71lQ3eU49SvHLDg0jMdDHOj3hwxXd7ipoVv86yiFVn28', 'width': 605}]",ChIJvQ88PywYyUwR3Tcw8JMtTj4,"{'compound_code': '92PG+5P Santa Clara, CA, USA', 'global_code': '849W92PG+5P'}",4.5,ChIJvQ88PywYyUwR3Tcw8JMtTj4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1641.0,"3955 Freedom Circle, Santa Clara",3.0,
OPERATIONAL,"{'location': {'lat': 37.3849257, 'lng': -121.9708574}, 'viewport': {'northeast': {'lat': 37.38644533029151, 'lng': -121.9694653197085}, 'southwest': {'lat': 37.38374736970851, 'lng': -121.9721632802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pedro's Restaurant & Cantina,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103078230412999026522"">Danny Hsu</a>'], 'photo_reference': 'AW30NDxikvaKX4P4DtlU7UZWRweallgS1o9otntfgXT7IUOI7FHXKPVBt2b-7T8-BZatLLZo1BSfhPvPrlQgqPBLQSRsh3PPwAP2WG-qcExFfQY99PsA9u5UVoj3jvlolKHEUmXmtAsWaYxdKukdJ4u03ZN_1LykhvGVUM-TIMGjLpPO3lko', 'width': 4032}]",ChIJTZghkezJj4ARYiB5UzJzq7E,"{'compound_code': '92MH+XM Santa Clara, CA, USA', 'global_code': '849W92MH+XM'}",4.2,ChIJTZghkezJj4ARYiB5UzJzq7E,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3215.0,"3935 Freedom Circle, Santa Clara",2.0,
OPERATIONAL,"{'location': {'lat': 37.3530197, 'lng': -121.9757693}, 'viewport': {'northeast': {'lat': 37.35434323029151, 'lng': -121.9743709197085}, 'southwest': {'lat': 37.35164526970851, 'lng': -121.9770688802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Aappa Kadai,{'open_now': False},"[{'height': 768, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102209695784940868966"">Aappa Kadai</a>'], 'photo_reference': 'AW30NDxiJxJIPWZ4i_psJsg0jB4DW1TxT8oop_28uEGfxZoTjZB7XC09GmgRqp5cfjm0YOBMQp7mtQB5ncvdew93DfafOsl6h0OCVJhoviS_N_cygBWUVw9d2Aol5C-a5aBGZdqEwhQRIIlAtqTZRMuRHfqY5spL0ku8v-WcGWb8G53KYqoK', 'width': 1024}]",ChIJWzjJng3Kj4ARFB-Hm7aqyhc,"{'compound_code': '923F+6M Santa Clara, CA, USA', 'global_code': '849W923F+6M'}",4.0,ChIJWzjJng3Kj4ARFB-Hm7aqyhc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1311.0,"2725 El Camino Real suite 108, Santa Clara",2.0,
OPERATIONAL,"{'location': {'lat': 37.3514056, 'lng': -121.9554972}, 'viewport': {'northeast': {'lat': 37.3527807802915, 'lng': -121.9540804197085}, 'southwest': {'lat': 37.3500828197085, 'lng': -121.9567783802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Kabab & Curry's,{'open_now': False},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101640250984187878459"">Ali Rizvi</a>'], 'photo_reference': 'AW30NDzNdRZlMcKszAYcAj5huRfepsxd8twK6XFMZBkXUAlcQpXSbWV-CzYZtbFzeenwyA1tzBeJmcYsxYrBt60fBVwx5nVS8MFalMXvXKhSjjUaa90tXJrePh8hd61YJ_WIVq7zMGyBPOBVQOQFaI9sUTJktbxvp_Us_e5dHgoeNvCrlbNJ', 'width': 4608}]",ChIJldKH5E7Kj4ARkcMYli8OG3A,"{'compound_code': '922V+HR Santa Clara, CA, USA', 'global_code': '849W922V+HR'}",4.0,ChIJldKH5E7Kj4ARkcMYli8OG3A,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1284.0,"1498 Isabella Street, Santa Clara",2.0,
OPERATIONAL,"{'location': {'lat': 37.37646669999999, 'lng': -121.9564944}, 'viewport': {'northeast': {'lat': 37.3777807302915, 'lng': -121.9552623197085}, 'southwest': {'lat': 37.3750827697085, 'lng': -121.9579602802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Athena Grill & Catering,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103199096243800238100"">Athena Grill &amp; Catering</a>'], 'photo_reference': 'AW30NDyiV5zRb5zL3gaIiBfCTakr-bpidM1yhxtK4uTBdO1h_bwGPUWJp-2u8gqYW34k8Pf07ZJ3h6t_-ixq6ZVvwBYRYecvCjyI0WwYNkoykCJOafKrQV8Qh0BQukW50mO45MQPXl-pVDMwumZSGjltVhkl5NOiETLEZ2PFYe9bYyQFBzpf', 'width': 4032}]",ChIJH7hSMCjKj4ARGFgaleOZsZc,"{'compound_code': '92GV+HC Santa Clara, CA, USA', 'global_code': '849W92GV+HC'}",4.4,ChIJH7hSMCjKj4ARGFgaleOZsZc,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1672.0,"1505 Space Park Drive, Santa Clara",2.0,
OPERATIONAL,"{'location': {'lat': 37.3506087, 'lng': -121.9631028}, 'viewport': {'northeast': {'lat': 37.3519617302915, 'lng': -121.9616643197085}, 'southwest': {'lat': 37.3492637697085, 'lng': -121.9643622802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,China Stix,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115083002905389553678"">Sheri Lin</a>'], 'photo_reference': 'AW30NDwXpGh7h9Ckr22SNcRAAmyS8Y92RaGqjPFsgBWJFJDBmeheYJelF5CzQS036AH94Gg_yniuCXT06cIeEBITQMemJoJZafkU5fycVUb5gypMTDgOpKnf1iKR4P0kbFPWOZVUngrKr7RTV88FSpUSuF7drBJMc6QfmnK8vXLbbaAaApm9', 'width': 4032}]",ChIJ-aYoH0TKj4ARaLi-UmepzS0,"{'compound_code': '922P+6Q Santa Clara, CA, USA', 'global_code': '849W922P+6Q'}",4.3,ChIJ-aYoH0TKj4ARaLi-UmepzS0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",694.0,"2110 El Camino Real, Santa Clara",2.0,
OPERATIONAL,"{'location': {'lat': 37.3526713, 'lng': -121.9803301}, 'viewport': {'northeast': {'lat': 37.35399948029149, 'lng': -121.9789090197085}, 'southwest': {'lat': 37.3513015197085, 'lng': -121.9816069802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Paradise Biryani Pointe,{'open_now': True},"[{'height': 768, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101900058915859873542"">Paradise Biryani Pointe</a>'], 'photo_reference': 'AW30NDzKv5rgh7153vHR7rP8j2wIFZQEY0LNlvMfbMiyBn6djPZQCoW9vu1459NpB2ESST5OgacZSQl0MiFGutMiOWYMmsPQcitS4c4q-1tD_-c3Bg_rRsL0zAnkjWhafxWFTkyp1dSGbfp_oL--vMOrvMaJdd5QLLdPx0DnhF8Vl_xmiFsc', 'width': 1024}]",ChIJPxtpjRLKj4ARSyhz7b2g7X4,"{'compound_code': '9239+3V Santa Clara, CA, USA', 'global_code': '849W9239+3V'}",3.9,ChIJPxtpjRLKj4ARSyhz7b2g7X4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2631.0,"2961 East El Camino Real, Santa Clara",2.0,
OPERATIONAL,"{'location': {'lat': 37.35310279999999, 'lng': -121.9772556}, 'viewport': {'northeast': {'lat': 37.3543756802915, 'lng': -121.9758797197085}, 'southwest': {'lat': 37.3516777197085, 'lng': -121.9785776802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Sushi O Sushi Japanese Cuisine,{'open_now': True},"[{'height': 2275, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109849026903893201606"">Jayasimha Nuggehalli</a>'], 'photo_reference': 'AW30NDyBNlQEuOWs6ONqrQyt5IKqTW1kXegw5OMRHSluoDXJm4fKG9upkaF0b4iNkxxDP6Ps2NFrGxpLh3MKsKC87BGTxoHMvAGfGgsBiFLItEDD6LkpAkINJYuylrMxzpxOgKz9SLZldV4ODIwZsYeqFdx1Jr_TXdKOcJJp8JtqW7voM1PL', 'width': 3715}]",ChIJj5rFQBPKj4AR1IU4bKscQCs,"{'compound_code': '923F+63 Santa Clara, CA, USA', 'global_code': '849W923F+63'}",4.3,ChIJj5rFQBPKj4AR1IU4bKscQCs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",539.0,"2789 El Camino Real, Santa Clara",2.0,
OPERATIONAL,"{'location': {'lat': 37.3528373, 'lng': -121.9758606}, 'viewport': {'northeast': {'lat': 37.35411268029149, 'lng': -121.9745125197085}, 'southwest': {'lat': 37.35141471970849, 'lng': -121.9772104802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,B N Chicken,{'open_now': False},"[{'height': 2266, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109849026903893201606"">Jayasimha Nuggehalli</a>'], 'photo_reference': 'AW30NDyoMBCx7BmbKngdkAN-SG7MGry-2mjpHIz7ZdTyv-0ECnSDfY2MCYA26nSXVbizI6lR0Eg-Rvs93pq_eMp9InCV7dYxxjV2nD4TprvyluAStHjx784FVxopDWqCDvYbTZf0dLElkqlrM51dljzWH0T33RoP-vqNm40kgC8tazeubO9U', 'width': 3722}]",ChIJn4EzXxPKj4AROpmytp6cBtM,"{'compound_code': '923F+4M Santa Clara, CA, USA', 'global_code': '849W923F+4M'}",4.3,ChIJn4EzXxPKj4AROpmytp6cBtM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",222.0,"2725 El Camino Real UNIT 102, Santa Clara",2.0,
