business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity
OPERATIONAL,"{'location': {'lat': 34.838302, 'lng': -120.5303715}, 'viewport': {'northeast': {'lat': 34.8397380802915, 'lng': -120.5290185697085}, 'southwest': {'lat': 34.8370401197085, 'lng': -120.5317165302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hitching Post,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117787074148706118056"">Jenny Harris</a>'], 'photo_reference': 'AW30NDwS_x-iY0EwNcjwu_ovh0twEIaWo5kqXrfKeCaQp9H2DukmgSt0iW6nGyjNNjYL2W4sXXNNR0aE0Ce2FfLiXH1eFt5mL9Yguf0zJpH9vmG9myoLNn4QTEuZpSEQFdQcIyVhrnrzFUwt3p5EScuri5YEd9G-Da3kqAX7tW_iPC6i1pI0', 'width': 4032}]",ChIJlR4Doik-7IARQFOOKtPG7C4,"{'compound_code': 'RFQ9+8V Casmalia, CA, USA', 'global_code': '846XRFQ9+8V'}",2.0,4.7,ChIJlR4Doik-7IARQFOOKtPG7C4,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",868,"3325 Point Sal Road, Casmalia"
OPERATIONAL,"{'location': {'lat': 35.0429163, 'lng': -120.4763563}, 'viewport': {'northeast': {'lat': 35.0443496302915, 'lng': -120.4749494697085}, 'southwest': {'lat': 35.0416516697085, 'lng': -120.4776474302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jocko's,{'open_now': True},"[{'height': 3265, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110107430545480307961"">Al Fua</a>'], 'photo_reference': 'AW30NDyRm4B7d8UqER0JPFKwI9vQanMbJ4uaCuNKxuXVysfnIqJj050epLQ7Q3kCQtugumd0Cd0fkmuw86ekSWkKtf5jZ7cCSkbXgQBrm0E3jxqPvCj0uqYUMlB-7Q5KNuegkYrUAIcjJk7kYfciupeOalgUAVVHqJnKHDz1qHQ_qcFZ86jc', 'width': 4898}]",ChIJN-aJi4to7IARk7VrEW_lfMY,"{'compound_code': '2GVF+5F Nipomo, CA, USA', 'global_code': '847X2GVF+5F'}",2.0,4.5,ChIJN-aJi4to7IARk7VrEW_lfMY,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3465,"125 North Thompson Avenue, Nipomo"
OPERATIONAL,"{'location': {'lat': 34.936868, 'lng': -120.4366463}, 'viewport': {'northeast': {'lat': 34.93831618029149, 'lng': -120.4352801197085}, 'southwest': {'lat': 34.93561821970849, 'lng': -120.4379780802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 999, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102060903742148065658"">Subway</a>'], 'photo_reference': 'AW30NDwjBdG-Nalecmz9zE1yTnXjPVHnCSAczCdck3rvjkvfT5pTDlgFOlpAP-AXqghPbpDxrSCheb18mBBy7hjutvdFWmW1dFI3L-DRVYW3db3pxbThXvcr0C9S7hgxSheyNQB_ilei3gltb8nokmRahms0XyKvkUl5zm7_VCavgtuwYrNS', 'width': 999}]",ChIJO64n3GFr7IARQ59vacCTmDE,"{'compound_code': 'WHP7+P8 Santa Maria, CA, USA', 'global_code': '846XWHP7+P8'}",1.0,4.1,ChIJO64n3GFr7IARQ59vacCTmDE,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",155,"1419 South Broadway Unit C, Santa Maria"
OPERATIONAL,"{'location': {'lat': 34.9529111, 'lng': -120.4280882}, 'viewport': {'northeast': {'lat': 34.9543719302915, 'lng': -120.4265897197085}, 'southwest': {'lat': 34.9516739697085, 'lng': -120.4292876802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109691134946294980690"">Little Caesars Pizza</a>'], 'photo_reference': 'AW30NDzahyyc-VmLJ0ccEmgjJz4T-4-3VFQcL3RYbjgN2saofs7JwW4p0jXcKIDTgRHcJY5O5pOZP4g3uPfCu5iaIaAVYqVDMVrJAPDHjf34lmsBSucAI5ANnZOdA2BfxpdXgxKonMGAr4S7MZpKLKt7zhWDTgMgfDec8ovs3hvZWybraUqV', 'width': 720}]",ChIJUVNViH1s7IAR1bdOo8DXsXs,"{'compound_code': 'XH3C+5Q Santa Maria, CA, USA', 'global_code': '846XXH3C+5Q'}",1.0,3.9,ChIJUVNViH1s7IAR1bdOo8DXsXs,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",737,"610 East Main Street, Santa Maria"
OPERATIONAL,"{'location': {'lat': 34.9219365, 'lng': -120.4349912}, 'viewport': {'northeast': {'lat': 34.9232364302915, 'lng': -120.4337692697085}, 'southwest': {'lat': 34.9205384697085, 'lng': -120.4364672302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107008803797036623871"">Little Caesars Pizza</a>'], 'photo_reference': 'AW30NDyQWaKsnQIpctrDcFT16NvPkfQgMq7H00KJgyW506v6RmzO57Z7HruSxZiBoEgucHgO1KyQo4R5YgElcvGeNvqGeNUdE4IbBiteJDV6YCbOeOresDkl92xrR2A2EnrfKBKhA1J0iBUGVQw7_adQlsO3a09mIjHBhS5GQyeKsEPA9A0n', 'width': 720}]",ChIJ_8OtdVhr7IARAoThtDm94rw,"{'compound_code': 'WHC8+Q2 Santa Maria, CA, USA', 'global_code': '846XWHC8+Q2'}",1.0,3.8,ChIJ_8OtdVhr7IARAoThtDm94rw,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",372,"2120 South Broadway, Santa Maria"
OPERATIONAL,"{'location': {'lat': 34.9608515, 'lng': -120.4359709}, 'viewport': {'northeast': {'lat': 34.9621793802915, 'lng': -120.4345418197085}, 'southwest': {'lat': 34.9594814197085, 'lng': -120.4372397802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3261, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111557884895470941076"">Paul Malarik Jr</a>'], 'photo_reference': 'AW30NDxt6GxmavJeCdXjWnSwkIQThJjHuU4Dgbd1A9H9B4DapdCNxD8Hhzli3KnvmIUyTpTEr-SkUUabjDwDbyvf_eVutXWHstRLhHL9hmoKv2ikqw5h4xx-O04xyVy4DQMnlw0SL4Q4d2ucaM8jWsrYgT3y19dVX1RnBVRZnU3Mk9QPOpH9', 'width': 4905}]",ChIJsX8nB4hr7IAR_nopDTQ82E4,"{'compound_code': 'XH67+8J Santa Maria, CA, USA', 'global_code': '846XXH67+8J'}",1.0,4.3,ChIJsX8nB4hr7IAR_nopDTQ82E4,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",116,"809 North Broadway, Santa Maria"
OPERATIONAL,"{'location': {'lat': 35.032077, 'lng': -120.551813}, 'viewport': {'northeast': {'lat': 35.0334241302915, 'lng': -120.5504983197085}, 'southwest': {'lat': 35.0307261697085, 'lng': -120.5531962802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/golf-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/golf_pinlet,Monarch Dunes Golf Club,{'open_now': False},"[{'height': 1626, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105702376214018995941"">Monarch Dunes Golf Club</a>'], 'photo_reference': 'AW30NDzKPFoaGRPgDzFNPbML_kRTDHF5va-dzbzObK9TGY31SIFcqpT8WGUhgJS2-wVQXdJ9CtBnpP1jhaNNo9yuwB3MQ6loEJypTTaEIj_4mz8VqMLccUkZBVfDaToxPyjwi_2DtzPRMZyjzt2SHAfmC3yTymkF_uJfKBrSFebnbL8I-K7z', 'width': 2048}]",ChIJIZfj3slC7IARNYjr1O4GtEQ,"{'compound_code': '2CJX+R7 Nipomo, CA, USA', 'global_code': '847X2CJX+R7'}",,4.6,ChIJIZfj3slC7IARNYjr1O4GtEQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",313,"1606 Trilogy Parkway, Nipomo"
OPERATIONAL,"{'location': {'lat': 35.0370714, 'lng': -120.487317}, 'viewport': {'northeast': {'lat': 35.0384048302915, 'lng': -120.4857382697085}, 'southwest': {'lat': 35.0357068697085, 'lng': -120.4884362302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3261, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111557884895470941076"">Paul Malarik Jr</a>'], 'photo_reference': 'AW30NDxdsl_K2GO_n-zgsHfSjGPyoijjWbKhHFC6PtPE0uy_aBQTQHYDGj-e0rTxSEpJxVmcq95DMYgavljqnLhXvgGu_9FvYxQ0T2cEvn-mmsBvLeXA_V0Tx68SM3GAPQhK-luwZY9A8yUf4S4Y6D52EtY8LZlaEdbFk2FZwFASP773qc5_', 'width': 4905}]",ChIJuRo_EV5o7IARNLaz1IkQT4I,"{'compound_code': '2GP7+R3 Nipomo, CA, USA', 'global_code': '847X2GP7+R3'}",1.0,4.2,ChIJuRo_EV5o7IARNLaz1IkQT4I,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",101,"536 West Tefft Street, Nipomo"
OPERATIONAL,"{'location': {'lat': 34.922693, 'lng': -120.426908}, 'viewport': {'northeast': {'lat': 34.92403428029149, 'lng': -120.4254090197085}, 'southwest': {'lat': 34.92133631970849, 'lng': -120.4281069802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Panera Bread,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102798397906169258548"">alpha hawk</a>'], 'photo_reference': 'AW30NDxsAqch-dTR-EkPwNjINVtpLrZPfZMTr3jahDDGF9crsTYx-T0bsyz0NujwPmrLmuxPcKker0DAbsCgqNIRR8NKl1a7GF8zmehfd2ZdC1rrilLUz_qeApcs9E3tH1WaodN2lHaMWnbv9Jmx5lgSB7_C2tjdbhQKamxvg5auJvVJlkjv', 'width': 4032}]",ChIJeaGqg69s7IARfkHoAkZEKEw,"{'compound_code': 'WHFF+36 Santa Maria, CA, USA', 'global_code': '846XWHFF+36'}",2.0,4.1,ChIJeaGqg69s7IARfkHoAkZEKEw,GOOGLE,"['cafe', 'meal_takeaway', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",486,"540 East Betteravia Road Suites, A, B and C, Santa Maria"
OPERATIONAL,"{'location': {'lat': 34.93319, 'lng': -120.41855}, 'viewport': {'northeast': {'lat': 34.93453478029149, 'lng': -120.4171020697085}, 'southwest': {'lat': 34.9318368197085, 'lng': -120.4198000302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Red Lobster,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102256331877191185705"">Bernhardt Arnold</a>'], 'photo_reference': 'AW30NDwoTKIMomMuHx8y-fQ7A81kyV_X8cli_JnvBsFmUy7lAksCKZAtPdhsuxPihhDDfMj7cxL4RJqVjI5HOVsYZkof2-CIQsyjj7634oQ7gCvm1BwfZY5c3pyON7jy74e1rvgyzSS0_YaA-dY2M4EevAB5CWSArPZFTeg4sjoicEh2dZmF', 'width': 4032}]",ChIJz7bV0L1s7IARAxaAPYXteu0,"{'compound_code': 'WHMJ+7H Santa Maria, CA, USA', 'global_code': '846XWHMJ+7H'}",2.0,4.2,ChIJz7bV0L1s7IARAxaAPYXteu0,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1092,"1525 South Bradley Road, Santa Maria"
