business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 38.49557679999999, 'lng': -122.7593962}, 'viewport': {'northeast': {'lat': 38.49685498029149, 'lng': -122.7582449197085}, 'southwest': {'lat': 38.4941570197085, 'lng': -122.7609428802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Vintners Resort,{'open_now': True},"[{'height': 3840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116807183727992846969"">Vintners Resort</a>'], 'photo_reference': 'AW30NDz3mctu_0GlCadHLihicwHRPlRsitnNrywXHCIOcAkXFaBTDNUKwtRtQCp-T2vZggRmZAPW40C_FqgzQ06Z1VZVGYIa-dcAlgi5bZR0luYCIBdtWkMgFy5tePNLWhAGuMwTu6QyfZJXHi-kIeiHdMg_8W4f8CASPsS2g6wgLBr97Yax', 'width': 5760}]",ChIJv2ii0tU4hIARkocdtRAl0KQ,"{'compound_code': 'F6WR+66 Santa Rosa, CA, USA', 'global_code': '84CVF6WR+66'}",4.6,ChIJv2ii0tU4hIARkocdtRAl0KQ,GOOGLE,"['cafe', 'restaurant', 'food', 'lodging', 'point_of_interest', 'establishment']",643.0,"4350 Barnes Road, Santa Rosa",,
OPERATIONAL,"{'location': {'lat': 38.441806, 'lng': -122.71165}, 'viewport': {'northeast': {'lat': 38.44305223029149, 'lng': -122.7102075197085}, 'southwest': {'lat': 38.44035426970849, 'lng': -122.7129054802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Russian River Brewing Company,{'open_now': True},"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106937532983459161838"">Chris Pribbernow</a>'], 'photo_reference': 'AW30NDwZxOtEGZ_aKYKoftnM8OW94ebmPAeMAe5peJw78sme4LwKoVHDjD4uSUeaVaONTgS5FmkbqTEUBeP8Z4prcztkzrC1bo_7g6mtdkq4GUFZDB8JAir8CJoEMecpNmHSuTWRZSO41UneVFnYnXf4tWPcmNmaZzp2smlwlL0wwOYHNMgo', 'width': 4080}]",ChIJNTIczf1HhIARn4713sxyAwc,"{'compound_code': 'C7RQ+P8 Santa Rosa, CA, USA', 'global_code': '84CVC7RQ+P8'}",4.6,ChIJNTIczf1HhIARn4713sxyAwc,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2232.0,"725 4th Street, Santa Rosa",2.0,
OPERATIONAL,"{'location': {'lat': 38.47212, 'lng': -122.7270141}, 'viewport': {'northeast': {'lat': 38.4733969302915, 'lng': -122.7259358697085}, 'southwest': {'lat': 38.4706989697085, 'lng': -122.7286338302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,"Dr. Victor R. Cucina, MD",,,ChIJxfkOn304hIARTmhN7e5d18U,"{'compound_code': 'F7CF+R5 Santa Rosa, CA, USA', 'global_code': '84CVF7CF+R5'}",4.0,ChIJxfkOn304hIARTmhN7e5d18U,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,"401 Bicentennial Way, Santa Rosa",,
OPERATIONAL,"{'location': {'lat': 38.4541534, 'lng': -122.7026451}, 'viewport': {'northeast': {'lat': 38.45544553029149, 'lng': -122.7013472697085}, 'southwest': {'lat': 38.45274756970849, 'lng': -122.7040452302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Willi's Wine Bar,{'open_now': True},"[{'height': 1222, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108641336836413489633"">Willi&#39;s Wine Bar</a>'], 'photo_reference': 'AW30NDyiGnfPXaNWEMsVTPwqO64xjV9gn0pz-3TuPO048_oyavC175TCQGV6aet6xlRrfrjLcD75gTo7g5V8OCcSzQUA-8pRRDRq4Mz7VGCSe-3UOM43q4zmfXBNvPAOsLRUq1GqlNxXjubI_J7MvfIb8AiNKwO6mcsSkhXbOwDBBzcFVOJL', 'width': 1830}]",ChIJx1SDFMc4hIARFO4WF2is3Oc,"{'compound_code': 'F73W+MW Santa Rosa, CA, USA', 'global_code': '84CVF73W+MW'}",4.6,ChIJx1SDFMc4hIARFO4WF2is3Oc,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",479.0,"1415 Town and Country Drive, Santa Rosa",2.0,
OPERATIONAL,"{'location': {'lat': 38.360709, 'lng': -122.7234314}, 'viewport': {'northeast': {'lat': 38.3625400302915, 'lng': -122.7220080697085}, 'southwest': {'lat': 38.3598420697085, 'lng': -122.7247060302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Habit Burger Grill,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116765518109081931817"">Martin Quizhpe</a>'], 'photo_reference': 'AW30NDwQYVA_mYifXdzUIaz-lbZKHEhqViBBgIUTupUFSpA0OLZwcSanfUmaHNrXFXgvz9ZAGXjj4va_kj_vo07xi01Rm3nUcXNH4K_R4nDVhk84yRiMlGQeSKIK14IKI4N1wo2zfFETkaMh80JAjZxSyvfqeDyaRHPIfhzD0yYTLsaD7NPk', 'width': 4032}]",ChIJacBju_41hIARJEvXmhZ-rC0,"{'compound_code': '976G+7J Rohnert Park, CA, USA', 'global_code': '84CV976G+7J'}",4.2,ChIJacBju_41hIARJEvXmhZ-rC0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",154.0,"630 Park Court, Rohnert Park",1.0,
OPERATIONAL,"{'location': {'lat': 38.4389379, 'lng': -122.7230862}, 'viewport': {'northeast': {'lat': 38.4403251802915, 'lng': -122.7218137697085}, 'southwest': {'lat': 38.4376272197085, 'lng': -122.7245117302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Stark's Steak & Seafood,{'open_now': True},"[{'height': 576, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118029063663261456069"">Stark&#39;s Steak &amp; Seafood</a>'], 'photo_reference': 'AW30NDxkvzv99xzz1Aencg4epVjLm6bvzwKBYD-l6GAi-GwsMkPfopSBjpa0FmNbPhFjjmaiBWlPu91Iz77nFsSnDBQUptv_VxkQ_2TJvS1lzlxGRTqePCuotrBibW_lkKZSEUvKIt2imw11CApIAr8jYod-Uwnwc7zijK8BYxJi_j8fzIxg', 'width': 960}]",ChIJsxGiZQE4hIARKBX_GCUNDpg,"{'compound_code': 'C7QG+HQ Santa Rosa, CA, USA', 'global_code': '84CVC7QG+HQ'}",4.5,ChIJsxGiZQE4hIARKBX_GCUNDpg,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1146.0,"521 Adams Street, Santa Rosa",3.0,
OPERATIONAL,"{'location': {'lat': 38.4606496, 'lng': -122.7253284}, 'viewport': {'northeast': {'lat': 38.4619309302915, 'lng': -122.7240354697085}, 'southwest': {'lat': 38.45923296970851, 'lng': -122.7267334302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,In-N-Out Burger,{'open_now': True},"[{'height': 2208, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114265381156331362147"">Mei Chou</a>'], 'photo_reference': 'AW30NDyvsMiOBrqwC5G89B1h0Ji2M5y6wYG-GGzWvEg6jtze4D8B_s3SqwWKRPd4H27EwWH3m3ffGXIZ2ev1L-vU-7KKubTB-cutThhJ1eB7DPobA-3B1ROJDW-UB-ARHRkOLKr_ZfHcD72Et_-NEE5wVy_boBfLgpU7R1my02q3hn8Hi2vN', 'width': 3920}]",ChIJke7vhow4hIARgXeyrltcdYw,"{'compound_code': 'F76F+7V Santa Rosa, CA, USA', 'global_code': '84CVF76F+7V'}",4.5,ChIJke7vhow4hIARgXeyrltcdYw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",4559.0,"2131 County Center Drive, Santa Rosa",1.0,
OPERATIONAL,"{'location': {'lat': 38.45864319999999, 'lng': -122.7166943}, 'viewport': {'northeast': {'lat': 38.4599272802915, 'lng': -122.7154618697085}, 'southwest': {'lat': 38.4572293197085, 'lng': -122.7181598302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101705994750046413073"">shawn ledoux</a>'], 'photo_reference': 'AW30NDzJQqmp8nrH_QVB8I-yGT-SLqm1VtgFb5XIOResnRRdfnZhiBvUElOb3ksbikI-k_y7IlmzbQpYjs2z9bGhL5zF7oG-72eKYwojrNLAQOkd38iSsNDibWH0NQssaIPVrseGo9WJFQhx4cHhw-7kIMd7jKZ_As6A7qVGG0nLKoLVqWXx', 'width': 1920}]",ChIJeb3FkYpHhIAR_1ibnZqsYgA,"{'compound_code': 'F75M+F8 Santa Rosa, CA, USA', 'global_code': '84CVF75M+F8'}",3.5,ChIJeb3FkYpHhIAR_1ibnZqsYgA,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",75.0,"1880 Mendocino Avenue Suite 1, Santa Rosa",1.0,
OPERATIONAL,"{'location': {'lat': 38.4235665, 'lng': -122.7138158}, 'viewport': {'northeast': {'lat': 38.4249975802915, 'lng': -122.7124850697085}, 'southwest': {'lat': 38.4222996197085, 'lng': -122.7151830302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2576, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109902922112416364729"">Neal Allen</a>'], 'photo_reference': 'AW30NDxTmlOj4ydDMbrVBXCAbGKe0ejoYIbHOMDT4ewqyd4xQImGvlX4_zWE-9Tf80sUd0uNHy8pdLBInswKJh6_2D7YtwXV-ktywJtaaKlGDldIt7fUvntPwlzHouNLp_axvgFVxCFjffVtMFWYrS0qPBCwYUwZr0EgV0sKtdMHvDJs0zaN', 'width': 1932}]",ChIJm_9FwB5IhIARDqN-luQQ63U,"{'compound_code': 'C7FP+CF Santa Rosa, CA, USA', 'global_code': '84CVC7FP+CF'}",3.7,ChIJm_9FwB5IhIARDqN-luQQ63U,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",102.0,"1435 Santa Rosa Avenue Suite 1, Santa Rosa",1.0,
OPERATIONAL,"{'location': {'lat': 38.4420097, 'lng': -122.7035646}, 'viewport': {'northeast': {'lat': 38.4433826802915, 'lng': -122.7022886197085}, 'southwest': {'lat': 38.44068471970851, 'lng': -122.7049865802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Rosso,{'open_now': True},"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108202375161374310999"">Sterba</a>'], 'photo_reference': 'AW30NDzgfd3JuqZuSwGDzprQ3fDPctYT23H1y5PIDVBlqZT9igtiXj1k5GSO-rlQrt9TLkg0pjROi_726GxzVBa2we0tS-1kIuhFEnAQCrjLp5d5PsdTOsV9s3mcTmUBHaM6ybuafhN14GHkVk0HwC7Cuh8DBx14h1bUfthggh-DWSqZ3Kzu', 'width': 3264}]",ChIJYXiUeOJHhIARjQ90pHYMCgk,"{'compound_code': 'C7RW+RH Santa Rosa, CA, USA', 'global_code': '84CVC7RW+RH'}",4.5,ChIJYXiUeOJHhIARjQ90pHYMCgk,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",486.0,"53 Montgomery Drive, Santa Rosa",2.0,
