business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.7008754, 'lng': -111.8896983}, 'viewport': {'northeast': {'lat': 33.7021605302915, 'lng': -111.8882457697085}, 'southwest': {'lat': 33.6994625697085, 'lng': -111.8909437302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mastro's Steakhouse,{'open_now': True},"[{'height': 1152, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108129093012957581532"">Mastro&#39;s Steakhouse</a>'], 'photo_reference': 'AW30NDxqoiaYlN0Y6EGHPfrCm9tOIoNRUexi8B2MGik_Br1-urUprDvmAvk23d0oTjHflrdgk_i_SysUkpAz4iU8Ss3nK9apalYrFjpEgaMLF6ubJgnOOxDP64SaThoaAiNTcNqdTYcqzUXx9CA2JkVcFQfqMe_ZO8IldAfGfH8gCfsoSEzH', 'width': 2048}]",ChIJQ-5FB7F3K4cRB9kOcZQQGBI,"{'compound_code': 'P426+94 Scottsdale, AZ, USA', 'global_code': '855CP426+94'}",4.0,4.6,ChIJQ-5FB7F3K4cRB9kOcZQQGBI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",721.0,"8852 East Pinnacle Peak Road, Scottsdale",
OPERATIONAL,"{'location': {'lat': 33.70006489999999, 'lng': -111.8886833}, 'viewport': {'northeast': {'lat': 33.7013918302915, 'lng': -111.8874144697085}, 'southwest': {'lat': 33.6986938697085, 'lng': -111.8901124302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Lamp Pizzeria,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113585892111897624852"">Rudy Valenta</a>'], 'photo_reference': 'AW30NDzmVJid4H7LmpTR0Cr4r_FvxuvLq0MakRGcfWOprJj0rlzUrtNP2IHbrb9F3u8XFd0-pT0rpkfauSGafDaynRkJ1PBKcMGDLMD4oL2DOkxoqEfGelxyg6VqA_1Alo45B1x8If5uFHdwqMViRuwE5dOdSzeJFAMjuDFHAxNYGlhOtaGI', 'width': 4032}]",ChIJYTW56LB3K4cRn3ISFgpL3CE,"{'compound_code': 'P426+2G Scottsdale, AZ, USA', 'global_code': '855CP426+2G'}",2.0,4.7,ChIJYTW56LB3K4cRn3ISFgpL3CE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",349.0,"8900 East Pinnacle Peak Road, Scottsdale",
OPERATIONAL,"{'location': {'lat': 33.6742732, 'lng': -111.889248}, 'viewport': {'northeast': {'lat': 33.6755374302915, 'lng': -111.8880065697085}, 'southwest': {'lat': 33.67283946970851, 'lng': -111.8907045302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Fleming’s Prime Steakhouse & Wine Bar,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102603187310754742379"">Heather Rudnick</a>'], 'photo_reference': 'AW30NDxtEdDc0WojrZIG1KRS7oGI82olfDUMInH1PKbEflzO_uFnNRtcgwdMowu8UKIlYMM1bZiOsubiHd4Lnyao4w80spm0LKeHvbFHgOfL_x6m_PH1xocm8NrQm07PL-1gokm6ZhtG4a59hLVOHfTQiloEfYh77GCkd8lDB15gTYy-gutS', 'width': 1920}]",ChIJB76zkkJ2K4cRUcctNqMFBDI,"{'compound_code': 'M4F6+P8 Scottsdale, AZ, USA', 'global_code': '855CM4F6+P8'}",4.0,4.6,ChIJB76zkkJ2K4cRUcctNqMFBDI,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",540.0,"20753 North Pima Road, Scottsdale",
OPERATIONAL,"{'location': {'lat': 33.6780517, 'lng': -111.89714}, 'viewport': {'northeast': {'lat': 33.6792343802915, 'lng': -111.8958848697085}, 'southwest': {'lat': 33.6765364197085, 'lng': -111.8985828302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Phils Grill,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102276534510339426955"">Matt Peppes</a>'], 'photo_reference': 'AW30NDy064oXRMsRWAI9bw1kC_ZGKi7dWNWIFfAl5mOv4NH8-EGogz6ZaO5XMkAxtnjwZK3Qg5ty5-o3MYMPYT_VjggRy6qDLsBXYfpIcEG_oxW9TDAgfUP54A1_TMsjc6q2Mg85OVo0Ws5kGGARHZnSODfasETyvnRs71Wm2DB0yvegwiF1', 'width': 4032}]",ChIJj2ANQFp2K4cRRJx3UdNafNY,"{'compound_code': 'M4H3+64 Scottsdale, AZ, USA', 'global_code': '855CM4H3+64'}",,4.5,ChIJj2ANQFp2K4cRRJx3UdNafNY,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",115.0,"8620 East Thompson Peak Parkway, Scottsdale",
OPERATIONAL,"{'location': {'lat': 33.6999714, 'lng': -111.8882054}, 'viewport': {'northeast': {'lat': 33.7013245802915, 'lng': -111.8871496197085}, 'southwest': {'lat': 33.6986266197085, 'lng': -111.8898475802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Al Hamra Restaurant,{'open_now': True},"[{'height': 3006, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112535280336270276869"">Will Hall</a>'], 'photo_reference': 'AW30NDwnwIXGC0cl8v_mx3qL1LJBbky1naIwLCDWa35Qs9cExIhQpcw4S9fnLel8QoLOxj7VJ1hMtXQpWi5DZkzg8khB9oWo3PDY5xVkgk0OQDSE92IkwXlCT7eg3wsP4Rg7Z-2LDUotnGKC15UFvZF2nJw8YvCPIJpZCECEXp7LysgaFVdt', 'width': 5344}]",ChIJYTW56LB3K4cRJ-gql_wiilI,"{'compound_code': 'M4X6+XP Scottsdale, AZ, USA', 'global_code': '855CM4X6+XP'}",2.0,4.2,ChIJYTW56LB3K4cRJ-gql_wiilI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",114.0,"8900 East Pinnacle Peak Road E-1, Scottsdale",
OPERATIONAL,"{'location': {'lat': 33.6759417, 'lng': -111.8965222}, 'viewport': {'northeast': {'lat': 33.6773570802915, 'lng': -111.8952449697085}, 'southwest': {'lat': 33.6746591197085, 'lng': -111.8979429302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Isabella's Kitchen,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103364950826236281871"">Felix-Albert Desmangles</a>'], 'photo_reference': 'AW30NDxdivAWI_ZcfvWQEVpU6KNi2eyMOhO3kWi2jEsI2W6G9BIh8AfbFVUsm1Jj0rOLqjMmxyrnGfKjcyGeJTO8XEOO1n0u2Q3hU3YMD3PTG4IOz4aADfNlimCrnCc6l6E1LGlgEasL2TbBlXcsTObw6uRPec734N4kPSiOZBPfRMrWcRIY', 'width': 4032}]",ChIJo9UJTFp2K4cRYL0O1P1SkXM,"{'compound_code': 'M4G3+99 Scottsdale, AZ, USA', 'global_code': '855CM4G3+99'}",2.0,4.5,ChIJo9UJTFp2K4cRYL0O1P1SkXM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",993.0,"8623 East Thompson Peak Parkway, Scottsdale",
OPERATIONAL,"{'location': {'lat': 33.63879439999999, 'lng': -111.8820106}, 'viewport': {'northeast': {'lat': 33.6402781302915, 'lng': -111.8803165197085}, 'southwest': {'lat': 33.6375801697085, 'lng': -111.8830144802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,18 Degrees,{'open_now': True},"[{'height': 1153, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104921148106512565773"">18 Degrees</a>'], 'photo_reference': 'AW30NDx2F4ZYj5jd9em2c0DMgj4urUUEhZjMqRsrm6UaBj6X3V_C7_brQtT5m23aejYfJHBasZrPfiBuViAsvRF5xNHkrsbLdRPiQdz2nh4dPsxMk8AtktNxzlts7UFHRo8nKQykwGIYor-XS4CwCsggmPhWFCwpebORgJbd-6KRYbMan7wn', 'width': 2048}]",ChIJz4ITs8J1K4cRlbWyZvUGKig,"{'compound_code': 'J4Q9+G5 Scottsdale, AZ, USA', 'global_code': '855CJ4Q9+G5'}",2.0,4.3,ChIJz4ITs8J1K4cRlbWyZvUGKig,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",198.0,"9375 East Bell Road, Scottsdale",
OPERATIONAL,"{'location': {'lat': 33.6712632, 'lng': -111.9061588}, 'viewport': {'northeast': {'lat': 33.6725979802915, 'lng': -111.9046440197085}, 'southwest': {'lat': 33.6699000197085, 'lng': -111.9073419802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Local Bistro,{'open_now': True},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117702847900392911217"">Local Bistro</a>'], 'photo_reference': 'AW30NDx19Inaw1KoSibtctoXU9hQsys9825iaC0FrMhfIrlrMyL-uO-ctuW3WueytTk9LYu0DMYFZ_PQeSx56QFD_PIP_sU3nH7hTMTHEj0dvoOSlq8wQaOyNRCaiOASRHUTWzK9gOi-aeDrYrNcJZL5C3iAVs4nQvI1NKR2cIYsM6FS7QK5', 'width': 2048}]",ChIJwzVeMfd2K4cRNLeOhWxMvi8,"{'compound_code': 'M3CV+GG Scottsdale, AZ, USA', 'global_code': '855CM3CV+GG'}",2.0,4.4,ChIJwzVeMfd2K4cRNLeOhWxMvi8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",555.0,"20581 North Hayden Road, Scottsdale",
OPERATIONAL,"{'location': {'lat': 33.6716076, 'lng': -111.9057268}, 'viewport': {'northeast': {'lat': 33.6730273302915, 'lng': -111.9043506197085}, 'southwest': {'lat': 33.6703293697085, 'lng': -111.9070485802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pure Sushi,{'open_now': True},"[{'height': 2653, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114314977675632444183"">Hayk Bezirganyan</a>'], 'photo_reference': 'AW30NDzq4LtYbKPCZR-Bo3bksJAvTqjuxY6xhKg5BUPn0SL0RsondbMWZ_nj8duvpt5rcDRzoh5Pbe5QZEPBq_4KLZ6o3FELr8xtWcB0RBUovdLDPdmCC0LYNbEQ4Wl6_vEirEI_fsfxDLaO4Tb8W7DAT3HTi8JpN73gBgcQwBEZJYTK_2F4', 'width': 3678}]",ChIJh6j1xfV2K4cRJh3s5zsss5Y,"{'compound_code': 'M3CV+JP Scottsdale, AZ, USA', 'global_code': '855CM3CV+JP'}",2.0,4.4,ChIJh6j1xfV2K4cRJh3s5zsss5Y,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",449.0,"20567 North Hayden Road, Scottsdale",
OPERATIONAL,"{'location': {'lat': 33.67407679999999, 'lng': -111.8880218}, 'viewport': {'northeast': {'lat': 33.6754739802915, 'lng': -111.8868184197085}, 'southwest': {'lat': 33.6727760197085, 'lng': -111.8895163802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Grimaldi's Pizzeria,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106756681734755730730"">Vicki Cordova</a>'], 'photo_reference': 'AW30NDxYvIWci7iFxm5tQ1LZFRwCUMdyIAqcuMfhzy76uRS5J46pWHmLq_pwG9uJSmYRXDzIslBxfAORv971fWl1OVsV4vR0KWNpacRD2XiOz_nbdgqCgmy1xVfZCpbcgI_QieYv7S1KZaJVXQDRs25uK3jjI1SyGW8ff_Sqt0euGLuUjj8a', 'width': 3024}]",ChIJ3a-nGkN2K4cRxDUmBhIJHKo,"{'compound_code': 'M4F6+JQ Scottsdale, AZ, USA', 'global_code': '855CM4F6+JQ'}",2.0,4.4,ChIJ3a-nGkN2K4cRxDUmBhIJHKo,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",489.0,"20715 North Pima Road Ste F115, Scottsdale",
